ID,Aanbieders,Perioden,ZorguitgavenInclusiefWelzijn_1,UitgavenVoorGezondheidszorgIntDef_2,UitgavenOgvVerplichteVerzekeringen_3
150,2550,2015JJ00,16939,12914,13174
151,2550,2016JJ00,17242,13157,13438
152,2560,1998JJ00,3429,1616,2550
153,2560,1999JJ00,3685,1742,2773
154,2560,2000JJ00,3912,1858,3025
155,2560,2001JJ00,4314,2029,3300
156,2560,2002JJ00,5062,2361,3926
157,2560,2003JJ00,5575,2589,4369
158,2560,2004JJ00,5867,2712,4677
159,2560,2005JJ00,6120,2861,4886
160,2560,2006JJ00,6398,2929,5074
161,2560,2007JJ00,6792,3154,5509
162,2560,2008JJ00,7368,3389,6077
163,2560,2009JJ00,8066,3720,6683
164,2560,2010JJ00,8398,3864,6973
165,2560,2011JJ00,8624,4022,7200
166,2560,2012JJ00,9532,4539,8177
167,2560,2013JJ00,9555,4629,8240
168,2560,2014JJ00,9787,4880,8495
169,2560,2015JJ00,9355,4927,6888
170,2560,2016JJ00,9753,5019,7158
171,2600,1998JJ00,7558,7399,2974
172,2600,1999JJ00,8247,8005,3184
173,2600,2000JJ00,8827,8451,3371
174,2600,2001JJ00,9819,9311,3751
175,2600,2002JJ00,10877,10069,4043
176,2600,2003JJ00,11581,10654,4418
177,2600,2004JJ00,11813,10915,4461
178,2600,2005JJ00,12200,11364,4646
179,2600,2006JJ00,12360,11609,6725
180,2600,2007JJ00,13253,12453,7258
181,2600,2008JJ00,13927,12996,6965
182,2600,2009JJ00,14021,13129,7203
183,2600,2010JJ00,14666,13651,7504
184,2600,2011JJ00,14992,14048,7658
185,2600,2012JJ00,14490,13593,7056
186,2600,2013JJ00,14057,13183,6578
187,2600,2014JJ00,14270,13354,6717
188,2600,2015JJ00,14589,13678,6851
189,2600,2016JJ00,14669,13717,6879
190,2610,1998JJ00,354,354,72
191,2610,1999JJ00,370,370,72
192,2610,2000JJ00,399,399,76
193,2610,2001JJ00,463,463,90
194,2610,2002JJ00,525,525,88
195,2610,2003JJ00,572,572,96
196,2610,2004JJ00,581,581,92
197,2610,2005JJ00,589,589,92
198,2610,2006JJ00,612,612,99
199,2610,2007JJ00,642,642,100
200,2610,2008JJ00,617,617,89
201,2610,2009JJ00,642,642,88
202,2610,2010JJ00,694,694,98
203,2610,2011JJ00,710,710,95
204,2610,2012JJ00,727,727,82
205,2610,2013JJ00,737,737,85
206,2610,2014JJ00,767,767,88
207,2610,2015JJ00,766,766,86
208,2610,2016JJ00,769,769,90
209,2620,1998JJ00,742,742,0
210,2620,1999JJ00,837,854,0
211,2620,2000JJ00,953,866,0
212,2620,2001JJ00,1037,876,0
213,2620,2002JJ00,1230,848,0
214,2620,2003JJ00,1361,861,0
