ID,Zorgaanbieders,Zorgfinanciering,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
0,T001102,T001103,1998JJ00,39380.0
1,T001102,T001103,1999JJ00,42394.0
2,T001102,T001103,2000JJ00,45361.0
3,T001102,T001103,2001JJ00,50767.0
4,T001102,T001103,2002JJ00,56663.0
5,T001102,T001103,2003JJ00,60888.0
6,T001102,T001103,2004JJ00,63003.0
7,T001102,T001103,2005JJ00,65424.0
8,T001102,T001103,2006JJ00,68495.0
9,T001102,T001103,2007JJ00,72713.0
10,T001102,T001103,2008JJ00,77705.0
11,T001102,T001103,2009JJ00,82298.0
12,T001102,T001103,2010JJ00,85790.0
13,T001102,T001103,2011JJ00,88125.0
14,T001102,T001103,2012JJ00,90622.0
15,T001102,T001103,2013JJ00,90954.0
16,T001102,T001103,2014JJ00,91927.0
17,T001102,T001103,2015JJ00,92323.0
18,T001102,T001103,2016JJ00,94842.0
19,T001102,T001103,2017JJ00,96972.0
20,T001102,T001103,2018JJ00,101031.0
21,T001102,T001103,2019JJ00,107429.0
22,T001102,T001103,2020JJ00,116384.0
23,T001102,T001103,2021JJ00,124794.0
24,T001102,T001103,2022JJ00,127306.0
25,T001102,A019151,1998JJ00,5481.0
26,T001102,A019151,1999JJ00,6132.0
27,T001102,A019151,2000JJ00,6604.0
28,T001102,A019151,2001JJ00,7516.0
29,T001102,A019151,2002JJ00,8060.0
30,T001102,A019151,2003JJ00,8380.0
31,T001102,A019151,2004JJ00,8136.0
32,T001102,A019151,2005JJ00,8934.0
33,T001102,A019151,2006JJ00,9327.0
34,T001102,A019151,2007JJ00,12519.0
35,T001102,A019151,2008JJ00,13639.0
36,T001102,A019151,2009JJ00,14974.0
37,T001102,A019151,2010JJ00,15393.0
38,T001102,A019151,2011JJ00,15260.0
39,T001102,A019151,2012JJ00,14674.0
40,T001102,A019151,2013JJ00,13078.0
41,T001102,A019151,2014JJ00,12944.0
42,T001102,A019151,2015JJ00,17159.0
43,T001102,A019151,2016JJ00,17935.0
