ID,RegioS,Perioden,Mestproductie_1,StikstofuitscheidingN_2,TotaalStikstofverliezenN_3,AmmoniakemissieN_4,OverigeGasvormigeStikstofverliezenN_5,SpuiwaterLuchtwassersN_6,StikstofInOpgeslagenMestEnWeidemest_7,FosfaatuitscheidingP2O5_8,StikstofInDierlijkeMestPerHectare_9,FosfaatInDierlijkeMestPerHectare_10,AangevoerdeMest_11,StikstofInAangevoerdeMestN_12,FosfaatInAangevoerdeMestP2O5_13,AfgevoerdeMest_14,StikstofInAfgevoerdeMestN_15,FosfaatInAfgevoerdeMestP2O5_16,GebruikteMest_17,StikstofInGebruikteMestN_18,FosfaatInGebruikteMestP2O5_19,StikstofInGebruikteMestPerHectare_20,FosfaatInGebruikteMestPerHectare_21,TotaalBemestbareCultuurgrond_22,Grasland_23,Snijmais_24,OverigBouwland_25,PlaatsingsruimteStikstofN_26,PlaatsingsruimteFosfaatP2O5_27,RestPlaatsingsruimteStikstofN_28,RestPlaatsingsruimteFosfaatP2O5_29,BenuttingsgraadStikstof_30,BenuttingsgraadFosfaat_31
0,NL01  ,1994JJ00,83003,681000,92700,80900,11700,0,588300,226500,297,115,15534,129300,65000,16991,155200,78400,81545,562400,213100,284,108,1977593,1050558,228508,698527,,331700,,118600,,64
1,NL01  ,1995JJ00,82554,680000,90800,79200,11600,0,589200,215900,300,110,15418,127200,60100,16983,153800,72300,80989,562600,203600,286,104,1966837,1048234,219217,699385,,258300,,54700,,79
2,NL01  ,1996JJ00,81192,668600,88700,77600,11100,0,579900,198100,294,100,14822,126900,57900,16310,148300,67400,79703,558600,188700,283,96,1974447,1052120,222872,699455,,243500,,54800,,77
3,NL01  ,1997JJ00,77872,644600,84600,73800,10800,0,560000,196800,286,101,14818,123700,57200,15801,137700,63600,76889,545900,190400,279,97,1954630,1030489,231985,692155,,240800,,50300,,79
4,NL01  ,1998JJ00,76931,602400,80900,70500,10400,0,521500,196100,266,100,11510,80900,49100,13289,98300,60400,75152,504100,184800,257,94,1962059,1031771,219940,710348,933900.0,221500,429800.0,36700,54.0,83
5,NL01  ,1999JJ00,75445,585300,79900,69800,10100,0,505400,199600,258,102,13923,98200,58200,15269,117100,71900,74099,486500,185900,249,95,1955386,1018013,230746,706627,924200.0,220600,437700.0,34700,53.0,84
6,NL01  ,2000JJ00,75558,549100,73000,63400,9500,0,476100,190900,242,97,11484,78000,47000,13209,102500,65000,73833,451600,172900,230,88,1964983,1036675,205301,723007,871000.0,212000,419400.0,39200,52.0,82
7,NL01  ,2001JJ00,74987,541700,69400,60100,9400,0,472300,184900,244,96,12192,77300,46700,13941,103700,66700,73238,445900,164900,230,85,1935608,1012759,203864,718985,800700.0,203700,354700.0,38800,56.0,81
8,NL01  ,2002JJ00,71527,504400,66800,57900,8900,0,437600,172900,224,89,11371,70000,43200,12816,97100,63400,70082,410500,152700,210,78,1953536,1019109,214399,720028,774000.0,197800,363500.0,45100,53.0,77
9,NL01  ,2003JJ00,69246,479200,63300,54600,8700,0,415900,165900,215,86,10006,65100,40300,11899,87200,55700,67353,393700,150500,203,78,1935111,1011450,216895,706766,726700.0,181800,332900.0,31300,54.0,83
10,NL01  ,2004JJ00,70389,467100,63700,55200,8500,0,403400,161800,208,83,9618,65200,38900,11554,90900,56200,68453,377700,144500,195,75,1938917,1012113,224439,702365,720500.0,184600,342800.0,40100,52.0,78
11,NL01  ,2005JJ00,70117,478800,65200,55800,8600,800,413600,169700,215,88,10171,82800,44300,11926,108000,59500,68362,388400,154400,202,80,1927155,999976,235085,692094,685300.0,174800,296900.0,20400,57.0,88
12,NL01  ,2006JJ00,69284,471200,65200,55900,8500,800,406100,169200,213,89,12813,81300,41800,15184,118800,63600,66914,368600,147400,193,77,1909324,1019240,218036,672048,409500.0,187800,40900.0,40300,90.0,79
13,NL01  ,2007JJ00,69236,479600,67500,57400,8800,1300,412100,169400,216,89,14062,93900,47200,17276,151900,79900,66022,354100,136600,186,72,1903878,1016380,221554,665945,409200.0,182200,55100.0,45500,87.0,75
14,NL01  ,2008JJ00,71277,491300,69300,59000,8900,1400,422100,175900,220,92,15002,91200,46000,18383,158400,83900,67895,354900,138000,185,72,1919053,1018404,241727,658922,412700.0,178400,57800.0,40400,86.0,77
15,NL01  ,2009JJ00,72703,484200,69500,59200,8900,1400,414800,174800,217,92,14583,87400,44600,19014,159800,85600,68272,342300,133900,180,70,1907090,1017119,240220,649752,410300.0,177400,67900.0,43500,83.0,76
