ID,Perioden,AantalInstellingen_1,FeitelBeddenKlinischeEnDagbeh_2,GemiddeldToegBeddenKlinisch_3,AantalOpnamen_4,AantalOntslagen_5,AantalOverleden_6,TotaalOntslagenEnOverledenPatienten_7,PatientenPupillenPer31December_8,Verpleegdagen_9,AantalDagen_10
0,1998JJ00,336,57.5,57.5,54.0,30.0,23.6,53.6,56.0,20473,1189.0
1,1999JJ00,334,57.4,57.6,55.3,30.0,25.2,55.2,55.6,20805,1274.0
2,2000JJ00,334,58.2,58.4,54.8,29.4,25.1,54.5,56.2,21067,1319.0
3,2001JJ00,333,59.6,59.7,56.3,30.0,25.5,55.5,56.9,21706,1459.0
4,2002JJ00,328,58.6,59.9,58.9,31.1,25.8,56.8,57.7,22518,1587.0
5,2003JJ00,335,61.3,61.0,66.5,37.7,28.7,66.4,57.8,22380,2022.0
6,2004JJ00,338,,63.8,,,,,,22692,
7,2005JJ00,366,,65.1,,,,,,23193,
