ID,Bronnen,Perioden,CO2_1,CH4_2,N2O_3
0,T001176  ,1990JJ00,163600,1276.1,60.67
1,T001176  ,1991JJ00,172000,1292.18,61.34
2,T001176  ,1992JJ00,171700,1275.77,62.26
3,T001176  ,1993JJ00,171600,1257.9,63.21
4,T001176  ,1994JJ00,172400,1216.42,61.69
5,T001176  ,1995JJ00,173900,1186.69,61.19
6,T001176  ,1996JJ00,182900,1159.43,61.4
7,T001176  ,1997JJ00,175900,1093.24,60.5
8,T001176  ,1998JJ00,176800,1064.27,58.56
9,T001176  ,1999JJ00,171400,1013.2,56.31
10,T001176  ,2000JJ00,172500,968.48,54.09
11,T001176  ,2001JJ00,177600,942.35,51.0
12,T001176  ,2002JJ00,176900,896.71,47.95
13,T001176  ,2003JJ00,180300,865.78,47.55
14,T001176  ,2004JJ00,182200,849.54,48.79
15,T001176  ,2005JJ00,178300,790.77,48.62
16,T001176  ,2006JJ00,173400,772.85,48.89
17,T001176  ,2007JJ00,173200,774.7,43.57
18,T001176  ,2008JJ00,176100,783.93,30.99
19,T001176  ,2009JJ00,170800,777.18,30.44
20,T001176  ,2010JJ00,182800,774.32,29.47
21,T001176  ,2011JJ00,169600,751.61,28.75
22,T001176  ,2012JJ00,165900,734.93,28.15
23,T001176  ,2013JJ00,165300,734.22,28.89
24,T001176  ,2014JJ00,157900,716.72,29.32
25,T001176  ,2015JJ00,164300,724.75,30.08
26,T001176  ,2016JJ00,165100,729.57,29.05
27,T001176  ,2017JJ00,162700,716.56,29.86
28,T001176  ,2018JJ00,158600,692.67,29.14
29,T001176  ,2019JJ00,152900,688.28,28.73
30,T001176  ,2020JJ00,137100,677.63,28.15
31,T001176  ,2021JJ00,140400,668.4,27.0
32,A025447  ,1990JJ00,130600,1267.57,60.22
33,A025447  ,1991JJ00,138600,1284.73,60.79
34,A025447  ,1992JJ00,136900,1268.72,61.58
35,A025447  ,1993JJ00,136000,1251.15,62.43
36,A025447  ,1994JJ00,137100,1210.09,60.83
37,A025447  ,1995JJ00,138000,1180.5,60.24
38,A025447  ,1996JJ00,145800,1153.37,60.39
39,A025447  ,1997JJ00,138900,1087.64,59.49
40,A025447  ,1998JJ00,139100,1058.98,57.55
41,A025447  ,1999JJ00,132800,1008.23,55.3
42,A025447  ,2000JJ00,134100,963.99,53.07
43,A025447  ,2001JJ00,138900,937.98,49.98
44,A025447  ,2002JJ00,137900,892.46,46.95
45,A025447  ,2003JJ00,140900,861.68,46.58
46,A025447  ,2004JJ00,142400,845.65,47.85
47,A025447  ,2005JJ00,138100,786.99,47.71
48,A025447  ,2006JJ00,132500,769.1,48.0
49,A025447  ,2007JJ00,133300,770.99,42.66
50,A025447  ,2008JJ00,136100,780.25,30.03
51,A025447  ,2009JJ00,132400,773.66,29.48
52,A025447  ,2010JJ00,143700,770.9,28.48
53,A025447  ,2011JJ00,130600,748.26,27.72
54,A025447  ,2012JJ00,128900,731.8,27.15
55,A025447  ,2013JJ00,129700,731.19,27.9
56,A025447  ,2014JJ00,124600,713.83,28.43
57,A025447  ,2015JJ00,130900,721.91,29.17
58,A025447  ,2016JJ00,131600,726.77,28.17
59,A025447  ,2017JJ00,128600,713.65,28.94
60,A025447  ,2018JJ00,124300,689.84,28.23
61,A025447  ,2019JJ00,119300,685.41,27.83
62,A025447  ,2020JJ00,107800,675.08,27.37
63,A025447  ,2021JJ00,111100,665.77,26.22
64,800044   ,1990JJ00,52800,80.02,0.42
65,800044   ,1991JJ00,53300,80.22,0.37
66,800044   ,1992JJ00,53300,79.98,0.37
