ID,Producten,Perioden,Kostprijsindex2010100_1,OntwikkelingTOVEenMaandEerder_2,OntwikkelingTOVEenJaarEerder_3,Consumentenprijsindex2010100_4,OntwikkelingTOVEenMaandEerder_5,OntwikkelingTOVEenJaarEerder_6
0,1100  ,2005MM01,87.06,0.0,0.0,91.03,0.0,0.0
1,1100  ,2005MM02,86.99,-0.08,0.0,91.83,0.88,0.0
2,1100  ,2005MM03,87.08,0.1,0.0,92.41,0.64,0.0
3,1100  ,2005MM04,87.23,0.17,0.0,91.3,-1.2,0.0
4,1100  ,2005MM05,87.6,0.42,0.0,91.77,0.52,0.0
5,1100  ,2005MM06,88.1,0.57,0.0,91.52,-0.27,0.0
6,1100  ,2005MM07,88.46,0.41,0.0,90.96,-0.62,0.0
7,1100  ,2005MM08,88.51,0.06,0.0,91.36,0.44,0.0
8,1100  ,2005MM09,88.59,0.09,0.0,90.1,-1.37,0.0
9,1100  ,2005MM10,88.49,-0.11,0.0,90.58,0.52,0.0
10,1100  ,2005MM11,88.56,0.08,0.0,90.98,0.45,0.0
11,1100  ,2005MM12,88.64,0.09,0.0,91.19,0.22,0.0
12,1100  ,2006MM01,88.25,-0.44,1.37,92.12,1.02,1.19
13,1100  ,2006MM02,88.51,0.29,1.75,92.21,0.1,0.41
14,1100  ,2006MM03,88.79,0.32,1.96,92.5,0.31,0.09
15,1100  ,2006MM04,88.89,0.11,1.9,92.82,0.35,1.66
16,1100  ,2006MM05,89.01,0.13,1.61,92.65,-0.18,0.96
17,1100  ,2006MM06,89.19,0.2,1.24,93.01,0.39,1.63
18,1100  ,2006MM07,89.47,0.31,1.14,92.59,-0.46,1.79
19,1100  ,2006MM08,89.91,0.49,1.58,93.31,0.78,2.14
20,1100  ,2006MM09,90.37,0.51,2.01,93.23,-0.09,3.47
21,1100  ,2006MM10,90.58,0.23,2.36,92.47,-0.82,2.09
22,1100  ,2006MM11,90.19,-0.43,1.84,92.53,0.07,1.7
23,1100  ,2006MM12,90.34,0.17,1.92,92.62,0.09,1.57
24,1100  ,2007MM01,90.7,0.4,2.78,92.99,0.4,0.95
25,1100  ,2007MM02,90.89,0.21,2.69,93.13,0.15,0.99
26,1100  ,2007MM03,90.73,-0.18,2.18,92.96,-0.18,0.5
27,1100  ,2007MM04,91.31,0.64,2.72,93.41,0.49,0.64
28,1100  ,2007MM05,91.88,0.62,3.22,93.0,-0.45,0.37
29,1100  ,2007MM06,92.38,0.54,3.58,93.12,0.13,0.11
30,1100  ,2007MM07,94.03,1.79,5.1,93.0,-0.13,0.44
31,1100  ,2007MM08,94.6,0.61,5.22,92.84,-0.17,-0.51
32,1100  ,2007MM09,95.55,1.0,5.73,93.12,0.3,-0.12
33,1100  ,2007MM10,96.18,0.66,6.18,93.87,0.81,1.51
34,1100  ,2007MM11,96.21,0.03,6.67,95.13,1.34,2.8
35,1100  ,2007MM12,96.22,0.01,6.51,95.77,0.67,3.4
36,1100  ,2008MM01,98.04,1.89,8.09,96.67,0.94,3.96
37,1100  ,2008MM02,97.79,-0.25,7.59,97.08,0.43,4.25
38,1100  ,2008MM03,98.02,0.24,8.03,97.93,0.88,5.35
39,1100  ,2008MM04,98.54,0.53,7.92,98.44,0.51,5.38
40,1100  ,2008MM05,99.36,0.83,8.14,98.87,0.44,6.32
41,1100  ,2008MM06,100.18,0.83,8.44,99.32,0.45,6.66
42,1100  ,2008MM07,100.05,-0.13,6.4,99.58,0.27,7.09
43,1100  ,2008MM08,100.45,0.4,6.18,99.31,-0.28,6.97
44,1100  ,2008MM09,100.98,0.53,5.68,99.48,0.18,6.84
45,1100  ,2008MM10,101.22,0.24,5.24,99.76,0.28,6.28
46,1100  ,2008MM11,100.11,-1.1,4.05,99.85,0.09,4.97
47,1100  ,2008MM12,99.54,-0.57,3.45,100.29,0.44,4.72
48,1100  ,2009MM01,98.58,-0.96,0.55,100.72,0.43,4.19
49,1100  ,2009MM02,98.15,-0.44,0.37,101.34,0.62,4.38
50,1100  ,2009MM03,97.92,-0.23,-0.1,101.51,0.17,3.65
51,1100  ,2009MM04,97.38,-0.55,-1.18,101.44,-0.07,3.05
52,1100  ,2009MM05,97.25,-0.13,-2.12,100.88,-0.55,2.03
53,1100  ,2009MM06,97.28,0.03,-2.89,100.67,-0.21,1.36
54,1100  ,2009MM07,96.99,-0.3,-3.06,99.67,-0.99,0.08
55,1100  ,2009MM08,96.91,-0.08,-3.52,98.97,-0.7,-0.34
