ID,Huishoudkenmerken,Perioden,TotaleBestedingenPerHuishouden_1,TotaleBestedingenAanEnergie_2,Aardgas_3,Elektriciteit_4,Motorbrandstoffen_5,TotaalEnergie_6,Aardgas_7,Elektriciteit_8,Motorbrandstoffen_9,VerbruikGasM3_10,VerbruikElektriciteitKWh_11
111,13,1995JJ00,12255,800,350,185,170,65,29,15,14,1575,2070
112,13,1996JJ00,13520,925,465,195,190,68,35,14,14,2020,1955
113,13,1997JJ00,13300,915,395,200,220,69,30,15,17,1500,1960
114,13,1998JJ00,14135,995,410,215,280,70,29,15,20,1550,2145
115,13,1999JJ00,14750,925,395,225,240,63,27,15,16,1575,2105
116,13,2000JJ00,16135,1090,440,255,330,67,27,16,20,1590,2155
117,14,1992JJ00,11215,760,280,140,230,68,25,13,21,1160,1685
118,14,1993JJ00,11655,775,275,160,265,66,24,14,23,1265,1855
119,14,1994JJ00,12040,785,270,155,270,65,22,13,22,1190,1745
120,14,1995JJ00,12420,780,285,165,250,63,23,13,20,1290,1820
121,14,1996JJ00,13070,905,350,185,295,69,27,14,23,1530,1865
122,14,1997JJ00,13355,965,335,190,350,72,25,14,26,1290,1855
123,14,1998JJ00,13955,930,320,180,355,66,23,13,25,1235,1830
124,14,1999JJ00,14845,980,340,210,370,66,23,14,25,1360,1975
125,14,2000JJ00,14925,1060,315,220,455,71,21,15,30,1170,1855
126,15,1992JJ00,21875,1440,505,270,620,66,23,12,28,2085,3300
127,15,1993JJ00,22825,1450,475,275,655,64,21,12,29,2170,3275
128,15,1994JJ00,23195,1475,455,285,685,64,20,12,30,2015,3340
129,15,1995JJ00,23680,1485,450,295,695,63,19,12,29,2035,3380
130,15,1996JJ00,24160,1655,530,335,750,68,22,14,31,2300,3450
131,15,1997JJ00,25245,1825,505,340,930,72,20,14,37,1930,3455
132,15,1998JJ00,26435,1795,495,345,905,68,19,13,34,1865,3565
133,15,1999JJ00,27415,1785,445,370,925,65,16,13,34,1755,3475
134,15,2000JJ00,29735,2165,505,450,1170,73,17,15,39,1810,3705
135,16,1992JJ00,22975,1490,535,310,615,65,23,14,27,2210,3770
136,16,1993JJ00,24355,1495,500,310,645,61,21,13,27,2290,3695
137,16,1994JJ00,24320,1500,455,315,690,62,19,13,28,2015,3685
138,16,1995JJ00,24760,1525,470,330,695,62,19,13,28,2125,3775
139,16,1996JJ00,25400,1720,550,380,755,68,22,15,30,2390,3915
140,16,1997JJ00,26405,1865,515,380,930,71,19,14,35,1950,3880
141,16,1998JJ00,27470,1805,495,385,865,66,18,14,31,1865,4005
142,16,1999JJ00,28260,1795,455,415,890,64,16,15,31,1795,3940
143,16,2000JJ00,31165,2245,510,495,1185,72,16,16,38,1825,4115
144,17,1992JJ00,21575,1460,505,310,610,68,23,14,28,2085,3745
145,17,1993JJ00,23605,1500,470,310,685,64,20,13,29,2155,3650
146,17,1994JJ00,23755,1505,445,310,720,63,19,13,30,1965,3655
147,17,1995JJ00,24130,1550,460,325,730,64,19,14,30,2080,3705
148,17,1996JJ00,25115,1670,540,365,725,67,21,15,29,2340,3750
149,17,1997JJ00,26885,1930,510,375,1010,72,19,14,38,1945,3825
150,17,1998JJ00,28490,1905,505,380,965,67,18,13,34,1905,3910
151,17,1999JJ00,29015,1875,460,405,985,65,16,14,34,1820,3845
152,17,2000JJ00,31915,2325,515,510,1250,73,16,16,39,1830,4235
153,18,1992JJ00,26565,1570,590,330,630,59,22,12,24,2445,4020
154,18,1993JJ00,26500,1610,525,335,720,61,20,13,27,2405,3960
155,18,1994JJ00,26060,1600,465,335,760,61,18,13,29,2060,3985
156,18,1995JJ00,27070,1570,460,345,745,58,17,13,28,2080,4000
