ID,Toeristengebieden,Perioden,AlleLanden_1,Nederland_2,BuitenlandTotaal_3,EuropaExclusiefNederland_4,Duitsland_5,Belgie_6,GrootBrittannie_7,Frankrijk_8,Zwitserland_9,Italie_10,Spanje_11,Denemarken_12,Zweden_13,OverigeLandenEurozone_14,OverigEuropa_15,Amerika_16,Azie_17,AustralieEnOceanie_18,Afrika_19,AlleLanden_20,Nederland_21,BuitenlandTotaal_22,EuropaExclusiefNederland_23,Duitsland_24,Belgie_25,GrootBrittannie_26,Frankrijk_27,Zwitserland_28,Italie_29,Spanje_30,Denemarken_31,Zweden_32,OverigeLandenEurozone_33,OverigEuropa_34,Amerika_35,Azie_36,AustralieEnOceanie_37,Afrika_38
15,TR01  ,1998JJ00,953.1,738.1,215.0,212.7,186.0,14.0,3.3,1.4,1.7,1.2,,,,,4.4,1.8,,,,5302.8,3701.6,1601.1,1594.8,1504.6,55.0,8.1,3.4,6.9,2.6,,,,,12.0,4.5,,,
16,TR01  ,1999JJ00,1160.6,896.1,264.5,264.0,236.0,18.7,,,2.0,1.8,,,,,4.2,,,,,6229.5,4237.7,1991.8,1993.1,1890.5,75.6,,,8.9,2.5,,,,,12.7,,,,
17,TR01  ,2000JJ00,1088.1,877.7,210.4,206.1,178.1,15.9,3.8,1.8,1.7,,,,,,3.9,2.4,1.6,,,5395.0,3954.9,1440.1,1429.2,1327.9,62.7,10.0,5.8,7.7,,,,,,12.5,5.2,4.7,,
18,TR01  ,2001JJ00,1141.3,885.8,255.5,249.7,215.8,16.9,6.3,2.0,1.5,1.1,,,,,4.8,3.5,1.5,,,5548.2,4049.1,1499.1,1484.9,1372.5,69.5,16.0,3.6,5.6,2.0,,,,,13.3,8.6,3.6,,
19,TR01  ,2002JJ00,1118.3,879.8,238.5,234.2,198.4,23.0,3.1,1.3,1.9,1.7,1.7,,,1.7,1.1,2.6,,,,5664.5,4055.2,1609.3,1598.6,1476.8,86.6,7.2,3.2,7.7,3.3,3.5,,,6.0,3.6,6.9,,,
20,TR01  ,2003JJ00,1082.8,891.9,190.9,190.5,171.1,14.1,,,1.7,,,,,1.0,,,,,,5528.0,4189.5,1338.6,1336.4,1260.1,55.5,,,8.9,,,,,4.5,,,,,
21,TR01  ,2004JJ00,1063.6,860.0,203.6,201.8,171.8,15.2,4.0,2.5,1.8,1.4,,,,1.4,2.2,1.1,,,,5324.4,3907.2,1417.2,1412.3,1318.5,55.9,10.0,7.1,7.4,2.2,,,,5.1,3.9,3.1,,,
22,TR01  ,2005JJ00,1063.8,881.2,182.6,179.5,151.9,20.4,1.4,,1.9,1.2,,,,,,1.4,,,,4900.4,3681.1,1219.3,1212.2,1110.0,80.5,4.0,,6.7,1.5,,,,,,2.5,,,
23,TR01  ,2006JJ00,1203.9,973.7,230.2,222.8,178.5,24.1,6.4,2.5,2.5,2.0,,,,1.8,3.1,4.0,2.6,,,5146.4,3796.2,1350.1,1336.3,1209.6,82.0,12.4,5.0,8.6,3.3,,,,5.4,6.5,6.9,5.2,,
24,TR01  ,2007JJ00,1170.4,966.4,204.1,202.8,164.3,23.7,1.8,1.6,2.2,1.8,,,,1.6,4.8,,,1.0,,5255.1,3974.3,1280.7,1276.4,1133.7,97.7,6.5,6.4,9.9,4.4,,,,5.9,9.4,,,1.9,
