ID,Perioden,TotaalGezondheidsEnWelzijnszorg_1,GeneeskundigeEnLangdurigeZorg_2,WelzijnJeugdzorgEnKinderopvang_3,BeleidEnBeheer_4,TotaalFinancieringsvormen_5,Overheid_6,ZiekenfondswetZorgverzekeringswet_7,AWBZWlz_8,OverigeFinancieringsvormen_9,UitgavenPerHoofdVanDeBevolking_10,UitgavenAlsPercentageVanHetBbp_11,UitgavenGezondheidsEnWelzijnszorg_12,UitgavenGeneeskundigeLangdurigeZorg_13,UitgavenWelzijnJeugdzorgKinderopvang_14,UitgavenZorgEnWelzijnVolumeIndex_15,BevolkingInNederland_16,UitgavenZorgEnWelzPerHoofdBevolk_17
20,1992JJ00,30725,26556,2927,1242,30725,5681,7015,10432,7598,2024,11.5,33.3,33.1,35.4,52.0,89.6,37.1
21,1993JJ00,32167,27803,3086,1278,32167,5909,7331,11132,7795,2104,11.7,34.8,34.7,37.3,53.1,90.3,38.6
22,1994JJ00,33368,28743,3238,1387,33368,6113,7642,11454,8160,2169,11.5,36.1,35.9,39.1,54.3,90.8,39.8
23,1995JJ00,35148,30047,3640,1461,35148,6706,7570,12030,8842,2274,10.8,38.1,37.5,44.0,56.3,91.3,41.7
24,1996JJ00,36413,31255,3683,1476,36413,6823,10124,9055,10412,2345,10.7,39.4,39.0,44.5,57.4,91.7,43.0
25,1997JJ00,38208,32682,4011,1515,38208,4802,10888,11923,10595,2448,10.5,41.4,40.8,48.5,59.1,92.2,44.9
26,1998JJ00,39380,33875,3442,2063,39380,5481,11545,11385,10968,2507,10.0,42.7,42.3,41.6,59.2,92.7,46.0
27,1999JJ00,42394,36195,4002,2197,42394,6132,12032,12205,12025,2681,10.1,45.9,45.2,48.4,61.6,93.3,49.2
28,2000JJ00,45361,38583,4477,2301,45361,6604,12816,13202,12740,2848,10.0,49.1,48.2,54.1,63.4,94.0,52.3
29,2001JJ00,50767,43225,5055,2487,50767,7516,14414,14863,13975,3164,10.5,55.0,54.0,61.1,66.7,94.7,58.1
30,2002JJ00,56663,48745,5214,2703,56663,8060,15883,17010,15710,3509,11.3,61.4,60.8,63.0,69.9,95.3,64.4
31,2003JJ00,60888,52582,5513,2793,60888,8380,16942,18679,16888,3753,11.9,66.0,65.6,66.6,72.8,95.8,68.9
32,2004JJ00,63003,54700,5463,2840,63003,8136,17045,19388,18434,3870,11.9,68.2,68.3,66.0,75.1,96.1,71.0
33,2005JJ00,65424,56571,5592,3261,65424,8934,17533,20169,18788,4009,11.9,70.9,70.6,67.6,77.6,96.3,73.6
34,2006JJ00,68495,59152,5827,3516,68495,9327,26546,21425,11197,4190,11.7,74.2,73.8,70.4,79.6,96.5,76.9
35,2007JJ00,72713,62404,6618,3691,72713,12519,27651,21450,11093,4439,11.7,78.8,77.9,80.0,83.8,96.7,81.4
36,2008JJ00,77705,66592,7533,3579,77705,13639,31240,20231,12594,4725,12.0,84.2,83.1,91.0,87.4,97.1,86.7
37,2009JJ00,82298,70213,8417,3668,82298,14974,32947,21509,12869,4979,13.2,89.1,87.6,101.7,91.9,97.6,91.4
38,2010JJ00,85790,73402,8705,3683,85790,15393,34481,22522,13394,5163,13.4,92.9,91.6,105.2,94.9,98.1,94.7
39,2011JJ00,88125,75593,8670,3862,88125,15260,35112,23275,14479,5279,13.6,95.5,94.4,104.8,99.0,98.5,96.9
40,2012JJ00,90622,78309,8552,3761,90622,14674,34735,25590,15624,5409,13.9,98.2,97.7,103.3,99.6,98.9,99.2
41,2013JJ00,90954,78957,8162,3836,90954,13078,36348,24968,16560,5413,13.8,98.5,98.6,98.6,100.3,99.2,99.3
42,2014JJ00,91927,80116,7866,3945,91927,12944,37166,25194,16623,5451,13.7,99.6,100.0,95.0,100.8,99.6,100.0
43,2015JJ00,92323,80118,8276,3929,92323,17159,40718,17887,16560,5450,13.4,100.0,100.0,100.0,100.0,100.0,100.0
44,2016JJ00,94842,82021,8920,3902,94842,17935,41732,18145,17030,5569,13.4,102.7,102.4,107.8,102.8,100.5,102.2
45,2017JJ00,96972,83932,9147,3894,96972,18478,42894,18612,16988,5661,13.1,105.0,104.8,110.5,104.9,101.1,103.9
46,2018JJ00,101031,87334,9692,4005,101031,19647,44501,19562,17321,5863,13.1,109.4,109.0,117.1,107.2,101.7,107.6
47,2019JJ00,107429,92804,10385,4240,107429,21082,46773,21758,17815,6194,13.2,116.4,115.8,125.5,110.6,102.4,113.7
48,2020JJ00,116384,100538,11146,4700,116384,27366,48256,23912,16849,6673,14.6,126.1,125.5,134.7,109.7,103.0,122.4
49,2021JJ00,124794,107943,11998,4853,124794,30357,50013,26171,18253,7118,14.3,135.2,134.7,145.0,119.1,103.5,130.6
50,2022JJ00,127306,108279,14027,5000,127306,28007,51789,27865,19644,7192,13.3,137.9,135.2,169.5,119.6,104.5,132.0
