ID,BedrijfstakkenBranchesSBI2008,GebruikOpenbareWifi_1,ZakelijkEnPriveGebruikVanApparaten_2,AantalGewerkteUren_3,Omzetaandeel50VanEenOpdrachtgever_4,GebruikICTVoorzieningOpdrachtgever_5,EenOpdrachtgever_6,TweeOpdrachtgevers_7,DrieOfMeerOpdrachtgevers_8,MinderDan10VanDeTijd_9,k_10Tot50VanDeTijd_10,k_50Tot90VanDeTijd_11,TenMinste90VanDeTijd_12,DoorExterneLeverancierUitgevoerd_13,ZelfUitgevoerd_14,DoorExterneLeverancierZelfUitgevoerd_15,OnbekendOfNVT_16,ClouddienstenGebruikt_17,EMail_18,OfficeSoftware_19,OpslagDatabases_20,BestandenOpslaan_21,BoekhoudingSoftware_22,ERPSoftware_23,KlantbeheerSoftware_24,Veiligheidssoftware_25,Rekenkracht_26,Rekenplatform_27,BestandenOfDatabasesOpslag_28,Antivirussoftware_29,BeleidVoorSterkeWachtwoorden_30,BiometrischeMethoden_31,AuthenticatieViaSoftOfHardwaretoken_32,EncryptieVanData_33,GegevensOpAndereFysiekeLocatie_34,NetworkAccessControl_35,VPNInternetgebruikBuitenHetBedrijf_36,LogbestandenVoorAnalyseIncidenten_37,MethodesVoorBeoordelenICTVeiligheid_38,Risicoanalyses_39,ICTVeiligheidVolgEnDetectiesysteem_40,IncidentMetInterneOorzaakGehad_41,IncidentDoorAanvalVanBuitenGehad_42,UitvalICTDienstDoorVeiligheidsinc_43,VernietigingDataDoorVeiligheidsinc_44,OnthullingDoorInternIncident_45,UitvalICTDienstDoorAanvalBuitenaf_46,VernietigingDataAanvalVanBuitenaf_47,OnthullingGegevensDoorICTInbraak_48,KostenIncidentInternGehad_49,KostenIncidentAanvalBuitenafGehad_50,UitvalICTDienstDoorVeiligheidsinc_51,VernietigingDataDoorVeiligheidsinc_52,OnthullingDoorInternIncident_53,UitvalICTDienstDoorAanvalBuitenaf_54,VernietigingDataAanvalBuitenaf_55,OnthullingDoorICTInbraak_56,Kosten1VanDeTotaleOmzet_57,Kosten1Tot2VanDeTotaleOmzet_58,Kosten2Tot5VanDeTotaleOmzet_59,Kosten5Tot10VanDeTotaleOmzet_60,Kosten10Tot50VanDeTotaleOmzet_61,Kosten50VanDeTotaleOmzet_62,Kosten1VanDeTotaleOmzet_63,Kosten1Tot2VanDeTotaleOmzet_64,Kosten2Tot5VanDeTotaleOmzet_65,Kosten5Tot10VanDeTotaleOmzet_66,Kosten10Tot50VanDeTotaleOmzet_67,Kosten50VanDeTotaleOmzet_68,RansomwareAanvalGehad_69,LosgeldBetaald_70,BetalingLosgeldZinvol_71,AndereKostenRansomwareAanvalGehad_72,k_1VanDeTotaleOmzet_73,k_1Tot2VanDeTotaleOmzet_74,k_2Tot5VanDeTotaleOmzet_75,k_5Tot10VanDeTotaleOmzet_76,k_10Tot50VanDeTotaleOmzet_77,k_50VanDeTotaleOmzet_78,Kosten1VanDeTotaleOmzet_79,Kosten1Tot2VanDeTotaleOmzet_80,Kosten2Tot5VanDeTotaleOmzet_81,Kosten5Tot10VanDeTotaleOmzet_82,Kosten10Tot50VanDeTotaleOmzet_83,Kosten50VanDeTotaleOmzet_84,Politie_85,Cybersecurity_86,VerzekeringICTVeiligheidsincidenten_87,GezochtNaarMeldingenCyberdreigingen_88,BekendMetDTC_89,DTCWebsiteAlsBronGebruikt_90
10,300023,12.0,71.0,33.0,22.0,6.0,11.0,7.0,82.0,97.0,2.0,0.0,0.0,7.0,30.0,1.0,62.0,19.0,12.0,10.0,9.0,15.0,10.0,1.0,2.0,7.0,1.0,1.0,15.0,83.0,71.0,34.0,40.0,19.0,54.0,15.0,17.0,8.0,7.0,8.0,3.0,2.0,4.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,4.0,2.0,0.0
11,900008,14.0,71.0,37.0,25.0,6.0,8.0,11.0,81.0,98.0,2.0,0.0,0.0,3.0,33.0,0.0,63.0,13.0,6.0,6.0,8.0,6.0,10.0,0.0,2.0,3.0,2.0,2.0,8.0,71.0,67.0,25.0,35.0,21.0,43.0,16.0,17.0,14.0,6.0,10.0,8.0,6.0,10.0,5.0,6.0,3.0,5.0,6.0,5.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,3.0,6.0,5.0,2.0
12,351900,14.0,73.0,38.0,38.0,8.0,8.0,13.0,79.0,97.0,0.0,3.0,0.0,5.0,22.0,3.0,70.0,27.0,17.0,9.0,10.0,16.0,13.0,0.0,5.0,6.0,1.0,1.0,17.0,74.0,64.0,38.0,43.0,23.0,51.0,19.0,14.0,12.0,12.0,12.0,13.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,5.0,6.0,6.0,0.0
13,354300,13.0,53.0,38.0,21.0,13.0,17.0,4.0,79.0,98.0,0.0,0.0,2.0,6.0,38.0,2.0,55.0,30.0,15.0,6.0,9.0,11.0,19.0,2.0,2.0,6.0,2.0,2.0,15.0,79.0,70.0,26.0,36.0,21.0,55.0,11.0,11.0,8.0,11.0,11.0,6.0,6.0,4.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,0.0
14,356900,13.0,70.0,33.0,18.0,15.0,16.0,10.0,74.0,87.0,11.0,2.0,0.0,15.0,26.0,3.0,56.0,33.0,16.0,16.0,18.0,26.0,18.0,3.0,10.0,13.0,0.0,0.0,26.0,85.0,66.0,30.0,38.0,25.0,59.0,15.0,18.0,18.0,11.0,10.0,7.0,3.0,5.0,3.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,3.0,8.0,2.0
15,371600,16.0,72.0,28.0,12.0,13.0,29.0,7.0,64.0,92.0,5.0,1.0,1.0,7.0,34.0,1.0,58.0,21.0,16.0,12.0,11.0,12.0,13.0,0.0,8.0,8.0,3.0,3.0,17.0,87.0,72.0,32.0,50.0,22.0,57.0,22.0,18.0,24.0,16.0,22.0,11.0,5.0,7.0,5.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,4.0,8.0,7.0,0.0
16,389200,23.0,89.0,26.0,8.0,19.0,45.0,5.0,50.0,94.0,5.0,0.0,1.0,13.0,33.0,0.0,54.0,16.0,14.0,8.0,6.0,10.0,8.0,1.0,4.0,7.0,0.0,0.0,12.0,82.0,60.0,28.0,39.0,21.0,52.0,16.0,19.0,9.0,8.0,5.0,7.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,2.0,7.0,3.0
17,390500,21.0,73.0,31.0,28.0,13.0,27.0,8.0,64.0,96.0,1.0,2.0,0.0,5.0,27.0,2.0,65.0,13.0,7.0,7.0,8.0,10.0,7.0,0.0,1.0,6.0,0.0,0.0,10.0,73.0,55.0,35.0,40.0,19.0,48.0,18.0,11.0,7.0,7.0,7.0,6.0,1.0,6.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,2.0,2.0,0.0
18,391705,31.0,75.0,30.0,27.0,29.0,10.0,11.0,80.0,85.0,6.0,8.0,2.0,5.0,44.0,5.0,46.0,49.0,30.0,25.0,25.0,40.0,18.0,3.0,4.0,10.0,8.0,7.0,45.0,56.0,69.0,55.0,64.0,41.0,81.0,22.0,19.0,17.0,10.0,15.0,9.0,7.0,5.0,7.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3.0,7.0,4.0,0.0
19,394100,21.0,64.0,36.0,39.0,45.0,29.0,5.0,67.0,74.0,19.0,5.0,2.0,5.0,69.0,5.0,21.0,60.0,31.0,21.0,40.0,38.0,29.0,5.0,19.0,24.0,7.0,12.0,48.0,81.0,83.0,50.0,69.0,52.0,88.0,45.0,48.0,48.0,21.0,38.0,29.0,14.0,7.0,12.0,2.0,0.0,5.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,7.0,24.0,19.0,2.0
