ID,Perioden,LengteLeidingnet_1,AantalVerbruiksmeters_2,Ondergronds_3,Bovengronds_4,Ondergronds_5,Bovengronds_6,AantalAansluitingen_7
0,1930JJ00,,,14456.0,1334.0,11723.0,12216.0,1408.0
1,1935JJ00,,1205.0,17540.0,1413.0,15131.0,13416.0,1731.0
2,1936JJ00,,1210.0,17793.0,1387.0,15595.0,13445.0,1772.0
3,1937JJ00,,1227.0,18166.0,1389.0,16104.0,13663.0,1814.0
4,1938JJ00,,1323.0,18751.0,1396.0,18426.0,16168.0,1861.0
5,1939JJ00,,1350.0,19333.0,1440.0,18919.0,16484.0,1923.0
6,1940JJ00,,1358.0,19702.0,1525.0,19329.0,16770.0,1956.0
7,1941JJ00,11746.0,1422.0,20080.0,1526.0,19701.0,17054.0,2007.0
8,1942JJ00,11812.0,1445.0,20481.0,1586.0,19760.0,17252.0,2026.0
9,1943JJ00,11878.0,1437.0,,,,,
10,1944JJ00,11861.0,1423.0,,,,,
11,1945JJ00,11893.0,1410.0,,,,,
12,1946JJ00,12022.0,1438.0,21649.0,1743.0,19757.0,17679.0,2078.0
13,1947JJ00,12569.0,1445.0,22289.0,1706.0,20501.0,17757.0,2114.0
14,1948JJ00,12723.0,1481.0,23028.0,1679.0,21327.0,17854.0,2169.0
15,1949JJ00,13215.0,1554.0,23886.0,1874.0,22371.0,18200.0,2231.0
16,1950JJ00,13773.0,1599.0,24925.0,1964.0,24079.0,18683.0,2315.0
17,1951JJ00,14261.0,1656.0,26118.0,2121.0,25055.0,19136.0,2399.0
18,1952JJ00,14747.0,1703.0,27057.0,2265.0,26026.0,19359.0,2470.0
19,1953JJ00,15074.0,1751.0,27872.0,2382.0,27296.0,19803.0,2540.0
20,1954JJ00,15773.0,1804.0,28790.0,2424.0,28985.0,20609.0,2618.0
21,1955JJ00,16377.0,1852.0,29774.0,2454.0,30897.0,21237.0,2693.0
22,1956JJ00,17194.0,1908.0,31065.0,2406.0,32640.0,21521.0,2773.0
23,1957JJ00,18061.0,1975.0,32315.0,2408.0,35324.0,22331.0,2867.0
24,1958JJ00,18737.0,2048.0,33728.0,2509.0,36964.0,22815.0,2964.0
25,1959JJ00,19541.0,2109.0,33115.0,2485.0,39310.0,23490.0,3058.0
26,1960JJ00,20624.0,2175.0,36761.0,2435.0,41500.0,23378.0,3145.0
27,1961JJ00,21470.0,2243.0,38328.0,2478.0,43584.0,23360.0,3232.0
28,1962JJ00,22364.0,2294.0,40203.0,2531.0,45764.0,23128.0,3314.0
29,1963JJ00,23586.0,2366.0,42197.0,2508.0,48129.0,22891.0,3392.0
30,1964JJ00,25290.0,2448.0,44433.0,2618.0,51116.0,22803.0,3490.0
31,1965JJ00,27353.0,2550.0,46577.0,2749.0,54254.0,22463.0,3593.0
32,1966JJ00,29747.0,2668.0,49319.0,2908.0,57284.0,21887.0,3712.0
33,1967JJ00,32990.0,2806.0,51239.0,2975.0,60571.0,21495.0,3827.0
34,1968JJ00,37386.0,2937.0,53278.0,3118.0,63692.0,20896.0,3935.0
35,1969JJ00,42384.0,3129.0,55656.0,3439.0,65643.0,20234.0,4037.0
36,1970JJ00,46948.0,3350.0,58262.0,3720.0,67259.0,19550.0,4151.0
37,1971JJ00,52459.0,3510.0,61307.0,3702.0,69651.0,19515.0,4279.0
38,1972JJ00,57654.0,3689.0,64711.0,3816.0,74665.0,18705.0,4415.0
39,1973JJ00,62772.0,3858.0,68048.0,3988.0,78696.0,17832.0,4561.0
40,1974JJ00,66285.0,4019.0,70303.0,4770.0,82916.0,16762.0,4689.0
41,1975JJ00,69143.0,4156.0,72995.0,4485.0,92669.0,15441.0,4789.0
42,1976JJ00,72004.0,4279.0,75499.0,4423.0,91713.0,14068.0,4891.0
43,1977JJ00,74346.0,4386.0,78105.0,4494.0,92759.0,11987.0,5025.0
44,1978JJ00,76768.0,4505.0,80058.0,4489.0,96757.0,10303.0,5129.0
45,1979JJ00,78272.0,4597.0,81700.0,4622.0,99375.0,9134.0,5226.0
46,1980JJ00,80831.0,4705.0,83955.0,4658.0,102994.0,7829.0,5322.0
47,1981JJ00,82785.0,4813.0,85303.0,4661.0,105961.0,6731.0,5415.0
48,1982JJ00,84241.0,4846.0,86846.0,4625.0,109766.0,5755.0,5525.0
49,1983JJ00,86741.0,5042.0,86924.0,4511.0,112136.0,5007.0,5633.0
50,1984JJ00,89153.0,5137.0,87784.0,4455.0,114032.0,4311.0,5748.0
51,1985JJ00,91646.0,5252.0,87988.0,4218.0,115849.0,3743.0,5857.0
52,1986JJ00,93616.0,5379.0,88884.0,4241.0,117829.0,3218.0,5971.0
53,1987JJ00,96065.0,5510.0,89401.0,4219.0,119754.0,2549.0,6083.0
54,1988JJ00,98503.0,5591.0,90594.0,4242.0,123552.0,2102.0,6194.0
55,1989JJ00,99000.0,5701.0,91954.0,4324.0,125939.0,1757.0,6309.0
56,1990JJ00,99689.0,5791.0,91890.0,4211.0,128173.0,1406.0,6389.0
57,1991JJ00,101131.0,5878.0,92151.0,4271.0,130636.0,1115.0,6497.0
58,1992JJ00,103120.0,5947.0,93040.0,4247.0,128831.0,1016.0,6582.0
59,1993JJ00,,6033.0,,,,,6676.0
60,1994JJ00,,6116.0,,,,,6772.0
61,1995JJ00,,6193.0,,,,,6866.0
62,1996JJ00,,6294.0,,,,,6959.0
63,1997JJ00,,6566.0,,,,,7038.0
64,1998JJ00,,6651.0,,,,,7134.0
