ID,AreasOfCivilEngineeringWorks,Periods,InputPriceIndex_1,ChangesComparedWithOneYearEarlier_2
0,A048147,1979MM02,,
1,A048147,1979MM08,,
2,A048147,1980MM02,,
3,A048147,1980MM08,,
4,A048147,1981MM02,,
5,A048147,1981MM08,,
6,A048147,1982MM02,,
7,A048147,1982MM08,,
8,A048147,1983MM02,,
9,A048147,1983MM08,,
10,A048147,1984MM02,,
11,A048147,1984MM08,,
12,A048147,1985MM02,,
13,A048147,1985MM08,,
14,A048147,1986MM02,,
15,A048147,1986MM08,,
16,A048147,1987MM02,,
17,A048147,1987MM08,,
18,A048147,1988MM02,,
19,A048147,1988MM08,,
20,A048147,1989MM02,,
21,A048147,1989MM08,,
22,A048147,1990MM02,,
23,A048147,1990MM08,,
24,A048147,1991MM02,,
25,A048147,1991MM08,,
26,A048147,1992MM02,,
27,A048147,1992MM08,,
28,A048147,1993MM02,,
29,A048147,1993MM08,,
30,A048147,1994MM02,,
31,A048147,1994MM08,,
32,A048147,1995MM02,,
33,A048147,1995MM08,,
34,A048147,1996MM02,,
35,A048147,1996MM08,,
36,A048147,1997MM02,,
37,A048147,1997MM08,,
38,A048147,1998MM01,,
39,A048147,1998MM04,,
40,A048147,1998MM07,,
41,A048147,1998MM10,,
42,A048147,1999MM01,,
43,A048147,1999MM04,,
44,A048147,1999MM07,,
45,A048147,1999MM10,,
46,A048147,2000MM01,97.8,
47,A048147,2000MM04,99.6,
48,A048147,2000MM07,100.8,
49,A048147,2000MM10,101.9,
50,A048147,2001MM01,102.5,4.8
51,A048147,2001MM04,103.3,3.7
52,A048147,2001MM07,103.5,2.7
53,A048147,2001MM10,103.3,1.4
54,A048147,2002MM01,104.3,1.8
55,A048147,2002MM04,105.5,2.1
56,A048147,2002MM07,105.8,2.2
57,A048147,2002MM10,106.7,3.3
58,A048147,2003MM01,106.3,1.9
59,A048147,2003MM04,106.2,0.7
60,A048147,2003MM07,105.6,-0.2
61,A048147,2003MM10,106.2,-0.5
62,A048147,2004MM01,107.2,0.8
63,A048147,2004MM04,108.3,2.0
64,A048147,2004MM07,109.7,3.9
65,A048147,2004MM10,110.9,4.4
66,A048147,2005MM01,110.7,3.3
67,A048147,2005MM04,111.0,2.5
68,A048147,2005MM07,112.4,2.5
69,A048147,2005MM10,115.2,3.9
70,A048147,2006MM01,117.1,5.8
71,A048147,2006MM04,120.9,8.9
72,A048147,2006MM07,125.1,11.3
73,A048147,2006MM10,125.3,8.8
74,A048147,2007MM01,125.1,6.8
75,A048147,2007MM04,128.3,6.1
76,A048147,2007MM07,130.3,4.2
77,A048147,2007MM10,131.1,4.6
78,A048147,2008MM01,133.9,7.0
79,A048147,2008MM04,137.2,6.9
80,A048147,2008MM07,143.8,10.4
81,A048147,2008MM10,141.2,7.7
82,A048147,2009MM01,133.0,-0.7
83,A048147,2009MM04,132.2,-3.6
84,A048147,2009MM07,134.1,-6.7
85,A048147,2009MM10,135.2,-4.2
86,A048147,2010MM01,136.8,2.9
87,A048147,2010MM04,139.7,5.7
88,A048147,2010MM07,140.1,4.5
89,A048147,2010MM10,140.9,4.2
90,A048147,2011MM01,143.7,5.0
91,A048147,2011MM04,146.0,4.5
92,A048147,2011MM07,146.2,4.4
93,A048147,2011MM10,146.3,3.8
94,A048147,2012MM01,148.2,3.1
95,A048147,2012MM04,149.6,2.5
96,A048147,2012MM07,149.8,2.5
97,A048147,2012MM10,150.7,3.0
98,A048147,2013MM01,150.7,1.7
99,A048147,2013MM04,149.8,0.1
100,A048147,2013MM07,149.9,0.1
101,A048147,2013MM10,149.6,-0.7
102,A048147,2014MM01,150.3,-0.3
103,A048147,2014MM04,149.7,-0.1
104,A048147,2014MM07,150.0,0.1
105,A048147,2014MM10,150.1,0.3
106,A048147,2015MM01,146.3,-2.7
107,A048147,2015MM04,147.8,-1.3
108,A048147,2015MM07,148.4,-1.1
109,A048147,2015MM10,146.3,-2.5
110,A048147,2016MM01,143.9,-1.6
111,A048147,2016MM04,144.5,-2.2
112,A048147,2016MM07,147.6,-0.5
113,A048147,2016MM10,148.6,1.6
114,A048147,2017MM01,151.3,5.1
115,A048147,2017MM04,151.0,4.5
116,A048147,2017MM07,149.5,1.3
117,A048147,2017MM10,150.9,1.5
118,A048147,2018MM01,154.2,1.9
119,A048147,2018MM04,153.5,1.7
120,A048147,2018MM07,157.1,5.1
121,A048147,2018MM10,160.0,6.0
122,A048147,2019MM01,157.4,2.1
123,A048147,2019MM04,160.0,4.3
124,A048147,2019MM07,161.4,2.7
125,A048147,2019MM10,160.4,0.3
126,A048147,2020MM01,162.5,3.3
