ID,Persoonskenmerken,Perioden,PersonenInDeLeeftijd50Tot65Jaar_1,PersonenMetVUTPrePensioen_2,PersonenZonderVUTPrePensioen_3
0,  1100,2006JJ00,3115.0,414.0,2701.0
1,  1100,2007JJ00,3175.0,434.0,2741.0
2,  1100,2008JJ00,3230.0,421.0,2809.0
3,  1100,2009JJ00,3280.0,397.0,2882.0
4,  1100,2010JJ00,3331.0,405.0,2926.0
5,  1100,2011JJ00,3359.0,379.0,2979.0
6, 15400,2006JJ00,1567.0,286.0,1281.0
7, 15400,2007JJ00,1596.0,282.0,1314.0
8, 15400,2008JJ00,1622.0,276.0,1346.0
9, 15400,2009JJ00,1645.0,259.0,1386.0
10, 15400,2010JJ00,1669.0,262.0,1407.0
11, 15400,2011JJ00,1682.0,244.0,1438.0
12, 15450,2006JJ00,1548.0,128.0,1420.0
13, 15450,2007JJ00,1579.0,152.0,1428.0
14, 15450,2008JJ00,1608.0,146.0,1463.0
15, 15450,2009JJ00,1634.0,138.0,1496.0
16, 15450,2010JJ00,1662.0,142.0,1519.0
17, 15450,2011JJ00,1677.0,135.0,1542.0
18, 16250,2006JJ00,1118.0,13.0,1105.0
19, 16250,2007JJ00,1129.0,14.0,1114.0
20, 16250,2008JJ00,1141.0,16.0,1126.0
21, 16250,2009JJ00,1159.0,11.0,1148.0
22, 16250,2010JJ00,1177.0,17.0,1160.0
23, 16250,2011JJ00,1195.0,15.0,1180.0
24, 16300,2006JJ00,1122.0,91.0,1031.0
25, 16300,2007JJ00,1093.0,74.0,1019.0
26, 16300,2008JJ00,1078.0,60.0,1017.0
27, 16300,2009JJ00,1073.0,47.0,1026.0
28, 16300,2010JJ00,1077.0,42.0,1035.0
29, 16300,2011JJ00,1087.0,31.0,1056.0
30, 16350,2006JJ00,876.0,311.0,565.0
31, 16350,2007JJ00,954.0,346.0,608.0
32, 16350,2008JJ00,1011.0,346.0,666.0
33, 16350,2009JJ00,1048.0,339.0,708.0
34, 16350,2010JJ00,1078.0,346.0,731.0
35, 16350,2011JJ00,1077.0,333.0,744.0
36, 18700,2006JJ00,1215.0,132.0,1083.0
37, 18700,2007JJ00,1161.0,127.0,1034.0
38, 18700,2008JJ00,1231.0,136.0,1095.0
39, 18700,2009JJ00,1194.0,112.0,1082.0
40, 18700,2010JJ00,1172.0,123.0,1049.0
41, 18700,2011JJ00,1183.0,122.0,1061.0
42, 18740,2006JJ00,1127.0,158.0,969.0
43, 18740,2007JJ00,1176.0,169.0,1007.0
44, 18740,2008JJ00,1158.0,165.0,993.0
45, 18740,2009JJ00,1205.0,163.0,1041.0
46, 18740,2010JJ00,1216.0,153.0,1063.0
47, 18740,2011JJ00,1221.0,146.0,1074.0
48, 18790,2006JJ00,750.0,122.0,628.0
49, 18790,2007JJ00,817.0,137.0,680.0
50, 18790,2008JJ00,834.0,120.0,714.0
51, 18790,2009JJ00,869.0,121.0,748.0
52, 18790,2010JJ00,927.0,128.0,799.0
53, 18790,2011JJ00,932.0,108.0,824.0
54, 18820,2006JJ00,23.0,,
55, 18820,2007JJ00,21.0,,
56, 18820,2008JJ00,8.0,,
57, 18820,2009JJ00,12.0,,
58, 18820,2010JJ00,16.0,,
59, 18820,2011JJ00,23.0,,
60, 12600,2006JJ00,2642.0,363.0,2279.0
61, 12600,2007JJ00,2676.0,383.0,2293.0
62, 12600,2008JJ00,2740.0,375.0,2365.0
63, 12600,2009JJ00,2755.0,351.0,2404.0
64, 12600,2010JJ00,2801.0,352.0,2450.0
65, 12600,2011JJ00,2787.0,324.0,2462.0
66, 12650,2006JJ00,322.0,40.0,281.0
67, 12650,2007JJ00,329.0,39.0,290.0
68, 12650,2008JJ00,320.0,38.0,282.0
69, 12650,2009JJ00,337.0,37.0,300.0
70, 12650,2010JJ00,350.0,45.0,305.0
71, 12650,2011JJ00,360.0,42.0,318.0
72, 13000,2006JJ00,152.0,11.0,141.0
73, 13000,2007JJ00,170.0,12.0,158.0
74, 13000,2008JJ00,170.0,9.0,162.0
75, 13000,2009JJ00,188.0,10.0,178.0
76, 13000,2010JJ00,179.0,8.0,171.0
77, 13000,2011JJ00,211.0,13.0,198.0
78, 13355,2006JJ00,,,
79, 13355,2007JJ00,,,
80, 13355,2008JJ00,,,
81, 13355,2009JJ00,,,
82, 13355,2010JJ00,,,
83, 13355,2011JJ00,,,
84, 21590,2006JJ00,505.0,83.0,423.0
85, 21590,2007JJ00,526.0,90.0,436.0
86, 21590,2008JJ00,515.0,73.0,442.0
87, 21590,2009JJ00,542.0,80.0,462.0
88, 21590,2010JJ00,563.0,81.0,482.0
89, 21590,2011JJ00,590.0,74.0,516.0
90, 21600,2006JJ00,108.0,8.0,100.0
91, 21600,2007JJ00,113.0,7.0,106.0
92, 21600,2008JJ00,117.0,11.0,106.0
93, 21600,2009JJ00,125.0,9.0,115.0
94, 21600,2010JJ00,116.0,9.0,107.0
95, 21600,2011JJ00,133.0,7.0,126.0
96, 21610,2006JJ00,854.0,39.0,815.0
97, 21610,2007JJ00,898.0,42.0,855.0
98, 21610,2008JJ00,910.0,40.0,870.0
99, 21610,2009JJ00,926.0,29.0,896.0
100, 21610,2010JJ00,971.0,37.0,933.0
101, 21610,2011JJ00,1010.0,37.0,973.0
102, 21620,2006JJ00,1617.0,280.0,1337.0
103, 21620,2007JJ00,1608.0,293.0,1315.0
104, 21620,2008JJ00,1655.0,294.0,1361.0
105, 21620,2009JJ00,1654.0,274.0,1379.0
106, 21620,2010JJ00,1650.0,276.0,1374.0
107, 21620,2011JJ00,1591.0,258.0,1333.0
108, 21650,2006JJ00,31.0,4.0,27.0
109, 21650,2007JJ00,31.0,2.0,29.0
110, 21650,2008JJ00,33.0,3.0,30.0
111, 21650,2009JJ00,34.0,4.0,30.0
