ID,SBI93,Perioden,Winning_1,EnergieAanvoer_2,EnergieAflevering_3,AanvoerMinusAflevering_4,Voorraadmutatie_5,Verbruikssaldo_6,TotaalInzet_7,InzetElektriciteitWKKOmzetting_8,InzetAndereOmzetting_9,TotaalProductie_10,ProductieElektriciteitWKKOmzetting_11,ProductieAndereOmzetting_12,TotaalSaldoEnergieomzetting_13,SaldoElektriciteitWKKOmzetting_14,SaldoAndereOmzetting_15,TotaalFinaalVerbruik_16,FinaalEnergieverbruik_17,NietEnergetischGebruik_18
505,3.1.19,2000KW02,0.0,1.1,0.0,1.1,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,1.1
506,3.1.19,2000KW03,0.0,1.7,0.0,1.7,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,1.7
507,3.1.19,2000KW04,0.1,2.4,0.0,2.4,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.1,2.4
508,3.1.19,2000JJ00,0.2,6.6,0.0,6.6,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.2,6.6
509,3.1.19,2001KW01,0.1,1.0,0.0,1.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.1,1.0
510,3.1.19,2001KW02,0.1,1.2,0.0,1.2,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.1,1.2
511,3.1.19,2001KW03,0.1,1.1,0.0,1.1,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.1,1.1
512,3.1.19,2001KW04,0.1,1.1,0.0,1.1,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.1,1.1
513,3.1.19,2001JJ00,0.4,4.4,0.0,4.4,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.4,4.4
514,3.1.19,2002KW01,0.1,1.1,0.0,1.1,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.1,1.1
515,3.1.19,2002KW02,0.1,1.4,0.0,1.4,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.1,1.4
516,3.1.19,2002KW03,0.1,1.1,0.0,1.1,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.1,1.1
517,3.1.19,2002KW04,0.1,1.7,0.0,1.7,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.1,1.7
518,3.1.19,2002JJ00,0.4,5.3,0.0,5.3,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.4,5.3
519,3.1.19,2003KW01,0.1,2.0,0.0,2.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.1,2.0
520,3.1.19,2003KW02,0.1,0.7,0.0,0.7,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.7
521,3.1.19,2003KW03,0.1,0.6,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.6
522,3.2   ,2000KW01,0.0,116.0,0.0,116.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,115.2,0.8
523,3.2   ,2000KW02,0.0,118.1,0.0,118.1,0.0,118.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.1,117.4,0.8
524,3.2   ,2000KW03,0.0,110.0,0.0,110.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,109.2,0.8
525,3.2   ,2000KW04,0.0,118.4,0.0,118.4,0.0,118.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.4,117.6,0.8
526,3.2   ,2000JJ00,0.0,462.5,0.0,462.5,0.0,462.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.5,459.4,3.2
527,3.2   ,2001KW01,0.0,113.6,0.0,113.6,0.0,113.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.6,112.8,0.8
528,3.2   ,2001KW02,0.0,119.0,0.0,119.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,118.3,0.7
529,3.2   ,2001KW03,0.0,111.5,0.0,111.5,0.0,111.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.5,110.7,0.7
530,3.2   ,2001KW04,0.0,123.2,0.0,123.2,0.0,123.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.2,122.5,0.8
531,3.2   ,2001JJ00,0.0,467.3,0.0,467.3,0.0,467.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.3,464.3,3.0
532,3.2   ,2002KW01,0.0,116.0,0.0,116.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,115.1,0.9
533,3.2   ,2002KW02,0.0,119.8,0.0,119.8,0.0,119.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.8,118.9,0.9
