ID,EconomicActivityAndOtherItems,Periods,OutputBasicPrices_1,IntermediateConsumption_2,GrossValueAddedBasicPrices_3,OutputBasicPrices_4,IntermediateConsumption_5,GrossValueAddedBasicPrices_6,OutputBasicPrices_7,IntermediateConsumption_8,GrossValueAddedBasicPrices_9,OutputBasicPrices_10,IntermediateConsumption_11,GrossValueAddedBasicPrices_12,TotalCompensationOfEmployees_13,WagesAndSalaries_14,EmployersSocialContributions_15,NetOperatingSurplusMixedIncome_16,ConsumptionOfFixedCapital_17,OtherTaxesLessSubsidies_18,OtherTaxesOnProduction_19,OtherSubsidiesOnProd_20,GrossValueAddedBasicPrices_21
3123,395005,2012JJ00,19352.0,8636.0,10716.0,18435.0,7839.0,10600.0,-0.5,-1.0,-0.1,105.0,110.2,101.1,9358.0,7343.0,2015.0,,,-18.0,10.0,28.0,10716.0
3124,395000,1969JJ00,,,,,,,,,,,,,,,,,,,,,
3125,395000,1970JJ00,,,,,,,,,,,,,,,,,,,,,
3126,395000,1971JJ00,,,,,,,,,,,,,,,,,,,,,
3127,395000,1972JJ00,,,,,,,,,,,,,,,,,,,,,
3128,395000,1973JJ00,,,,,,,,,,,,,,,,,,,,,
3129,395000,1974JJ00,,,,,,,,,,,,,,,,,,,,,
3130,395000,1975JJ00,,,,,,,,,,,,,,,,,,,,,
3131,395000,1976JJ00,,,,,,,,,,,,,,,,,,,,,
3132,395000,1977JJ00,,,,,,,,,,,,,,,,,,,,,
3133,395000,1978JJ00,,,,,,,,,,,,,,,,,,,,,
3134,395000,1979JJ00,,,,,,,,,,,,,,,,,,,,,
3135,395000,1980JJ00,,,,,,,,,,,,,,,,,,,,,
3136,395000,1981JJ00,,,,,,,,,,,,,,,,,,,,,
3137,395000,1982JJ00,,,,,,,,,,,,,,,,,,,,,
3138,395000,1983JJ00,,,,,,,,,,,,,,,,,,,,,
3139,395000,1984JJ00,,,,,,,,,,,,,,,,,,,,,
3140,395000,1985JJ00,,,,,,,,,,,,,,,,,,,,,
3141,395000,1986JJ00,,,,,,,,,,,,,,,,,,,,,
3142,395000,1987JJ00,,,,,,,,,,,,,,,,,,,,,
3143,395000,1988JJ00,2042.0,926.0,1116.0,2611.0,1355.0,1289.0,,,,78.2,68.4,86.6,851.0,713.0,138.0,,,2.0,5.0,3.0,1116.0
3144,395000,1989JJ00,2282.0,1003.0,1279.0,2968.0,1460.0,1528.0,13.7,7.8,18.5,76.9,68.7,83.7,963.0,821.0,142.0,,,4.0,6.0,2.0,1279.0
3145,395000,1990JJ00,2647.0,1117.0,1530.0,3411.0,1600.0,1821.0,14.9,9.6,19.2,77.6,69.8,84.0,1104.0,1015.0,89.0,,,4.0,6.0,2.0,1530.0
3146,395000,1991JJ00,2912.0,1274.0,1638.0,3676.0,1772.0,1923.0,7.8,10.7,5.6,79.2,71.9,85.2,1223.0,1126.0,97.0,,,4.0,6.0,2.0,1638.0
3147,395000,1992JJ00,3055.0,1327.0,1728.0,3916.0,1799.0,2123.0,6.5,1.6,10.4,78.0,73.7,81.4,1330.0,1224.0,106.0,,,6.0,8.0,2.0,1728.0
3148,395000,1993JJ00,3272.0,1431.0,1841.0,4165.0,1901.0,2269.0,6.4,5.7,6.9,78.6,75.3,81.1,1418.0,1312.0,106.0,,,4.0,7.0,3.0,1841.0
3149,395000,1994JJ00,3515.0,1549.0,1966.0,4446.0,2002.0,2447.0,6.8,5.3,7.9,79.1,77.4,80.3,1418.0,1310.0,108.0,,,5.0,8.0,3.0,1966.0
3150,395000,1995JJ00,4018.0,1722.0,2296.0,5070.0,2176.0,2893.0,14.0,8.7,18.2,79.3,79.1,79.4,1689.0,1552.0,137.0,,,7.0,10.0,3.0,2296.0
3151,395000,1996JJ00,5257.0,2246.0,3011.0,6489.0,2792.0,3697.0,28.0,28.3,27.8,81.0,80.4,81.4,2123.0,1942.0,181.0,,,3.0,9.0,6.0,3011.0
3152,395000,1997JJ00,7115.0,3063.0,4052.0,8679.0,3739.0,4940.0,33.7,33.9,33.6,82.0,81.9,82.0,2658.0,2442.0,216.0,,,1.0,10.0,9.0,4052.0
3153,395000,1998JJ00,8886.0,3891.0,4995.0,10594.0,4683.0,5911.0,22.1,25.2,19.7,83.9,83.1,84.5,3428.0,2912.0,516.0,,,-14.0,11.0,25.0,4995.0
3154,395000,1999JJ00,10675.0,4599.0,6076.0,12317.0,5438.0,6879.0,16.3,16.1,16.4,86.7,84.6,88.3,4186.0,3562.0,624.0,,,-21.0,8.0,29.0,6076.0
3155,395000,2000JJ00,12209.0,5386.0,6823.0,13649.0,6117.0,7535.0,10.8,12.5,9.5,89.5,88.0,90.6,4788.0,4058.0,730.0,,,-24.0,9.0,33.0,6823.0
3156,395000,2001JJ00,13702.0,6084.0,7618.0,14722.0,6622.0,8105.0,7.9,8.2,7.6,93.1,91.9,94.0,5397.0,4571.0,826.0,,,-30.0,12.0,42.0,7618.0
3157,395000,2002JJ00,12925.0,5724.0,7201.0,13616.0,6078.0,7542.0,-7.5,-8.2,-6.9,94.9,94.2,95.5,5323.0,4403.0,920.0,,,-31.0,12.0,43.0,7201.0
3158,395000,2003JJ00,12633.0,5411.0,7222.0,13110.0,5645.0,7464.0,-3.7,-7.1,-1.0,96.4,95.8,96.8,5462.0,4415.0,1047.0,,,-30.0,11.0,41.0,7222.0
3159,395000,2004JJ00,13112.0,5636.0,7476.0,13399.0,5759.0,7640.0,2.2,2.0,2.4,97.9,97.9,97.9,5531.0,4419.0,1112.0,,,-36.0,11.0,47.0,7476.0
3160,395000,2005JJ00,14367.0,6175.0,8192.0,14367.0,6175.0,8192.0,7.2,7.2,7.2,100.0,100.0,100.0,6017.0,4866.0,1151.0,,,-22.0,14.0,36.0,8192.0
