ID,Geslacht,Leeftijd,ZorgvormZvwZorgkosten,Perioden,PersonenMetZvwZorgkostenRelatief_1,GemiddeldeZorgkostenAllePersonen_2,GemiddeldeZorgkostenGebruikers_3,Zorgkosten50ePercentielGebruikers_4,Zorgkosten95ePercentielGebruikers_5,Zorgkosten99ePercentielGebruikers_6
18,T001038,10000  ,A042746,2022JJ00,65.8,295.0,480.0,113.0,1781.0,4684.0
19,T001038,10000  ,A042746,2023JJ00,66.0,299.0,498.0,117.0,1816.0,4860.0
20,T001038,10000  ,A042748,2020JJ00,16.3,41.0,248.0,123.0,893.0,2190.0
21,T001038,10000  ,A042748,2021JJ00,16.8,46.0,275.0,140.0,950.0,2303.0
22,T001038,10000  ,A042748,2022JJ00,16.8,47.0,281.0,148.0,959.0,2303.0
23,T001038,10000  ,A042748,2023JJ00,16.9,52.0,306.0,165.0,1037.0,2444.0
24,T001038,10000  ,A042749,2020JJ00,1.7,38.0,2163.0,1942.0,4808.0,7092.0
25,T001038,10000  ,A042749,2021JJ00,1.8,40.0,2239.0,2031.0,4989.0,7373.0
26,T001038,10000  ,A042749,2022JJ00,1.7,38.0,2209.0,2024.0,5008.0,7442.0
27,T001038,10000  ,A042749,2023JJ00,1.7,41.0,2418.0,2163.0,5577.0,8071.0
28,T001038,10000  ,A042750,2020JJ00,8.8,43.0,493.0,231.0,1772.0,3112.0
29,T001038,10000  ,A042750,2021JJ00,9.7,55.0,568.0,270.0,2047.0,3535.0
30,T001038,10000  ,A042750,2022JJ00,10.1,58.0,573.0,276.0,2062.0,3560.0
31,T001038,10000  ,A042750,2023JJ00,10.2,62.0,612.0,297.0,2210.0,3819.0
32,T001038,10000  ,A042751,2020JJ00,13.7,93.0,679.0,240.0,2661.0,5924.0
33,T001038,10000  ,A042751,2021JJ00,14.2,97.0,685.0,236.0,2673.0,6412.0
34,T001038,10000  ,A042751,2022JJ00,14.4,100.0,697.0,241.0,2719.0,6542.0
35,T001038,10000  ,A042751,2023JJ00,14.7,106.0,730.0,250.0,2873.0,6786.0
36,T001038,10000  ,A042752,2020JJ00,3.6,40.0,1101.0,792.0,2636.0,5568.0
37,T001038,10000  ,A042752,2021JJ00,3.8,44.0,1152.0,823.0,2765.0,5872.0
38,T001038,10000  ,A042752,2022JJ00,3.9,45.0,1160.0,843.0,2737.0,5764.0
39,T001038,10000  ,A042752,2023JJ00,3.8,47.0,1242.0,903.0,2906.0,6134.0
40,T001038,10000  ,A042753,2020JJ00,0.8,12.0,1373.0,171.0,6137.0,20455.0
41,T001038,10000  ,A042753,2021JJ00,0.9,12.0,1306.0,152.0,6132.0,19483.0
42,T001038,10000  ,A042753,2022JJ00,1.4,17.0,1170.0,162.0,5338.0,17033.0
43,T001038,10000  ,A042753,2023JJ00,1.4,17.0,1168.0,177.0,5121.0,16988.0
44,T001038,10000  ,A042756,2020JJ00,0.3,38.0,13892.0,11754.0,33659.0,43955.0
45,T001038,10000  ,A042756,2021JJ00,0.3,41.0,14125.0,12075.0,35036.0,43589.0
46,T001038,10000  ,A042756,2022JJ00,0.3,43.0,14141.0,12362.0,35870.0,44512.0
47,T001038,10000  ,A042756,2023JJ00,0.3,47.0,14855.0,13181.0,38237.0,46830.0
48,T001038,10000  ,A052781,2020JJ00,,,,,,
49,T001038,10000  ,A052781,2021JJ00,,,,,,
