ID,Perioden,TotaleInvoerwaarde_1,TotaalAfrika_2,TotaalAmerika_3,VerenigdeStaten_4,TotaalEuropa_5,Frankrijk_6,BelgieEnLuxemburg_7,Duitsland_8,Italie_9,VerenigdKoninkrijk_10,RussischeFederatie_11,OverigeIntraHandel_12,TotaalAzie_13,China_14,Indonesie_15,Japan_16,SaoediArabie_17,TotaalAustralieEnOceanie_18,OverigeExtraHandel_19,TotaleUitvoerwaarde_20,TotaalAfrika_21,TotaalAmerika_22,VerenigdeStaten_23,TotaalEuropa_24,Frankrijk_25,BelgieEnLuxemburg_26,Duitsland_27,Italie_28,VerenigdKoninkrijk_29,RussischeFederatie_30,OverigeIntraHandel_31,TotaalAzie_32,China_33,Indonesie_34,Japan_35,SaoediArabie_36,TotaalAustralieEnOceanie_37,OverigeExtraHandel_38,TotaleInvoerwaarde_39,VoedingDrankenEnTabak_40,GrondstoffenOlienEnVetten_41,MineraleBrandstoffen_42,ChemischeProducten_43,Fabricaten_44,Machines_45,TotaleUitvoerwaarde_46,VoedingDrankenEnTabak_47,GrondstoffenOlienEnVetten_48,MineraleBrandstoffen_49,ChemischeProducten_50,Fabricaten_51,Machines_52,Invoerwaarde_53,Uitvoerwaarde_54
53,1970JJ00,22055.0,1178.0,3205.0,2149.0,15624.0,1654.0,3715.0,5974.0,955.0,1277.0,95.0,,1966.0,44.0,81.0,232.0,335.0,81.0,,19341.0,639.0,1557.0,831.0,15879.0,1929.0,2696.0,6295.0,1046.0,1353.0,75.0,,861.0,36.0,78.0,140.0,36.0,403.0,,22055.0,2770.0,2118.0,2395.0,1722.0,7810.0,5240.0,19341.0,4497.0,1488.0,2065.0,2493.0,5260.0,3539.0,,
54,1971JJ00,23730.0,1102.0,3381.0,2326.0,16322.0,1852.0,3328.0,6528.0,1033.0,1346.0,103.0,,2854.0,55.0,79.0,337.0,616.0,71.0,,22133.0,693.0,1625.0,889.0,18427.0,2282.0,3158.0,7459.0,1154.0,1612.0,74.0,,952.0,28.0,83.0,120.0,49.0,435.0,,23730.0,2902.0,2119.0,3076.0,1807.0,8152.0,5674.0,22133.0,4850.0,1522.0,2637.0,2803.0,6274.0,4048.0,,
55,1972JJ00,24831.0,1116.0,2996.0,2051.0,17417.0,2003.0,3895.0,6816.0,1068.0,1304.0,115.0,,3235.0,66.0,76.0,367.0,906.0,66.0,,24458.0,776.0,1680.0,916.0,20687.0,2558.0,3691.0,8292.0,1320.0,1798.0,80.0,,882.0,15.0,87.0,115.0,50.0,410.0,,24831.0,3232.0,2191.0,3300.0,1960.0,8657.0,5491.0,24458.0,5262.0,1722.0,3024.0,3282.0,6646.0,4521.0,,
56,1973JJ00,30204.0,1259.0,3879.0,2694.0,20939.0,2440.0,4430.0,8414.0,1065.0,1561.0,162.0,,4030.0,83.0,100.0,403.0,1090.0,97.0,,30348.0,916.0,1971.0,1077.0,25683.0,3069.0,4399.0,9898.0,1683.0,2395.0,99.0,,1264.0,41.0,119.0,180.0,75.0,515.0,,30204.0,4268.0,2734.0,3986.0,2439.0,10182.0,6595.0,30348.0,6657.0,2149.0,3945.0,4337.0,7958.0,5302.0,,
57,1974JJ00,39851.0,2376.0,5001.0,3605.0,26399.0,2890.0,5293.0,10542.0,1351.0,2174.0,287.0,,6139.0,118.0,126.0,511.0,487.0,117.0,,39929.0,1406.0,2813.0,1592.0,32940.0,3945.0,5610.0,12032.0,2115.0,3638.0,206.0,,1754.0,75.0,144.0,218.0,139.0,1046.0,,39851.0,4938.0,3682.0,7165.0,3640.0,12839.0,7587.0,39929.0,7371.0,2883.0,6368.0,6967.0,10101.0,6239.0,,
58,1975JJ00,39937.0,1746.0,5561.0,3980.0,26103.0,3074.0,5223.0,10144.0,1404.0,2313.0,349.0,,6385.0,93.0,142.0,583.0,1263.0,142.0,,40230.0,1690.0,2227.0,1107.0,32971.0,4142.0,5572.0,12225.0,2034.0,3685.0,237.0,,2214.0,152.0,186.0,174.0,153.0,1134.0,,39937.0,5509.0,3087.0,7044.0,3116.0,12576.0,8605.0,40230.0,8534.0,2427.0,7066.0,5826.0,9373.0,7004.0,7356.0,7219.0
59,1976JJ00,47307.0,2322.0,6081.0,4349.0,30147.0,3329.0,5974.0,11425.0,1596.0,2937.0,463.0,,8578.0,107.0,165.0,756.0,1896.0,177.0,,48108.0,1811.0,2508.0,1367.0,39905.0,5116.0,7104.0,14867.0,2485.0,3996.0,230.0,,2569.0,48.0,257.0,230.0,334.0,1314.0,,47307.0,6340.0,3653.0,9182.0,3956.0,14864.0,9311.0,48108.0,9611.0,2792.0,8508.0,7177.0,11204.0,8817.0,,
60,1977JJ00,50812.0,2780.0,6298.0,4332.0,32586.0,3565.0,6064.0,12444.0,1771.0,3405.0,481.0,,8973.0,105.0,231.0,1016.0,1871.0,177.0,,48643.0,1997.0,2832.0,1668.0,39654.0,5106.0,7133.0,15015.0,2324.0,3633.0,227.0,,2783.0,58.0,283.0,255.0,379.0,1376.0,,50812.0,6966.0,3994.0,9330.0,4045.0,15686.0,10791.0,48643.0,10000.0,3028.0,8829.0,7035.0,11305.0,8445.0,,
61,1978JJ00,51900.0,2734.0,6324.0,4467.0,34760.0,3922.0,6531.0,13179.0,1964.0,3476.0,524.0,,7893.0,123.0,183.0,1173.0,1472.0,187.0,,49094.0,1874.0,2753.0,1625.0,40003.0,5259.0,7300.0,15131.0,2446.0,3671.0,206.0,,3320.0,129.0,216.0,290.0,678.0,1151.0,,51900.0,7038.0,3856.0,8175.0,4085.0,16590.0,12155.0,49094.0,10345.0,3153.0,7931.0,7270.0,11318.0,9077.0,,
62,1979JJ00,61208.0,3548.0,7629.0,5150.0,40787.0,4463.0,7497.0,14830.0,2229.0,4690.0,769.0,,9052.0,142.0,240.0,1187.0,2198.0,200.0,,57943.0,2132.0,2899.0,1628.0,48277.0,6156.0,8969.0,17670.0,3071.0,4875.0,277.0,,3400.0,145.0,186.0,318.0,759.0,1232.0,,61208.0,7814.0,4516.0,12343.0,5238.0,17885.0,13412.0,57943.0,11275.0,3760.0,11037.0,9423.0,12446.0,10002.0,,
63,1980JJ00,69101.0,4659.0,9045.0,6096.0,44378.0,4643.0,8048.0,15404.0,2187.0,5657.0,1150.0,,10797.0,237.0,247.0,1315.0,3809.0,223.0,,66691.0,2714.0,3036.0,1673.0,55067.0,7038.0,10018.0,19968.0,3847.0,5253.0,459.0,,4204.0,133.0,422.0,299.0,990.0,1670.0,,69101.0,8706.0,4928.0,16476.0,5766.0,19847.0,13378.0,66691.0,12470.0,4094.0,14782.0,10191.0,13935.0,11218.0,17212.0,15366.0
64,1981JJ00,74420.0,4044.0,10316.0,7064.0,47410.0,4781.0,8453.0,15974.0,2220.0,6355.0,2001.0,,12397.0,278.0,265.0,1457.0,5061.0,252.0,,77493.0,3286.0,4112.0,2494.0,62832.0,8105.0,11112.0,22813.0,4331.0,6404.0,697.0,,5179.0,108.0,308.0,379.0,1196.0,2082.0,,74420.0,9583.0,5316.0,19572.0,6453.0,19802.0,13693.0,77493.0,15419.0,4364.0,18595.0,11746.0,15110.0,12259.0,,
65,1982JJ00,75938.0,4197.0,10258.0,6952.0,51072.0,4932.0,8403.0,16767.0,2312.0,7139.0,3103.0,,10114.0,233.0,188.0,1654.0,1780.0,298.0,,80211.0,3202.0,4188.0,2604.0,65808.0,8342.0,11372.0,23663.0,4433.0,7423.0,512.0,,5126.0,80.0,273.0,375.0,1141.0,1887.0,,75938.0,10038.0,5147.0,19608.0,6642.0,19930.0,14573.0,80211.0,16067.0,4424.0,19177.0,12065.0,15552.0,12927.0,,
66,1983JJ00,78751.0,5019.0,10380.0,7036.0,53606.0,5300.0,8632.0,17591.0,2492.0,6967.0,3400.0,,9447.0,212.0,307.0,1632.0,668.0,299.0,,83655.0,3193.0,4936.0,3582.0,67916.0,8637.0,11649.0,25455.0,4447.0,7459.0,692.0,,5544.0,172.0,349.0,435.0,1115.0,2066.0,,78751.0,10174.0,5392.0,19981.0,7030.0,19805.0,16370.0,83655.0,16095.0,4852.0,20013.0,13473.0,15711.0,13512.0,,
67,1984JJ00,90217.0,5310.0,12531.0,8040.0,60416.0,5880.0,10147.0,19834.0,2628.0,7850.0,3178.0,,11526.0,244.0,355.0,2116.0,638.0,435.0,,95595.0,3089.0,6529.0,4798.0,77295.0,9912.0,13338.0,28369.0,5277.0,9025.0,441.0,,6539.0,263.0,398.0,556.0,1042.0,2143.0,,90217.0,11211.0,6939.0,21418.0,8454.0,22854.0,19342.0,95595.0,17896.0,6171.0,21970.0,15976.0,18020.0,15561.0,,
68,1985JJ00,98020.0,5256.0,12734.0,8093.0,68380.0,6561.0,12089.0,21929.0,2964.0,9775.0,3475.0,,11175.0,283.0,359.0,2353.0,1063.0,476.0,,102562.0,3193.0,7190.0,5374.0,83841.0,10624.0,14476.0,30714.0,5902.0,9715.0,512.0,,6102.0,368.0,242.0,568.0,763.0,2237.0,,98020.0,11940.0,6899.0,21732.0,9841.0,25189.0,22419.0,102562.0,18464.0,6415.0,23676.0,16980.0,19874.0,17154.0,22510.0,24438.0
69,1986JJ00,83973.0,2823.0,9338.0,6611.0,61838.0,6044.0,11928.0,22184.0,3192.0,6903.0,1156.0,,9537.0,298.0,286.0,2758.0,1159.0,438.0,,89524.0,2711.0,5989.0,4236.0,74398.0,9645.0,12732.0,25270.0,5661.0,9118.0,371.0,,5126.0,233.0,301.0,643.0,523.0,1300.0,,83973.0,10880.0,5153.0,9903.0,8813.0,25684.0,23539.0,89524.0,17651.0,5592.0,13580.0,15331.0,19678.0,17693.0,10334.0,14329.0
70,1987JJ00,83879.0,2687.0,8567.0,6050.0,62034.0,6104.0,12109.0,22274.0,3147.0,6421.0,1255.0,,10141.0,323.0,287.0,2876.0,846.0,448.0,,85318.0,2435.0,5361.0,3704.0,71349.0,9271.0,12366.0,23336.0,5490.0,8787.0,378.0,,4986.0,167.0,233.0,716.0,466.0,1188.0,,83879.0,10898.0,4970.0,9440.0,8876.0,25584.0,24111.0,85318.0,17530.0,5581.0,9453.0,15360.0,19519.0,17877.0,9820.0,10390.0
71,1988JJ00,88851.0,2467.0,10032.0,6808.0,65318.0,6541.0,13049.0,23449.0,3343.0,6863.0,1014.0,,10620.0,419.0,369.0,2868.0,683.0,414.0,,92470.0,2578.0,5571.0,3979.0,77256.0,9956.0,13618.0,24132.0,5930.0,9975.0,426.0,,5778.0,240.0,373.0,847.0,420.0,1287.0,,88851.0,11868.0,5655.0,8326.0,9667.0,27902.0,25433.0,92470.0,18458.0,6382.0,7862.0,17512.0,21986.0,20270.0,8776.0,9272.0
72,1989JJ00,100472.0,2641.0,12002.0,8492.0,73020.0,7630.0,14187.0,25821.0,3656.0,7913.0,1270.0,,12425.0,484.0,424.0,3029.0,1113.0,384.0,,104101.0,2713.0,6616.0,4734.0,87678.0,11336.0,15226.0,26853.0,6873.0,11532.0,648.0,,5801.0,236.0,183.0,1019.0,420.0,1293.0,,100472.0,11512.0,6465.0,10392.0,11115.0,30647.0,30342.0,104101.0,20520.0,7120.0,9415.0,18742.0,24785.0,23519.0,11122.0,10731.0
73,1990JJ00,104236.0,2884.0,11718.0,8194.0,76413.0,8036.0,14569.0,26717.0,3900.0,8523.0,1266.0,,12775.0,604.0,429.0,3319.0,1155.0,446.0,,108536.0,2503.0,5976.0,4370.0,92739.0,12134.0,15855.0,29964.0,7212.0,11053.0,475.0,,5973.0,160.0,389.0,926.0,411.0,1345.0,,104236.0,11397.0,6078.0,10878.0,10926.0,32690.0,32267.0,108536.0,21066.0,6885.0,10508.0,18422.0,26044.0,25610.0,11363.0,11779.0
74,1991JJ00,107599.0,3032.0,12053.0,8703.0,78109.0,8119.0,15207.0,27458.0,3982.0,9312.0,918.0,,13991.0,891.0,480.0,3903.0,2255.0,414.0,,113014.0,2416.0,6131.0,4409.0,96689.0,12040.0,16181.0,33215.0,7233.0,10555.0,557.0,,6464.0,257.0,323.0,1041.0,516.0,1314.0,,107599.0,12490.0,5589.0,10204.0,11301.0,33680.0,34335.0,113014.0,22205.0,7216.0,11168.0,18225.0,27500.0,26701.0,10504.0,12110.0
75,1992JJ00,107363.0,2540.0,11307.0,8368.0,78958.0,8473.0,15242.0,27056.0,3879.0,9279.0,880.0,,14123.0,798.0,573.0,3903.0,1804.0,435.0,,111875.0,2195.0,6490.0,4599.0,94956.0,11797.0,15979.0,32172.0,7152.0,10288.0,604.0,,6939.0,354.0,331.0,1019.0,585.0,1295.0,,107363.0,13239.0,5689.0,9214.0,11539.0,33736.0,33947.0,111875.0,22907.0,7221.0,9593.0,17720.0,27605.0,26828.0,9584.0,10401.0
76,1993JJ00,105113.0,2317.0,11802.0,8523.0,74617.0,8053.0,12406.0,24804.0,3952.0,9808.0,792.0,,16003.0,1156.0,687.0,3990.0,1317.0,375.0,,117230.0,2401.0,7211.0,4748.0,97688.0,12400.0,15023.0,34211.0,6549.0,10925.0,969.0,,8439.0,590.0,483.0,1126.0,621.0,1493.0,,105113.0,13524.0,6094.0,9898.0,12269.0,30709.0,32620.0,117230.0,24243.0,7491.0,10410.0,18645.0,27256.0,29184.0,9656.0,10719.0
77,1994JJ00,116367.0,2455.0,13363.0,9064.0,83071.0,8818.0,13927.0,27118.0,4313.0,11132.0,808.0,,17050.0,1478.0,844.0,4151.0,1339.0,428.0,,130440.0,2163.0,7529.0,5149.0,110219.0,13999.0,17274.0,37607.0,7256.0,13042.0,1098.0,,8949.0,544.0,356.0,1335.0,540.0,1581.0,,110179.0,14111.0,6532.0,8910.0,14030.0,31814.0,34781.0,130440.0,25788.0,8870.0,9783.0,22762.0,30262.0,32975.0,9307.0,10128.0
78,1995JJ00,129391.0,2545.0,14563.0,10323.0,93499.0,9529.0,15244.0,30171.0,4642.0,13030.0,963.0,,18439.0,1628.0,792.0,4562.0,1406.0,345.0,,143468.0,2437.0,7270.0,4726.0,122752.0,15991.0,18550.0,40917.0,7999.0,13990.0,1262.0,,9577.0,598.0,568.0,1520.0,501.0,1432.0,,129391.0,15374.0,7779.0,9703.0,17111.0,36356.0,43070.0,143468.0,26873.0,8916.0,10106.0,26127.0,32792.0,38653.0,9397.0,10781.0
79,1996JJ00,140284.0,2950.0,15660.0,11283.0,99607.0,9971.0,15977.0,31898.0,5417.0,13354.0,1293.0,,21711.0,1965.0,873.0,4932.0,1576.0,325.0,31.0,154457.0,2590.0,7861.0,5299.0,132297.0,16567.0,21304.0,43997.0,8624.0,14516.0,1388.0,,10176.0,592.0,348.0,1682.0,539.0,572.0,961.0,139913.0,16132.0,7354.0,11462.0,16822.0,34170.0,47973.0,153752.0,27891.0,9629.0,11488.0,25370.0,35308.0,44066.0,11832.0,12541.0
80,1997JJ00,157437.0,3042.0,19068.0,14310.0,108891.0,11179.0,16836.0,32761.0,5622.0,16175.0,1669.0,,26052.0,2681.0,968.0,5753.0,1964.0,361.0,22.0,171420.0,2846.0,9606.0,6501.0,145457.0,17789.0,22476.0,46551.0,9653.0,17135.0,1796.0,,11773.0,745.0,502.0,1715.0,587.0,718.0,1020.0,157450.0,16785.0,8130.0,12754.0,18881.0,44554.0,56346.0,171421.0,28603.0,10548.0,12378.0,27995.0,39910.0,51986.0,13181.0,13347.0
81,1998JJ00,168445.0,3131.0,20881.0,15617.0,112668.0,11681.0,17649.0,33251.0,5670.0,16334.0,1381.0,0.0,31226.0,3396.0,1148.0,7230.0,1221.0,519.0,21.0,180724.0,3282.0,10453.0,7102.0,154732.0,19424.0,22550.0,47779.0,10545.0,18405.0,1494.0,2.0,10595.0,675.0,191.0,1627.0,573.0,716.0,946.0,168404.0,16762.0,8599.0,9657.0,19662.0,47293.0,66430.0,180729.0,29361.0,11149.0,10150.0,28403.0,42114.0,59551.0,10110.0,11000.0
82,1999JJ00,178719.0,3434.0,22469.0,16963.0,117506.0,11565.0,17903.0,34426.0,5652.0,17371.0,1510.0,5.0,34711.0,3697.0,1128.0,7566.0,1431.0,576.0,24.0,188598.0,3112.0,11245.0,7983.0,160925.0,20306.0,23029.0,49192.0,11236.0,20281.0,1215.0,20.0,11882.0,752.0,275.0,1985.0,569.0,731.0,703.0,178719.0,17879.0,8287.0,12218.0,19651.0,48754.0,71930.0,188598.0,29985.0,11525.0,11130.0,28791.0,43200.0,63966.0,12658.0,12037.0
83,2000JJ00,216057.0,4336.0,28641.0,22065.0,135570.0,12312.0,19986.0,38485.0,6126.0,20653.0,2890.0,18.0,46549.0,6917.0,1459.0,9272.0,2826.0,902.0,59.0,231854.0,3605.0,14773.0,10860.0,195973.0,24503.0,27304.0,59654.0,13711.0,25067.0,1725.0,57.0,15596.0,1091.0,366.0,2324.0,681.0,844.0,1063.0,216057.0,19123.0,9700.0,22176.0,24096.0,54943.0,86019.0,231854.0,33157.0,13100.0,19917.0,36066.0,50144.0,79469.0,22925.0,21443.0
84,2001JJ00,218330.0,5530.0,28839.0,21525.0,136601.0,12617.0,20177.0,40253.0,6173.0,19458.0,3463.0,29.0,46257.0,8845.0,1571.0,8696.0,2321.0,1032.0,70.0,241339.0,3909.0,14683.0,10559.0,205072.0,24944.0,28502.0,61697.0,15076.0,26884.0,2131.0,76.0,15528.0,1219.0,347.0,2522.0,821.0,892.0,1255.0,218330.0,20854.0,9639.0,22164.0,24785.0,55725.0,85163.0,241339.0,34755.0,13045.0,22224.0,36915.0,51245.0,83153.0,22778.0,23646.0
85,2002JJ00,205575.0,4412.0,25468.0,18248.0,133772.0,11838.0,22594.0,39932.0,6251.0,16476.0,3784.0,63.0,41104.0,8929.0,1395.0,6401.0,1569.0,790.0,29.0,232704.0,3995.0,15452.0,11396.0,195417.0,23399.0,27482.0,56465.0,14275.0,25525.0,2467.0,94.0,15726.0,1521.0,373.0,2364.0,884.0,913.0,1200.0,205575.0,20242.0,9332.0,20686.0,25018.0,52707.0,77590.0,232704.0,35505.0,13752.0,19004.0,38332.0,49939.0,76170.0,21730.0,20905.0
86,2003JJ00,206867.0,4477.0,23287.0,16243.0,135577.0,11371.0,23533.0,41084.0,5876.0,15028.0,4618.0,63.0,42749.0,10631.0,1323.0,6462.0,2013.0,752.0,24.0,234166.0,4375.0,15276.0,11469.0,196874.0,23459.0,27442.0,56777.0,14154.0,23960.0,2789.0,86.0,15291.0,1625.0,390.0,2187.0,871.0,1004.0,1345.0,206867.0,20787.0,9477.0,21560.0,25017.0,51864.0,78161.0,234166.0,35375.0,14003.0,19366.0,38835.0,49866.0,76720.0,22485.0,21315.0
87,2004JJ00,228245.0,4344.0,26442.0,18230.0,145842.0,12390.0,24885.0,44869.0,5964.0,14665.0,6117.0,177.0,50858.0,14532.0,1416.0,6753.0,2954.0,716.0,43.0,255697.0,4646.0,16120.0,11922.0,213937.0,24681.0,29425.0,60907.0,15631.0,25764.0,3219.0,179.0,18401.0,2314.0,399.0,2188.0,940.0,1122.0,1471.0,228245.0,21166.0,10942.0,26724.0,28604.0,54046.0,86724.0,255697.0,36674.0,15935.0,,43471.0,,84219.0,28118.0,24912.0
88,2005JJ00,249849.0,6514.0,29909.0,19674.0,156068.0,12808.0,26960.0,47563.0,6592.0,15571.0,8342.0,100.0,56527.0,19057.0,1499.0,6109.0,4092.0,814.0,16.0,281307.0,5575.0,18539.0,13596.0,234051.0,25734.0,32899.0,66957.0,16088.0,25907.0,4276.0,267.0,20156.0,2557.0,350.0,2217.0,1155.0,1234.0,1752.0,249849.0,21855.0,11746.0,36956.0,32502.0,57707.0,89067.0,281307.0,38019.0,17246.0,30813.0,47678.0,56786.0,90732.0,38259.0,33587.0
89,2006JJ00,285373.0,7200.0,35051.0,23757.0,179107.0,14266.0,30087.0,52246.0,7121.0,18641.0,11880.0,144.0,63070.0,23007.0,1651.0,6479.0,4389.0,902.0,44.0,318961.0,6550.0,22350.0,16166.0,263306.0,27978.0,37109.0,76383.0,17678.0,29974.0,5294.0,257.0,23237.0,3263.0,447.0,2206.0,1487.0,1324.0,2193.0,285373.0,23759.0,13176.0,47553.0,36031.0,67245.0,97609.0,318961.0,40633.0,19932.0,41430.0,53073.0,65956.0,97937.0,49319.0,44869.0
90,2007JJ00,307279.0,9087.0,37007.0,24100.0,194548.0,14931.0,32176.0,58490.0,7607.0,19967.0,11559.0,188.0,65589.0,26344.0,1720.0,7169.0,3261.0,969.0,79.0,347510.0,8670.0,24513.0,17162.0,284218.0,30218.0,39010.0,80638.0,18880.0,31945.0,6552.0,231.0,26142.0,3620.0,702.0,2535.0,1485.0,1413.0,2552.0,307279.0,26517.0,15048.0,49512.0,41092.0,72178.0,102932.0,347510.0,44470.0,21333.0,42214.0,59467.0,66628.0,113398.0,51422.0,46333.0
91,2008JJ00,335927.0,10844.0,42974.0,27043.0,213320.0,16885.0,33896.0,64622.0,7962.0,21224.0,13036.0,234.0,67576.0,25000.0,2042.0,9492.0,3459.0,1023.0,190.0,370489.0,9654.0,24551.0,16472.0,304992.0,32376.0,42967.0,90618.0,19609.0,33586.0,6559.0,359.0,26223.0,3852.0,774.0,2945.0,1568.0,1696.0,3373.0,335927.0,30181.0,17180.0,61118.0,48461.0,76956.0,102031.0,370489.0,48234.0,22137.0,56803.0,65969.0,69954.0,107391.0,63143.0,60382.0
92,2009JJ00,274025.0,8386.0,35208.0,22995.0,172824.0,13591.0,27452.0,52538.0,6322.0,17648.0,9628.0,261.0,56485.0,21967.0,1721.0,7251.0,1415.0,910.0,212.0,309369.0,9165.0,20585.0,13928.0,250566.0,27484.0,34620.0,75225.0,16007.0,25879.0,4419.0,302.0,25381.0,4589.0,542.0,2381.0,1586.0,1452.0,2220.0,274025.0,28881.0,12075.0,42970.0,43960.0,63169.0,82969.0,309369.0,46042.0,18441.0,,59258.0,,88256.0,44455.0,41049.0
93,2010JJ00,331914.0,11096.0,39843.0,25055.0,205079.0,14438.0,31864.0,58914.0,7163.0,22130.0,14023.0,262.0,74622.0,30997.0,1885.0,9275.0,2376.0,931.0,343.0,371549.0,11338.0,25888.0,16875.0,298100.0,32489.0,41265.0,90269.0,18596.0,29651.0,5641.0,411.0,31674.0,5391.0,465.0,3190.0,1671.0,1640.0,2909.0,331914.0,31650.0,16030.0,60048.0,51036.0,73002.0,100148.0,371549.0,51367.0,22095.0,50963.0,70645.0,70000.0,106479.0,62124.0,55104.0
94,2011JJ00,364922.0,12619.0,41618.0,23541.0,228709.0,16785.0,36420.0,60943.0,7786.0,24505.0,16959.0,215.0,80301.0,30874.0,2294.0,10100.0,3890.0,1401.0,273.0,409358.0,12964.0,29930.0,19632.0,328329.0,36245.0,48678.0,99189.0,19528.0,32326.0,6405.0,388.0,33844.0,6696.0,544.0,3414.0,1732.0,2096.0,2196.0,364922.0,35739.0,19736.0,80037.0,46936.0,79435.0,103038.0,409358.0,55084.0,24797.0,67812.0,73462.0,76391.0,111812.0,82704.0,73075.0
95,2012JJ00,389449.0,16355.0,45409.0,26406.0,241943.0,17425.0,37701.0,61844.0,7828.0,27386.0,20332.0,298.0,83874.0,31906.0,2816.0,9931.0,4666.0,1451.0,418.0,429717.0,14656.0,32797.0,20259.0,338616.0,36247.0,48518.0,106141.0,19582.0,34644.0,7068.0,460.0,38396.0,7647.0,628.0,3540.0,2233.0,2619.0,2633.0,389449.0,37563.0,19971.0,99604.0,50323.0,76841.0,105147.0,429717.0,57196.0,25562.0,82827.0,77236.0,77076.0,109819.0,102297.0,88107.0
96,2013JJ00,386355.0,15332.0,44592.0,26618.0,244247.0,17161.0,37544.0,63492.0,8067.0,27470.0,20618.0,454.0,80334.0,31792.0,2670.0,8427.0,3790.0,1340.0,509.0,433106.0,14507.0,29218.0,16895.0,342811.0,35937.0,47831.0,106928.0,19789.0,36535.0,6828.0,2346.0,38118.0,7711.0,801.0,3178.0,2265.0,2644.0,5808.0,386355.0,39093.0,18626.0,95563.0,52175.0,77010.0,103888.0,433106.0,61159.0,24067.0,85711.0,74845.0,78313.0,109013.0,95435.0,87736.0
97,2014JJ00,382416.0,14184.0,43364.0,27258.0,238602.0,17292.0,37020.0,62727.0,8069.0,25414.0,18182.0,384.0,83835.0,35398.0,2502.0,8321.0,3363.0,1572.0,860.0,433405.0,14249.0,31404.0,18980.0,341422.0,35494.0,47512.0,104471.0,18727.0,36751.0,6289.0,2223.0,38970.0,7920.0,683.0,3320.0,2516.0,2566.0,4795.0,382416.0,39495.0,17609.0,83460.0,51645.0,80867.0,109340.0,433405.0,62468.0,23652.0,73302.0,76028.0,82741.0,115213.0,83156.0,75490.0
98,2015JJ00,372195.0,11611.0,43505.0,30070.0,233660.0,16300.0,37910.0,65658.0,8896.0,20564.0,13941.0,406.0,80291.0,32428.0,2502.0,7126.0,1356.0,1428.0,1700.0,418982.0,14013.0,30796.0,18026.0,324754.0,33123.0,43914.0,98509.0,17372.0,36479.0,4198.0,1640.0,41969.0,8527.0,711.0,3457.0,2515.0,2662.0,4788.0,372195.0,41943.0,17645.0,64246.0,48846.0,86524.0,112990.0,418982.0,62156.0,23156.0,56955.0,74474.0,85144.0,117097.0,64602.0,58399.0
99,2016JJ00,372684.0,8774.0,44452.0,30327.0,233034.0,15181.0,38031.0,67411.0,9254.0,21304.0,13642.0,270.0,82873.0,32573.0,2392.0,7044.0,1723.0,1594.0,1956.0,425039.0,11831.0,31418.0,17699.0,330618.0,34297.0,43096.0,98293.0,17533.0,38963.0,4320.0,1065.0,44366.0,9721.0,959.0,3332.0,2165.0,2820.0,3986.0,372684.0,42993.0,17389.0,54776.0,48907.0,90331.0,118287.0,425039.0,65303.0,23785.0,50490.0,73880.0,90195.0,121388.0,55028.0,52278.0
