ID,Perioden,DelfstoffenwinningEnIndustrie_1,Delfstoffenwinning_2,IndustrieTotaal_3,VoedingsEnGenotmiddelenTotaal_4,VerwerkingVanVeehouderijproducten_5,VerwerkingVanOverigeProducten_6,Drankenindustrie_7,TabakverwerkendeIndustrie_8,Textielindustrie_9,Kledingindustrie_10,LederwarenEnSchoenenindustrie_11,Houtindustrie_12,PapierEnPapierwarenIndustrie_13,GrafischeIndustrieEnUitgeverijen_14,AardolieIndustrie_15,ChemischeIndustrie_16,RubberKunststofverwerkendeIndustrie_17,BouwmaterialenAardewerkGlasindustrie_18,TotaalMetaalindustrie_19,BasismetaalIndustrie_20,OverigeMetaalIndustrie_21,OpenbareNutsbedrijven_22,DelfstoffenwinningEnIndustrie_23,Delfstoffenwinning_24,IndustrieTotaal_25,VoedingsEnGenotmiddelenTotaal_26,VerwerkingVanVeehouderijproducten_27,VerwerkingVanOverigeProducten_28,Drankenindustrie_29,TabakverwerkendeIndustrie_30,Textielindustrie_31,Kledingindustrie_32,LederwarenEnSchoenenindustrie_33,Houtindustrie_34,PapierEnPapierwarenIndustrie_35,GrafischeIndustrieEnUitgeverijen_36,AardolieIndustrie_37,ChemischeIndustrie_38,RubberKunststofverwerkendeIndustrie_39,BouwmaterialenAardewerkGlasindustrie_40,MetaalindustrieTotaal_41,BasismetaalIndustrie_42,OverigeMetaalIndustrie_43,OpenbareNutsbedrijven_44
12,1926JJ00,8.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1927JJ00,9.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1928JJ00,10.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1929JJ00,11.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1930JJ00,9.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1931JJ00,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1932JJ00,9.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1933JJ00,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1934JJ00,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1935JJ00,9.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1936JJ00,10.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1937JJ00,12.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1938JJ00,12.0,,12.0,19.0,27.0,19.0,5.0,17.0,46.0,,,,,,,2.0,,20.0,7.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,
25,1939JJ00,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1940JJ00,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1941JJ00,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1942JJ00,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1943JJ00,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1944JJ00,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1945JJ00,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1946JJ00,8.0,,,15.0,11.0,19.0,7.0,9.0,25.0,102.0,,,,,,2.0,,12.0,5.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,
33,1947JJ00,11.0,,,17.0,14.0,19.0,8.0,13.0,40.0,128.0,,,,,,2.0,,14.0,7.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
34,1948JJ00,12.0,,,18.0,18.0,20.0,8.0,13.0,48.0,154.0,,,,,,2.0,,19.0,10.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
35,1949JJ00,14.0,30.0,13.0,19.0,25.0,22.0,7.0,16.0,56.0,181.0,,,,,8.0,2.0,,22.0,10.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
36,1950JJ00,16.0,31.0,15.0,21.0,27.0,24.0,7.0,17.0,62.0,190.0,259.0,,,,16.0,4.0,,24.0,12.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,
