ID,Btw,Perioden,Transporttarief_1,VastLeveringstarief_2,VariabelLeveringstarief_3,OpslagDuurzameEnergieODE_4,Energiebelasting_5,Transporttarief_6,VastLeveringstarief_7,VariabelLeveringstarief_8,OpslagDuurzameEnergieODE_9,Energiebelasting_10,VerminderingEnergiebelasting_11
0,A048944,2018MM01,179.74,53.42,0.3182,0.03449,0.31461,239.09,51.84,0.0671,0.01597,0.12654,-373.33
1,A048944,2018MM02,179.74,53.98,0.318,0.03449,0.31461,239.09,52.49,0.067,0.01597,0.12654,-373.33
2,A048944,2018MM03,179.74,53.98,0.3179,0.03449,0.31461,239.09,52.49,0.0673,0.01597,0.12654,-373.33
3,A048944,2018MM04,179.74,53.98,0.3127,0.03449,0.31461,239.09,52.49,0.0667,0.01597,0.12654,-373.33
4,A048944,2018MM05,179.74,53.98,0.3145,0.03449,0.31461,239.09,52.49,0.0676,0.01597,0.12654,-373.33
5,A048944,2018MM06,179.74,53.98,0.3202,0.03449,0.31461,239.09,52.49,0.0691,0.01597,0.12654,-373.33
6,A048944,2018MM07,179.74,59.93,0.3367,0.03449,0.31461,239.09,59.43,0.0722,0.01597,0.12654,-373.33
7,A048944,2018MM08,179.74,59.11,0.3387,0.03449,0.31461,239.09,58.25,0.073,0.01597,0.12654,-373.33
8,A048944,2018MM09,179.74,59.11,0.3418,0.03449,0.31461,239.09,58.25,0.0746,0.01597,0.12654,-373.33
9,A048944,2018MM10,179.74,59.17,0.3479,0.03449,0.31461,239.09,58.32,0.0766,0.01597,0.12654,-373.33
10,A048944,2018MM11,179.74,59.17,0.3658,0.03449,0.31461,239.09,58.32,0.081,0.01597,0.12654,-373.33
11,A048944,2018MM12,179.74,59.17,0.3627,0.03449,0.31461,239.09,58.32,0.0802,0.01597,0.12654,-373.33
12,A048944,2018JJ00,179.74,56.58,0.3329,0.03449,0.31461,239.09,55.43,0.0719,0.01597,0.12654,-373.33
13,A048944,2019MM01,177.92,59.89,0.3827,0.0634,0.35469,238.67,59.6,0.0865,0.02287,0.11934,-311.62
14,A048944,2019MM02,177.58,66.12,0.3759,0.0634,0.35469,239.02,65.56,0.0857,0.02287,0.11934,-311.62
15,A048944,2019MM03,177.58,66.12,0.3671,0.0634,0.35469,238.21,65.6,0.0841,0.02287,0.11934,-311.62
16,A048944,2019MM04,177.58,66.12,0.363,0.0634,0.35469,238.21,65.6,0.082,0.02287,0.11934,-311.62
17,A048944,2019MM05,177.58,66.12,0.357,0.0634,0.35469,238.21,65.6,0.0811,0.02287,0.11934,-311.62
18,A048944,2019MM06,177.58,66.12,0.3588,0.0634,0.35469,238.21,65.6,0.0815,0.02287,0.11934,-311.62
19,A048944,2019MM07,177.58,67.72,0.3429,0.0634,0.35469,238.21,67.78,0.0785,0.02287,0.11934,-311.62
20,A048944,2019MM08,177.58,68.04,0.3343,0.0634,0.35469,238.21,68.42,0.0768,0.02287,0.11934,-311.62
21,A048944,2019MM09,177.58,68.04,0.3324,0.0634,0.35469,238.21,68.42,0.0772,0.02287,0.11934,-311.62
22,A048944,2019MM10,177.58,68.04,0.3297,0.0634,0.35469,238.21,68.42,0.0769,0.02287,0.11934,-311.62
23,A048944,2019MM11,177.58,68.04,0.332,0.0634,0.35469,238.21,68.44,0.0773,0.02287,0.11934,-311.62
24,A048944,2019MM12,177.58,68.04,0.3301,0.0634,0.35469,238.21,68.44,0.0765,0.02287,0.11934,-311.62
25,A048944,2019JJ00,177.61,66.53,0.3505,0.0634,0.35469,238.32,66.46,0.0803,0.02287,0.11934,-311.62
26,A048944,2020MM01,185.36,66.52,0.3227,0.09378,0.40301,241.85,67.5,0.0768,0.03303,0.11822,-527.17
27,A048944,2020MM02,185.36,66.52,0.3169,0.09378,0.40301,241.85,67.5,0.0755,0.03303,0.11822,-527.17
28,A048944,2020MM03,185.36,67.12,0.306,0.09378,0.40301,241.85,68.08,0.0733,0.03303,0.11822,-527.17
29,A048944,2020MM04,185.36,67.01,0.2942,0.09378,0.40301,241.85,67.98,0.0707,0.03303,0.11822,-527.17
30,A048944,2020MM05,185.36,67.01,0.2888,0.09378,0.40301,241.85,67.98,0.069,0.03303,0.11822,-527.17
31,A048944,2020MM06,185.36,67.01,0.2843,0.09378,0.40301,241.85,67.98,0.0682,0.03303,0.11822,-527.17
32,A048944,2020MM07,185.36,68.52,0.2616,0.09378,0.40301,241.85,68.82,0.0675,0.03303,0.11822,-527.17
33,A048944,2020MM08,185.36,67.95,0.263,0.09378,0.40301,241.85,68.89,0.0685,0.03303,0.11822,-527.17
34,A048944,2020MM09,185.36,69.18,0.2634,0.09378,0.40301,241.85,69.34,0.0691,0.03303,0.11822,-527.17
35,A048944,2020MM10,185.36,69.18,0.2649,0.09378,0.40301,241.85,69.34,0.0692,0.03303,0.11822,-527.17
36,A048944,2020MM11,185.36,69.29,0.2696,0.09378,0.40301,241.85,69.44,0.0701,0.03303,0.11822,-527.17
37,A048944,2020MM12,185.36,69.6,0.272,0.09378,0.40301,241.85,69.73,0.07,0.03303,0.11822,-527.17
38,A048944,2020JJ00,185.36,67.91,0.284,0.09378,0.40301,241.85,68.55,0.0707,0.03303,0.11822,-527.17
39,A048944,2021MM01,187.85,70.19,0.266,0.10297,0.42176,257.36,71.33,0.0697,0.0363,0.11408,-558.56
40,A048944,2021MM02,187.85,70.17,0.2758,0.10297,0.42176,257.36,71.61,0.0735,0.0363,0.11408,-558.56
41,A048944,2021MM03,187.85,70.17,0.2842,0.10297,0.42176,257.36,71.61,0.0753,0.0363,0.11408,-558.56
42,A048944,2021MM04,187.85,70.76,0.289,0.10297,0.42176,257.36,72.12,0.0768,0.0363,0.11408,-558.56
43,A048944,2021MM05,187.85,70.76,0.2886,0.10297,0.42176,257.36,72.12,0.0779,0.0363,0.11408,-558.56
44,A048944,2021MM06,187.85,70.76,0.3015,0.10297,0.42176,257.36,72.12,0.0812,0.0363,0.11408,-558.56
45,A048944,2021MM07,187.85,71.98,0.3429,0.10297,0.42176,257.36,73.26,0.0928,0.0363,0.11408,-558.56
46,A048944,2021MM08,187.85,72.21,0.3564,0.10297,0.42176,257.36,73.26,0.0942,0.0363,0.11408,-558.56
47,A048944,2021MM09,187.85,72.21,0.4054,0.10297,0.42176,257.36,73.26,0.1064,0.0363,0.11408,-558.56
48,A048944,2021MM10,187.85,72.21,0.5278,0.10297,0.42176,257.36,73.26,0.127,0.0363,0.11408,-558.56
49,A048944,2021MM11,187.85,72.26,0.7479,0.10297,0.42176,257.36,73.26,0.1755,0.0363,0.11408,-558.56
50,A048944,2021MM12,187.85,71.7,0.894,0.10297,0.42176,257.36,72.82,0.2188,0.0363,0.11408,-558.56
51,A048944,2021JJ00,187.85,71.28,0.415,0.10297,0.42176,257.36,72.5,0.1058,0.0363,0.11408,-558.56
52,A048944,2022MM01,191.32,72.74,1.1956,0.10467,0.4395,267.12,72.55,0.3169,0.03691,0.04452,-824.77
53,A048944,2022MM02,191.32,72.74,1.1247,0.10467,0.4395,267.12,72.55,0.2966,0.03691,0.04452,-824.77
54,A048944,2022MM03,191.32,72.74,1.8451,0.10467,0.4395,267.12,72.55,0.4814,0.03691,0.04452,-824.77
55,A048944,2022MM04,191.32,72.74,1.6844,0.10467,0.4395,267.12,72.55,0.4363,0.03691,0.04452,-824.77
56,A048944,2022MM05,191.32,72.74,1.422,0.10467,0.4395,267.12,72.55,0.3613,0.03691,0.04452,-824.77
57,A048944,2022MM06,191.32,72.74,1.2181,0.10467,0.4395,267.12,72.55,0.3342,0.03691,0.04452,-824.77
58,A048944,2022MM07,172.35,65.53,1.5908,0.09429,0.39591,240.63,65.36,0.4187,0.03325,0.0401,-742.98
59,A048944,2022MM08,172.35,65.53,2.1147,0.09429,0.39591,240.63,65.36,0.5028,0.03325,0.0401,-742.98
60,A048944,2022MM09,172.35,65.53,2.7706,0.09429,0.39591,240.63,65.36,0.6439,0.03325,0.0401,-742.98
61,A048944,2022MM10,172.35,65.53,2.783,0.09429,0.39591,240.63,65.36,0.6588,0.03325,0.0401,-742.98
62,A048944,2022MM11,172.35,65.53,1.8201,0.09429,0.39591,240.63,65.36,0.5266,0.03325,0.0401,-742.98
63,A048944,2022MM12,172.35,65.53,1.8201,0.09429,0.39591,240.63,65.36,0.52,0.03325,0.0401,-742.98
64,A048944,2022JJ00,181.84,69.14,1.7824,0.09948,0.41771,253.88,68.96,0.4581,0.03508,0.04231,-783.88
65,A048944,2023MM01,217.7,,,,0.59266,342.17,,,,0.15245,-596.86
66,A048944,2023MM02,217.7,,,,0.59266,342.17,,,,0.15245,-596.86
67,A048944,2023MM03,217.7,,,,0.59266,342.17,,,,0.15245,-596.86
68,A048944,2023MM04,217.7,,,,0.59266,342.17,,,,0.15245,-596.86
69,A048944,2023MM05,217.7,,,,0.59266,342.17,,,,0.15245,-596.86
70,A048945,2018MM01,148.54,44.15,0.263,0.0285,0.26001,197.6,42.84,0.0554,0.0132,0.10458,-308.54
71,A048945,2018MM02,148.54,44.61,0.2628,0.0285,0.26001,197.6,43.38,0.0554,0.0132,0.10458,-308.54
72,A048945,2018MM03,148.54,44.61,0.2627,0.0285,0.26001,197.6,43.38,0.0556,0.0132,0.10458,-308.54
73,A048945,2018MM04,148.54,44.61,0.2584,0.0285,0.26001,197.6,43.38,0.0551,0.0132,0.10458,-308.54
74,A048945,2018MM05,148.54,44.61,0.2599,0.0285,0.26001,197.6,43.38,0.0559,0.0132,0.10458,-308.54
75,A048945,2018MM06,148.54,44.61,0.2646,0.0285,0.26001,197.6,43.38,0.0571,0.0132,0.10458,-308.54
76,A048945,2018MM07,148.54,49.53,0.2783,0.0285,0.26001,197.6,49.12,0.0597,0.0132,0.10458,-308.54
77,A048945,2018MM08,148.54,48.85,0.2799,0.0285,0.26001,197.6,48.14,0.0603,0.0132,0.10458,-308.54
78,A048945,2018MM09,148.54,48.85,0.2825,0.0285,0.26001,197.6,48.14,0.0616,0.0132,0.10458,-308.54
79,A048945,2018MM10,148.54,48.9,0.2875,0.0285,0.26001,197.6,48.2,0.0633,0.0132,0.10458,-308.54
80,A048945,2018MM11,148.54,48.9,0.3023,0.0285,0.26001,197.6,48.2,0.0669,0.0132,0.10458,-308.54
81,A048945,2018MM12,148.54,48.9,0.2998,0.0285,0.26001,197.6,48.2,0.0663,0.0132,0.10458,-308.54
82,A048945,2018JJ00,148.54,46.76,0.2751,0.0285,0.26001,197.6,45.81,0.0594,0.0132,0.10458,-308.54
83,A048945,2019MM01,147.04,49.49,0.3163,0.0524,0.29313,197.25,49.25,0.0715,0.0189,0.09863,-257.54
84,A048945,2019MM02,146.76,54.65,0.3106,0.0524,0.29313,197.54,54.18,0.0708,0.0189,0.09863,-257.54
85,A048945,2019MM03,146.76,54.65,0.3034,0.0524,0.29313,196.87,54.22,0.0695,0.0189,0.09863,-257.54
86,A048945,2019MM04,146.76,54.65,0.3,0.0524,0.29313,196.87,54.22,0.0678,0.0189,0.09863,-257.54
87,A048945,2019MM05,146.76,54.65,0.295,0.0524,0.29313,196.87,54.22,0.067,0.0189,0.09863,-257.54
88,A048945,2019MM06,146.76,54.65,0.2965,0.0524,0.29313,196.87,54.22,0.0674,0.0189,0.09863,-257.54
