ID,Woningkenmerken,GebruiksOppervlakteklasse,BewonersklasseWoningen,Percentielen,Perioden,ElektriciteitsleveringenOpenbareNet_1
0,ZW25810,T001116,T001351,A043830,2012JJ00,1431.6
1,ZW25810,T001116,T001351,A043830,2013JJ00,1451.6
2,ZW25810,T001116,T001351,A043830,2014JJ00,1409.0
3,ZW25810,T001116,T001351,A043830,2015JJ00,1387.3
4,ZW25810,T001116,T001351,A043830,2016JJ00,1366.2
5,ZW25810,T001116,T001351,A043830,2017JJ00,1351.1
6,ZW25810,T001116,T001351,A043830,2018JJ00,1335.0
7,ZW25810,T001116,T001351,A043830,2019JJ00,1304.7
8,ZW25810,T001116,T001351,A043066,2012JJ00,575.8
9,ZW25810,T001116,T001351,A043066,2013JJ00,589.7
10,ZW25810,T001116,T001351,A043066,2014JJ00,571.0
11,ZW25810,T001116,T001351,A043066,2015JJ00,564.3
12,ZW25810,T001116,T001351,A043066,2016JJ00,553.0
13,ZW25810,T001116,T001351,A043066,2017JJ00,545.0
14,ZW25810,T001116,T001351,A043066,2018JJ00,535.0
15,ZW25810,T001116,T001351,A043066,2019JJ00,523.2
16,ZW25810,T001116,T001351,A043067,2012JJ00,950.0
17,ZW25810,T001116,T001351,A043067,2013JJ00,964.0
18,ZW25810,T001116,T001351,A043067,2014JJ00,934.0
19,ZW25810,T001116,T001351,A043067,2015JJ00,919.7
20,ZW25810,T001116,T001351,A043067,2016JJ00,904.0
21,ZW25810,T001116,T001351,A043067,2017JJ00,893.0
22,ZW25810,T001116,T001351,A043067,2018JJ00,879.0
23,ZW25810,T001116,T001351,A043067,2019JJ00,857.0
24,ZW25810,T001116,T001351,A043068,2012JJ00,1320.0
25,ZW25810,T001116,T001351,A043068,2013JJ00,1339.0
26,ZW25810,T001116,T001351,A043068,2014JJ00,1298.0
27,ZW25810,T001116,T001351,A043068,2015JJ00,1277.0
28,ZW25810,T001116,T001351,A043068,2016JJ00,1259.0
29,ZW25810,T001116,T001351,A043068,2017JJ00,1244.3
30,ZW25810,T001116,T001351,A043068,2018JJ00,1228.0
31,ZW25810,T001116,T001351,A043068,2019JJ00,1197.0
32,ZW25810,T001116,T001351,A043069,2012JJ00,1798.0
33,ZW25810,T001116,T001351,A043069,2013JJ00,1824.0
34,ZW25810,T001116,T001351,A043069,2014JJ00,1771.0
35,ZW25810,T001116,T001351,A043069,2015JJ00,1743.0
36,ZW25810,T001116,T001351,A043069,2016JJ00,1718.0
37,ZW25810,T001116,T001351,A043069,2017JJ00,1699.0
38,ZW25810,T001116,T001351,A043069,2018JJ00,1681.0
39,ZW25810,T001116,T001351,A043069,2019JJ00,1642.0
40,ZW25810,T001116,T001351,A043070,2012JJ00,2702.0
41,ZW25810,T001116,T001351,A043070,2013JJ00,2732.0
42,ZW25810,T001116,T001351,A043070,2014JJ00,2654.0
43,ZW25810,T001116,T001351,A043070,2015JJ00,2611.0
44,ZW25810,T001116,T001351,A043070,2016JJ00,2575.0
45,ZW25810,T001116,T001351,A043070,2017JJ00,2551.0
46,ZW25810,T001116,T001351,A043070,2018JJ00,2533.0
47,ZW25810,T001116,T001351,A043070,2019JJ00,2481.0
48,ZW25810,T001116,A043072,A043830,2012JJ00,1718.6
49,ZW25810,T001116,A043072,A043830,2013JJ00,1726.2
50,ZW25810,T001116,A043072,A043830,2014JJ00,1681.3
51,ZW25810,T001116,A043072,A043830,2015JJ00,1657.6
52,ZW25810,T001116,A043072,A043830,2016JJ00,1633.3
53,ZW25810,T001116,A043072,A043830,2017JJ00,1617.2
54,ZW25810,T001116,A043072,A043830,2018JJ00,1597.0
55,ZW25810,T001116,A043072,A043830,2019JJ00,1564.0
56,ZW25810,T001116,A043072,A043066,2012JJ00,816.0
57,ZW25810,T001116,A043072,A043066,2013JJ00,823.0
58,ZW25810,T001116,A043072,A043066,2014JJ00,809.0
59,ZW25810,T001116,A043072,A043066,2015JJ00,803.0
60,ZW25810,T001116,A043072,A043066,2016JJ00,790.0
61,ZW25810,T001116,A043072,A043066,2017JJ00,784.0
62,ZW25810,T001116,A043072,A043066,2018JJ00,768.0
63,ZW25810,T001116,A043072,A043066,2019JJ00,754.0
64,ZW25810,T001116,A043072,A043067,2012JJ00,1216.0
65,ZW25810,T001116,A043072,A043067,2013JJ00,1223.0
66,ZW25810,T001116,A043072,A043067,2014JJ00,1193.0
67,ZW25810,T001116,A043072,A043067,2015JJ00,1178.0
68,ZW25810,T001116,A043072,A043067,2016JJ00,1161.0
69,ZW25810,T001116,A043072,A043067,2017JJ00,1150.0
70,ZW25810,T001116,A043072,A043067,2018JJ00,1131.0
71,ZW25810,T001116,A043072,A043067,2019JJ00,1105.0
72,ZW25810,T001116,A043072,A043068,2012JJ00,1614.0
73,ZW25810,T001116,A043072,A043068,2013JJ00,1622.0
74,ZW25810,T001116,A043072,A043068,2014JJ00,1579.0
75,ZW25810,T001116,A043072,A043068,2015JJ00,1556.0
76,ZW25810,T001116,A043072,A043068,2016JJ00,1534.0
77,ZW25810,T001116,A043072,A043068,2017JJ00,1519.0
78,ZW25810,T001116,A043072,A043068,2018JJ00,1498.0
79,ZW25810,T001116,A043072,A043068,2019JJ00,1465.0
80,ZW25810,T001116,A043072,A043069,2012JJ00,2125.0
81,ZW25810,T001116,A043072,A043069,2013JJ00,2133.0
82,ZW25810,T001116,A043072,A043069,2014JJ00,2077.0
83,ZW25810,T001116,A043072,A043069,2015JJ00,2043.0
84,ZW25810,T001116,A043072,A043069,2016JJ00,2014.0
85,ZW25810,T001116,A043072,A043069,2017JJ00,1995.0
86,ZW25810,T001116,A043072,A043069,2018JJ00,1972.0
87,ZW25810,T001116,A043072,A043069,2019JJ00,1930.0
88,ZW25810,T001116,A043072,A043070,2012JJ00,2979.0
89,ZW25810,T001116,A043072,A043070,2013JJ00,2987.0
90,ZW25810,T001116,A043072,A043070,2014JJ00,2902.0
91,ZW25810,T001116,A043072,A043070,2015JJ00,2855.0
92,ZW25810,T001116,A043072,A043070,2016JJ00,2814.0
93,ZW25810,T001116,A043072,A043070,2017JJ00,2785.0
94,ZW25810,T001116,A043072,A043070,2018JJ00,2765.0
95,ZW25810,T001116,A043072,A043070,2019JJ00,2711.0
96,ZW25810,T001116,A043073,A043830,2012JJ00,1260.2
97,ZW25810,T001116,A043073,A043830,2013JJ00,1252.6
98,ZW25810,T001116,A043073,A043830,2014JJ00,1213.8
99,ZW25810,T001116,A043073,A043830,2015JJ00,1200.7
100,ZW25810,T001116,A043073,A043830,2016JJ00,1174.7
101,ZW25810,T001116,A043073,A043830,2017JJ00,1156.4
102,ZW25810,T001116,A043073,A043830,2018JJ00,1139.0
103,ZW25810,T001116,A043073,A043830,2019JJ00,1108.5
104,ZW25810,T001116,A043073,A043066,2012JJ00,632.0
105,ZW25810,T001116,A043073,A043066,2013JJ00,632.5
106,ZW25810,T001116,A043073,A043066,2014JJ00,614.5
107,ZW25810,T001116,A043073,A043066,2015JJ00,611.0
108,ZW25810,T001116,A043073,A043066,2016JJ00,598.5
109,ZW25810,T001116,A043073,A043066,2017JJ00,592.0
110,ZW25810,T001116,A043073,A043066,2018JJ00,580.0
