ID,Perioden,InGebruikGenomenZonneboilers_1,Collectoroppervlak_2,Collectoroppervlak6m2_3
0,2002KW01,2475,6773,493
1,2002KW02,2610,6860,1221
2,2002KW03,1635,6809,2015
3,2002KW04,3315,7638,2273
4,2002JJ00,10035,28080,6002
5,2003KW01,2110,6336,2322
6,2003KW02,2286,6521,470
7,2003KW03,2011,5314,688
8,2003KW04,1978,5279,756
9,2003JJ00,8385,23450,4236
10,2004KW01,2331,7289,1076
11,2004KW02,1677,4409,2300
12,2004KW03,1585,3892,1069
13,2004KW04,2251,5694,615
14,2004JJ00,7844,21284,5060
15,2005KW01,2251,5475,110
16,2005KW02,1962,4721,1444
17,2005KW03,1354,3258,634
18,2005KW04,1727,4541,394
19,2005JJ00,7294,17995,2582
20,2006KW01,1647,3453,640
21,2006KW02,1461,3617,571
22,2006KW03,1180,2684,193
23,2006KW04,1338,3432,347
24,2006JJ00,5626,13186,1751
25,2007KW01,1105,2736,512
26,2007KW02,1426,4089,728
27,2007KW03,1731,4898,312
28,2007KW04,2103,5712,933
29,2007JJ00,6365,17435,2485
30,2008KW01,1872,4272,477
31,2008KW02,1534,4176,571
32,2008KW03,1290,3639,631
33,2008KW04,2588,8188,1460
34,2008JJ00,7284,20275,3139
35,2009KW01,2323,7221,2469
36,2009KW02,2991,8988,3733
37,2009KW03,2963,8595,2124
38,2009KW04,3245,9440,2690
39,2009JJ00,11522,34244,11016
40,2010KW01,2206,6888,1791
41,2010KW02,2649,8458,12975
42,2010KW03,2601,7791,1681
43,2010KW04,2941,8655,1623
44,2010JJ00,10397,31792,18070
45,2011KW01,2667,7284,1864
46,2011KW02,2882,7503,2280
47,2011KW03,2256,5806,1776
48,2011KW04,2430,7047,2885
49,2011JJ00,10235,27640,8805
50,2012KW01,1971,5633,5970
51,2012KW02,2845,8307,3028
52,2012KW03,1967,6039,3187
53,2012KW04,2597,7643,4027
54,2012JJ00,9380,27622,16212
