ID,Perioden,TotaalVerkoopwaarden_1,Aardgas_2,Aardolie_3,Overige_4,BinnenlandseVerkoop_5,BuitenlandseVerkoop_6,Aardgas_7,Aardolie_8
0,1990KW01,2415,2289,83,42,1547,868,23845.0,751
1,1990KW02,1347,1241,62,45,881,466,12894.0,710
2,1990KW03,1193,1062,83,47,736,457,11991.0,705
3,1990KW04,2490,2341,105,45,1502,988,25862.0,694
4,1990JJ00,7446,6933,334,179,4667,2778,74592.0,2860
5,1991KW01,3209,3094,70,44,2032,1178,28149.0,686
6,1991KW02,1874,1745,74,55,1133,741,16124.0,660
7,1991KW03,1170,1053,67,50,697,473,11280.0,650
8,1991KW04,2793,2669,73,52,1677,1116,28142.0,650
9,1991JJ00,9046,8561,284,201,5538,3508,83695.0,2646
10,1992KW01,2938,2821,64,53,1850,1088,29152.0,670
11,1992KW02,1509,1393,63,53,888,622,16064.0,617
12,1992KW03,1099,982,58,59,620,478,11448.0,605
13,1992KW04,2482,2371,50,61,1491,991,27631.0,627
14,1992JJ00,8027,7567,235,226,4849,3179,84295.0,2518
15,1993KW01,2679,2561,61,58,1702,977,29055.0,643
16,1993KW02,1392,1271,61,60,813,579,15189.0,631
17,1993KW03,1173,1065,51,57,699,474,12695.0,621
18,1993KW04,2621,2486,57,79,1571,1051,29602.0,731
19,1993JJ00,7865,7382,230,254,4784,3081,86540.0,2626
20,1994KW01,2678,2536,76,66,1739,939,28878.0,919
21,1994KW02,1418,1288,82,48,898,520,15388.0,881
22,1994KW03,1126,1014,74,39,692,435,12317.0,804
23,1994KW04,2111,1983,81,48,1292,819,25569.0,851
24,1994JJ00,7334,6820,313,201,4621,2713,82152.0,3456
25,1995MM01,1061,1011,28,23,677,384,11229.0,298
26,1995MM02,782,737,24,21,511,272,8106.0,258
27,1995MM03,800,756,22,23,555,245,9270.0,274
28,1995KW01,2644,2504,74,67,1743,901,28604.0,829
29,1995MM04,613,563,22,27,402,211,6141.0,220
30,1995MM05,476,431,22,24,292,184,4777.0,231
31,1995MM06,442,393,24,26,269,174,4502.0,255
32,1995KW02,1532,1386,68,78,962,569,15420.0,706
33,1995MM07,334,295,14,25,205,129,3235.0,179
34,1995MM08,354,313,17,25,222,132,3440.0,207
35,1995MM09,478,432,22,25,276,202,4742.0,253
36,1995KW03,1166,1040,53,74,702,464,11418.0,640
37,1995MM10,545,500,19,27,314,231,6158.0,221
38,1995MM11,778,727,22,29,471,307,9152.0,256
39,1995MM12,1165,1102,26,37,713,452,12339.0,275
40,1995KW04,2489,2329,66,93,1498,991,27649.0,752
41,1995JJ00,7830,7259,260,311,4906,2925,83091.0,2927
42,1996MM01,1176,1126,24,26,777,399,12712.0,245
43,1996MM02,1089,1036,24,29,692,396,12055.0,239
44,1996MM03,1021,952,41,28,618,403,11333.0,357
45,1996KW01,3285,3113,89,83,2087,1198,36100.0,841
46,1996MM04,658,606,25,27,381,278,6990.0,216
47,1996MM05,587,530,25,33,349,238,5958.0,219
48,1996MM06,431,384,18,29,236,196,4389.0,171
49,1996KW02,1677,1519,69,89,966,711,17337.0,606
50,1996MM07,434,380,23,32,245,189,4125.0,200
51,1996MM08,413,364,18,31,233,180,3886.0,169
52,1996MM09,514,459,25,30,302,212,4921.0,184
53,1996KW03,1362,1203,65,93,781,581,12932.0,553
54,1996MM10,690,636,26,28,399,291,6784.0,189
55,1996MM11,923,863,26,34,560,362,8735.0,201
56,1996MM12,1191,1122,31,38,758,433,11903.0,222
57,1996KW04,2804,2620,84,100,1718,1086,27422.0,612
58,1996JJ00,9128,8456,307,365,5552,3576,93791.0,2612
59,1997MM01,1460,1394,39,28,935,525,12985.0,268
60,1997MM02,987,927,29,31,600,387,8758.0,217
61,1997MM03,858,807,22,28,517,340,7479.0,184
62,1997KW01,3305,3128,90,87,2052,1252,29223.0,668
63,1997MM04,807,751,25,30,467,340,7078.0,216
64,1997MM05,573,527,23,23,344,229,5006.0,196
65,1997MM06,452,406,20,27,250,202,4216.0,150
66,1997KW02,1832,1684,68,80,1061,771,16300.0,562
67,1997MM07,455,402,25,28,263,192,4081.0,193
68,1997MM08,421,374,21,26,247,173,3840.0,155
69,1997MM09,482,431,23,28,280,202,4532.0,186
70,1997KW03,1358,1207,69,82,790,568,12453.0,534
71,1997MM10,749,690,34,25,471,277,6777.0,257
72,1997MM11,970,910,31,29,584,386,9123.0,243
73,1997MM12,1114,1052,33,28,687,427,10189.0,297
74,1997KW04,2832,2651,98,83,1743,1090,26088.0,797
75,1997JJ00,9327,8671,325,331,5646,3682,84065.0,2560
76,1998MM01,1179,1112,29,39,749,431,10161.0,284
77,1998MM02,904,856,19,29,569,334,7945.0,204
78,1998MM03,902,815,22,65,578,324,7775.0,270
79,1998KW01,2985,2783,69,134,1897,1089,25881.0,758
80,1998MM04,700,623,20,57,455,245,5935.0,221
81,1998MM05,548,456,18,75,331,217,4587.0,206
82,1998MM06,430,353,15,61,254,176,3741.0,200
83,1998KW02,1678,1431,54,193,1040,638,14264.0,627
84,1998MM07,414,357,15,42,237,177,3909.0,219
85,1998MM08,433,347,13,73,260,173,3848.0,185
86,1998MM09,538,453,15,70,339,199,4518.0,187
87,1998KW03,1384,1157,43,185,835,550,12274.0,590
88,1998MM10,666,613,13,39,416,249,7100.0,171
89,1998MM11,943,868,17,58,608,334,10232.0,257
90,1998MM12,987,897,15,75,603,384,10422.0,245
91,1998KW04,2595,2378,44,172,1627,968,27754.0,673
92,1998JJ00,8643,7749,210,684,5399,3244,80173.0,2648
93,1999MM01,856,809,15,32,556,300,9544.0,235
94,1999MM02,821,762,15,44,550,271,9158.0,315
95,1999MM03,697,642,20,36,451,246,8122.0,270
96,1999KW01,2375,2213,49,113,1556,818,26824.0,819
97,1999MM04,527,479,20,29,338,190,6038.0,212
98,1999MM05,407,332,20,54,265,141,4184.0,203
99,1999MM06,378,307,21,50,218,160,4031.0,209
100,1999KW02,1312,1118,61,133,821,491,14253.0,623
101,1999MM07,368,289,22,57,231,136,3680.0,175
102,1999MM08,362,295,29,38,228,134,3635.0,225
103,1999MM09,353,265,24,64,220,133,3670.0,166
104,1999KW03,1082,849,75,159,679,403,10985.0,565
105,1999MM10,573,517,24,33,370,203,5622.0,167
106,1999MM11,773,711,33,29,487,286,8007.0,227
107,1999MM12,1031,933,43,55,596,435,10046.0,275
108,1999KW04,2378,2162,99,117,1453,924,23676.0,669
109,1999JJ00,7147,6342,284,521,4511,2636,75738.0,2676
110,2000MM01,1128,1053,36,38,658,470,9998.0,220
111,2000MM02,1015,942,51,22,589,426,8793.0,227
112,2000MM03,981,901,44,37,538,443,8476.0,207
113,2000KW01,3123,2896,131,97,1785,1339,27268.0,654
114,2000MM04,765,700,37,28,412,353,5861.0,212
115,2000MM05,621,543,37,41,314,307,4456.0,169
116,2000MM06,545,439,41,64,250,295,3786.0,180
117,2000KW02,1931,1682,115,133,975,956,14102.0,562
118,2000MM07,596,515,38,42,299,297,3885.0,172
119,2000MM08,502,435,32,35,264,238,3140.0,141
120,2000MM09,544,457,41,46,296,248,3279.0,164
121,2000KW03,1642,1407,112,123,859,783,10305.0,478
122,2000MM10,881,776,62,43,501,381,5353.0,212
123,2000MM11,1205,1098,53,54,637,567,7540.0,189
124,2000MM12,1321,1231,45,46,722,599,8809.0,210
125,2000KW04,3407,3105,159,143,1860,1547,21702.0,611
126,2000JJ00,10104,9089,517,497,5480,4624,73376.0,2304
127,2001MM01,1780,1683,49,49,895,885,10732.0,218
128,2001MM02,1408,1326,38,44,735,673,8652.0,172
129,2001MM03,1481,1395,44,42,775,706,8843.0,223
130,2001KW01,4669,4404,130,135,2405,2264,28227.0,612
131,2001MM04,1187,1107,36,44,562,625,7239.0,168
132,2001MM05,844,750,36,57,374,470,4923.0,150
133,2001MM06,728,642,32,54,344,384,4179.0,136
134,2001KW02,2759,2498,105,156,1280,1479,16340.0,454
135,2001MM07,680,573,34,73,311,369,3858.0,166
136,2001MM08,637,557,28,52,310,328,3800.0,137
