ID,Perioden,OutputBasisprijzen_1,IntermediairVerbruik_2,Totaal_3,ALandbouwBosbouwEnVisserij_4,BENijverheidGeenBouwEnEnergie_5,BDelfstoffenwinning_6,CIndustrie_7,DEnergievoorziening_8,EWaterbedrijvenEnAfvalbeheer_9,FBouwnijverheid_10,GIHandelVervoerEnHoreca_11,JInformatieEnCommunicatie_12,KFinancieleDienstverlening_13,LVerhuurEnHandelVanOnroerendGoed_14,MNZakelijkeDienstverlening_15,OQOverheidEnZorg_16,RUCultuurRecreatieOverigeDiensten_17,Saldo_18,ProductgebondenBelastingen_19,ProductgebondenSubsidies_20,BrutoBinnenlandsProduct_21,OutputBasisprijzen_22,IntermediairVerbruik_23,Totaal_24,ALandbouwBosbouwEnVisserij_25,BENijverheidGeenBouwEnEnergie_26,BDelfstoffenwinning_27,CIndustrie_28,DEnergievoorziening_29,EWaterbedrijvenEnAfvalbeheer_30,FBouwnijverheid_31,GIHandelVervoerEnHoreca_32,JInformatieEnCommunicatie_33,KFinancieleDienstverlening_34,LVerhuurEnHandelVanOnroerendGoed_35,MNZakelijkeDienstverlening_36,OQOverheidEnZorg_37,RUCultuurRecreatieOverigeDiensten_38,Saldo_39,ProductgebondenBelastingen_40,ProductgebondenSubsidies_41,BrutoBinnenlandsProduct_42,OutputBasisprijzen_43,IntermediairVerbruik_44,Totaal_45,ALandbouwBosbouwEnVisserij_46,BENijverheidGeenBouwEnEnergie_47,BDelfstoffenwinning_48,CIndustrie_49,DEnergievoorziening_50,EWaterbedrijvenEnAfvalbeheer_51,FBouwnijverheid_52,GIHandelVervoerEnHoreca_53,JInformatieEnCommunicatie_54,KFinancieleDienstverlening_55,LVerhuurEnHandelVanOnroerendGoed_56,MNZakelijkeDienstverlening_57,OQOverheidEnZorg_58,RUCultuurRecreatieOverigeDiensten_59,Saldo_60,ProductgebondenBelastingen_61,ProductgebondenSubsidies_62,BrutoBinnenlandsProduct_63,OutputBasisprijzen_64,IntermediairVerbruik_65,Totaal_66,ALandbouwBosbouwEnVisserij_67,BENijverheidGeenBouwEnEnergie_68,BDelfstoffenwinning_69,CIndustrie_70,DEnergievoorziening_71,EWaterbedrijvenEnAfvalbeheer_72,FBouwnijverheid_73,GIHandelVervoerEnHoreca_74,JInformatieEnCommunicatie_75,KFinancieleDienstverlening_76,LVerhuurEnHandelVanOnroerendGoed_77,MNZakelijkeDienstverlening_78,OQOverheidEnZorg_79,RUCultuurRecreatieOverigeDiensten_80,Saldo_81,ProductgebondenBelastingen_82,ProductgebondenSubsidies_83,BrutoBinnenlandsProduct_84,Totaal_85,Lonen_86,SocialePremiesTLVWerkgevers_87,Saldo_88,BelastingenOpProductieEnInvoer_89,Subsidies_90,Bruto_91,VerbruikVanVasteActiva_92,Netto_93,BrutoBinnenlandsProduct_94,Totaal_95,Lonen_96,SocialePremiesTLVWerkgevers_97,Saldo_98,BelastingenOpProductieEnInvoer_99,Subsidies_100,Bruto_101,VerbruikVanVasteActiva_102,Netto_103,BrutoBinnenlandsProduct_104,Totaal_105,Lonen_106,SocialePremiesTLVWerkgevers_107,Saldo_108,BelastingenOpProductieEnInvoer_109,Subsidies_110,Bruto_111,VerbruikVanVasteActiva_112,Netto_113,BrutoBinnenlandsProduct_114,Totaal_115,Lonen_116,SocialePremiesTLVWerkgevers_117,Saldo_118,BelastingenOpProductieEnInvoer_119,Subsidies_120,Bruto_121,VerbruikVanVasteActiva_122,Netto_123,BrutoBinnenlandsProduct_124,Totaal_125,Totaal_126,Huishoudens_127,Overheid_128,Totaal_129,BedrijvenEnHuishoudens_130,Overheid_131,VeranderingInVoorraden_132,Totaal_133,Goederen_134,Diensten_135,Totaal_136,Goederen_137,Diensten_138,BrutoBinnenlandsProduct_139,Totaal_140,Totaal_141,Huishoudens_142,Overheid_143,Totaal_144,BedrijvenEnHuishoudens_145,Overheid_146,VeranderingInVoorraden_147,Totaal_148,Goederen_149,Diensten_150,Totaal_151,Goederen_152,Diensten_153,BrutoBinnenlandsProduct_154,Totaal_155,Totaal_156,Huishoudens_157,Overheid_158,Totaal_159,BedrijvenEnHuishoudens_160,Overheid_161,VeranderingInVoorraden_162,Totaal_163,Goederen_164,Diensten_165,Totaal_166,Goederen_167,Diensten_168,BrutoBinnenlandsProduct_169,Totaal_170,Totaal_171,Huishoudens_172,Overheid_173,Totaal_174,BedrijvenEnHuishoudens_175,Overheid_176,VeranderingInVoorraden_177,Totaal_178,Goederen_179,Diensten_180,Totaal_181,Goederen_182,Diensten_183,BrutoBinnenlandsProduct_184
0,1995JJ00,592653.0,292906.0,299747.0,10260.0,61601.0,7206.0,48252.0,4382.0,1761.0,15435.0,58163.0,9414.0,22497.0,22726.0,32716.0,60035.0,6900.0,30285.0,32751.0,2466.0,330032.0,944182.0,476339.0,467976.0,10073.0,78852.0,32779.0,53211.0,5153.0,2655.0,30770.0,85799.0,8840.0,30420.0,37534.0,59296.0,116335.0,14299.0,68709.0,70454.0,503.0,535573.0,,,,,,,,,,,,,,,,,,,,,,62.8,61.5,64.1,101.9,78.1,22.0,90.7,85.0,66.3,50.2,67.8,106.5,74.0,60.5,55.2,51.6,48.3,44.1,46.5,489.9,61.6,165560.0,138950.0,26610.0,31135.0,35916.0,4781.0,133337.0,52832.0,80505.0,330032.0,,,,59945.0,78713.0,14490.0,,82473.0,,535573.0,,,,,,,,,,,,,,51.9,45.6,33.0,,64.1,,61.6,305388.0,234688.0,161105.0,73583.0,69001.0,56524.0,12477.0,1699.0,190402.0,149194.0,41208.0,165758.0,129357.0,36401.0,330032.0,498832.0,394911.0,265225.0,130205.0,104180.0,85267.0,18719.0,8.0,244028.0,182716.0,59674.0,207953.0,149438.0,55689.0,535573.0,,,,,,,,,,,,,,,,61.2,59.4,60.7,56.5,66.2,66.3,66.7,,78.0,81.7,69.1,79.7,86.6,65.4,61.6
1,1996JJ00,628103.0,316110.0,311993.0,9952.0,63500.0,8577.0,48263.0,4716.0,1944.0,15812.0,59891.0,10392.0,23345.0,24360.0,36729.0,60894.0,7118.0,33307.0,35093.0,1786.0,345300.0,987407.0,505260.0,482571.0,9617.0,81770.0,37269.0,54216.0,5455.0,2842.0,30204.0,89160.0,9413.0,32231.0,38304.0,64895.0,116445.0,14254.0,73113.0,73647.0,410.0,553893.0,4.6,6.1,3.1,-4.5,3.7,13.7,1.9,5.9,7.0,-1.8,3.9,6.5,6.0,2.1,9.4,0.1,-0.3,6.4,4.5,-18.5,3.4,63.6,62.6,64.7,103.5,77.7,23.0,89.0,86.5,68.4,52.4,67.2,110.4,72.4,63.6,56.6,52.3,49.9,45.6,47.7,435.5,62.3,171981.0,144255.0,27726.0,33367.0,38332.0,4965.0,139952.0,54638.0,85314.0,345300.0,,,,62536.0,82279.0,15341.0,,84247.0,,553893.0,,,,4.3,4.5,5.9,,2.2,,3.4,,,,53.4,46.6,32.4,,64.9,,62.3,321365.0,244591.0,171161.0,73430.0,74334.0,60528.0,13806.0,2440.0,199577.0,155227.0,44350.0,175642.0,136712.0,38930.0,345300.0,518946.0,406419.0,278214.0,128345.0,111152.0,90374.0,20569.0,1175.0,253928.0,188711.0,63772.0,218930.0,157105.0,58922.0,553893.0,4.0,2.9,4.9,-1.4,6.7,6.0,9.9,,4.1,3.3,6.9,5.3,5.1,5.8,3.4,61.9,60.2,61.5,57.2,66.9,67.0,67.1,,78.6,82.3,69.5,80.2,87.0,66.1,62.3
2,1997JJ00,677228.0,343699.0,333529.0,10995.0,65050.0,8287.0,50050.0,4554.0,2159.0,16420.0,65995.0,12289.0,24744.0,26380.0,40288.0,63532.0,7836.0,36131.0,37870.0,1739.0,369660.0,1042208.0,539139.0,503705.0,10313.0,82066.0,33358.0,55579.0,5229.0,3004.0,30408.0,95403.0,11103.0,34719.0,39612.0,69263.0,118461.0,15027.0,75321.0,75802.0,415.0,577425.0,5.6,6.7,4.4,7.2,0.4,-10.5,2.5,-4.1,5.7,0.7,7.0,18.0,7.7,3.4,6.7,1.7,5.4,3.0,2.9,1.2,4.2,65.0,63.7,66.2,106.6,79.3,24.8,90.1,87.1,71.9,54.0,69.2,110.7,71.3,66.6,58.2,53.6,52.1,48.0,50.0,419.2,64.0,181634.0,153571.0,28063.0,35549.0,41105.0,5556.0,152477.0,57023.0,95454.0,369660.0,,,,63202.0,84456.0,17378.0,,86657.0,,577425.0,,,,1.1,2.6,13.3,,2.9,,4.2,,,,56.2,48.7,32.0,,65.8,,64.0,342909.0,259536.0,182336.0,77200.0,80036.0,66307.0,13729.0,3337.0,224627.0,173463.0,51164.0,197876.0,152559.0,45317.0,369660.0,542325.0,421606.0,289743.0,131923.0,117901.0,97470.0,20212.0,2229.0,278390.0,205421.0,71653.0,242655.0,172412.0,67570.0,577425.0,4.5,3.7,4.1,2.8,6.1,7.9,-1.7,,9.6,8.9,12.4,10.8,9.7,14.7,4.2,63.2,61.6,62.9,58.5,67.9,68.0,67.9,,80.7,84.4,71.4,81.5,88.5,67.1,64.0
3,1998JJ00,721160.0,365278.0,355882.0,10130.0,68035.0,7537.0,53279.0,4991.0,2228.0,17581.0,72555.0,14347.0,25942.0,28415.0,44033.0,66459.0,8385.0,38957.0,40629.0,1672.0,394839.0,1101136.0,575106.0,526905.0,9841.0,84983.0,32159.0,58229.0,5511.0,2975.0,31499.0,102028.0,13222.0,37569.0,40448.0,73102.0,120251.0,15518.0,79113.0,79387.0,408.0,604262.0,5.7,6.7,4.6,-4.6,3.6,-3.6,4.8,5.4,-1.0,3.6,6.9,19.1,8.2,2.1,5.5,1.5,3.3,5.0,4.7,-1.6,4.6,65.5,63.5,67.5,102.9,80.1,23.4,91.5,90.6,74.9,55.8,71.1,108.5,69.1,70.3,60.2,55.3,54.0,49.2,51.2,409.6,65.3,194666.0,155070.0,39596.0,37725.0,44003.0,6278.0,162448.0,59843.0,102605.0,394839.0,,,,65305.0,88446.0,19752.0,,89893.0,,604262.0,,,,3.3,4.7,13.7,,3.7,,4.6,,,,57.8,49.8,31.8,,66.6,,65.3,367412.0,277615.0,195811.0,81804.0,86100.0,71943.0,14157.0,3697.0,235629.0,180843.0,54786.0,208202.0,158374.0,49828.0,394839.0,572253.0,443070.0,306236.0,136766.0,125794.0,104810.0,20749.0,2581.0,296691.0,219609.0,75555.0,262900.0,186219.0,73969.0,604262.0,5.5,5.1,5.7,3.7,6.7,7.5,2.7,,6.6,6.9,5.4,8.3,8.0,9.5,4.6,64.2,62.7,63.9,59.8,68.4,68.6,68.2,,79.4,82.3,72.5,79.2,85.0,67.4,65.3
4,1999JJ00,768810.0,392270.0,376540.0,9827.0,68411.0,6529.0,54504.0,4871.0,2507.0,19803.0,76443.0,16237.0,28164.0,30159.0,48612.0,69892.0,8992.0,43603.0,45196.0,1593.0,420143.0,1159772.0,608816.0,552062.0,10506.0,87470.0,30537.0,60851.0,5206.0,3306.0,33901.0,106926.0,15574.0,39891.0,41183.0,78660.0,122227.0,16221.0,85047.0,85493.0,458.0,634737.0,5.3,5.9,4.8,6.8,2.9,-5.0,4.5,-5.5,11.1,7.6,4.8,17.8,6.2,1.8,7.6,1.6,4.5,7.5,7.7,12.1,5.0,66.3,64.4,68.2,93.5,78.2,21.4,89.6,93.6,75.8,58.4,71.5,104.3,70.6,73.2,61.8,57.2,55.4,51.3,52.9,348.0,66.2,209646.0,166790.0,42856.0,41908.0,48986.0,7078.0,168589.0,63648.0,104941.0,420143.0,,,,70481.0,95360.0,21167.0,,93936.0,,634737.0,,,,7.9,7.8,7.2,,4.5,,5.0,,,,59.5,51.4,33.4,,67.8,,66.2,393825.0,297313.0,211203.0,86110.0,96071.0,80261.0,15810.0,441.0,253329.0,192325.0,61004.0,227011.0,169728.0,57283.0,420143.0,602123.0,464902.0,324500.0,140111.0,138334.0,115174.0,22902.0,-2002.0,323516.0,238812.0,83127.0,288873.0,202991.0,83329.0,634737.0,5.2,4.9,6.0,2.4,10.0,9.9,10.4,,9.0,8.7,10.0,9.9,9.0,12.7,5.0,65.4,64.0,65.1,61.5,69.4,69.7,69.0,,78.3,80.5,73.4,78.6,83.6,68.7,66.2
5,2000JJ00,844418.0,438445.0,405973.0,10449.0,73929.0,9253.0,57479.0,4483.0,2714.0,21482.0,82926.0,18133.0,29670.0,32538.0,53043.0,74184.0,9619.0,46218.0,47718.0,1500.0,452191.0,1215471.0,640163.0,576584.0,10619.0,91179.0,28573.0,64294.0,5271.0,3538.0,34680.0,114573.0,18147.0,41008.0,41803.0,82365.0,124493.0,16735.0,87003.0,87333.0,449.0,661521.0,4.8,5.1,4.4,1.1,4.2,-6.4,5.7,1.3,7.0,2.3,7.2,16.5,2.8,1.5,4.7,1.9,3.2,2.3,2.2,-1.9,4.2,69.5,68.5,70.4,98.4,81.1,32.4,89.4,85.0,76.7,61.9,72.4,99.9,72.4,77.8,64.4,59.6,57.5,53.1,54.6,334.0,68.4,226797.0,178788.0,48009.0,44732.0,51785.0,7053.0,180662.0,69098.0,111564.0,452191.0,,,,71939.0,97527.0,21903.0,,98402.0,,661521.0,,,,2.1,2.3,3.5,,4.8,,4.2,,,,62.2,53.1,32.2,,70.2,,68.4,419548.0,317991.0,225287.0,92704.0,101869.0,84751.0,17118.0,-312.0,300449.0,232858.0,67591.0,267806.0,204082.0,63724.0,452191.0,621664.0,481876.0,336403.0,145168.0,141681.0,117354.0,24070.0,-2745.0,362737.0,272139.0,88404.0,321658.0,228728.0,89503.0,661521.0,3.2,3.7,3.7,3.6,2.4,1.9,5.1,,12.1,14.0,6.3,11.3,12.7,7.4,4.2,67.5,66.0,67.0,63.9,71.9,72.2,71.1,,82.8,85.6,76.5,83.3,89.2,71.2,68.4
6,2001JJ00,894163.0,463688.0,430475.0,10796.0,79279.0,11614.0,60442.0,4292.0,2931.0,23523.0,88169.0,20294.0,32053.0,26756.0,58649.0,80654.0,10302.0,52466.0,53620.0,1154.0,482941.0,1242811.0,653933.0,590166.0,10093.0,93655.0,29493.0,65982.0,5464.0,3586.0,35216.0,115669.0,20130.0,41057.0,42133.0,86198.0,127950.0,16991.0,88780.0,88913.0,425.0,676892.0,2.2,2.2,2.4,-5.0,2.7,3.2,2.6,3.7,1.4,1.5,1.0,10.9,0.1,0.8,4.7,2.8,1.5,2.0,1.8,-5.4,2.3,71.9,70.9,72.9,107.0,84.6,39.4,91.6,78.5,81.7,66.8,76.2,100.8,78.1,63.5,68.0,63.0,60.6,59.1,60.3,271.6,71.3,239194.0,191543.0,47651.0,50853.0,58109.0,7256.0,192894.0,74565.0,118329.0,482941.0,,,,73139.0,99759.0,23266.0,,102636.0,,676892.0,,,,1.7,2.3,6.2,,4.3,,2.3,,,,69.5,58.2,31.2,,72.7,,71.3,447833.0,338667.0,237739.0,100928.0,106692.0,87747.0,18945.0,2474.0,306052.0,235111.0,70941.0,270944.0,203389.0,67555.0,482941.0,640634.0,495025.0,343572.0,151238.0,143475.0,117529.0,25705.0,1057.0,368007.0,274043.0,91982.0,329657.0,232132.0,94591.0,676892.0,3.1,2.7,2.1,4.2,1.3,0.1,6.8,,1.5,0.7,4.0,2.5,1.5,5.7,2.3,69.9,68.4,69.2,66.7,74.4,74.7,73.7,,83.2,85.8,77.1,82.2,87.6,71.4,71.3
7,2002JJ00,916457.0,467313.0,449144.0,10498.0,78381.0,10686.0,59889.0,4731.0,3075.0,24770.0,92219.0,21821.0,33803.0,28919.0,58989.0,88798.0,10946.0,53757.0,55076.0,1319.0,502901.0,1240742.0,650502.0,591460.0,10184.0,93704.0,29798.0,65580.0,5633.0,3777.0,34525.0,113552.0,21004.0,42289.0,42138.0,83270.0,132651.0,17098.0,89191.0,89051.0,366.0,678556.0,-0.2,-0.5,0.2,0.9,0.1,1.0,-0.6,3.1,5.3,-2.0,-1.8,4.3,3.0,0.0,-3.4,3.7,0.6,0.5,0.2,-13.9,0.2,73.9,71.8,75.9,103.1,83.6,35.9,91.3,84.0,81.4,71.7,81.2,103.9,79.9,68.6,70.8,66.9,64.0,60.3,61.8,360.4,74.1,251188.0,198956.0,52232.0,52280.0,59762.0,7482.0,199433.0,79464.0,119969.0,502901.0,,,,73707.0,100066.0,22574.0,,105934.0,,678556.0,,,,0.8,0.3,-3.0,,3.2,,0.2,,,,70.9,59.7,33.1,,75.0,,74.1,465386.0,359949.0,249214.0,110735.0,105682.0,84277.0,21405.0,-245.0,302268.0,228720.0,73548.0,264753.0,193472.0,71281.0,502901.0,641236.0,505714.0,347755.0,157858.0,137688.0,109200.0,28303.0,-2391.0,369979.0,275233.0,92785.0,330720.0,231057.0,97134.0,678556.0,0.1,2.2,1.2,4.4,-4.0,-7.1,10.1,,0.5,0.4,0.9,0.3,-0.5,2.7,0.2,72.6,71.2,71.7,70.1,76.8,77.2,75.6,,81.7,83.1,79.3,80.1,83.7,73.4,74.1
8,2003JJ00,930561.0,470985.0,459576.0,10647.0,78313.0,11189.0,58978.0,4900.0,3246.0,24837.0,90991.0,23083.0,35672.0,31680.0,58916.0,94211.0,11226.0,55325.0,56649.0,1324.0,514901.0,1237120.0,646398.0,591820.0,10452.0,92504.0,29449.0,64555.0,5648.0,3832.0,32933.0,114499.0,21796.0,43034.0,41850.0,80815.0,135818.0,16739.0,89555.0,89377.0,361.0,679220.0,-0.3,-0.6,0.1,2.6,-1.3,-1.2,-1.6,0.3,1.5,-4.6,0.8,3.8,1.8,-0.7,-2.9,2.4,-2.1,0.4,0.4,-1.3,0.1,75.2,72.9,77.7,101.9,84.7,38.0,91.4,86.8,84.7,75.4,79.5,105.9,82.9,75.7,72.9,69.4,67.1,61.8,63.4,366.5,75.8,257981.0,203146.0,54835.0,53882.0,61374.0,7492.0,203038.0,82835.0,120203.0,514901.0,,,,74024.0,100243.0,22215.0,,108460.0,,679220.0,,,,0.4,0.2,-1.6,,2.4,,0.1,,,,72.8,61.2,33.7,,76.4,,75.8,477961.0,372761.0,255198.0,117563.0,105638.0,83399.0,22239.0,-438.0,305024.0,230711.0,74313.0,268084.0,194753.0,73331.0,514901.0,642305.0,509784.0,347394.0,162357.0,135280.0,106279.0,28840.0,-2766.0,376662.0,282322.0,92241.0,337896.0,238108.0,96916.0,679220.0,0.2,0.8,-0.1,2.9,-1.7,-2.7,1.9,,1.8,2.6,-0.6,2.2,3.1,-0.2,0.1,74.4,73.1,73.5,72.4,78.1,78.5,77.1,,81.0,81.7,80.6,79.3,81.8,75.7,75.8
9,2004JJ00,964259.0,490687.0,473572.0,9965.0,80958.0,11847.0,61334.0,4551.0,3226.0,25118.0,94000.0,23458.0,36164.0,34306.0,60686.0,97381.0,11536.0,58001.0,59187.0,1186.0,531573.0,1262349.0,659170.0,604274.0,11032.0,96380.0,32047.0,67132.0,5711.0,3698.0,32440.0,118728.0,22027.0,44283.0,42445.0,80630.0,137571.0,16736.0,90706.0,90469.0,356.0,692915.0,2.0,2.0,2.1,5.6,4.2,8.8,4.0,1.1,-3.5,-1.5,3.7,1.1,2.9,1.4,-0.2,1.3,0.0,1.3,1.2,-1.4,2.0,76.4,74.4,78.4,90.3,84.0,37.0,91.4,79.7,87.2,77.4,79.2,106.5,81.7,80.8,75.3,70.8,68.9,63.9,65.4,333.1,76.7,261726.0,205183.0,56543.0,56121.0,64105.0,7984.0,213726.0,85821.0,127905.0,531573.0,,,,74403.0,101504.0,23685.0,,110553.0,,692915.0,,,,0.5,1.3,6.6,,1.9,,2.0,,,,75.4,63.2,33.7,,77.6,,76.7,487805.0,380239.0,260558.0,119681.0,107266.0,86221.0,21045.0,300.0,332743.0,255660.0,77083.0,288975.0,214102.0,74873.0,531573.0,645909.0,512213.0,350040.0,162125.0,135376.0,108100.0,27084.0,-1768.0,407531.0,311053.0,94126.0,359698.0,258566.0,97663.0,692915.0,0.6,0.5,0.8,-0.1,0.1,1.7,-6.1,,8.2,10.2,2.0,6.5,8.6,0.8,2.0,75.5,74.2,74.4,73.8,79.2,79.8,77.7,,81.6,82.2,81.9,80.3,82.8,76.7,76.7
