ID,Zorgtype,Zorgaanbieders,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
0,T001698,T001699,2021JJ00,128928
1,T001698,T001699,2022JJ00,132683
2,T001698,T001699,2023JJ00,142239
3,T001698,T001699,2024JJ00,154933
4,T001698,A052927,2021JJ00,98283
5,T001698,A052927,2022JJ00,99509
6,T001698,A052927,2023JJ00,106380
7,T001698,A052927,2024JJ00,114957
8,T001698,A052928,2021JJ00,32543
9,T001698,A052928,2022JJ00,33581
10,T001698,A052928,2023JJ00,36129
11,T001698,A052928,2024JJ00,38709
12,T001698,A052929,2021JJ00,19727
13,T001698,A052929,2022JJ00,20160
14,T001698,A052929,2023JJ00,21527
15,T001698,A052929,2024JJ00,23215
16,T001698,A052930,2021JJ00,9329
17,T001698,A052930,2022JJ00,9611
18,T001698,A052930,2023JJ00,10369
19,T001698,A052930,2024JJ00,10880
20,T001698,A052931,2021JJ00,3486
21,T001698,A052931,2022JJ00,3810
22,T001698,A052931,2023JJ00,4233
23,T001698,A052931,2024JJ00,4615
24,T001698,A052932,2021JJ00,8926
25,T001698,A052932,2022JJ00,9641
26,T001698,A052932,2023JJ00,10608
27,T001698,A052932,2024JJ00,11749
28,T001698,A052933,2021JJ00,3937
29,T001698,A052933,2022JJ00,3891
30,T001698,A052933,2023JJ00,4280
31,T001698,A052933,2024JJ00,4739
32,T001698,A052934,2021JJ00,3080
33,T001698,A052934,2022JJ00,3123
34,T001698,A052934,2023JJ00,3355
35,T001698,A052934,2024JJ00,3468
36,T001698,A052935,2021JJ00,4250
37,T001698,A052935,2022JJ00,4552
38,T001698,A052935,2023JJ00,5020
39,T001698,A052935,2024JJ00,5282
40,T001698,A052936,2021JJ00,22410
41,T001698,A052936,2022JJ00,23016
42,T001698,A052936,2023JJ00,25052
43,T001698,A052936,2024JJ00,27417
44,T001698,A052937,2021JJ00,12017
45,T001698,A052937,2022JJ00,12554
46,T001698,A052937,2023JJ00,13596
47,T001698,A052937,2024JJ00,14839
48,T001698,A052938,2021JJ00,7333
49,T001698,A052938,2022JJ00,5120
50,T001698,A052938,2023JJ00,4240
51,T001698,A052938,2024JJ00,4177
52,T001698,A052939,2021JJ00,1122
53,T001698,A052939,2022JJ00,935
54,T001698,A052939,2023JJ00,883
55,T001698,A052939,2024JJ00,955
56,T001698,A052940,2021JJ00,2665
57,T001698,A052940,2022JJ00,3096
58,T001698,A052940,2023JJ00,3216
59,T001698,A052940,2024JJ00,3622
