ID,BronTechniek,Perioden,GenormaliseerdeBrutoProductie_1,BrutoElektriciteitsproductie_2,NettoElektriciteitsproductie_3,GenormaliseerdeBrutoProductie_4,BrutoElektriciteitsproductie_5,NettoElektriciteitsproductie_6,OpgesteldeInstallatiesEindeVanJaar_7,OpgesteldElektrischVermogenEindeJaar_8
379,E006583 ,2019JJ00,1092.0,895.0,865.0,0.89,0.73,0.73,,203.0
380,E006583 ,2020JJ00,1143.0,870.0,843.0,0.95,0.72,0.72,,205.0
381,E006583 ,2021JJ00,756.0,868.0,842.0,0.62,0.71,0.71,,180.0
382,E006583 ,2022JJ00,390.0,840.0,815.0,0.33,0.72,0.72,,179.0
383,E006583 ,2023JJ00,379.0,704.0,683.0,0.33,0.61,0.61,,185.0
384,E006583 ,2024JJ00,339.0,514.0,498.0,0.28,0.43,0.43,,189.0
385,E006673 ,1990JJ00,19.0,17.0,16.0,0.02,0.02,0.02,,4.0
386,E006673 ,1991JJ00,34.0,29.0,28.0,0.04,0.03,0.03,,6.0
387,E006673 ,1992JJ00,47.0,32.0,31.0,0.06,0.04,0.04,,7.0
388,E006673 ,1993JJ00,92.0,78.0,76.0,0.11,0.09,0.09,,17.0
389,E006673 ,1994JJ00,136.0,124.0,120.0,0.15,0.14,0.14,,27.0
390,E006673 ,1995JJ00,153.0,142.0,138.0,0.17,0.15,0.15,,31.0
391,E006673 ,1996JJ00,171.0,160.0,155.0,0.18,0.17,0.17,,35.0
392,E006673 ,1997JJ00,157.0,145.0,141.0,0.16,0.15,0.15,,32.0
393,E006673 ,1998JJ00,163.0,149.0,145.0,0.16,0.14,0.15,,33.0
394,E006673 ,1999JJ00,171.0,153.0,149.0,0.16,0.15,0.15,,34.0
395,E006673 ,2000JJ00,177.0,158.0,153.0,0.16,0.15,0.15,,35.0
396,E006673 ,2001JJ00,182.0,165.0,160.0,0.16,0.15,0.15,,37.0
397,E006673 ,2002JJ00,197.0,181.0,176.0,0.18,0.16,0.16,,40.0
398,E006673 ,2003JJ00,183.0,171.0,166.0,0.16,0.15,0.15,,38.0
399,E006673 ,2004JJ00,155.0,138.0,134.0,0.13,0.12,0.12,,32.0
400,E006673 ,2005JJ00,148.0,131.0,127.0,0.13,0.11,0.11,,31.0
401,E006673 ,2006JJ00,144.0,127.0,123.0,0.12,0.11,0.11,,32.0
402,E006673 ,2007JJ00,132.0,114.0,111.0,0.11,0.09,0.09,,30.0
403,E006673 ,2008JJ00,126.0,109.0,106.0,0.1,0.09,0.09,,31.0
404,E006673 ,2009JJ00,118.0,100.0,97.0,0.1,0.08,0.08,,29.0
405,E006673 ,2010JJ00,109.0,93.0,90.0,0.09,0.08,0.08,,28.0
406,E006673 ,2011JJ00,87.0,82.0,79.0,0.07,0.07,0.07,,27.0
407,E006673 ,2012JJ00,74.0,68.0,66.0,0.06,0.06,0.06,,23.0
408,E006673 ,2013JJ00,60.0,55.0,53.0,0.05,0.05,0.05,,24.0
409,E006673 ,2014JJ00,55.0,46.0,46.0,0.05,0.04,0.04,,20.0
410,E006673 ,2015JJ00,50.0,43.0,42.0,0.04,0.04,0.04,,20.0
411,E006673 ,2016JJ00,40.0,34.0,33.0,0.03,0.03,0.03,,21.0
412,E006673 ,2017JJ00,36.0,30.0,29.0,0.03,0.02,0.02,,21.0
413,E006673 ,2018JJ00,29.0,23.0,21.0,0.02,0.02,0.02,,19.0
414,E006673 ,2019JJ00,28.0,21.0,17.0,0.02,0.02,0.01,,20.0
415,E006673 ,2020JJ00,21.0,14.0,12.0,0.02,0.01,0.01,,19.0
416,E006673 ,2021JJ00,19.0,13.0,13.0,0.02,0.01,0.01,,12.0
417,E006673 ,2022JJ00,20.0,14.0,13.0,0.02,0.01,0.01,,10.0
418,E006673 ,2023JJ00,26.0,20.0,19.0,0.02,0.02,0.02,,13.0
419,E006673 ,2024JJ00,21.0,18.0,18.0,0.02,0.02,0.02,,13.0
420,E006674 ,1990JJ00,71.0,71.0,68.0,0.09,0.09,0.09,,14.0
421,E006674 ,1991JJ00,87.0,87.0,84.0,0.1,0.1,0.1,,13.0
422,E006674 ,1992JJ00,92.0,92.0,89.0,0.11,0.11,0.11,,13.0
423,E006674 ,1993JJ00,95.0,95.0,92.0,0.11,0.11,0.11,,16.0
424,E006674 ,1994JJ00,98.0,98.0,96.0,0.11,0.11,0.11,,17.0
425,E006674 ,1995JJ00,106.0,106.0,103.0,0.11,0.11,0.12,,17.0
426,E006674 ,1996JJ00,102.0,102.0,99.0,0.11,0.11,0.11,,17.0
427,E006674 ,1997JJ00,113.0,113.0,110.0,0.11,0.11,0.11,,17.0
428,E006674 ,1998JJ00,98.0,98.0,95.0,0.1,0.1,0.1,,18.0
429,E006674 ,1999JJ00,109.0,109.0,106.0,0.1,0.1,0.1,,19.0
430,E006674 ,2000JJ00,111.0,111.0,107.0,0.1,0.1,0.1,,19.0
431,E006674 ,2001JJ00,129.0,129.0,125.0,0.12,0.12,0.12,,20.0
432,E006674 ,2002JJ00,130.0,130.0,126.0,0.12,0.12,0.12,,20.0
433,E006674 ,2003JJ00,129.0,129.0,125.0,0.11,0.11,0.11,,20.0
434,E006674 ,2004JJ00,133.0,133.0,129.0,0.11,0.11,0.11,,22.0
435,E006674 ,2005JJ00,123.0,123.0,120.0,0.1,0.1,0.1,,23.0
436,E006674 ,2006JJ00,132.0,132.0,128.0,0.11,0.11,0.11,,28.0
437,E006674 ,2007JJ00,143.0,143.0,139.0,0.12,0.12,0.12,,34.0
438,E006674 ,2008JJ00,150.0,150.0,145.0,0.12,0.12,0.12,,34.0
439,E006674 ,2009JJ00,151.0,151.0,146.0,0.13,0.13,0.13,,34.0
440,E006674 ,2010JJ00,164.0,164.0,159.0,0.13,0.13,0.13,,36.0
441,E006674 ,2011JJ00,173.0,173.0,168.0,0.14,0.14,0.14,,37.0
442,E006674 ,2012JJ00,185.0,185.0,179.0,0.15,0.15,0.15,,40.0
443,E006674 ,2013JJ00,194.0,194.0,188.0,0.16,0.16,0.16,,41.0
444,E006674 ,2014JJ00,201.0,201.0,195.0,0.17,0.17,0.17,,44.0
445,E006674 ,2015JJ00,206.0,206.0,200.0,0.17,0.17,0.18,,43.0
446,E006674 ,2016JJ00,208.0,208.0,200.0,0.17,0.17,0.17,,38.0
447,E006674 ,2017JJ00,196.0,196.0,190.0,0.16,0.16,0.16,,38.0
448,E006674 ,2018JJ00,198.0,195.0,189.0,0.16,0.16,0.16,,44.0
449,E006674 ,2019JJ00,207.0,202.0,196.0,0.17,0.17,0.17,,41.0
450,E006674 ,2020JJ00,218.0,205.0,199.0,0.18,0.17,0.17,,42.0
451,E006674 ,2021JJ00,200.0,180.0,174.0,0.16,0.15,0.15,,39.0
452,E006674 ,2022JJ00,184.0,163.0,158.0,0.16,0.14,0.14,,41.0
453,E006674 ,2023JJ00,184.0,157.0,152.0,0.16,0.14,0.14,,40.0
454,E006674 ,2024JJ00,183.0,157.0,152.0,0.15,0.13,0.13,,40.0
455,E006675 ,1990JJ00,,,,,,,,
456,E006675 ,1991JJ00,,,,,,,,
457,E006675 ,1992JJ00,,,,,,,,
458,E006675 ,1993JJ00,,,,,,,,
459,E006675 ,1994JJ00,,,,,,,,
460,E006675 ,1995JJ00,,,,,,,,
461,E006675 ,1996JJ00,,,,,,,,
462,E006675 ,1997JJ00,,,,,,,,
463,E006675 ,1998JJ00,,,,,,,,
464,E006675 ,1999JJ00,,,,,,,,
465,E006675 ,2000JJ00,,,,,,,,
466,E006675 ,2001JJ00,,,,,,,,
467,E006675 ,2002JJ00,,,,,,,,
468,E006675 ,2003JJ00,,,,,,,,
469,E006675 ,2004JJ00,,,,,,,,
470,E006675 ,2005JJ00,9.0,9.0,9.0,0.01,0.01,0.01,17.0,5.0
471,E006675 ,2006JJ00,59.0,59.0,57.0,0.05,0.05,0.05,34.0,18.0
472,E006675 ,2007JJ00,187.0,187.0,181.0,0.15,0.15,0.15,52.0,43.0
473,E006675 ,2008JJ00,370.0,370.0,359.0,0.3,0.3,0.3,74.0,76.0
474,E006675 ,2009JJ00,528.0,528.0,512.0,0.45,0.45,0.45,85.0,94.0
475,E006675 ,2010JJ00,575.0,575.0,557.0,0.47,0.47,0.47,92.0,98.0
476,E006675 ,2011JJ00,562.0,562.0,545.0,0.46,0.46,0.46,98.0,113.0
477,E006675 ,2012JJ00,550.0,550.0,534.0,0.46,0.46,0.46,95.0,117.0
478,E006675 ,2013JJ00,525.0,525.0,510.0,0.44,0.44,0.44,95.0,121.0
479,E006675 ,2014JJ00,525.0,525.0,509.0,0.44,0.44,0.45,101.0,131.0
480,E006675 ,2015JJ00,553.0,553.0,537.0,0.46,0.46,0.47,97.0,133.0
481,E006675 ,2016JJ00,524.0,524.0,508.0,0.44,0.44,0.44,95.0,119.0
482,E006675 ,2017JJ00,509.0,509.0,494.0,0.42,0.42,0.42,95.0,119.0
483,E006675 ,2018JJ00,520.0,493.0,479.0,0.43,0.4,0.4,91.0,123.0
484,E006675 ,2019JJ00,541.0,471.0,457.0,0.44,0.39,0.39,95.0,100.0
485,E006675 ,2020JJ00,565.0,447.0,434.0,0.47,0.37,0.37,95.0,104.0
486,E006675 ,2021JJ00,327.0,457.0,443.0,0.27,0.37,0.38,142.0,93.0
487,E006675 ,2022JJ00,77.0,447.0,434.0,0.07,0.38,0.38,142.0,97.0
488,E006675 ,2023JJ00,64.0,64.0,62.0,0.06,0.06,0.06,149.0,99.0
489,E006675 ,2024JJ00,48.0,186.0,180.0,0.04,0.16,0.16,149.0,101.0
490,E006586 ,1990JJ00,4.0,4.0,4.0,0.01,0.01,0.01,,1.0
491,E006586 ,1991JJ00,4.0,4.0,4.0,0.0,0.0,0.0,,1.0
492,E006586 ,1992JJ00,5.0,5.0,5.0,0.01,0.01,0.01,,1.0
493,E006586 ,1993JJ00,7.0,7.0,7.0,0.01,0.01,0.01,,2.0
494,E006586 ,1994JJ00,3.0,3.0,3.0,0.0,0.0,0.0,,1.0
495,E006586 ,1995JJ00,7.0,7.0,7.0,0.01,0.01,0.01,,2.0
496,E006586 ,1996JJ00,10.0,10.0,9.0,0.01,0.01,0.01,,2.0
497,E006586 ,1997JJ00,8.0,8.0,8.0,0.01,0.01,0.01,,2.0
498,E006586 ,1998JJ00,10.0,10.0,10.0,0.01,0.01,0.01,,2.0
499,E006586 ,1999JJ00,14.0,14.0,13.0,0.01,0.01,0.01,,3.0
500,E006586 ,2000JJ00,17.0,17.0,16.0,0.02,0.02,0.02,,4.0
501,E006586 ,2001JJ00,17.0,17.0,16.0,0.01,0.01,0.02,,4.0
502,E006586 ,2002JJ00,22.0,22.0,21.0,0.02,0.02,0.02,,5.0
503,E006586 ,2003JJ00,28.0,28.0,27.0,0.02,0.02,0.02,,7.0
504,E006586 ,2004JJ00,22.0,22.0,21.0,0.02,0.02,0.02,,6.0
505,E006586 ,2005JJ00,32.0,32.0,31.0,0.03,0.03,0.03,,8.0
506,E006586 ,2006JJ00,44.0,44.0,42.0,0.04,0.04,0.04,,11.0
507,E006586 ,2007JJ00,67.0,67.0,65.0,0.05,0.05,0.05,,17.0
508,E006586 ,2008JJ00,104.0,104.0,101.0,0.08,0.08,0.08,,26.0
509,E006586 ,2009JJ00,137.0,137.0,133.0,0.12,0.12,0.12,,29.0
510,E006586 ,2010JJ00,196.0,196.0,190.0,0.16,0.16,0.16,,38.0
511,E006586 ,2011JJ00,223.0,219.0,212.0,0.18,0.18,0.18,,40.0
512,E006586 ,2012JJ00,221.0,206.0,200.0,0.18,0.17,0.17,,40.0
513,E006586 ,2013JJ00,248.0,206.0,200.0,0.21,0.17,0.17,,43.0
514,E006586 ,2014JJ00,296.0,233.0,226.0,0.25,0.2,0.2,,43.0
515,E006586 ,2015JJ00,320.0,233.0,226.0,0.27,0.2,0.2,,43.0
516,E006586 ,2016JJ00,326.0,227.0,219.0,0.27,0.19,0.19,,43.0
517,E006586 ,2017JJ00,312.0,189.0,183.0,0.26,0.16,0.16,,43.0
518,E006586 ,2018JJ00,279.0,175.0,170.0,0.23,0.14,0.14,,41.0
519,E006586 ,2019JJ00,317.0,201.0,195.0,0.26,0.16,0.16,,42.0
520,E006586 ,2020JJ00,340.0,204.0,198.0,0.28,0.17,0.17,,40.0
521,E006586 ,2021JJ00,209.0,218.0,212.0,0.17,0.18,0.18,,37.0
522,E006586 ,2022JJ00,108.0,216.0,209.0,0.09,0.18,0.18,,31.0
523,E006586 ,2023JJ00,106.0,106.0,102.0,0.09,0.09,0.09,,33.0
524,E006586 ,2024JJ00,87.0,153.0,148.0,0.07,0.13,0.13,,34.0
