ID,VehicleCategory,YearOfConstructionOfVehicle,RoadType,CO_1,VOC_2,NOx_3,PM10_4
0,Totot,-2000,1,7.77,0.96,1.04,0.079
1,Totot,-2000,2,3.69,0.36,0.73,0.046
2,Totot,-2000,3,3.29,0.23,1.1,0.06
3,Totot,2001 ,1,2.82,0.51,1.01,0.037
4,Totot,2001 ,2,2.06,0.16,0.54,0.016
5,Totot,2001 ,3,1.08,0.04,1.04,0.041
6,Totot,2002 ,1,2.82,0.53,0.99,0.035
7,Totot,2002 ,2,2.02,0.15,0.53,0.015
8,Totot,2002 ,3,1.05,0.04,1.03,0.039
9,Totot,2003 ,1,2.56,0.55,0.99,0.037
10,Totot,2003 ,2,1.79,0.15,0.56,0.016
11,Totot,2003 ,3,0.96,0.04,1.12,0.041
12,Totot,2004 ,1,2.51,0.63,1.27,0.044
13,Totot,2004 ,2,1.71,0.15,0.65,0.018
14,Totot,2004 ,3,0.81,0.04,1.13,0.045
15,Totot,2005 ,1,2.36,0.66,1.14,0.028
16,Totot,2005 ,2,1.61,0.14,0.58,0.012
17,Totot,2005 ,3,0.77,0.03,1.0,0.03
18,Totot,2006 ,1,2.38,0.59,1.27,0.025
19,Totot,2006 ,2,1.61,0.13,0.63,0.011
20,Totot,2006 ,3,0.76,0.02,0.93,0.027
21,Totot,2007 ,1,2.31,0.58,1.02,0.023
22,Totot,2007 ,2,1.66,0.14,0.6,0.013
23,Totot,2007 ,3,0.66,0.01,0.56,0.025
24,Totot,2008 ,1,2.38,0.6,1.08,0.024
25,Totot,2008 ,2,1.71,0.14,0.63,0.013
26,Totot,2008 ,3,0.7,0.01,0.58,0.025
27,Totot,2009 ,1,2.54,0.66,0.93,0.021
28,Totot,2009 ,2,1.87,0.16,0.54,0.011
29,Totot,2009 ,3,0.76,0.01,0.53,0.022
30,Paben,-2000,1,8.51,0.92,0.59,0.014
31,Paben,-2000,2,4.38,0.37,0.43,0.007
32,Paben,-2000,3,3.56,0.21,0.69,0.007
33,Paben,2001 ,1,3.33,0.43,0.12,0.006
34,Paben,2001 ,2,3.17,0.21,0.06,0.002
35,Paben,2001 ,3,1.57,0.01,0.03,0.002
36,Paben,2002 ,1,3.33,0.43,0.12,0.006
37,Paben,2002 ,2,3.17,0.21,0.06,0.002
38,Paben,2002 ,3,1.57,0.01,0.03,0.002
39,Paben,2003 ,1,2.89,0.41,0.1,0.006
40,Paben,2003 ,2,2.92,0.2,0.04,0.002
41,Paben,2003 ,3,1.44,0.01,0.02,0.002
42,Paben,2004 ,1,2.67,0.41,0.09,0.007
43,Paben,2004 ,2,2.79,0.2,0.03,0.002
44,Paben,2004 ,3,1.38,0.01,0.02,0.002
45,Paben,2005 ,1,2.45,0.4,0.07,0.007
46,Paben,2005 ,2,2.67,0.19,0.02,0.002
47,Paben,2005 ,3,1.31,0.01,0.01,0.002
48,Paben,2006 ,1,2.45,0.4,0.07,0.007
49,Paben,2006 ,2,2.67,0.19,0.02,0.002
50,Paben,2006 ,3,1.31,0.01,0.01,0.002
51,Paben,2007 ,1,2.45,0.4,0.07,0.007
52,Paben,2007 ,2,2.67,0.19,0.02,0.002
53,Paben,2007 ,3,1.31,0.01,0.01,0.002
54,Paben,2008 ,1,2.45,0.4,0.07,0.007
55,Paben,2008 ,2,2.67,0.19,0.02,0.002
56,Paben,2008 ,3,1.31,0.01,0.01,0.002
57,Paben,2009 ,1,2.45,0.4,0.07,0.007
58,Paben,2009 ,2,2.67,0.19,0.02,0.002
59,Paben,2009 ,3,1.31,0.01,0.01,0.002
