ID,Periods,TotalSupply_1,IndigenousProduction_2,ProductionFromOtherSources_3,ImportsOfGaseousNaturalGasTotal_4,ImportsViaNorway_5,ImportsViaGermany_6,ImportsViaBelgium_7,ImportsViaUnitedKingdom_8,ImportsViaDenmark_9,ImportsOfLNGTotal_10,ImportsViaTheUnitedStates_11,ImportsViaNorway_12,ImportsViaRussia_13,ImportsViaAfrica_14,ImportsViaAsia_15,ImportsViaAmericaExcludingUS_16,ImportsViaOtherUnknown_17,ExportsOfGaseousNaturalGasTotal_18,ExportsToNorway_19,ExportsToGermany_20,ExportsToBelgium_21,ExportsToUnitedKingdom_22,ExportsToDenmark_23,ExportsOfLiquefiedNaturalGasLNG_24,Bunkers_25,StockChange_26,TotalConsumption_27,TotalViaTheMainGrid_28,ElectricityPowerPlants_29,OtherConsumers_30,ViaRegionalGrids_31,ConsumptionByProductionAndTransport_32,ClosingStock_33,ClosingStockGaseousGas_34,ClosingStockLiquefiedNaturalGas_35,Flaring_36,StorageCapacityTotal_37,StorageCapacityGaseousGas_38,StorageCapacityLiquefiedNaturalGas_39
0,1946JJ00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1947JJ00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1948JJ00,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1949JJ00,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1950JJ00,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1951JJ00,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
6,1952JJ00,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
7,1953JJ00,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
8,1954JJ00,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
9,1955JJ00,128,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,
10,1956JJ00,143,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,
11,1957JJ00,137,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,
12,1958JJ00,173,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,
13,1959JJ00,215,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,,,,,,,,
14,1960JJ00,312,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,,,,,,,,
15,1961JJ00,426,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,,,,,,,,
16,1962JJ00,524,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0,,,,,,,,
17,1963JJ00,619,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.0,,,,,,,,
18,1964JJ00,857,869,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,327.0,,,,,,,,
19,1965JJ00,1702,1738,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,735.0,,,,,,,,
20,1966JJ00,3262,3405,,,,,,,,,,,,,,,,143.0,,,,,,,,,,,,,1580.0,,,,,,,,
21,1967JJ00,5739,7108,,,,,,,,,,,,,,,,1369.0,,,,,,,,,,,,,2927.0,,,,,,,,
22,1968JJ00,9679,14215,,,,,,,,,,,,,,,,4536.0,,,,,,,,,,,,,4871.0,,,,,,,,
23,1969JJ00,14263,22037,,,,,,,,,,,,,,,,7774.0,,,,,,,,,,,,,7005.0,,,,,,,,
24,1970JJ00,20073,31764,,,,,,,,,,,,,,,,11691.0,,,,,,,,,,,,,9122.0,,,,,,,,
25,1971JJ00,26228,43896,,,,,,,,,,,,,,,,17668.0,,,,,,,,,,,,,11423.0,,,,,,,,
26,1972JJ00,34121,58516,,,,,,,,,,,,,,,,24395.0,,,,,,,,,,,,,14996.0,,,,,,,,
27,1973JJ00,37931,71148,,,,,,,,,,,,,,,,33217.0,,,,,,,,,,,,,16886.0,,,,,,,,
28,1974JJ00,40384,84351,,,,,,,,,,,,,,,,43967.0,,,,,,,,,,,,,17958.0,,,,,,,,
29,1975JJ00,42093,91366,,,,,,,,,,,,,,,,49295.0,,,,,,,,22.0,,,,,20071.0,,,,,,,,
30,1976JJ00,43735,97631,,,,,,,,,,,,,,,,53892.0,,,,,,,,-4.0,,,,,21675.0,,,,,,,,
31,1977JJ00,43893,97953,,291.0,,,,,,,,,,,,,,54319.0,,,,,,,,-32.0,,,,,21904.0,,,,,,,,
32,1978JJ00,43989,89667,,1760.0,,,,,,,,,,,,,,47383.0,,,,,,,,-55.0,,,,,23886.0,,,,,,,,
33,1979JJ00,43786,94040,,2068.0,,,,,,,,,,,,,,52312.0,,,,,,,,-10.0,,,,,25691.0,,,,,,,,
34,1980JJ00,40030,90929,,3786.0,,,,,,,,,,,,,,54685.0,,,,,,,,0.0,,,,,23944.0,,,,,,,,
35,1981JJ00,38105,84433,,3352.0,,,,,,,,,,,,,,49670.0,,,,,,,,-10.0,,,,,22686.0,,,,,,,,
36,1982JJ00,36230,72011,,3390.0,,,,,,,,,,,,,,39173.0,,,,,,,,2.0,36230.0,15888.0,6445.0,9443.0,20133.0,209.0,,,,24.0,,,
