ID,Woningkenmerken,RegioS,Perioden,GemiddeldAardgasverbruik_1,GemiddeldeElektriciteitslevering_2,GemiddeldeNettoElektriciteitslevering_3,Stadsverwarming_4
0,T001100,NL01  ,2010JJ00,1850.0,3300.0,,4.6
1,T001100,NL01  ,2011JJ00,1450.0,3250.0,,4.5
2,T001100,NL01  ,2012JJ00,1500.0,3200.0,,5.1
3,T001100,NL01  ,2013JJ00,1600.0,3150.0,,4.9
4,T001100,NL01  ,2014JJ00,1200.0,3050.0,,4.8
5,T001100,NL01  ,2015JJ00,1250.0,2980.0,,5.5
6,T001100,NL01  ,2016JJ00,1300.0,2910.0,,5.5
7,T001100,NL01  ,2017JJ00,1240.0,2860.0,,5.6
8,T001100,NL01  ,2018JJ00,1270.0,2790.0,,
9,T001100,NL01  ,2019JJ00,1180.0,2730.0,,5.9
10,T001100,NL01  ,2020JJ00,1120.0,2760.0,,6.3
11,T001100,NL01  ,2021JJ00,1250.0,2810.0,2480.0,6.3
12,T001100,NL01  ,2022JJ00,930.0,2580.0,2120.0,6.5
13,T001100,NL01  ,2023JJ00,820.0,2500.0,1900.0,6.9
14,T001100,NL01  ,2024JJ00,800.0,2550.0,1870.0,7.0
15,T001100,LD01  ,2010JJ00,2200.0,3200.0,,
16,T001100,LD01  ,2011JJ00,1700.0,3200.0,,
17,T001100,LD01  ,2012JJ00,1850.0,3100.0,,0.3
18,T001100,LD01  ,2013JJ00,1950.0,3050.0,,0.3
19,T001100,LD01  ,2014JJ00,1450.0,2900.0,,0.3
20,T001100,LD01  ,2015JJ00,1510.0,2850.0,,0.5
21,T001100,LD01  ,2016JJ00,1580.0,2770.0,,0.5
22,T001100,LD01  ,2017JJ00,1490.0,2700.0,,0.5
23,T001100,LD01  ,2018JJ00,1530.0,2640.0,,
24,T001100,LD01  ,2019JJ00,1390.0,2590.0,,0.6
25,T001100,LD01  ,2020JJ00,1340.0,2650.0,,
26,T001100,LD01  ,2021JJ00,1490.0,2700.0,2250.0,
27,T001100,LD01  ,2022JJ00,1090.0,2510.0,1880.0,
28,T001100,LD01  ,2023JJ00,960.0,2450.0,1650.0,1.1
29,T001100,LD01  ,2024JJ00,920.0,2540.0,1610.0,1.1
30,T001100,LD02  ,2010JJ00,1950.0,3500.0,,5.0
31,T001100,LD02  ,2011JJ00,1550.0,3450.0,,5.0
32,T001100,LD02  ,2012JJ00,1600.0,3400.0,,5.8
33,T001100,LD02  ,2013JJ00,1700.0,3350.0,,5.5
34,T001100,LD02  ,2014JJ00,1250.0,3200.0,,5.5
35,T001100,LD02  ,2015JJ00,1320.0,3140.0,,6.1
36,T001100,LD02  ,2016JJ00,1370.0,3050.0,,6.1
37,T001100,LD02  ,2017JJ00,1320.0,2980.0,,6.1
38,T001100,LD02  ,2018JJ00,1340.0,2890.0,,
39,T001100,LD02  ,2019JJ00,1230.0,2860.0,,6.7
40,T001100,LD02  ,2020JJ00,1170.0,2910.0,,6.9
41,T001100,LD02  ,2021JJ00,1320.0,2950.0,2560.0,6.8
42,T001100,LD02  ,2022JJ00,970.0,2730.0,2170.0,6.7
43,T001100,LD02  ,2023JJ00,850.0,2660.0,1920.0,7.0
44,T001100,LD02  ,2024JJ00,830.0,2720.0,1880.0,7.2
45,T001100,LD03  ,2010JJ00,1650.0,3100.0,,6.0
46,T001100,LD03  ,2011JJ00,1300.0,3050.0,,6.0
47,T001100,LD03  ,2012JJ00,1350.0,3000.0,,6.5
48,T001100,LD03  ,2013JJ00,1450.0,2950.0,,6.2
49,T001100,LD03  ,2014JJ00,1050.0,2850.0,,6.0
50,T001100,LD03  ,2015JJ00,1130.0,2810.0,,6.9
51,T001100,LD03  ,2016JJ00,1170.0,2760.0,,7.0
52,T001100,LD03  ,2017JJ00,1110.0,2710.0,,7.1
53,T001100,LD03  ,2018JJ00,1140.0,2650.0,,
54,T001100,LD03  ,2019JJ00,1060.0,2580.0,,7.7
55,T001100,LD03  ,2020JJ00,1010.0,2610.0,,8.2
56,T001100,LD03  ,2021JJ00,1140.0,2680.0,2450.0,8.1
57,T001100,LD03  ,2022JJ00,840.0,2450.0,2120.0,8.6
58,T001100,LD03  ,2023JJ00,760.0,2360.0,1930.0,9.1
59,T001100,LD03  ,2024JJ00,730.0,2390.0,1900.0,9.3
60,T001100,LDG4  ,2010JJ00,,,,
61,T001100,LDG4  ,2011JJ00,,,,
62,T001100,LDG4  ,2012JJ00,,,,
63,T001100,LDG4  ,2013JJ00,,,,
64,T001100,LDG4  ,2014JJ00,,,,
65,T001100,LDG4  ,2015JJ00,,,,
66,T001100,LDG4  ,2016JJ00,,,,
67,T001100,LDG4  ,2017JJ00,,,,
68,T001100,LDG4  ,2018JJ00,,,,
69,T001100,LDG4  ,2019JJ00,,,,
70,T001100,LDG4  ,2020JJ00,,,,
71,T001100,LDG4  ,2021JJ00,,,,
72,T001100,LDG4  ,2022JJ00,,,,
73,T001100,LDG4  ,2023JJ00,,,,
74,T001100,LDG4  ,2024JJ00,,,,
75,T001100,LD04  ,2010JJ00,2000.0,3600.0,,
76,T001100,LD04  ,2011JJ00,1550.0,3550.0,,
77,T001100,LD04  ,2012JJ00,1650.0,3500.0,,3.9
78,T001100,LD04  ,2013JJ00,1750.0,3450.0,,3.7
79,T001100,LD04  ,2014JJ00,1300.0,3300.0,,3.6
80,T001100,LD04  ,2015JJ00,1370.0,3250.0,,4.1
81,T001100,LD04  ,2016JJ00,1420.0,3190.0,,4.1
82,T001100,LD04  ,2017JJ00,1360.0,3150.0,,4.0
83,T001100,LD04  ,2018JJ00,1380.0,3080.0,,
84,T001100,LD04  ,2019JJ00,1280.0,2980.0,,4.2
85,T001100,LD04  ,2020JJ00,1210.0,2980.0,,4.4
86,T001100,LD04  ,2021JJ00,1350.0,3020.0,2600.0,4.3
87,T001100,LD04  ,2022JJ00,990.0,2790.0,2210.0,4.3
88,T001100,LD04  ,2023JJ00,870.0,2700.0,1930.0,4.4
89,T001100,LD04  ,2024JJ00,850.0,2760.0,1910.0,4.4
90,T001100,PV20  ,2010JJ00,2150.0,3100.0,,
91,T001100,PV20  ,2011JJ00,1700.0,3100.0,,
92,T001100,PV20  ,2012JJ00,1850.0,3050.0,,0.4
93,T001100,PV20  ,2013JJ00,1900.0,3000.0,,0.4
94,T001100,PV20  ,2014JJ00,1400.0,2850.0,,0.4
95,T001100,PV20  ,2015JJ00,1500.0,2760.0,,0.6
96,T001100,PV20  ,2016JJ00,1570.0,2690.0,,0.6
97,T001100,PV20  ,2017JJ00,1480.0,2640.0,,0.6
98,T001100,PV20  ,2018JJ00,1510.0,2580.0,,
99,T001100,PV20  ,2019JJ00,1350.0,2450.0,,0.9
100,T001100,PV20  ,2020JJ00,1320.0,2530.0,,
101,T001100,PV20  ,2021JJ00,1460.0,2570.0,2170.0,
102,T001100,PV20  ,2022JJ00,1080.0,2390.0,1830.0,1.5
103,T001100,PV20  ,2023JJ00,930.0,2340.0,1620.0,1.8
104,T001100,PV20  ,2024JJ00,890.0,2420.0,1590.0,2.0
105,T001100,PV21  ,2010JJ00,2150.0,3050.0,,
106,T001100,PV21  ,2011JJ00,1650.0,3050.0,,
107,T001100,PV21  ,2012JJ00,1750.0,3000.0,,0.5
108,T001100,PV21  ,2013JJ00,1850.0,2900.0,,0.5
109,T001100,PV21  ,2014JJ00,1350.0,2800.0,,0.5
110,T001100,PV21  ,2015JJ00,1450.0,2730.0,,0.7
111,T001100,PV21  ,2016JJ00,1520.0,2640.0,,0.7
112,T001100,PV21  ,2017JJ00,1430.0,2570.0,,0.7
113,T001100,PV21  ,2018JJ00,1470.0,2490.0,,
114,T001100,PV21  ,2019JJ00,1350.0,2540.0,,0.7
115,T001100,PV21  ,2020JJ00,1310.0,2630.0,,
116,T001100,PV21  ,2021JJ00,1460.0,2680.0,2240.0,
117,T001100,PV21  ,2022JJ00,1070.0,2480.0,1860.0,
118,T001100,PV21  ,2023JJ00,940.0,2430.0,1630.0,
119,T001100,PV21  ,2024JJ00,910.0,2500.0,1590.0,
120,T001100,PV22  ,2010JJ00,2350.0,3500.0,,
121,T001100,PV22  ,2011JJ00,1850.0,3450.0,,
122,T001100,PV22  ,2012JJ00,1950.0,3400.0,,
123,T001100,PV22  ,2013JJ00,2050.0,3350.0,,
124,T001100,PV22  ,2014JJ00,1500.0,3200.0,,
125,T001100,PV22  ,2015JJ00,1600.0,3110.0,,0.1
126,T001100,PV22  ,2016JJ00,1680.0,3050.0,,0.2
127,T001100,PV22  ,2017JJ00,1590.0,2980.0,,0.2
128,T001100,PV22  ,2018JJ00,1610.0,2910.0,,
129,T001100,PV22  ,2019JJ00,1480.0,2810.0,,0.2
130,T001100,PV22  ,2020JJ00,1400.0,2840.0,,
131,T001100,PV22  ,2021JJ00,1560.0,2890.0,2360.0,
132,T001100,PV22  ,2022JJ00,1150.0,2700.0,1970.0,
133,T001100,PV22  ,2023JJ00,1010.0,2630.0,1690.0,
134,T001100,PV22  ,2024JJ00,970.0,2730.0,1660.0,
135,T001100,PV23  ,2010JJ00,2100.0,3450.0,,
136,T001100,PV23  ,2011JJ00,1650.0,3450.0,,
137,T001100,PV23  ,2012JJ00,1750.0,3400.0,,2.3
138,T001100,PV23  ,2013JJ00,1850.0,3350.0,,2.0
139,T001100,PV23  ,2014JJ00,1300.0,3250.0,,2.0
140,T001100,PV23  ,2015JJ00,1390.0,3130.0,,2.8
141,T001100,PV23  ,2016JJ00,1430.0,3070.0,,3.0
142,T001100,PV23  ,2017JJ00,1390.0,3010.0,,3.1
143,T001100,PV23  ,2018JJ00,1410.0,2940.0,,
144,T001100,PV23  ,2019JJ00,1280.0,2850.0,,3.3
145,T001100,PV23  ,2020JJ00,1220.0,2870.0,,3.3
146,T001100,PV23  ,2021JJ00,1400.0,2930.0,2540.0,3.2
147,T001100,PV23  ,2022JJ00,1040.0,2710.0,2140.0,3.4
148,T001100,PV23  ,2023JJ00,910.0,2650.0,1870.0,3.5
149,T001100,PV23  ,2024JJ00,880.0,2720.0,1820.0,3.6
150,T001100,PV24  ,2010JJ00,1150.0,3650.0,,31.0
151,T001100,PV24  ,2011JJ00,950.0,3600.0,,32.0
152,T001100,PV24  ,2012JJ00,950.0,3500.0,,32.9
153,T001100,PV24  ,2013JJ00,1000.0,3450.0,,32.8
154,T001100,PV24  ,2014JJ00,750.0,3350.0,,32.5
155,T001100,PV24  ,2015JJ00,760.0,3270.0,,33.1
156,T001100,PV24  ,2016JJ00,850.0,3140.0,,33.0
157,T001100,PV24  ,2017JJ00,810.0,3050.0,,32.7
158,T001100,PV24  ,2018JJ00,830.0,2930.0,,
159,T001100,PV24  ,2019JJ00,770.0,2950.0,,33.0
160,T001100,PV24  ,2020JJ00,760.0,3010.0,,33.6
161,T001100,PV24  ,2021JJ00,850.0,3040.0,2660.0,33.3
162,T001100,PV24  ,2022JJ00,620.0,2810.0,2250.0,30.4
163,T001100,PV24  ,2023JJ00,560.0,2720.0,2020.0,30.8
164,T001100,PV24  ,2024JJ00,540.0,2780.0,1970.0,30.7
165,T001100,PV25  ,2010JJ00,2000.0,3450.0,,
166,T001100,PV25  ,2011JJ00,1600.0,3450.0,,
167,T001100,PV25  ,2012JJ00,1650.0,3400.0,,2.6
168,T001100,PV25  ,2013JJ00,1750.0,3300.0,,2.4
169,T001100,PV25  ,2014JJ00,1300.0,3200.0,,2.5
170,T001100,PV25  ,2015JJ00,1390.0,3130.0,,2.9
