ID,Mineralen,Perioden,TotaalAanvoerNaarVeehouderij_1,TotaalKrachtvoer_2,Rundvee_3,Varkens_4,Pluimvee_5,OverigeDieren_6,TotaalRuwvoer_7,Rundvee_8,Varkens_9,Pluimvee_10,OverigeDieren_11,TotaalAfvoerVanVeehouderij_12,TotaalVastlegging_13,Rundvee_14,Varkens_15,Pluimvee_16,OverigeDieren_17,TotaalUitscheidingVeestapel_18,Rundvee_19,Varkens_20,Pluimvee_21,OverigeDieren_22,TotaalVeehouderij_23,Rundvee_24,Varkens_25,Pluimvee_26,OverigeDieren_27,TotaalAanvoerNaarCultuurgrond_28,TotaalDierlijkMest_29,Weidemest_30,Stalmest_31,TotaalUitscheidingVeestapel_32,UitscheidingInDeWei_33,UitscheidingInDeStal_34,TotaalStikstofvervluchtiging_35,Ammoniakvervluchtiging_36,OverigeStikstofvervluchtiging_37,MestafzetBuitenDeLandbouw_38,Kunstmest_39,TotaalLuchtdepositie_40,HerkomstLandbouw_41,HerkomstNietLandbouw_42,TotaalOverigeAanvoer_43,BiologischeStikstofbinding_44,OverigeAanvoer_45,TotaalAfvoerVanCultuurgrond_46,TotaalStikstofvervluchtiging_47,TotaalDierlijkMest_48,Weidemest_49,Stalmest_50,Kunstmest_51,OverigeAanvoer_52,TotaalAfvoerViaGewassen_53,TotaalRuwvoer_54,Kuilgras_55,Weidegras_56,Hooi_57,Snijmais_58,TotaalAfzetPlantaardigeProducten_59,TotaalAkkerbouwgewassen_60,Aardappelen_61,Suikerbieten_62,Tarwe_63,OverigeAkkerbouwgewassen_64,TotaalTuinbouwgewassen_65,GroenteEnFruit_66,OverigeTuinbouwgewassen_67,TotaalStikstofvervluchtiging_68,Conserveringsverlies_69,GewasrestenEnAfrijpendeGewassen_70,VerliesNaarDeBodem_71,BenuttingMineralenCultuurgrond_72,TotaalAanvoer_73,DierlijkeMest_74,Kunstmest_75,Luchtdepositie_76,OverigeAanvoer_77,TotaalAfvoer_78,StikstofvervluchtigingWeiEnToediening_79,Ruwvoer_80,Akkerbouwgewassen_81,Tuinbouwgewassen_82,StikstofvervluchtigingGewassen_83,VerliesNaarDeBodem_84,TotaalAanvoerNaarSectorLandbouw_85,Krachtvoer_86,Kunstmest_87,LuchtdepositieHerkomstNietLandbouw_88,OverigeAanvoer_89,TotaalAfvoerVanSectorLandbouw_90,MestafzetBuitenDeLandbouw_91,VastleggingInDierlijkeProductie_92,AfzetPlantaardigeProducten_93,VoorraadmutatieRuwvoer_94,TotaalVerlies_95,VerliesNaarDeBodem_96,TotaalVerliesNaarLucht_97,StikstofvervluchtigingStalEnOpslag_98,StikstofvervluchtigingWeiEnToediening_99,StikstofvervluchtigingGewassen_100,LuchtdepositieHerkomstLandbouw_101,BenuttingMineralenLandbouw_102
0,A028942,1990JJ00,881,465,149,211,99,6,416,392,0,0,25,881,189,88,61,36,3,692,452,150,63,28,21,16,29,37,9,1068,580,188,392,692,188,504,93.0,81.0,12.0,19,395,75.0,40.0,35.0,18,7.0,11,1068,184.0,171.0,12.0,159.0,11.0,1.0,508,410,142,230,10,28,88,76,21,18,19,17,12,8,5,10.0,5.0,5.0,376,48,532,289,197,37.0,9,532,92.0,205,38,6,5.0,187,913,465,395,35.0,18,913,19,189,88,-6,623,376,247.0,93.0,184.0,10.0,40.0,31
1,A028942,1991JJ00,908,468,154,203,106,6,440,413,0,0,27,908,191,89,61,38,3,717,478,142,68,30,21,16,30,36,9,1081,605,191,414,717,191,526,95.0,82.0,13.0,17,383,76.0,40.0,36.0,17,6.0,10,1081,193.0,181.0,14.0,167.0,11.0,1.0,499,409,130,241,9,28,81,68,21,15,17,15,13,8,5,9.0,5.0,5.0,389,46,543,304,192,38.0,8,543,97.0,205,34,6,5.0,195,904,468,383,36.0,17,904,17,191,81,-31,646,389,257.0,95.0,193.0,9.0,40.0,31
2,A028942,1992JJ00,909,489,154,214,115,6,420,394,0,0,26,909,194,87,63,41,3,715,461,151,74,30,21,16,30,35,9,1061,597,192,405,715,192,524,96.0,83.0,12.0,23,374,73.0,39.0,34.0,17,6.0,11,1061,141.0,130.0,15.0,115.0,10.0,0.0,531,436,138,259,8,32,86,72,23,17,18,14,13,9,5,9.0,5.0,4.0,389,50,535,301,189,37.0,9,535,71.0,220,36,7,5.0,196,915,489,374,34.0,17,915,23,194,86,16,596,389,207.0,96.0,141.0,9.0,39.0,31
3,A028942,1993JJ00,905,495,153,225,112,5,410,382,0,0,27,905,196,87,67,40,3,708,448,158,72,30,22,16,30,36,9,1045,585,181,404,708,181,527,96.0,84.0,13.0,27,372,72.0,38.0,34.0,15,5.0,10,1045,139.0,129.0,12.0,116.0,10.0,0.0,522,421,152,228,8,34,90,77,25,16,20,16,13,9,5,10.0,5.0,5.0,384,50,526,294,187,36.0,8,526,70.0,212,39,7,5.0,193,917,495,372,34.0,15,917,27,196,90,12,591,384,207.0,96.0,139.0,10.0,38.0,32
4,A028942,1994JJ00,871,475,151,218,101,5,396,370,0,0,26,871,191,85,65,38,3,681,436,153,63,28,22,16,30,37,9,991,552,170,382,681,170,511,93.0,81.0,12.0,36,354,71.0,38.0,33.0,14,5.0,9,991,109.0,99.0,9.0,90.0,10.0,0.0,457,366,117,208,7,33,82,69,23,13,19,14,13,8,5,9.0,4.0,5.0,425,46,503,280,180,36.0,7,503,56.0,186,35,7,4.0,215,877,475,354,33.0,14,877,36,191,82,-30,598,425,174.0,93.0,109.0,9.0,38.0,32
5,A028942,1995JJ00,870,490,171,213,101,5,380,355,0,0,25,870,192,88,64,38,3,678,438,150,63,28,22,17,30,37,8,1014,549,172,377,678,172,506,92.0,79.0,13.0,38,388,64.0,34.0,30.0,14,4.0,9,1014,82.0,70.0,11.0,59.0,11.0,0.0,456,361,114,208,9,30,86,73,24,14,22,13,13,8,5,9.0,4.0,5.0,476,45,516,279,198,32.0,7,516,42.0,184,37,7,5.0,242,922,490,388,30.0,14,922,38,192,86,-19,625,476,149.0,92.0,82.0,9.0,34.0,31
6,A028942,1996JJ00,859,477,159,212,101,5,382,354,0,0,27,859,192,87,64,38,3,666,426,148,63,29,22,17,30,38,8,997,550,180,371,666,180,487,90.0,77.0,12.0,26,372,60.0,32.0,28.0,15,5.0,10,997,85.0,74.0,14.0,60.0,11.0,0.0,480,381,124,219,6,31,89,76,26,12,24,15,13,8,5,10.0,4.0,5.0,432,48,503,278,187,30.0,7,503,43.0,192,38,7,5.0,218,891,477,372,28.0,15,891,26,192,89,-1,585,432,153.0,90.0,85.0,10.0,32.0,33
7,A028942,1997JJ00,829,452,145,202,100,5,377,352,0,0,26,829,187,84,60,40,3,643,412,143,60,28,23,17,30,40,9,991,530,168,363,643,168,475,86.0,74.0,12.0,26,383,63.0,33.0,30.0,15,5.0,10,991,81.0,70.0,10.0,60.0,11.0,0.0,494,395,140,209,8,38,88,75,26,12,20,17,14,9,5,10.0,5.0,5.0,417,50,505,270,195,32.0,8,505,41.0,201,38,7,5.0,212,880,452,383,30.0,15,880,26,187,88,18,560,417,143.0,86.0,81.0,10.0,33.0,32
8,A028942,1998JJ00,792,450,143,199,102,6,342,317,0,0,25,792,192,84,63,42,3,600,376,136,59,28,24,18,32,42,9,954,489,142,347,600,142,458,82.0,70.0,12.0,29,385,66.0,35.0,31.0,14,5.0,9,954,72.0,61.0,5.0,56.0,11.0,0.0,417,331,143,150,6,32,76,63,17,10,20,16,13,8,5,10.0,5.0,5.0,465,44,484,248,195,33.0,7,484,36.0,168,32,7,5.0,236,881,450,385,31.0,14,881,29,192,76,-11,594,465,129.0,82.0,72.0,10.0,35.0,32
9,A028942,1999JJ00,781,448,134,199,109,7,333,310,0,0,23,781,198,83,67,45,3,583,360,132,64,27,25,19,34,41,10,915,472,135,337,583,135,448,81.0,70.0,11.0,30,366,63.0,33.0,30.0,15,5.0,9,915,72.0,61.0,5.0,56.0,11.0,0.0,427,331,126,159,7,39,87,73,26,13,16,17,14,9,6,8.0,5.0,4.0,416,47,465,240,186,32.0,7,465,37.0,168,37,7,4.0,212,859,448,366,30.0,15,859,30,198,87,-2,545,416,128.0,81.0,72.0,8.0,33.0,34
