ID,RegioS,Perioden,AlleLanden_1,Nederland_2,BuitenlandTotaal_3,EuropaExclusiefNederland_4,Duitsland_5,Belgie_6,GrootBrittannie_7,Frankrijk_8,Zwitserland_9,Italie_10,Spanje_11,Denemarken_12,Zweden_13,OverigeLandenEurozone_14,OverigEuropa_15,Amerika_16,Azie_17,AustralieEnOceanie_18,Afrika_19,AlleLanden_20,Nederland_21,BuitenlandTotaal_22,EuropaExclusiefNederland_23,Duitsland_24,Belgie_25,GrootBrittannie_26,Frankrijk_27,Zwitserland_28,Italie_29,Spanje_30,Denemarken_31,Zweden_32,OverigeLandenEurozone_33,OverigEuropa_34,Amerika_35,Azie_36,AustralieEnOceanie_37,Afrika_38
0,NL01  ,1998MM01,292.8,244.3,48.6,48.3,37.0,9.2,,,,,,,,,,,,,,1155.9,941.3,214.6,211.5,165.2,34.4,,,,,,,,,,,,,
1,NL01  ,1998MM02,349.7,299.5,50.2,50.1,36.8,10.1,1.9,,,,,,,,,,,,,1377.0,1183.3,193.7,191.6,138.0,38.1,9.3,,,,,,,,,,,,
2,NL01  ,1998MM03,366.4,309.7,56.7,56.5,44.6,8.6,1.6,,,,,,,,,,,,,1401.6,1146.5,255.1,253.1,203.9,35.2,6.4,,,,,,,,,,,,
3,NL01  ,1998KW01,1008.9,853.5,155.4,154.9,118.4,27.9,4.3,1.2,,,,1.1,,,1.4,,,,,3934.5,3271.1,663.4,656.2,507.2,107.7,19.6,6.0,,,,4.4,,,8.1,,,,
4,NL01  ,1998MM04,739.7,504.5,235.2,233.4,182.5,28.9,10.0,4.8,,,,1.3,,,4.3,1.1,,,,3123.7,1978.7,1145.1,1135.8,928.1,119.9,45.3,16.9,,,,4.2,,,15.7,7.0,,,
5,NL01  ,1998MM05,1207.0,1014.2,192.8,190.6,152.0,17.5,8.6,4.3,,,,,,,5.3,,,1.0,,4726.3,3936.3,790.0,782.3,646.7,62.7,36.0,10.3,,,,,,,18.1,,,2.8,
6,NL01  ,1998MM06,1085.6,876.1,209.5,206.2,175.3,11.5,6.6,2.4,,1.3,,2.0,,,5.9,1.1,,1.5,,5379.1,4173.7,1205.4,1191.8,1050.6,64.6,30.1,6.7,,2.6,,7.2,,,25.8,5.3,,5.7,
7,NL01  ,1998KW02,3032.3,2394.8,637.5,630.2,509.9,57.9,25.2,11.6,2.2,2.8,1.1,4.0,,,15.5,3.2,,2.9,,13229.2,10088.7,3140.4,3109.8,2625.3,247.3,111.5,33.8,9.5,6.0,3.4,13.4,,,59.5,16.5,,9.6,
8,NL01  ,1998MM07,1257.6,955.5,302.1,297.6,210.7,30.9,12.2,11.1,3.7,5.9,2.8,7.8,,,12.4,1.2,,1.6,,8956.6,6898.6,2058.0,2041.8,1672.7,165.5,55.4,33.2,16.6,13.0,7.8,26.5,,,51.1,4.5,,4.2,
9,NL01  ,1998MM08,1641.3,1289.3,351.9,347.7,224.9,33.3,22.9,16.0,2.6,26.3,6.8,1.9,,,12.9,1.3,1.2,1.3,,12502.2,10373.1,2129.2,2112.1,1599.2,183.5,130.2,44.4,12.6,63.4,19.3,6.4,,,53.2,5.0,7.0,3.3,
10,NL01  ,1998MM09,787.7,643.5,144.2,141.5,105.0,17.7,7.5,2.1,,4.0,1.1,,,,3.2,,,1.7,,3890.8,3064.4,826.4,816.4,639.9,88.8,33.2,6.9,,19.9,4.0,,,,18.4,,,4.6,
11,NL01  ,1998KW03,3686.6,2888.3,798.3,786.8,540.6,81.8,42.6,29.2,7.0,36.2,10.8,10.2,,,28.5,3.1,2.4,4.6,1.4,25349.6,20336.1,5013.5,4970.3,3911.7,437.8,218.8,84.5,32.8,96.3,31.1,34.7,,,122.7,12.1,13.5,12.2,5.5
12,NL01  ,1998MM10,702.1,552.4,149.7,149.0,125.3,14.8,4.9,,,,,,,,1.2,,,,,3356.4,2507.5,848.9,845.4,744.9,61.3,21.7,,,,,,,,5.2,,,,
13,NL01  ,1998MM11,425.3,335.9,89.4,89.2,57.7,25.5,3.3,,,,,,,,,,,,,1691.7,1303.8,387.9,387.1,255.9,102.5,15.0,,,,,,,,,,,,
14,NL01  ,1998MM12,339.7,290.7,49.0,48.9,35.2,11.1,,,,,,,,,,,,,,1617.3,1397.3,220.0,218.8,146.5,51.1,,,,,,,,,,,,,
15,NL01  ,1998KW04,1467.1,1179.0,288.1,287.1,218.1,51.4,8.9,1.7,,1.4,,1.5,,,2.8,,,,,6665.4,5208.6,1456.8,1451.3,1147.2,214.9,41.9,10.8,,4.6,,5.8,,,18.1,,,,
16,NL01  ,1998JJ00,9194.9,7315.7,1879.2,1859.0,1387.0,218.9,81.1,43.7,10.1,40.6,12.7,16.8,,,48.2,7.1,3.3,7.8,2.0,49178.7,38904.5,10274.1,10187.6,8191.5,1007.7,391.8,135.1,48.3,107.5,38.9,58.4,,,208.4,37.5,18.4,22.7,8.0
17,NL01  ,1999MM01,306.0,238.6,67.5,67.2,54.2,9.5,,,,,,,,,1.2,,,,,1398.3,1066.6,331.7,329.1,267.6,40.4,,,,,,,,,7.2,,,,
18,NL01  ,1999MM02,393.0,339.8,53.1,52.9,41.4,8.9,1.3,,,,,,,,,,,,,1661.2,1411.1,250.1,248.0,198.0,35.4,6.3,,,,,,,,,,,,
19,NL01  ,1999MM03,408.8,340.8,68.1,67.8,49.0,14.2,2.1,,,,,,,,1.3,,,,,1637.4,1335.0,302.4,299.9,225.6,47.5,9.7,,,,,,,,10.1,,,,
20,NL01  ,1999KW01,1107.8,919.2,188.6,187.8,144.6,32.6,4.2,1.9,,,,,,,3.1,,,,,4696.9,3812.7,884.3,876.9,691.2,123.3,20.6,12.2,,,,,,,22.0,,,,
21,NL01  ,1999MM04,885.4,597.5,287.8,286.4,220.7,37.0,14.0,7.4,1.1,1.6,,1.7,,,2.7,,,,,3581.7,2268.0,1313.7,1306.4,1036.7,152.6,61.2,25.1,4.7,4.6,,5.0,,,15.7,,,,
22,NL01  ,1999MM05,1535.1,1264.8,270.3,267.4,217.1,25.5,10.1,6.3,,1.3,1.3,1.0,,,4.1,1.0,,1.4,,6839.9,5754.7,1085.2,1071.0,878.1,100.7,37.5,20.2,,3.8,4.5,3.9,,,19.3,6.5,,4.1,
23,NL01  ,1999MM06,1066.8,824.8,242.0,238.4,191.8,13.4,14.1,4.6,1.3,3.7,1.2,2.5,,,5.8,1.2,,1.8,,5098.7,3759.4,1339.3,1319.4,1129.2,54.7,61.3,21.7,6.9,9.3,5.6,9.4,,,21.4,9.7,,6.0,
24,NL01  ,1999KW02,3487.2,2687.1,800.1,792.2,629.6,75.8,38.2,18.3,3.1,6.7,2.8,5.2,,,12.6,2.8,,3.7,,15520.3,11782.1,3738.2,3696.9,3043.9,308.0,160.1,67.1,14.6,17.6,11.0,18.2,,,56.4,19.5,,12.2,
25,NL01  ,1999MM07,1553.8,1111.3,442.5,436.3,322.0,35.3,14.6,11.2,5.0,17.3,5.2,9.7,,,16.1,1.5,1.6,2.7,,10292.6,7471.8,2820.9,2785.2,2335.6,178.5,76.7,32.3,22.6,33.0,17.9,33.7,,,55.0,9.8,12.0,11.0,
26,NL01  ,1999MM08,1675.9,1298.2,377.7,368.4,227.9,29.7,26.9,19.3,4.1,35.1,10.6,3.2,,,11.5,3.1,2.1,3.6,,11957.3,9840.0,2117.3,2066.0,1492.9,163.2,159.5,50.6,15.7,87.9,35.7,8.9,,,51.6,21.8,18.8,7.6,
27,NL01  ,1999MM09,945.9,754.7,191.1,187.3,138.9,23.5,10.1,3.0,,4.1,2.1,,,,4.5,1.2,,1.7,,4309.3,3325.2,984.0,967.0,769.3,95.6,48.5,9.5,,9.8,8.6,,,,21.4,4.8,,4.8,
28,NL01  ,1999KW03,4175.6,3164.3,1011.3,991.9,688.8,88.5,51.7,33.5,9.7,56.5,17.8,13.4,,,32.1,5.8,4.4,7.9,1.2,26559.2,20637.1,5922.2,5818.2,4597.8,437.4,284.7,92.4,40.8,130.6,62.2,44.2,,,128.1,36.4,36.4,23.4,7.8
29,NL01  ,1999MM10,772.6,599.2,173.4,171.9,153.1,9.7,4.0,,,,,,,,2.2,,,,,3764.4,2753.4,1011.0,1001.6,904.2,38.6,21.9,,,,,,,,23.3,,,,
30,NL01  ,1999MM11,481.3,384.4,97.0,96.5,63.6,29.1,1.7,,,,,,,,,,,,,1816.4,1411.7,404.7,400.9,265.0,113.0,9.2,,,,,,,,,,,,
31,NL01  ,1999MM12,372.4,318.4,54.0,52.1,38.3,9.9,1.0,,,,,,,,1.4,1.2,,,,1620.9,1365.8,255.2,241.0,173.5,38.8,7.0,,,,,,,,13.5,4.3,,,
32,NL01  ,1999KW04,1626.4,1302.0,324.3,320.5,255.0,48.7,6.7,1.8,1.0,1.3,,1.2,,,4.4,1.7,,1.0,,7201.7,5530.9,1670.8,1643.5,1342.7,190.5,38.1,11.1,6.0,5.7,,5.0,,,42.2,9.2,,6.1,
33,NL01  ,1999JJ00,10396.9,8072.6,2324.4,2292.4,1717.9,245.6,100.7,55.4,14.3,64.7,21.2,20.4,,,52.2,10.7,5.8,12.8,2.6,53978.2,41762.7,12215.5,12035.5,9675.8,1059.1,503.4,182.7,64.2,155.2,76.3,70.2,,,248.7,68.3,49.0,42.4,20.3
34,NL01  ,2000MM01,357.6,286.1,71.5,71.3,58.6,9.5,1.2,,,,,,,,1.2,,,,,1547.6,1221.3,326.3,324.3,268.2,38.3,6.4,,,,,,,,6.7,,,,
35,NL01  ,2000MM02,334.1,287.3,46.8,46.7,32.4,8.9,3.7,,,,,,,,,,,,,1335.0,1132.2,202.8,202.0,138.4,29.4,19.2,,,,,,,,,,,,
36,NL01  ,2000MM03,494.8,422.0,72.8,72.5,54.4,12.1,2.9,1.4,,,,,,,,,,,,2048.3,1705.7,342.6,339.9,253.6,50.7,16.1,9.6,,,,,,,,,,,
37,NL01  ,2000KW01,1186.4,995.4,191.0,190.4,145.3,30.4,7.9,2.6,,,,,,,2.3,,,,,4930.9,4059.2,871.7,866.2,660.3,118.4,41.7,19.7,,,,,,,18.5,,,,
38,NL01  ,2000MM04,962.3,669.7,292.6,290.6,211.2,39.4,15.9,8.1,1.4,7.2,,2.3,,,4.4,,,,,4031.1,2646.8,1384.4,1376.4,1056.9,168.1,71.0,25.0,4.6,18.0,,7.4,,,21.7,,,,
39,NL01  ,2000MM05,1077.9,889.1,188.8,185.9,140.5,19.6,12.3,6.3,1.6,1.0,,1.1,,,3.1,1.1,,1.1,,4565.3,3743.7,821.7,806.4,636.0,74.3,48.0,20.4,5.3,2.4,,3.4,,,15.0,4.8,,4.7,
40,NL01  ,2000MM06,1470.5,1141.6,328.9,324.3,253.1,25.3,14.7,6.6,1.7,2.9,2.7,4.0,,,13.3,2.3,,1.7,,6606.8,5146.2,1460.6,1442.5,1181.7,95.1,61.9,16.3,6.4,7.1,7.8,12.0,,,54.2,10.1,,5.0,
41,NL01  ,2000KW02,3510.6,2700.4,810.3,800.9,604.8,84.4,43.0,21.0,4.7,11.1,3.8,7.4,,,20.8,4.3,1.2,3.4,,15203.3,11536.6,3666.6,3625.3,2874.7,337.5,180.9,61.7,16.3,27.5,13.1,22.7,,,90.9,18.9,8.7,11.5,
42,NL01  ,2000MM07,1365.5,1009.1,356.5,350.0,231.2,33.9,12.2,15.1,4.8,16.2,10.3,9.0,,,17.3,3.1,1.2,1.9,,9082.5,6854.0,2228.5,2200.3,1733.8,173.4,57.4,42.0,20.5,45.4,32.3,30.1,,,65.4,13.1,7.5,5.8,
43,NL01  ,2000MM08,1648.2,1247.5,400.7,393.8,203.6,37.3,28.9,27.8,4.7,57.2,19.4,2.6,,,12.2,1.9,2.3,2.2,,11494.3,9367.4,2126.9,2095.3,1411.3,194.9,145.6,80.5,17.4,118.8,63.5,8.3,,,55.0,7.1,14.8,5.8,
