ID,BedrijfstypeNEG,RegioS,Perioden,TotaalMestproductie_1,DunneMest_2,VasteMest_3,Stikstofuitscheiding_4,TotaalGasvormigeStikstofverliezen_5,AmmoniakN_6,OverigeGasvormigeStikstofverliezenN_7,TotaalGasvormigeStikstofverliezen_8,AmmoniakN_9,OverigeStikstofverliezenN_10,AmmoniakverliesTijdensBeweidingN_11,TotaalStikstofproductie_12,k_0170KgHa_13,k_170250KgHa_14,k_2501000KgHa_15,k_1000KgHa_16,k_0170KgHa_17,k_170250KgHa_18,k_2501000KgHa_19,k_1000KgHa_20,TotaalFosfaatproductie_21,k_060KgHa_22,k_60110KgHa_23,k_110500KgHa_24,k_500KgHa_25,k_060KgHa_26,k_60110KgHa_27,k_110500KgHa_28,k_500KgHa_29,PlaatsingsruimteStikstof_30,PlaatsingsruimteFosfaat_31,AandeelBedrijvenZonderOverproductie_32,ResterendePlaatsingsruimteStikstof_33,ResterendePlaatsingsruimteFosfaat_34,AandeelBedrijvenMetOverproductie_35,Stikstofoverschot_36,Fosfaatoverschot_37,SaldoPlaatsingsruimteStikstof_38,SaldoPlaatsingsruimteStikstofPerHa_39,SaldoPlaatsingsruimteFosfaat_40,SaldoPlaatsingsruimteFosfaatPerHa_41,PlaatsingsruimteStikstof_42,PlaatsingsruimteFosfaat_43,AandeelBedrijvenZonderOverproductie_44,ResterendePlaatsingsruimteStikstof_45,ResterendePlaatsingsruimteFosfaat_46,AandeelBedrijvenMetOverproductie_47,Stikstofoverschot_48,Fosfaatoverschot_49,SaldoPlaatsingsruimteStikstof_50,SaldoPlaatsingsruimteStikstofPerHa_51,SaldoPlaatsingsruimteFosfaat_52,SaldoPlaatsingsruimteFosfaatPerHa_53,AantalLandbouwbedrijven_54,TotaalBemestbareCultuurgrond_55,Grasland_56,Snijmais_57,OverigBouwland_58
0,T00,NL01  ,1994JJ00,83003.0,80044.0,2959.0,680957.0,,84911.0,,,71354.0,,13557.0,609603.0,44.0,7.0,39.0,11.0,19010.0,28722.0,410653.0,151218.0,226539.0,47.0,19.0,24.0,10.0,7896.0,49151.0,94689.0,74802.0,,329131.0,81.0,,184570.0,19.0,156996.0,81978.0,,,102592.0,52.0,406184.0,148937.0,48.0,121848.0,46551.0,52.0,329315.0,140914.0,-207468.0,-106.0,-94363.0,-48.0,116184.0,1957010.0,1050558.0,228508.0,677944.0
1,T00,NL01  ,1995JJ00,82554.0,79541.0,3012.0,679963.0,,84460.0,,,70711.0,,13750.0,609252.0,44.0,7.0,38.0,11.0,18701.0,28885.0,411146.0,150520.0,215878.0,47.0,19.0,24.0,10.0,8090.0,50145.0,90290.0,67353.0,,256804.0,76.0,,124392.0,24.0,176124.0,83466.0,,,40926.0,21.0,405631.0,148651.0,49.0,122012.0,46773.0,51.0,328851.0,132002.0,-206839.0,-106.0,-85229.0,-44.0,113202.0,1953406.0,1048234.0,219217.0,685955.0
2,T00,NL01  ,1996JJ00,81192.0,78109.0,3083.0,668560.0,,83735.0,,,69369.0,,14367.0,599192.0,45.0,7.0,38.0,11.0,19505.0,28738.0,400756.0,150193.0,198126.0,49.0,22.0,19.0,9.0,9526.0,58337.0,65729.0,64534.0,,242755.0,77.0,,124532.0,23.0,172085.0,79903.0,,,44629.0,23.0,407698.0,149628.0,49.0,127383.0,49680.0,51.0,321828.0,123186.0,-194445.0,-99.0,-73507.0,-37.0,110667.0,1967747.0,1052120.0,222872.0,692755.0
3,T00,NL01  ,1997JJ00,77872.0,74769.0,3103.0,644594.0,,83949.0,,,70513.0,,13436.0,574081.0,46.0,7.0,37.0,11.0,19892.0,32015.0,384498.0,137676.0,196807.0,49.0,22.0,19.0,10.0,9509.0,57081.0,68430.0,61786.0,,240372.0,76.0,,121540.0,24.0,164147.0,77975.0,,,43565.0,22.0,403123.0,147974.0,50.0,125531.0,48804.0,50.0,299799.0,119235.0,-174268.0,-89.0,-70430.0,-36.0,107919.0,1950997.0,1030489.0,231985.0,688522.0
4,T00,NL01  ,1998JJ00,76931.0,73550.0,3382.0,602443.0,,71303.0,,,59924.0,,11379.0,542520.0,46.0,8.0,36.0,10.0,21999.0,40115.0,350268.0,130137.0,196057.0,49.0,23.0,18.0,9.0,9481.0,60554.0,64113.0,61909.0,,221034.0,75.0,,104780.0,25.0,165107.0,79803.0,,,24977.0,13.0,404201.0,148414.0,51.0,126642.0,48879.0,49.0,268821.0,113245.0,-142179.0,-73.0,-64367.0,-33.0,104873.0,1957689.0,1031771.0,219940.0,705978.0
5,T00,NL01  ,1999JJ00,75442.0,71905.0,3537.0,585187.0,118486.0,94640.0,23845.0,107688.0,83843.0,23845.0,10797.0,477499.0,49.0,10.0,32.0,9.0,25998.0,54438.0,293152.0,103910.0,199570.0,49.0,23.0,19.0,9.0,9057.0,58805.0,68062.0,63646.0,,218968.0,75.0,,100544.0,25.0,141900.0,81146.0,,,19398.0,10.0,399531.0,146939.0,55.0,131252.0,48782.0,45.0,215742.0,108557.0,-84490.0,-44.0,-59775.0,-31.0,101545.0,1939975.0,1018013.0,230746.0,691216.0
6,T00,NL01  ,2000JJ00,75560.0,71943.0,3617.0,549075.0,111020.0,88395.0,22625.0,101054.0,78429.0,22625.0,9965.0,448021.0,49.0,12.0,30.0,9.0,27223.0,66860.0,257549.0,96389.0,190924.0,50.0,24.0,17.0,9.0,9593.0,61423.0,57912.0,61995.0,,207727.0,75.0,,96068.0,25.0,134016.0,79265.0,,,16803.0,9.0,397098.0,145871.0,57.0,134912.0,50206.0,43.0,193259.0,101699.0,-58347.0,-30.0,-51494.0,-27.0,97392.0,1925592.0,1011193.0,205301.0,709098.0
7,T00,NL01  ,2001JJ00,74989.0,71338.0,3651.0,541723.0,107742.0,85384.0,22358.0,97549.0,75191.0,22358.0,10193.0,444174.0,49.0,11.0,32.0,8.0,25326.0,55401.0,274983.0,88463.0,184854.0,50.0,23.0,19.0,9.0,8766.0,56915.0,65272.0,53901.0,,199550.0,71.0,,87418.0,29.0,131643.0,72723.0,,,14696.0,8.0,390346.0,143551.0,56.0,131563.0,48423.0,44.0,193064.0,95757.0,-61502.0,-32.0,-47334.0,-25.0,92650.0,1896243.0,992560.0,203864.0,699819.0
8,T00,NL01  ,2002JJ00,71529.0,67930.0,3599.0,504418.0,102794.0,80390.0,22404.0,94400.0,71996.0,22404.0,8394.0,410018.0,51.0,15.0,26.0,8.0,29165.0,85018.0,214858.0,80977.0,172923.0,51.0,26.0,14.0,8.0,9981.0,65470.0,47049.0,50423.0,,193863.0,75.0,,87235.0,25.0,115598.0,66295.0,,,20940.0,11.0,393443.0,144856.0,60.0,136808.0,50391.0,40.0,161476.0,83987.0,-24668.0,-13.0,-33596.0,-18.0,89482.0,1914376.0,999766.0,214399.0,700212.0
9,T00,NL01  ,2003JJ00,69247.0,66256.0,2991.0,479166.0,93976.0,73944.0,20032.0,86016.0,65984.0,20032.0,7960.0,393150.0,52.0,15.0,26.0,8.0,28784.0,84191.0,207203.0,72973.0,165859.0,52.0,26.0,15.0,8.0,9542.0,63342.0,48718.0,44258.0,,177572.0,69.0,,76359.0,31.0,119924.0,64647.0,,,11712.0,6.0,388212.0,142944.0,60.0,137469.0,49963.0,40.0,152039.0,77357.0,-14570.0,-8.0,-27394.0,-14.0,85410.0,1889912.0,984973.0,216895.0,688043.0
10,T00,NL01  ,2004JJ00,70390.0,67126.0,3263.0,466983.0,82429.0,68013.0,14415.0,75107.0,60691.0,14415.0,7322.0,391876.0,54.0,15.0,23.0,8.0,30666.0,89618.0,190351.0,81240.0,161779.0,53.0,26.0,13.0,8.0,10490.0,64346.0,40417.0,46524.0,,180340.0,74.0,,80975.0,26.0,117186.0,62414.0,,,18561.0,10.0,388849.0,143153.0,63.0,143651.0,52246.0,37.0,153185.0,76037.0,-9534.0,-5.0,-23790.0,-13.0,83796.0,1894599.0,982577.0,224439.0,687584.0
11,T00,NL01  ,2005JJ00,70117.0,66649.0,3469.0,478843.0,76413.0,63137.0,13277.0,68954.0,55678.0,13277.0,7459.0,409889.0,53.0,15.0,24.0,9.0,29755.0,85262.0,200042.0,94829.0,169679.0,52.0,26.0,13.0,9.0,10488.0,63880.0,41713.0,53598.0,,170404.0,71.0,,72936.0,29.0,137341.0,72211.0,,,725.0,0.0,385710.0,141979.0,62.0,140092.0,51064.0,38.0,170323.0,84446.0,-30231.0,-16.0,-33382.0,-18.0,81750.0,1878491.0,975660.0,235085.0,667745.0
