ID,BouwactiviteitenSBI93,Perioden,SBI45Bouwnijverheid_1,SBI451BouwrijpMakenVanTerreinen_2,SBI452BUGWWExclGrondverzet_3,SBI453Bouwinstallatie_4,SBI454AfwerkenVanGebouwen_5,SBI455VerhuurBouwEnSloopmachines_6,SBI45Bouwnijverheid_7,SBI451BouwrijpMakenVanTerreinen_8,SBI452BUGWWExclGrondverzet_9,SBI453Bouwinstallatie_10,SBI454AfwerkenVanGebouwen_11,SBI455VerhuurBouwEnSloopmachines_12
85,14,1997JJ00,21,0,0,0,21,0,241,0,0,0,241,0
86,14,1998JJ00,23,0,0,0,23,0,278,0,0,0,278,0
87,14,1999JJ00,12,0,0,0,12,0,300,0,0,0,300,0
88,15,1996JJ00,74,0,11,0,63,0,203,0,6,0,196,0
89,15,1997JJ00,97,0,4,0,93,0,215,0,15,0,200,0
90,15,1998JJ00,175,0,9,0,165,0,250,0,29,0,221,0
91,15,1999JJ00,118,0,14,0,105,0,197,0,11,0,186,0
92,11,1996JJ00,92,0,0,0,92,0,211,0,0,0,211,0
93,11,1997JJ00,109,0,0,0,109,0,218,0,0,0,218,0
94,11,1998JJ00,90,0,0,0,110,0,246,0,0,0,246,0
95,11,1999JJ00,133,0,0,0,133,0,225,0,0,0,225,0
96,12,1996JJ00,40,0,0,0,40,0,24,0,0,0,24,0
97,12,1997JJ00,31,0,0,0,31,0,24,0,0,0,24,0
98,12,1998JJ00,44,0,0,0,44,0,36,0,0,0,36,0
99,12,1999JJ00,54,0,0,0,54,0,44,0,0,0,44,0
100,13,1996JJ00,641,0,0,0,641,0,385,0,0,0,385,0
101,13,1997JJ00,655,0,0,0,655,0,428,0,0,0,428,0
102,13,1998JJ00,659,0,0,0,659,0,477,0,0,0,477,0
103,13,1999JJ00,760,0,0,0,760,0,441,0,0,0,441,0
104,26,1996JJ00,947,26,830,0,80,11,537,26,386,0,118,7
105,26,1997JJ00,783,58,605,0,94,27,533,24,403,0,103,5
106,26,1998JJ00,707,48,548,0,103,8,631,25,502,0,94,10
107,26,1999JJ00,633,31,508,0,93,0,640,33,515,0,85,8
108,27,1996JJ00,390,0,0,0,0,390,0,0,0,0,0,0
109,27,1997JJ00,390,0,0,0,0,390,0,0,0,0,0,0
110,27,1998JJ00,435,0,0,0,0,435,0,0,0,0,0,0
111,27,1999JJ00,560,0,0,0,0,560,0,0,0,0,0,0
