ID,SBI93,Voorzieningsgebied,DrinkwaterVanWaterleidingbedrijf_1,AnderWaterVanWaterleidingbedrijf_2,ZelfgewonnenZoetGrondwater_3,ZelfgewonnenZoutBrakGrondwater_4,ZelfgewonnenZoetOppervlaktewater_5,ZelfgewonnenZoutBrakOppervlaktewater_6,DrinkwaterVanWaterleidingbedrijf_7,AnderWaterVanWaterleidingbedrijf_8,ZelfgewonnenZoetGrondwater_9,ZelfgewonnenZoutBrakGrondwater_10,ZelfgewonnenZoetOppervlaktewater_11,ZelfgewonnenZoutBrakOppervlaktewater_12,DrinkwaterVanWaterleidingbedrijf_13,AnderWaterVanWaterleidingbedrijf_14,ZelfgewonnenZoetGrondwater_15,ZelfgewonnenZoutBrakGrondwater_16,ZelfgewonnenZoetOppervlaktewater_17,ZelfgewonnenZoutBrakOppervlaktewater_18
74,2300, 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2300, 9,,,,,,,,,,,,,,,,,,
76,2300,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2300,11,,,,,,,,,,,,,,,,,,
78,2300,12,0.04,0.02,0.04,0.12,0.0,0.52,,,,,,,,,,,,
79,2300,13,12.11,12.16,0.0,0.0,720.73,314.57,,,,,,,,,,,,
80,2300,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2300,15,,,,,,,,,,,,,,,,,,
82,2300,16,,,,,,,,,,,,,,,,,,
83,2300,17,,,,,,,,,,,,,,,,,,
84,2300,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2300,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2300,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2300,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2400,22,24.41,46.58,26.23,0.83,288.13,1055.7,,,,,,,,,,,,
89,2400, 1,1.96,2.24,0.11,0.0,48.87,1.94,0.03,0.84,0.02,0.0,44.22,0.0,1.93,1.4,0.09,0.0,4.65,1.94
90,2400, 2,0.16,0.01,0.08,0.0,0.0,0.0,,,,,,,,,,,,
91,2400, 3,0.22,1.09,0.78,0.0,0.08,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.21,0.02,0.78,0.0,0.08,0.0
92,2400, 4,0.59,0.08,1.1,0.0,32.36,0.0,0.05,0.0,0.01,0.0,0.0,0.0,0.55,0.08,1.09,0.0,32.36,0.0
93,2400, 5,0.08,0.03,0.04,0.0,0.0,0.0,,,,,,,,,,,,
94,2400, 6,0.49,0.03,3.32,0.0,0.1,0.0,,,,,,,,,,,,
95,2400, 7,,,,,,,,,,,,,,,,,,
96,2400, 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2400, 9,0.95,0.39,1.41,0.0,3.61,0.0,0.09,0.02,0.06,0.0,0.39,0.0,0.87,0.37,1.35,0.0,3.22,0.0
98,2400,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2400,11,,,,,,,,,,,,,,,,,,
100,2400,12,,,,,,,,,,,,,,,,,,
101,2400,13,8.89,12.63,6.28,0.17,98.06,438.28,,,,,,,,,,,,
102,2400,14,,,,,,,,,,,,,,,,,,
103,2400,15,0.84,0.01,1.2,0.0,36.98,0.0,0.03,0.01,0.01,0.0,0.0,0.0,0.82,0.0,1.19,0.0,36.98,0.0
104,2400,16,0.42,12.02,0.0,0.52,2.98,569.63,0.03,1.13,0.0,0.5,0.0,28.78,0.4,10.89,0.0,0.02,2.98,540.85
105,2400,17,1.38,3.78,0.49,0.0,0.66,0.0,,,,,,,,,,,,
106,2400,18,2.39,0.0,0.82,0.0,0.01,0.0,0.09,0.0,0.02,0.0,0.0,0.0,2.3,0.0,0.81,0.0,0.01,0.0
107,2400,19,,,,,,,,,,,,,,,,,,
108,2400,20,1.0,12.27,2.45,0.0,18.04,0.0,0.06,8.03,0.11,0.0,9.57,0.0,0.95,4.25,2.34,0.0,8.46,0.0
109,2400,21,0.07,0.0,0.53,0.0,1.63,0.0,,,,,,,,,,,,
110,2733,22,,,,,,,,,,,,,,,,,,
111,2733, 1,0.78,0.01,0.28,0.0,0.2,0.0,0.12,0.01,0.03,0.0,0.2,0.0,0.67,0.0,0.25,0.0,0.0,0.0
112,2733, 2,0.3,0.01,0.06,0.0,0.07,0.0,,,,,,,,,,,,
113,2733, 3,0.3,0.0,0.04,0.0,0.37,0.0,0.12,0.0,0.04,0.0,0.04,0.0,0.18,0.0,0.01,0.0,0.32,0.0
114,2733, 4,1.19,0.05,0.66,0.0,0.43,0.0,0.36,0.04,0.58,0.0,0.03,0.0,0.82,0.01,0.08,0.0,0.4,0.0
115,2733, 5,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2733, 6,0.72,0.2,1.55,0.0,1.2,0.0,0.37,0.0,0.42,0.0,0.2,0.0,0.35,0.19,1.13,0.0,1.0,0.0
117,2733, 7,0.77,0.0,0.99,0.0,0.14,0.0,0.14,0.0,0.4,0.0,0.14,0.0,0.63,0.0,0.58,0.0,0.0,0.0
118,2733, 8,,,,,,,,,,,,,,,,,,
119,2733, 9,0.38,0.0,0.4,0.0,0.06,0.0,0.23,0.0,0.11,0.0,0.06,0.0,0.15,0.0,0.3,0.0,0.0,0.0
120,2733,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2733,11,0.08,0.02,0.15,0.0,0.03,0.0,0.08,0.02,0.15,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,2733,12,,,,,,,,,,,,,,,,,,
123,2733,13,0.41,0.04,0.09,0.0,1.47,0.0,0.29,0.04,0.09,0.0,0.13,0.0,0.13,0.0,0.0,0.0,1.33,0.0
124,2733,14,0.06,0.01,0.02,0.0,0.03,0.0,0.06,0.01,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2733,15,,,,,,,,,,,,,,,,,,
126,2733,16,,,,,,,,,,,,,,,,,,
127,2733,17,0.59,0.0,0.81,0.0,1.71,0.0,0.24,0.0,0.6,0.0,0.06,0.0,0.36,0.0,0.21,0.0,1.65,0.0
128,2733,18,2.07,0.54,3.03,0.0,0.93,0.0,0.5,0.11,0.34,0.0,0.39,0.0,1.57,0.43,2.69,0.0,0.54,0.0
129,2733,19,0.13,0.0,0.03,0.0,0.01,0.0,0.05,0.0,0.02,0.0,0.01,0.0,0.08,0.0,0.01,0.0,0.0,0.0
