ID,Leeftijd,Perioden,TotaalBevolking_1,Mannen_2,Vrouwen_3
3895, 78,2036JJ00,173782,81885,91897
3896, 78,2037JJ00,176959,83473,93486
3897, 78,2038JJ00,181482,85552,95931
3898, 78,2039JJ00,182408,86118,96289
3899, 78,2040JJ00,187569,88420,99149
3900, 78,2041JJ00,188876,89100,99775
3901, 78,2042JJ00,192095,91039,101056
3902, 78,2043JJ00,194857,92309,102547
3903, 78,2044JJ00,191482,90848,100634
3904, 78,2045JJ00,188683,89358,99325
3905, 78,2046JJ00,187814,88946,98867
3906, 78,2047JJ00,189401,89441,99959
3907, 78,2048JJ00,197828,93555,104273
3908, 78,2049JJ00,193443,91260,102183
3909, 78,2050JJ00,186022,87767,98254
3910, 78,2051JJ00,177837,83360,94477
3911, 78,2052JJ00,165121,77563,87558
3912, 78,2053JJ00,159705,75180,84525
3913, 78,2054JJ00,153588,72366,81222
3914, 78,2055JJ00,152876,72387,80488
3915, 78,2056JJ00,151487,71436,80051
3916, 78,2057JJ00,153597,72428,81169
3917, 78,2058JJ00,153351,72458,80892
3918, 78,2059JJ00,158094,74738,83356
3919, 78,2060JJ00,156431,73771,82660
3920, 79,2012JJ00,92717,39242,53476
3921, 79,2013JJ00,91103,39058,52045
3922, 79,2014JJ00,93603,40533,53070
3923, 79,2015JJ00,94939,41615,53324
3924, 79,2016JJ00,97698,43258,54440
3925, 79,2017JJ00,98583,43887,54696
3926, 79,2018JJ00,105156,47314,57842
3927, 79,2019JJ00,107935,48654,59281
3928, 79,2020JJ00,112235,51111,61124
3929, 79,2021JJ00,109722,50414,59308
3930, 79,2022JJ00,115344,53257,62087
3931, 79,2023JJ00,124829,57850,66978
3932, 79,2024JJ00,131756,61013,70743
3933, 79,2025JJ00,126095,58567,67528
3934, 79,2026JJ00,175730,82194,93536
3935, 79,2027JJ00,170210,79309,90901
3936, 79,2028JJ00,161463,75740,85723
3937, 79,2029JJ00,156661,73429,83232
3938, 79,2030JJ00,154265,72239,82026
3939, 79,2031JJ00,153519,71995,81524
3940, 79,2032JJ00,158614,74362,84252
3941, 79,2033JJ00,158034,73968,84066
3942, 79,2034JJ00,160045,75014,85031
3943, 79,2035JJ00,162098,75548,86550
3944, 79,2036JJ00,165673,77663,88010
3945, 79,2037JJ00,168397,78789,89608
3946, 79,2038JJ00,171523,80345,91178
3947, 79,2039JJ00,175960,82375,93585
