ID,Brandstofsoort,Bouwjaarklasse,Perioden,VoertuigenMetBromfietskenteken_1,Snorfiets_2,Bromfiets_3,Brommobiel_4,OverigeVoertuigenMetBromfietskenteken_5
155,T001051,A044281,2018JJ00,54336.0,41107.0,12292.0,789.0,148.0
156,T001051,A044281,2019JJ00,53270.0,40664.0,11686.0,774.0,146.0
157,T001051,A044281,2020JJ00,51947.0,39774.0,11262.0,799.0,112.0
158,T001051,A044281,2021JJ00,50630.0,38912.0,10824.0,782.0,112.0
159,T001051,A044281,2022JJ00,49045.0,37714.0,10455.0,765.0,111.0
160,T001051,A044280,2007JJ00,,,,,
161,T001051,A044280,2008JJ00,,,,,
162,T001051,A044280,2009JJ00,,,,,
163,T001051,A044280,2010JJ00,,,,,
164,T001051,A044280,2011JJ00,,,,,
165,T001051,A044280,2012JJ00,,,,,
166,T001051,A044280,2013JJ00,68019.0,50377.0,16457.0,956.0,229.0
167,T001051,A044280,2014JJ00,66141.0,49122.0,15873.0,929.0,217.0
168,T001051,A044280,2015JJ00,64696.0,48092.0,15471.0,922.0,211.0
169,T001051,A044280,2016JJ00,63530.0,47287.0,15106.0,925.0,212.0
170,T001051,A044280,2017JJ00,62432.0,46603.0,14694.0,922.0,213.0
171,T001051,A044280,2018JJ00,60957.0,45885.0,13957.0,898.0,217.0
172,T001051,A044280,2019JJ00,59530.0,45271.0,13164.0,884.0,211.0
173,T001051,A044280,2020JJ00,57910.0,44180.0,12627.0,924.0,179.0
174,T001051,A044280,2021JJ00,56232.0,43074.0,12074.0,904.0,180.0
175,T001051,A044280,2022JJ00,54098.0,41475.0,11597.0,853.0,173.0
176,T001051,A044279,2007JJ00,,,,,
177,T001051,A044279,2008JJ00,,,,,
178,T001051,A044279,2009JJ00,,,,,
179,T001051,A044279,2010JJ00,,,,,
180,T001051,A044279,2011JJ00,,,,,
181,T001051,A044279,2012JJ00,81341.0,58159.0,21826.0,1136.0,220.0
182,T001051,A044279,2013JJ00,79015.0,56604.0,21108.0,1087.0,216.0
183,T001051,A044279,2014JJ00,77275.0,55567.0,20418.0,1073.0,217.0
184,T001051,A044279,2015JJ00,75803.0,54655.0,19868.0,1069.0,211.0
185,T001051,A044279,2016JJ00,74281.0,53658.0,19350.0,1068.0,205.0
186,T001051,A044279,2017JJ00,72827.0,52870.0,18716.0,1046.0,195.0
187,T001051,A044279,2018JJ00,70992.0,52047.0,17716.0,1035.0,194.0
188,T001051,A044279,2019JJ00,69082.0,51054.0,16825.0,1017.0,186.0
189,T001051,A044279,2020JJ00,66947.0,49638.0,16137.0,1003.0,169.0
190,T001051,A044279,2021JJ00,64645.0,48203.0,15305.0,969.0,168.0
191,T001051,A044279,2022JJ00,62056.0,46387.0,14589.0,916.0,164.0
192,T001051,A044278,2007JJ00,,,,,
193,T001051,A044278,2008JJ00,,,,,
194,T001051,A044278,2009JJ00,,,,,
195,T001051,A044278,2010JJ00,,,,,
196,T001051,A044278,2011JJ00,93484.0,60541.0,31487.0,1192.0,264.0
197,T001051,A044278,2012JJ00,90425.0,58781.0,30238.0,1149.0,257.0
198,T001051,A044278,2013JJ00,88438.0,57797.0,29286.0,1103.0,252.0
199,T001051,A044278,2014JJ00,86755.0,56936.0,28485.0,1094.0,240.0
200,T001051,A044278,2015JJ00,85054.0,56006.0,27692.0,1114.0,242.0
201,T001051,A044278,2016JJ00,83294.0,55094.0,26867.0,1092.0,241.0
202,T001051,A044278,2017JJ00,81089.0,54061.0,25722.0,1073.0,233.0
203,T001051,A044278,2018JJ00,78687.0,53177.0,24223.0,1055.0,232.0
204,T001051,A044278,2019JJ00,76127.0,52079.0,22795.0,1026.0,227.0
205,T001051,A044278,2020JJ00,73318.0,50552.0,21566.0,993.0,207.0
206,T001051,A044278,2021JJ00,70125.0,48824.0,20168.0,922.0,211.0
207,T001051,A044278,2022JJ00,66924.0,46850.0,18981.0,895.0,198.0
208,T001051,A044277,2007JJ00,,,,,
209,T001051,A044277,2008JJ00,,,,,
210,T001051,A044277,2009JJ00,,,,,
211,T001051,A044277,2010JJ00,94926.0,54394.0,38778.0,1524.0,230.0
212,T001051,A044277,2011JJ00,91750.0,52884.0,37153.0,1488.0,225.0
213,T001051,A044277,2012JJ00,89070.0,51578.0,35840.0,1440.0,212.0
214,T001051,A044277,2013JJ00,87023.0,50768.0,34635.0,1410.0,210.0
215,T001051,A044277,2014JJ00,84904.0,49916.0,33399.0,1384.0,205.0
