ID,Brandstofsoort,Bouwjaarklasse,Perioden,VoertuigenMetBromfietskenteken_1,Snorfiets_2,Bromfiets_3,Brommobiel_4,OverigeVoertuigenMetBromfietskenteken_5
426,A019276,A044282,2017JJ00,54146.0,39450.0,14578.0,0.0,118.0
427,A019276,A044282,2018JJ00,53183.0,39079.0,13983.0,0.0,121.0
428,A019276,A044282,2019JJ00,52359.0,38807.0,13435.0,0.0,117.0
429,A019276,A044282,2020JJ00,51240.0,38109.0,13017.0,0.0,114.0
430,A019276,A044282,2021JJ00,50115.0,37436.0,12568.0,0.0,111.0
431,A019276,A044282,2022JJ00,48669.0,36332.0,12223.0,0.0,114.0
432,A019276,A044281,2007JJ00,,,,,
433,A019276,A044281,2008JJ00,,,,,
434,A019276,A044281,2009JJ00,,,,,
435,A019276,A044281,2010JJ00,,,,,
436,A019276,A044281,2011JJ00,,,,,
437,A019276,A044281,2012JJ00,,,,,
438,A019276,A044281,2013JJ00,,,,,
439,A019276,A044281,2014JJ00,55262.0,41592.0,13555.0,0.0,115.0
440,A019276,A044281,2015JJ00,53800.0,40507.0,13182.0,0.0,111.0
441,A019276,A044281,2016JJ00,52812.0,39842.0,12864.0,0.0,106.0
442,A019276,A044281,2017JJ00,51770.0,39221.0,12446.0,0.0,103.0
443,A019276,A044281,2018JJ00,50937.0,38849.0,11985.0,0.0,103.0
444,A019276,A044281,2019JJ00,49985.0,38447.0,11437.0,0.0,101.0
445,A019276,A044281,2020JJ00,48794.0,37654.0,11038.0,0.0,102.0
446,A019276,A044281,2021JJ00,47687.0,36941.0,10645.0,0.0,101.0
447,A019276,A044281,2022JJ00,46265.0,35873.0,10291.0,0.0,101.0
448,A019276,A044280,2007JJ00,,,,,
449,A019276,A044280,2008JJ00,,,,,
450,A019276,A044280,2009JJ00,,,,,
451,A019276,A044280,2010JJ00,,,,,
452,A019276,A044280,2011JJ00,,,,,
453,A019276,A044280,2012JJ00,,,,,
454,A019276,A044280,2013JJ00,62857.0,46692.0,16014.0,0.0,151.0
455,A019276,A044280,2014JJ00,61227.0,45619.0,15465.0,0.0,143.0
456,A019276,A044280,2015JJ00,59899.0,44665.0,15091.0,0.0,143.0
457,A019276,A044280,2016JJ00,58796.0,43913.0,14742.0,0.0,141.0
458,A019276,A044280,2017JJ00,57841.0,43351.0,14347.0,0.0,143.0
459,A019276,A044280,2018JJ00,56585.0,42801.0,13638.0,0.0,146.0
460,A019276,A044280,2019JJ00,55290.0,42279.0,12869.0,0.0,142.0
461,A019276,A044280,2020JJ00,53836.0,41330.0,12362.0,0.0,144.0
462,A019276,A044280,2021JJ00,52345.0,40365.0,11836.0,0.0,144.0
463,A019276,A044280,2022JJ00,50522.0,39011.0,11373.0,0.0,138.0
464,A019276,A044279,2007JJ00,,,,,
465,A019276,A044279,2008JJ00,,,,,
466,A019276,A044279,2009JJ00,,,,,
467,A019276,A044279,2010JJ00,,,,,
468,A019276,A044279,2011JJ00,,,,,
469,A019276,A044279,2012JJ00,75616.0,54166.0,21274.0,0.0,176.0
470,A019276,A044279,2013JJ00,73436.0,52683.0,20583.0,0.0,170.0
471,A019276,A044279,2014JJ00,71855.0,51758.0,19926.0,0.0,171.0
472,A019276,A044279,2015JJ00,70496.0,50919.0,19409.0,0.0,168.0
473,A019276,A044279,2016JJ00,69104.0,50034.0,18907.0,0.0,163.0
474,A019276,A044279,2017JJ00,67871.0,49408.0,18304.0,0.0,159.0
475,A019276,A044279,2018JJ00,66240.0,48738.0,17342.0,0.0,160.0
476,A019276,A044279,2019JJ00,64572.0,47935.0,16488.0,0.0,149.0
477,A019276,A044279,2020JJ00,62708.0,46738.0,15829.0,0.0,141.0
478,A019276,A044279,2021JJ00,60698.0,45531.0,15030.0,0.0,137.0
479,A019276,A044279,2022JJ00,58347.0,43880.0,14334.0,0.0,133.0
480,A019276,A044278,2007JJ00,,,,,
481,A019276,A044278,2008JJ00,,,,,
482,A019276,A044278,2009JJ00,,,,,
483,A019276,A044278,2010JJ00,,,,,
484,A019276,A044278,2011JJ00,88147.0,56934.0,30998.0,0.0,215.0
