ID,Energiedragers,Perioden,EnergieverbruikInDeEnergiesector_1
0,1         ,1967JJ00,
1,1         ,1968JJ00,
2,1         ,1969JJ00,
3,1         ,1970JJ00,
4,1         ,1971JJ00,
5,1         ,1972JJ00,
6,1         ,1973JJ00,
7,1         ,1974JJ00,
8,1         ,1975JJ00,525.0
9,1         ,1976JJ00,575.0
10,1         ,1977JJ00,563.0
11,1         ,1978JJ00,556.0
12,1         ,1979JJ00,574.0
13,1         ,1980JJ00,546.0
14,1         ,1981JJ00,520.0
15,1         ,1982JJ00,496.0
16,1         ,1983JJ00,488.0
17,1         ,1984JJ00,512.0
18,1         ,1985JJ00,483.0
19,1         ,1986JJ00,530.0
20,1         ,1987JJ00,532.0
21,1         ,1988JJ00,544.0
22,1         ,1989JJ00,568.0
23,1         ,1990JJ00,539.0
24,1         ,1991JJ00,563.0
25,1         ,1992JJ00,567.0
26,1         ,1993JJ00,587.0
27,1         ,1994JJ00,593.0
28,1         ,1995JJ00,562.0
29,1         ,1996JJ00,567.0
30,1         ,1997JJ00,559.0
31,1         ,1998JJ00,586.0
32,1         ,1999KW01,137.0
33,1         ,1999KW02,130.0
34,1         ,1999KW03,129.0
35,1         ,1999KW04,141.0
36,1         ,1999JJ00,536.0
37,1         ,2000KW01,141.0
38,1         ,2000KW02,129.0
39,1         ,2000KW03,140.0
40,1         ,2000KW04,146.0
41,1         ,2000JJ00,556.0
42,1         ,2001KW01,157.0
43,1         ,2001KW02,145.0
44,1         ,2001KW03,144.0
45,1         ,2001KW04,159.0
46,1         ,2001JJ00,604.0
47,1         ,2002KW01,155.0
48,1         ,2002KW02,144.0
49,1         ,2002KW03,147.0
50,1         ,2002KW04,153.0
51,1         ,2002JJ00,599.0
52,1         ,2003KW01,156.0
53,1         ,2003KW02,145.0
54,1         ,2003KW03,154.0
55,1         ,2003KW04,157.0
56,1         ,2003JJ00,611.0
57,1         ,2004KW01,163.0
58,1         ,2004KW02,148.0
59,1         ,2004KW03,156.0
60,1         ,2004KW04,159.0
61,1         ,2004JJ00,626.0
62,1         ,2005KW01,158.0
63,1         ,2005KW02,150.0
64,1         ,2005KW03,146.0
65,1         ,2005KW04,157.0
66,1         ,2005JJ00,610.0
67,1         ,2006KW01,156.0
68,1         ,2006KW02,134.0
69,1         ,2006KW03,144.0
70,1         ,2006KW04,148.0
71,1         ,2006JJ00,582.0
72,1         ,2007KW01,159.0
73,1         ,2007KW02,139.0
74,1         ,2007KW03,144.0
75,1         ,2007KW04,159.0
76,1         ,2007JJ00,601.0
77,1         ,2008KW01,159.0
78,1         ,2008KW02,137.0
79,1         ,2008KW03,139.0
80,1         ,2008KW04,146.0
81,1         ,2008JJ00,582.0
82,1         ,2009KW01,152.0
83,1         ,2009KW02,133.0
84,1         ,2009KW03,153.0
85,1         ,2009KW04,162.0
86,1         ,2009JJ00,599.0
87,1         ,2010KW01,165.0
88,1         ,2010KW02,139.0
89,1         ,2010KW03,140.0
90,1         ,2010KW04,165.0
91,1         ,2010JJ00,608.0
92,1         ,2011KW01,153.0
93,1         ,2011KW02,135.0
94,1         ,2011KW03,137.0
95,1         ,2011KW04,158.0
96,1         ,2011JJ00,582.0
97,1         ,2012KW01,154.0
98,1         ,2012KW02,122.0
99,1         ,2012KW03,131.0
100,1         ,2012KW04,145.0
101,1         ,2012JJ00,551.0
102,1         ,2013KW01,141.0
103,1         ,2013KW02,124.0
104,2         ,1967JJ00,
105,2         ,1968JJ00,
106,2         ,1969JJ00,
107,2         ,1970JJ00,
108,2         ,1971JJ00,
109,2         ,1972JJ00,
110,2         ,1973JJ00,
111,2         ,1974JJ00,
112,2         ,1975JJ00,31.0
113,2         ,1976JJ00,55.0
114,2         ,1977JJ00,65.0
115,2         ,1978JJ00,77.0
116,2         ,1979JJ00,64.0
117,2         ,1980JJ00,91.0
118,2         ,1981JJ00,102.0
119,2         ,1982JJ00,139.0
120,2         ,1983JJ00,144.0
121,2         ,1984JJ00,166.0
122,2         ,1985JJ00,163.0
123,2         ,1986JJ00,174.0
124,2         ,1987JJ00,188.0
125,2         ,1988JJ00,238.0
126,2         ,1989JJ00,238.0
127,2         ,1990JJ00,262.0
128,2         ,1991JJ00,241.0
129,2         ,1992JJ00,240.0
130,2         ,1993JJ00,235.0
131,2         ,1994JJ00,267.0
132,2         ,1995JJ00,279.0
133,2         ,1996JJ00,267.0
134,2         ,1997JJ00,253.0
135,2         ,1998JJ00,265.0
136,2         ,1999KW01,61.0
137,2         ,1999KW02,51.0
138,2         ,1999KW03,54.0
139,2         ,1999KW04,60.0
140,2         ,1999JJ00,225.0
141,2         ,2000KW01,60.0
142,2         ,2000KW02,58.0
143,2         ,2000KW03,66.0
144,2         ,2000KW04,61.0
145,2         ,2000JJ00,244.0
146,2         ,2001KW01,71.0
147,2         ,2001KW02,67.0
148,2         ,2001KW03,64.0
149,2         ,2001KW04,58.0
150,2         ,2001JJ00,261.0
151,2         ,2002KW01,65.0
152,2         ,2002KW02,63.0
153,2         ,2002KW03,66.0
154,2         ,2002KW04,68.0
155,2         ,2002JJ00,262.0
156,2         ,2003KW01,75.0
157,2         ,2003KW02,68.0
158,2         ,2003KW03,69.0
159,2         ,2003KW04,57.0
160,2         ,2003JJ00,269.0
161,2         ,2004KW01,63.0
162,2         ,2004KW02,61.0
163,2         ,2004KW03,69.0
164,2         ,2004KW04,69.0
165,2         ,2004JJ00,262.0
166,2         ,2005KW01,65.0
167,2         ,2005KW02,59.0
168,2         ,2005KW03,63.0
169,2         ,2005KW04,60.0
170,2         ,2005JJ00,247.0
171,2         ,2006KW01,62.0
172,2         ,2006KW02,57.0
173,2         ,2006KW03,61.0
174,2         ,2006KW04,58.0
175,2         ,2006JJ00,239.0
176,2         ,2007KW01,70.0
177,2         ,2007KW02,53.0
178,2         ,2007KW03,65.0
179,2         ,2007KW04,69.0
180,2         ,2007JJ00,256.0
181,2         ,2008KW01,67.0
182,2         ,2008KW02,61.0
183,2         ,2008KW03,53.0
184,2         ,2008KW04,62.0
185,2         ,2008JJ00,243.0
186,2         ,2009KW01,67.0
187,2         ,2009KW02,57.0
188,2         ,2009KW03,57.0
189,2         ,2009KW04,57.0
190,2         ,2009JJ00,239.0
191,2         ,2010KW01,64.0
192,2         ,2010KW02,49.0
193,2         ,2010KW03,54.0
194,2         ,2010KW04,66.0
195,2         ,2010JJ00,234.0
196,2         ,2011KW01,59.0
197,2         ,2011KW02,55.0
198,2         ,2011KW03,47.0
199,2         ,2011KW04,62.0
200,2         ,2011JJ00,223.0
201,2         ,2012KW01,68.0
202,2         ,2012KW02,51.0
203,2         ,2012KW03,64.0
204,2         ,2012KW04,68.0
205,2         ,2012JJ00,251.0
206,2         ,2013KW01,62.0
207,2         ,2013KW02,56.0
208,3         ,1967JJ00,
209,3         ,1968JJ00,
210,3         ,1969JJ00,
211,3         ,1970JJ00,
212,3         ,1971JJ00,
213,3         ,1972JJ00,
214,3         ,1973JJ00,
215,3         ,1974JJ00,
216,3         ,1975JJ00,103.0
217,3         ,1976JJ00,132.0
218,3         ,1977JJ00,134.0
219,3         ,1978JJ00,143.0
220,3         ,1979JJ00,133.0
221,3         ,1980JJ00,159.0
222,3         ,1981JJ00,164.0
223,3         ,1982JJ00,210.0
224,3         ,1983JJ00,206.0
225,3         ,1984JJ00,246.0
226,3         ,1985JJ00,250.0
227,3         ,1986JJ00,260.0
228,3         ,1987JJ00,270.0
229,3         ,1988JJ00,323.0
230,3         ,1989JJ00,321.0
231,3         ,1990JJ00,341.0
232,3         ,1991JJ00,326.0
233,3         ,1992JJ00,324.0
234,3         ,1993JJ00,315.0
235,3         ,1994JJ00,346.0
236,3         ,1995JJ00,358.0
237,3         ,1996JJ00,347.0
238,3         ,1997JJ00,331.0
239,3         ,1998JJ00,338.0
240,3         ,1999KW01,77.0
241,3         ,1999KW02,67.0
242,3         ,1999KW03,66.0
243,3         ,1999KW04,71.0
244,3         ,1999JJ00,281.0
245,3         ,2000KW01,71.0
246,3         ,2000KW02,71.0
247,3         ,2000KW03,78.0
248,3         ,2000KW04,75.0
249,3         ,2000JJ00,295.0
250,3         ,2001KW01,84.0
251,3         ,2001KW02,80.0
252,3         ,2001KW03,77.0
253,3         ,2001KW04,72.0
254,3         ,2001JJ00,313.0
255,3         ,2002KW01,78.0
256,3         ,2002KW02,76.0
257,3         ,2002KW03,77.0
258,3         ,2002KW04,80.0
259,3         ,2002JJ00,311.0
260,3         ,2003KW01,87.0
261,3         ,2003KW02,80.0
262,3         ,2003KW03,82.0
263,3         ,2003KW04,69.0
264,3         ,2003JJ00,318.0
265,3         ,2004KW01,76.0
266,3         ,2004KW02,74.0
267,3         ,2004KW03,82.0
268,3         ,2004KW04,81.0
269,3         ,2004JJ00,313.0
270,3         ,2005KW01,77.0
271,3         ,2005KW02,72.0
272,3         ,2005KW03,76.0
273,3         ,2005KW04,73.0
274,3         ,2005JJ00,298.0
275,3         ,2006KW01,74.0
276,3         ,2006KW02,71.0
277,3         ,2006KW03,75.0
278,3         ,2006KW04,72.0
279,3         ,2006JJ00,292.0
280,3         ,2007KW01,81.0
281,3         ,2007KW02,65.0
282,3         ,2007KW03,77.0
283,3         ,2007KW04,81.0
284,3         ,2007JJ00,304.0
285,3         ,2008KW01,78.0
286,3         ,2008KW02,73.0
287,3         ,2008KW03,65.0
288,3         ,2008KW04,74.0
289,3         ,2008JJ00,291.0
290,3         ,2009KW01,78.0
291,3         ,2009KW02,68.0
292,3         ,2009KW03,67.0
293,3         ,2009KW04,68.0
294,3         ,2009JJ00,280.0
295,3         ,2010KW01,76.0
296,3         ,2010KW02,61.0
297,3         ,2010KW03,66.0
298,3         ,2010KW04,78.0
299,3         ,2010JJ00,280.0
300,3         ,2011KW01,70.0
301,3         ,2011KW02,66.0
302,3         ,2011KW03,58.0
303,3         ,2011KW04,72.0
304,3         ,2011JJ00,267.0
305,3         ,2012KW01,77.0
306,3         ,2012KW02,61.0
307,3         ,2012KW03,74.0
308,3         ,2012KW04,78.0
309,3         ,2012JJ00,291.0
310,3         ,2013KW01,73.0
311,3         ,2013KW02,67.0
312,4         ,1967JJ00,
313,4         ,1968JJ00,
314,4         ,1969JJ00,
315,4         ,1970JJ00,
316,4         ,1971JJ00,
317,4         ,1972JJ00,
318,4         ,1973JJ00,
319,4         ,1974JJ00,
320,4         ,1975JJ00,-72.0
321,4         ,1976JJ00,-77.0
322,4         ,1977JJ00,-70.0
323,4         ,1978JJ00,-66.0
324,4         ,1979JJ00,-69.0
325,4         ,1980JJ00,-68.0
326,4         ,1981JJ00,-61.0
327,4         ,1982JJ00,-71.0
328,4         ,1983JJ00,-63.0
329,4         ,1984JJ00,-80.0
330,4         ,1985JJ00,-87.0
331,4         ,1986JJ00,-86.0
332,4         ,1987JJ00,-82.0
333,4         ,1988JJ00,-85.0
334,4         ,1989JJ00,-83.0
335,4         ,1990JJ00,-79.0
336,4         ,1991JJ00,-85.0
337,4         ,1992JJ00,-84.0
338,4         ,1993JJ00,-80.0
339,4         ,1994JJ00,-79.0
340,4         ,1995JJ00,-79.0
341,4         ,1996JJ00,-81.0
342,4         ,1997JJ00,-78.0
343,4         ,1998JJ00,-73.0
344,4         ,1999KW01,-16.0
345,4         ,1999KW02,-16.0
346,4         ,1999KW03,-12.0
347,4         ,1999KW04,-11.0
348,4         ,1999JJ00,-55.0
349,4         ,2000KW01,-11.0
350,4         ,2000KW02,-13.0
351,4         ,2000KW03,-13.0
352,4         ,2000KW04,-14.0
353,4         ,2000JJ00,-51.0
354,4         ,2001KW01,-13.0
355,4         ,2001KW02,-13.0
356,4         ,2001KW03,-13.0
357,4         ,2001KW04,-13.0
358,4         ,2001JJ00,-52.0
359,4         ,2002KW01,-12.0
360,4         ,2002KW02,-13.0
361,4         ,2002KW03,-12.0
362,4         ,2002KW04,-12.0
363,4         ,2002JJ00,-49.0
364,4         ,2003KW01,-12.0
365,4         ,2003KW02,-12.0
366,4         ,2003KW03,-13.0
367,4         ,2003KW04,-12.0
368,4         ,2003JJ00,-49.0
369,4         ,2004KW01,-13.0
370,4         ,2004KW02,-13.0
371,4         ,2004KW03,-13.0
372,4         ,2004KW04,-13.0
373,4         ,2004JJ00,-51.0
374,4         ,2005KW01,-12.0
375,4         ,2005KW02,-13.0
376,4         ,2005KW03,-13.0
377,4         ,2005KW04,-12.0
378,4         ,2005JJ00,-51.0
379,4         ,2006KW01,-12.0
380,4         ,2006KW02,-13.0
381,4         ,2006KW03,-13.0
382,4         ,2006KW04,-14.0
383,4         ,2006JJ00,-53.0
384,4         ,2007KW01,-12.0
385,4         ,2007KW02,-12.0
386,4         ,2007KW03,-12.0
387,4         ,2007KW04,-12.0
388,4         ,2007JJ00,-48.0
389,4         ,2008KW01,-11.0
390,4         ,2008KW02,-12.0
391,4         ,2008KW03,-13.0
392,4         ,2008KW04,-11.0
393,4         ,2008JJ00,-47.0
394,4         ,2009KW01,-10.0
395,4         ,2009KW02,-11.0
396,4         ,2009KW03,-10.0
397,4         ,2009KW04,-11.0
398,4         ,2009JJ00,-42.0
399,4         ,2010KW01,-11.0
400,4         ,2010KW02,-12.0
401,4         ,2010KW03,-12.0
402,4         ,2010KW04,-11.0
403,4         ,2010JJ00,-46.0
404,4         ,2011KW01,-11.0
405,4         ,2011KW02,-12.0
406,4         ,2011KW03,-12.0
407,4         ,2011KW04,-10.0
408,4         ,2011JJ00,-44.0
409,4         ,2012KW01,-9.0
410,4         ,2012KW02,-10.0
411,4         ,2012KW03,-10.0
412,4         ,2012KW04,-10.0
413,4         ,2012JJ00,-40.0
414,4         ,2013KW01,-11.0
415,4         ,2013KW02,-11.0
416,5         ,1967JJ00,
417,5         ,1968JJ00,
418,5         ,1969JJ00,
419,5         ,1970JJ00,
420,5         ,1971JJ00,
421,5         ,1972JJ00,
422,5         ,1973JJ00,
423,5         ,1974JJ00,
424,5         ,1975JJ00,236.0
425,5         ,1976JJ00,270.0
426,5         ,1977JJ00,252.0
427,5         ,1978JJ00,279.0
428,5         ,1979JJ00,388.0
