ID,Cijfersoort,RegioS,Perioden,ZeerGoedGoed_1,PsychischOngezond_2,HogeBloeddruk_3,Gewrichtsslijtage_4,OoitBeroerteGehad_5,OoitHartinfarctGehad_6,ChronischeLuchtwegklachten_7,Rugaandoening_8,MigraineOfErnstigeHoofdpijn_9,SuikerziekteTotaal_10,SuikerziekteType1_11,SuikerziekteType2_12,Minimaal1Aandoening_13,k_1Aandoening_14,k_2Aandoeningen_15,k_3Aandoeningen_16,Minstens1Malaiseklacht_17,Moeheid_18,Slapeloosheid_19,k_1OfMeerBeperkingen_20,BeperkingInBewegen_21,DrinktNooitAlcohol_22,ZwareDrinker_23,Anticonceptiepil_24,VoldoenAanNormGezondBewegen_25,Rokers_26,ZwareRokers_27,Ondergewicht_28,Overgewicht_29,ErnstigOvergewicht_30,OvergewichtKinderen_31,ContactMetHuisarts_32,ContactMetMedischSpecialist_33,ContactMetTandarts_34,ContactMetFysioEnOefentherapeut_35,VoorgeschrevenMedicijnen_36,NietVoorgeschrevenMedicijnen_37
37,1,GG3606,2011X000,82.2,10.1,16.1,13.0,2.4,2.1,7.6,9.9,10.0,4.1,0.6,3.6,46.4,25.0,10.7,10.7,70.5,43.9,23.0,12.8,6.7,19.5,10.2,39.0,59.3,24.9,7.5,3.0,44.6,10.1,11.5,72.4,40.3,80.4,23.3,36.9,40.6
38,1,GG3906,2011X000,79.3,11.7,15.7,13.1,2.9,2.4,8.6,7.9,14.2,5.4,0.4,5.0,47.0,22.8,9.7,14.4,72.4,51.6,24.1,13.7,7.3,29.8,5.7,35.0,51.9,27.5,6.2,2.4,45.5,12.6,20.2,74.6,41.1,75.1,20.7,36.2,40.5
39,1,GG4106,2011X000,80.7,10.4,15.7,12.8,2.5,1.6,7.2,8.4,13.0,3.4,0.6,2.8,45.8,22.9,10.6,12.2,70.9,46.3,19.9,13.6,7.9,20.9,8.1,42.6,57.5,24.2,4.5,1.5,46.5,10.5,10.8,71.8,40.9,79.0,23.0,37.6,37.8
40,1,GG4506,2011X000,82.8,8.1,16.5,12.1,2.0,1.9,7.2,7.3,13.2,3.9,1.0,2.9,46.6,23.8,11.5,11.4,67.5,42.1,20.0,10.8,6.3,21.8,10.7,38.8,58.2,24.8,4.9,1.5,46.7,11.9,13.2,72.7,39.1,79.9,22.1,38.7,39.0
41,1,GG4607,2011X000,79.5,11.0,14.8,14.7,3.1,2.7,7.1,8.2,14.8,4.7,0.9,3.8,48.3,24.1,11.7,12.5,69.4,45.4,22.7,13.3,8.4,25.7,6.6,36.3,51.1,28.4,6.3,1.5,50.4,12.0,15.1,72.6,40.0,77.1,20.7,38.6,36.2
42,1,GG4810,2011X000,81.7,9.2,14.9,11.4,2.5,1.1,6.2,6.4,11.9,3.8,0.6,3.2,43.8,24.5,9.7,9.6,68.0,42.9,19.9,9.9,6.2,24.3,6.3,34.1,56.3,26.2,4.8,0.9,50.7,13.8,13.4,71.9,37.1,79.4,19.9,38.8,36.3
43,1,GG5006,2011X000,79.2,6.9,16.1,17.2,2.2,2.6,8.3,10.0,12.5,4.8,1.0,3.8,49.2,22.1,13.2,13.9,64.9,40.1,21.6,13.4,8.6,20.5,6.9,38.6,56.8,22.9,5.4,0.7,50.7,11.6,17.3,71.2,40.3,75.3,20.3,40.0,31.8
44,1,GG5206,2011X000,78.3,9.3,15.3,15.2,2.5,2.7,9.1,9.5,11.1,5.3,0.8,4.5,49.0,23.9,11.2,13.9,68.5,43.3,20.7,15.8,9.6,23.0,9.4,41.6,54.6,24.8,6.1,1.6,48.2,11.0,13.2,77.0,41.8,75.7,21.3,40.9,36.3
45,1,GG5406,2011X000,80.0,10.0,15.2,13.6,3.3,3.1,7.8,9.3,14.5,4.2,0.8,3.4,48.6,23.8,11.2,13.7,66.3,40.7,20.6,14.3,8.5,19.8,12.5,37.3,55.4,26.4,5.6,1.4,48.4,11.3,11.2,72.5,40.5,80.1,22.4,37.8,32.8
46,1,GG5608,2011X000,79.5,10.9,13.9,12.2,2.7,3.1,7.6,9.7,11.9,4.4,1.0,3.4,45.4,23.1,10.9,11.5,69.2,43.9,21.2,11.6,6.0,17.6,13.3,35.6,58.1,24.5,5.5,2.1,46.7,11.6,11.2,74.6,41.8,78.5,22.2,37.8,33.4
