ID,Cijfersoort,RegioS,Perioden,ZeerGoedGoed_1,PsychischOngezond_2,HogeBloeddruk_3,Gewrichtsslijtage_4,OoitBeroerteGehad_5,OoitHartinfarctGehad_6,ChronischeLuchtwegklachten_7,Rugaandoening_8,MigraineOfErnstigeHoofdpijn_9,SuikerziekteTotaal_10,SuikerziekteType1_11,SuikerziekteType2_12,Minimaal1Aandoening_13,k_1Aandoening_14,k_2Aandoeningen_15,k_3Aandoeningen_16,Minstens1Malaiseklacht_17,Moeheid_18,Slapeloosheid_19,k_1OfMeerBeperkingen_20,BeperkingInBewegen_21,DrinktNooitAlcohol_22,ZwareDrinker_23,Anticonceptiepil_24,VoldoenAanNormGezondBewegen_25,Rokers_26,ZwareRokers_27,Ondergewicht_28,Overgewicht_29,ErnstigOvergewicht_30,OvergewichtKinderen_31,ContactMetHuisarts_32,ContactMetMedischSpecialist_33,ContactMetTandarts_34,ContactMetFysioEnOefentherapeut_35,VoorgeschrevenMedicijnen_36,NietVoorgeschrevenMedicijnen_37
93,2,GG5206,2011X000,0.9,0.9,1.1,1.1,0.5,0.5,0.7,0.7,0.7,0.5,0.2,0.5,1.2,1.0,0.7,0.8,1.1,1.1,0.9,1.1,0.9,1.3,0.9,2.3,1.6,1.0,0.6,0.3,1.3,0.8,1.8,0.9,1.1,1.0,0.9,1.1,1.1
94,2,GG5406,2011X000,0.7,0.8,0.9,0.9,0.4,0.4,0.5,0.5,0.7,0.4,0.2,0.3,0.9,0.8,0.6,0.6,0.9,0.9,0.7,0.9,0.7,1.0,0.8,1.8,1.3,0.9,0.4,0.3,1.1,0.7,1.4,0.8,0.9,0.7,0.8,0.9,0.8
95,2,GG5608,2011X000,0.9,0.9,1.0,0.9,0.5,0.5,0.6,0.7,0.7,0.5,0.2,0.4,1.1,0.9,0.7,0.7,1.0,1.1,0.9,0.9,0.7,1.1,1.0,2.1,1.5,1.0,0.5,0.4,1.2,0.8,1.7,0.9,1.1,0.9,0.9,1.0,1.0
96,2,GG6011,2011X000,1.1,1.1,1.3,1.3,0.7,0.7,0.7,0.8,0.9,0.6,0.3,0.5,1.3,1.1,0.8,1.0,1.2,1.3,1.1,1.3,1.0,1.5,1.2,2.7,1.8,1.2,0.6,0.4,1.5,0.9,2.1,1.2,1.3,1.1,1.1,1.3,1.2
97,2,GG6106,2011X000,1.0,1.1,1.2,1.2,0.5,0.6,0.7,0.8,0.9,0.5,0.3,0.5,1.2,1.0,0.8,0.9,1.0,1.2,1.1,1.2,1.0,1.3,1.0,2.6,1.6,1.1,0.6,0.4,1.3,0.9,2.3,1.0,1.2,1.0,1.0,1.2,1.1
98,3,NL01  ,2011X000,80.5,10.0,15.6,13.0,2.4,2.5,7.7,8.7,13.1,4.3,0.9,3.4,47.2,23.3,11.5,12.5,69.0,44.2,21.4,12.9,7.5,21.1,9.8,38.2,57.0,26.3,5.6,1.6,47.8,11.6,13.3,72.7,39.8,78.4,21.6,37.9,36.6
99,3,LD01  ,2011X000,81.5,8.5,15.1,11.6,2.0,2.6,8.0,7.7,13.6,4.1,0.8,3.3,47.5,23.4,12.9,11.2,68.4,42.1,20.5,11.8,6.6,21.5,10.1,39.2,60.1,29.4,5.6,1.2,49.9,11.6,12.3,69.9,38.8,76.6,20.1,37.3,35.7
100,3,LD02  ,2011X000,81.0,9.4,15.4,13.0,2.1,2.6,7.8,8.9,12.8,4.1,0.9,3.2,47.5,23.2,11.7,12.6,67.8,43.7,20.8,13.1,7.4,20.6,9.7,38.3,56.5,25.6,5.4,1.4,49.5,12.3,13.4,71.9,38.6,78.8,21.3,38.1,35.7
101,3,LD03  ,2011X000,80.5,10.4,15.5,12.7,2.3,2.1,7.5,8.5,13.2,4.4,0.8,3.6,47.4,23.6,11.4,12.4,70.0,45.4,21.9,12.3,7.4,21.6,9.1,37.7,56.4,26.0,5.5,1.7,46.5,11.1,13.8,73.1,40.2,78.2,22.0,38.2,38.0
102,3,LD04  ,2011X000,78.6,11.2,14.9,13.6,2.8,3.2,8.1,9.8,13.6,4.4,0.9,3.5,47.9,22.9,11.3,13.7,68.8,43.4,21.9,14.4,8.6,21.1,11.7,40.3,54.8,25.6,5.7,2.0,48.1,11.8,12.3,74.6,41.4,78.4,22.0,38.6,35.0
103,3,PV20  ,2011X000,79.9,8.7,15.2,11.8,2.1,3.1,9.6,6.1,12.2,3.9,0.7,3.2,45.7,21.2,13.6,10.9,68.1,40.9,21.1,10.9,5.3,23.2,10.1,38.2,61.9,28.4,6.0,1.2,53.4,12.8,13.0,70.2,41.0,78.0,19.3,39.2,37.5
104,3,PV21  ,2011X000,82.6,7.6,15.1,11.0,2.4,2.3,7.3,8.6,14.1,4.0,0.8,3.1,48.7,24.2,13.2,11.2,68.7,44.3,19.4,11.2,6.5,19.9,11.0,40.8,59.9,30.3,6.0,1.7,45.9,9.9,11.9,69.1,37.5,74.8,20.5,37.5,34.8
105,3,PV22  ,2011X000,81.9,9.0,14.7,11.8,1.6,2.5,7.3,8.0,14.9,3.9,0.8,3.2,48.1,23.9,12.1,12.1,67.5,40.0,21.1,13.3,8.1,22.1,9.3,38.4,59.1,29.6,4.6,0.5,51.3,13.0,11.6,70.6,37.7,78.1,20.8,34.5,34.3
106,3,PV23  ,2011X000,81.2,7.9,16.3,12.9,1.8,2.6,7.6,8.9,12.9,4.3,0.8,3.6,48.3,23.7,12.6,12.0,66.1,41.7,20.0,12.8,7.1,19.4,11.6,36.0,58.8,26.4,5.5,1.4,49.8,12.4,12.4,71.2,36.6,78.1,21.9,37.9,34.1
107,3,PV24  ,2011X000,80.8,12.5,17.4,13.3,3.3,4.6,10.6,11.0,14.1,3.7,0.5,3.2,50.4,24.9,11.3,14.3,70.6,48.0,24.1,15.3,10.4,23.3,8.3,38.7,52.9,25.7,7.5,1.1,51.1,15.3,16.6,73.9,42.3,77.3,20.6,40.2,37.8
108,3,PV25  ,2011X000,81.1,9.6,14.6,13.0,2.1,2.3,7.6,8.7,12.4,4.0,1.1,2.9,46.5,22.5,11.3,12.6,68.2,43.9,20.6,12.9,7.1,20.7,9.0,39.6,56.1,25.1,5.0,1.4,48.8,11.8,13.2,71.9,39.0,79.4,21.2,37.9,36.2
109,3,PV26  ,2011X000,80.6,10.6,16.3,12.1,2.0,2.5,7.8,8.6,12.9,3.9,0.7,3.2,47.0,23.2,10.5,13.4,71.1,46.4,21.5,11.7,6.9,20.3,7.8,35.8,59.0,24.8,4.8,2.0,43.0,10.3,10.7,72.9,38.8,78.5,22.4,37.3,39.1
110,3,PV27  ,2011X000,80.9,10.9,15.2,11.7,2.0,1.9,7.5,8.8,12.5,4.4,0.9,3.5,46.9,23.6,11.7,11.5,70.6,46.0,22.5,12.1,7.1,19.1,11.8,38.5,58.3,26.1,5.9,1.9,44.9,10.2,13.9,73.9,41.3,79.0,22.6,37.6,38.9
111,3,PV28  ,2011X000,80.0,10.4,15.8,13.5,2.7,2.2,7.3,8.1,13.8,4.5,0.8,3.8,48.0,24.0,11.2,12.8,69.7,45.3,21.7,12.8,7.7,24.2,7.8,37.5,54.2,26.4,5.5,1.5,48.7,12.2,14.4,72.8,40.1,77.6,21.5,39.2,37.6
112,3,PV29  ,2011X000,80.8,7.2,13.9,14.9,1.8,2.0,8.3,9.4,13.3,4.1,0.9,3.2,47.1,21.4,13.0,12.6,64.3,40.7,20.4,12.3,7.9,19.6,7.0,42.1,55.6,24.1,5.5,0.8,48.7,11.2,17.5,70.5,38.7,77.4,19.9,37.2,31.9
113,3,PV30  ,2011X000,79.4,10.2,14.4,13.3,2.8,2.8,8.2,9.4,13.0,4.6,0.9,3.7,47.9,23.7,11.1,13.1,67.9,42.6,20.9,13.7,8.1,20.3,11.8,39.3,55.4,25.4,5.7,1.8,47.5,11.4,11.8,74.5,41.2,78.4,22.0,38.6,34.2
114,3,PV31  ,2011X000,77.1,13.0,16.1,14.3,2.7,3.7,7.9,10.7,14.9,4.2,1.0,3.2,47.9,21.2,11.6,15.1,70.6,45.0,24.0,15.9,9.7,22.9,11.4,42.9,53.2,26.1,5.8,2.7,49.4,12.5,13.5,74.8,41.8,78.5,22.0,38.5,36.7
115,3,GM0363,2011X000,78.1,14.8,16.5,11.8,2.2,2.0,9.2,9.4,13.1,5.3,0.8,4.4,48.7,24.4,10.8,13.5,72.5,48.0,24.1,14.7,9.2,21.4,13.0,33.8,57.2,28.1,6.1,2.2,42.5,10.6,19.4,77.0,44.3,75.2,23.0,40.9,40.4
116,3,GM0518,2011X000,78.1,12.3,17.8,15.0,2.8,3.0,8.8,9.0,13.7,6.8,0.5,6.3,49.7,22.7,10.5,16.6,71.8,50.3,24.1,13.5,6.9,28.4,6.2,33.6,51.9,27.1,6.0,2.0,47.1,13.6,20.4,74.8,42.0,75.5,21.2,38.3,39.6
117,3,GM0599,2011X000,75.6,12.5,14.6,13.6,3.5,2.7,8.7,9.1,15.1,5.6,0.7,4.9,49.7,23.9,12.0,13.7,71.0,48.3,24.9,14.9,9.7,28.4,6.3,35.4,49.5,30.2,7.0,1.6,50.2,13.9,17.8,73.4,41.7,73.2,20.9,39.6,38.7
118,3,GM0344,2011X000,77.4,14.7,15.8,9.3,3.6,3.3,6.8,9.6,14.1,8.6,1.0,7.6,45.1,21.1,9.9,14.1,73.6,51.8,23.2,14.1,9.7,22.0,9.7,38.1,57.2,25.6,4.9,1.8,40.5,8.3,16.0,73.5,37.7,74.4,22.5,37.9,37.3
119,3,GG0111,2011X000,79.9,8.7,15.2,11.8,2.1,3.1,9.6,6.1,12.2,3.9,0.7,3.2,45.7,21.2,13.6,10.9,68.1,40.9,21.1,10.9,5.3,23.2,10.1,38.2,61.9,28.4,6.0,1.2,53.4,12.8,13.0,70.2,41.0,78.0,19.3,39.2,37.5
120,3,GG7206,2011X000,82.6,7.6,15.1,11.0,2.4,2.3,7.3,8.6,14.1,4.0,0.8,3.1,48.7,24.2,13.2,11.2,68.7,44.3,19.4,11.2,6.5,19.9,11.0,40.8,59.9,30.3,6.0,1.7,45.9,9.9,11.9,69.1,37.5,74.8,20.5,37.5,34.8
121,3,GG0706,2011X000,81.9,9.0,14.7,11.8,1.6,2.5,7.3,8.0,14.9,3.9,0.8,3.2,48.1,23.9,12.1,12.1,67.5,40.0,21.1,13.3,8.1,22.1,9.3,38.4,59.1,29.6,4.6,0.5,51.3,13.0,11.6,70.6,37.7,78.1,20.8,34.5,34.3
122,3,GG1009,2011X000,82.5,7.6,15.6,11.5,1.8,1.7,7.0,7.6,13.7,4.2,0.9,3.3,47.1,25.0,12.2,10.0,65.5,40.8,19.4,10.7,5.5,19.8,10.3,32.4,56.3,25.7,6.2,1.6,50.3,11.9,12.6,69.1,35.4,77.9,18.6,36.6,33.8
123,3,GG1106,2011X000,80.4,7.9,16.6,13.8,1.7,3.3,7.7,10.1,11.9,4.4,0.6,3.8,48.6,22.1,13.2,13.3,66.6,42.3,20.5,14.3,8.3,19.1,12.6,39.2,60.4,27.0,4.8,1.3,49.7,12.7,12.3,73.0,37.5,78.2,24.3,38.8,34.4
124,3,GG1406,2011X000,81.7,9.1,14.3,12.9,1.9,1.7,7.7,9.1,11.5,3.9,1.0,2.9,46.4,23.8,10.3,12.3,67.4,43.4,18.7,12.6,7.1,20.6,9.8,39.5,58.5,25.2,5.4,1.6,49.8,12.1,13.0,70.1,38.1,79.1,21.2,37.8,35.9
125,3,GG1906,2011X000,81.1,9.3,14.2,12.6,2.0,2.9,6.8,8.7,12.8,3.6,0.5,3.1,45.9,23.1,10.8,12.0,68.0,43.4,21.7,11.5,5.8,20.5,6.5,35.9,54.1,24.5,4.6,0.8,47.3,11.4,13.6,71.6,38.3,80.5,20.6,37.8,35.9
126,3,GG2006,2011X000,79.7,10.4,12.8,14.1,3.6,2.9,9.6,9.6,13.0,3.2,1.3,1.9,48.8,22.9,12.5,13.4,68.6,45.5,21.2,19.7,11.6,24.0,7.0,39.5,50.2,27.6,4.9,1.8,49.8,9.3,13.0,75.7,40.5,77.9,23.2,38.0,39.5
127,3,GG2106,2011X000,80.5,10.2,16.8,12.1,2.2,2.6,7.3,7.7,12.7,4.9,1.9,3.1,45.8,19.2,13.1,13.4,70.4,45.8,23.3,12.2,6.3,18.8,12.2,45.5,59.4,23.3,4.5,1.8,48.2,13.6,12.3,75.4,42.9,79.5,22.3,38.0,34.7
128,3,GG2209,2011X000,80.8,12.5,17.4,13.3,3.3,4.6,10.6,11.0,14.1,3.7,0.5,3.2,50.4,24.9,11.3,14.3,70.6,48.0,24.1,15.3,10.4,23.3,8.3,38.7,52.9,25.7,7.5,1.1,51.1,15.3,16.6,73.9,42.3,77.3,20.6,40.2,37.8
129,3,GG2406,2011X000,77.4,14.7,15.8,9.3,3.6,3.3,6.8,9.6,14.1,8.6,1.0,7.6,45.1,21.1,9.9,14.1,73.6,51.8,23.2,14.1,9.7,22.0,9.7,38.1,57.2,25.6,4.9,1.8,40.5,8.3,16.0,73.5,37.7,74.4,22.5,37.9,37.3
130,3,GG2506,2011X000,81.3,9.9,16.4,12.7,1.8,2.3,7.8,8.4,12.6,3.1,0.6,2.4,47.2,23.5,10.5,13.2,70.4,44.7,20.7,11.3,6.5,20.2,7.0,34.2,59.2,24.3,4.8,2.3,44.0,10.6,9.5,72.5,38.6,79.8,22.6,37.2,39.3
131,3,GG2707,2011X000,79.7,9.4,14.4,12.1,1.8,2.3,7.7,7.9,11.3,4.7,1.1,3.6,45.5,22.1,12.7,10.7,70.5,45.1,22.6,11.9,7.4,17.7,13.5,42.1,60.4,27.6,5.5,2.1,48.3,10.1,9.4,71.6,38.5,80.3,21.3,36.3,37.1
132,3,GG3109,2011X000,82.6,10.0,14.5,12.0,2.6,1.6,6.9,8.2,11.8,3.9,0.7,3.2,44.9,22.8,11.0,11.0,70.7,46.6,21.3,11.4,7.1,18.3,9.8,41.8,59.5,24.9,6.3,1.5,44.1,10.1,12.4,74.1,42.2,80.5,22.8,36.5,38.7
133,3,GG7306,2011X000,80.3,10.3,17.8,12.8,1.3,1.2,7.7,10.0,16.6,3.8,1.0,2.7,52.2,25.7,14.0,12.5,71.4,48.1,22.6,11.2,5.6,19.6,11.0,35.1,56.5,23.9,4.5,1.3,51.1,12.2,17.6,73.1,44.0,79.9,24.8,38.4,38.7
134,3,GG3406,2011X000,79.9,13.2,16.0,11.0,2.3,1.9,8.1,9.3,12.8,4.9,1.0,4.0,48.0,24.4,10.7,12.8,70.6,46.2,23.3,13.4,8.3,20.6,12.0,34.5,56.6,26.8,5.9,2.0,42.1,10.0,17.8,76.2,42.6,76.3,22.8,39.7,40.1
135,3,GG3606,2011X000,83.0,10.5,15.1,12.1,2.2,2.0,7.5,10.3,10.8,4.2,0.9,3.3,48.1,28.1,9.4,10.6,70.2,43.6,21.5,11.1,5.6,21.7,9.9,40.2,55.9,24.2,7.0,2.8,42.7,9.5,11.1,73.1,39.2,80.6,22.9,34.5,40.1
136,3,GG3906,2011X000,78.1,12.3,17.8,15.0,2.8,3.0,8.8,9.0,13.7,6.8,0.5,6.3,49.7,22.7,10.5,16.6,71.8,50.3,24.1,13.5,6.9,28.4,6.2,33.6,51.9,27.1,6.0,2.0,47.1,13.6,20.4,74.8,42.0,75.5,21.2,38.3,39.6
137,3,GG4106,2011X000,80.6,10.7,16.4,13.6,2.6,1.9,7.3,8.9,12.9,3.7,0.6,3.2,47.0,22.8,10.8,13.4,70.8,46.2,19.6,14.5,8.3,20.0,8.1,42.4,57.9,24.2,4.5,1.5,47.2,10.5,10.6,72.2,41.1,78.4,23.0,38.3,37.7
138,3,GG4506,2011X000,82.7,8.1,16.4,11.9,2.0,2.0,7.1,7.3,13.2,4.1,1.0,3.1,47.3,24.3,11.5,11.5,68.1,42.3,20.2,11.1,6.7,22.0,11.1,40.5,57.7,25.0,4.9,1.5,46.5,11.8,13.1,72.9,39.0,79.5,22.5,39.0,39.1
139,3,GG4607,2011X000,78.7,10.9,14.7,14.5,3.0,2.7,7.2,8.5,15.4,4.7,0.9,3.8,49.4,24.7,11.9,12.8,69.8,45.3,22.8,13.2,8.4,25.6,6.9,36.9,51.1,28.0,6.2,1.5,50.6,12.3,15.1,72.8,40.4,76.7,21.0,39.9,36.2
140,3,GG4810,2011X000,81.1,9.8,15.1,11.9,2.6,1.0,6.3,7.2,11.9,4.4,0.8,3.6,46.0,24.7,10.2,11.1,68.6,43.4,20.3,10.8,7.1,25.1,6.3,33.5,55.8,26.2,4.7,0.9,50.7,13.9,13.4,71.9,37.6,79.9,20.7,39.6,36.5
141,3,GG5006,2011X000,80.8,7.2,13.9,14.9,1.8,2.0,8.3,9.4,13.3,4.1,0.9,3.2,47.1,21.4,13.0,12.6,64.3,40.7,20.4,12.3,7.9,19.6,7.0,42.1,55.6,24.1,5.5,0.8,48.7,11.2,17.5,70.5,38.7,77.4,19.9,37.2,31.9
142,3,GG5206,2011X000,78.6,9.4,14.5,14.3,2.2,2.3,8.8,9.2,11.6,5.3,0.8,4.5,49.3,24.5,11.0,13.8,68.4,43.3,20.9,15.2,9.3,23.0,9.3,42.5,54.1,25.1,6.2,1.7,47.8,11.0,13.4,76.9,41.4,76.0,21.6,41.0,36.4
143,3,GG5406,2011X000,79.7,10.3,15.3,13.5,3.4,3.1,8.0,9.3,14.6,4.4,0.8,3.7,49.4,24.0,11.4,14.0,66.7,41.1,20.9,14.5,8.9,20.7,12.5,39.7,54.2,26.1,5.5,1.5,48.0,11.4,11.1,72.7,40.8,79.8,22.5,38.2,33.0
144,3,GG5608,2011X000,79.8,10.9,13.2,11.8,2.6,2.9,7.6,9.5,11.8,4.3,1.0,3.3,44.8,22.9,10.9,11.1,69.0,43.8,21.2,11.2,5.8,18.0,13.3,35.1,57.4,24.5,5.4,2.2,46.7,11.7,11.2,74.7,41.7,78.2,21.9,37.2,33.5
145,3,GG6011,2011X000,79.2,11.4,15.5,13.9,3.8,3.8,7.3,10.3,14.0,4.1,0.9,3.2,47.0,21.8,10.3,14.9,67.7,41.1,22.6,15.5,8.9,22.8,12.9,40.2,58.6,24.6,5.7,2.4,48.0,10.6,12.8,72.8,41.2,76.7,21.3,37.8,34.4
146,3,GG6106,2011X000,75.6,14.4,16.1,14.6,2.0,3.7,8.3,10.9,16.1,4.2,1.1,3.1,48.6,20.6,12.8,15.2,73.1,48.2,25.0,16.0,10.1,23.2,10.2,45.0,48.4,27.5,6.0,2.9,50.4,13.8,14.4,76.4,42.4,79.8,22.3,39.0,38.8
