ID,Bedrijfsafvalstoffen,NuttigeToepassingEnEindverwerking,BedrijfstakkenBranchesSBI2008,Perioden,Bedrijfsafval_1
111,A050391,T001523,307600,2008JJ00,7297.0
112,A050391,T001523,307600,2009JJ00,7360.0
113,A050391,T001523,307600,2010JJ00,7380.0
114,A050391,T001523,307600,2011JJ00,7379.0
115,A050391,T001523,307600,2012JJ00,7564.0
116,A050391,T001523,307600,2013JJ00,7681.0
117,A050391,T001523,307600,2014JJ00,7544.0
118,A050391,T001523,307600,2015JJ00,7620.0
119,A050391,T001523,307600,2016JJ00,7799.0
120,A050391,T001523,307600,2017JJ00,8040.0
121,A050391,T001523,307600,2018JJ00,8067.0
122,A050391,T001523,307600,2019JJ00,7668.0
123,A050391,T001523,307600,2020JJ00,7632.0
124,A050391,T001523,307600,2021JJ00,7684.0
125,A050391,T001523,311300,1994JJ00,675.0
126,A050391,T001523,311300,1996JJ00,763.0
127,A050391,T001523,311300,1998JJ00,715.0
128,A050391,T001523,311300,2000JJ00,778.0
129,A050391,T001523,311300,2001JJ00,750.0
130,A050391,T001523,311300,2002JJ00,757.0
131,A050391,T001523,311300,2003JJ00,749.0
132,A050391,T001523,311300,2004JJ00,729.0
133,A050391,T001523,311300,2005JJ00,736.0
134,A050391,T001523,311300,2006JJ00,755.0
135,A050391,T001523,311300,2007JJ00,761.0
136,A050391,T001523,311300,2008JJ00,825.0
137,A050391,T001523,311300,2009JJ00,774.0
138,A050391,T001523,311300,2010JJ00,820.0
139,A050391,T001523,311300,2011JJ00,734.0
140,A050391,T001523,311300,2012JJ00,663.0
141,A050391,T001523,311300,2013JJ00,699.0
142,A050391,T001523,311300,2014JJ00,651.0
143,A050391,T001523,311300,2015JJ00,650.0
144,A050391,T001523,311300,2016JJ00,674.0
145,A050391,T001523,311300,2017JJ00,684.0
146,A050391,T001523,311300,2018JJ00,692.0
147,A050391,T001523,311300,2019JJ00,681.0
148,A050391,T001523,311300,2020JJ00,643.0
149,A050391,T001523,311300,2021JJ00,643.0
150,A050391,T001523,312200,1994JJ00,32.0
151,A050391,T001523,312200,1996JJ00,28.0
152,A050391,T001523,312200,1998JJ00,21.0
153,A050391,T001523,312200,2000JJ00,23.0
154,A050391,T001523,312200,2001JJ00,24.0
155,A050391,T001523,312200,2002JJ00,22.0
156,A050391,T001523,312200,2003JJ00,21.0
157,A050391,T001523,312200,2004JJ00,24.0
158,A050391,T001523,312200,2005JJ00,24.0
159,A050391,T001523,312200,2006JJ00,22.0
160,A050391,T001523,312200,2007JJ00,21.0
161,A050391,T001523,312200,2008JJ00,21.0
162,A050391,T001523,312200,2009JJ00,21.0
163,A050391,T001523,312200,2010JJ00,16.0
164,A050391,T001523,312200,2011JJ00,16.0
165,A050391,T001523,312200,2012JJ00,15.0
166,A050391,T001523,312200,2013JJ00,15.0
167,A050391,T001523,312200,2014JJ00,13.0
168,A050391,T001523,312200,2015JJ00,5.0
169,A050391,T001523,312200,2016JJ00,4.0
170,A050391,T001523,312200,2017JJ00,4.0
171,A050391,T001523,312200,2018JJ00,3.0
172,A050391,T001523,312200,2019JJ00,3.0
173,A050391,T001523,312200,2020JJ00,3.0
174,A050391,T001523,312200,2021JJ00,3.0
175,A050391,T001523,312505,1994JJ00,72.0
176,A050391,T001523,312505,1996JJ00,67.0
177,A050391,T001523,312505,1998JJ00,86.0
178,A050391,T001523,312505,2000JJ00,73.0
179,A050391,T001523,312505,2001JJ00,68.0
180,A050391,T001523,312505,2002JJ00,100.0
181,A050391,T001523,312505,2003JJ00,92.0
182,A050391,T001523,312505,2004JJ00,71.0
183,A050391,T001523,312505,2005JJ00,77.0
184,A050391,T001523,312505,2006JJ00,81.0
185,A050391,T001523,312505,2007JJ00,82.0
186,A050391,T001523,312505,2008JJ00,89.0
187,A050391,T001523,312505,2009JJ00,78.0
188,A050391,T001523,312505,2010JJ00,82.0
189,A050391,T001523,312505,2011JJ00,78.0
190,A050391,T001523,312505,2012JJ00,101.0
191,A050391,T001523,312505,2013JJ00,101.0
192,A050391,T001523,312505,2014JJ00,39.0
193,A050391,T001523,312505,2015JJ00,39.0
194,A050391,T001523,312505,2016JJ00,47.0
195,A050391,T001523,312505,2017JJ00,49.0
196,A050391,T001523,312505,2018JJ00,53.0
197,A050391,T001523,312505,2019JJ00,52.0
198,A050391,T001523,312505,2020JJ00,63.0
199,A050391,T001523,312505,2021JJ00,59.0
200,A050391,T001523,315805,1994JJ00,1036.0
201,A050391,T001523,315805,1996JJ00,1061.0
202,A050391,T001523,315805,1998JJ00,1117.0
203,A050391,T001523,315805,2000JJ00,1435.0
204,A050391,T001523,315805,2001JJ00,1270.0
205,A050391,T001523,315805,2002JJ00,1262.0
206,A050391,T001523,315805,2003JJ00,1197.0
207,A050391,T001523,315805,2004JJ00,1080.0
208,A050391,T001523,315805,2005JJ00,1125.0
209,A050391,T001523,315805,2006JJ00,1145.0
210,A050391,T001523,315805,2007JJ00,1136.0
211,A050391,T001523,315805,2008JJ00,1191.0
212,A050391,T001523,315805,2009JJ00,995.0
213,A050391,T001523,315805,2010JJ00,963.0
214,A050391,T001523,315805,2011JJ00,1032.0
215,A050391,T001523,315805,2012JJ00,914.0
216,A050391,T001523,315805,2013JJ00,846.0
217,A050391,T001523,315805,2014JJ00,818.0
218,A050391,T001523,315805,2015JJ00,834.0
219,A050391,T001523,315805,2016JJ00,705.0
220,A050391,T001523,315805,2017JJ00,750.0
221,A050391,T001523,315805,2018JJ00,665.0
222,A050391,T001523,315805,2019JJ00,688.0
223,A050391,T001523,315805,2020JJ00,629.0
224,A050391,T001523,315805,2021JJ00,640.0
225,A050391,T001523,315800,1994JJ00,399.0
226,A050391,T001523,315800,1996JJ00,296.0
227,A050391,T001523,315800,1998JJ00,350.0
228,A050391,T001523,315800,2000JJ00,377.0
229,A050391,T001523,315800,2001JJ00,347.0
230,A050391,T001523,315800,2002JJ00,310.0
231,A050391,T001523,315800,2003JJ00,303.0
232,A050391,T001523,315800,2004JJ00,236.0
233,A050391,T001523,315800,2005JJ00,247.0
234,A050391,T001523,315800,2006JJ00,260.0
235,A050391,T001523,315800,2007JJ00,264.0
236,A050391,T001523,315800,2008JJ00,249.0
237,A050391,T001523,315800,2009JJ00,215.0
238,A050391,T001523,315800,2010JJ00,241.0
239,A050391,T001523,315800,2011JJ00,250.0
240,A050391,T001523,315800,2012JJ00,175.0
241,A050391,T001523,315800,2013JJ00,163.0
242,A050391,T001523,315800,2014JJ00,176.0
243,A050391,T001523,315800,2015JJ00,189.0
244,A050391,T001523,315800,2016JJ00,144.0
245,A050391,T001523,315800,2017JJ00,155.0
246,A050391,T001523,315800,2018JJ00,133.0
247,A050391,T001523,315800,2019JJ00,149.0
248,A050391,T001523,315800,2020JJ00,144.0
249,A050391,T001523,315800,2021JJ00,148.0
250,A050391,T001523,317105,1994JJ00,1034.0
251,A050391,T001523,317105,1996JJ00,1012.0
252,A050391,T001523,317105,1998JJ00,1143.0
253,A050391,T001523,317105,2000JJ00,1256.0
254,A050391,T001523,317105,2001JJ00,1208.0
255,A050391,T001523,317105,2002JJ00,1206.0
256,A050391,T001523,317105,2003JJ00,1230.0
257,A050391,T001523,317105,2004JJ00,1182.0
258,A050391,T001523,317105,2005JJ00,1153.0
259,A050391,T001523,317105,2006JJ00,1166.0
260,A050391,T001523,317105,2007JJ00,1167.0
261,A050391,T001523,317105,2008JJ00,1028.0
262,A050391,T001523,317105,2009JJ00,922.0
263,A050391,T001523,317105,2010JJ00,955.0
264,A050391,T001523,317105,2011JJ00,965.0
265,A050391,T001523,317105,2012JJ00,844.0
266,A050391,T001523,317105,2013JJ00,843.0
267,A050391,T001523,317105,2014JJ00,824.0
268,A050391,T001523,317105,2015JJ00,833.0
269,A050391,T001523,317105,2016JJ00,806.0
270,A050391,T001523,317105,2017JJ00,820.0
271,A050391,T001523,317105,2018JJ00,834.0
272,A050391,T001523,317105,2019JJ00,823.0
273,A050391,T001523,317105,2020JJ00,789.0
274,A050391,T001523,317105,2021JJ00,835.0
275,A050391,T001523,317100,1994JJ00,746.0
276,A050391,T001523,317100,1996JJ00,702.0
277,A050391,T001523,317100,1998JJ00,799.0
278,A050391,T001523,317100,2000JJ00,857.0
279,A050391,T001523,317100,2001JJ00,837.0
280,A050391,T001523,317100,2002JJ00,839.0
281,A050391,T001523,317100,2003JJ00,871.0
282,A050391,T001523,317100,2004JJ00,862.0
283,A050391,T001523,317100,2005JJ00,837.0
284,A050391,T001523,317100,2006JJ00,813.0
285,A050391,T001523,317100,2007JJ00,807.0
286,A050391,T001523,317100,2008JJ00,742.0
287,A050391,T001523,317100,2009JJ00,647.0
288,A050391,T001523,317100,2010JJ00,709.0
289,A050391,T001523,317100,2011JJ00,714.0
290,A050391,T001523,317100,2012JJ00,629.0
291,A050391,T001523,317100,2013JJ00,631.0
292,A050391,T001523,317100,2014JJ00,640.0
293,A050391,T001523,317100,2015JJ00,655.0
294,A050391,T001523,317100,2016JJ00,661.0
295,A050391,T001523,317100,2017JJ00,692.0
296,A050391,T001523,317100,2018JJ00,703.0
297,A050391,T001523,317100,2019JJ00,698.0
298,A050391,T001523,317100,2020JJ00,674.0
299,A050391,T001523,317100,2021JJ00,709.0
300,A050391,T001523,318600,1994JJ00,288.0
301,A050391,T001523,318600,1996JJ00,310.0
302,A050391,T001523,318600,1998JJ00,344.0
303,A050391,T001523,318600,2000JJ00,398.0
304,A050391,T001523,318600,2001JJ00,371.0
305,A050391,T001523,318600,2002JJ00,367.0
306,A050391,T001523,318600,2003JJ00,359.0
307,A050391,T001523,318600,2004JJ00,320.0
308,A050391,T001523,318600,2005JJ00,316.0
309,A050391,T001523,318600,2006JJ00,353.0
310,A050391,T001523,318600,2007JJ00,360.0
