ID,Smeermiddelen,Perioden,TotaalMineraleEnSynthSmeermiddelen_1,MineraleSmeermidddelen_2,SynthetischeSmeermiddelen_3
235,i,2001KW04,3292,2695,597
236,i,2001HJ02,4701,3943,758
237,i,2001JJ00,9615,8464,1151
238,i,2002KW01,1377,1283,94
239,i,2002KW02,2823,2634,189
240,i,2002HJ01,4200,3916,284
241,i,2002KW03,1870,1735,135
242,i,2002KW04,1651,1514,137
243,i,2002HJ02,3521,3249,272
244,i,2002JJ00,7721,7165,556
245,i,2003KW01,1750,1573,177
246,i,2003KW02,1619,1439,180
247,i,2003HJ01,3369,3012,357
248,i,2003KW03,1794,1726,68
249,i,2003KW04,1619,1439,180
250,i,2003HJ02,3691,3478,213
251,i,2003JJ00,7060,6490,570
