ID,KenmerkenHuishoudens,CaribischNederland,Perioden,Huishoudens_1,PersonenMetInkomenPerHuishouden_2,BesteedbaarInkomenGemiddeld_3,BesteedbaarInkomenMediaan_4,GestandaardiseerdInkomenGemiddeld_5,GestandaardiseerdInkomenMediaan_6
0,1050010,CN01   ,2011JJ00,7300.0,1.7,29.7,22.6,19.2,15.2
1,1050010,CN01   ,2012JJ00,7750.0,1.7,30.7,23.3,20.0,15.9
2,1050010,CN01   ,2013JJ00,8250.0,1.7,30.9,23.5,20.2,16.4
3,1050010,CN01   ,2014JJ00,8600.0,1.7,31.9,24.4,21.0,16.8
4,1050010,CN01   ,2015JJ00,8850.0,1.7,32.8,24.8,21.6,17.1
5,1050010,CN01   ,2016JJ00,9250.0,1.7,33.2,25.4,22.1,17.7
6,1050010,CN01   ,2017JJ00,9750.0,1.7,33.9,25.7,22.8,18.2
7,1050010,CN01   ,2018JJ00,10150.0,1.7,34.2,25.9,23.0,18.3
8,1050010,CN01   ,2019JJ00,10600.0,1.7,35.3,27.0,23.9,19.0
9,1050010,CN01   ,2020JJ00,10950.0,1.6,35.5,26.9,24.1,19.1
10,1050010,CN01   ,2021JJ00,11300.0,1.6,36.0,27.6,24.4,19.4
11,1050010,CN01   ,2022JJ00,12000.0,1.6,36.7,27.6,25.0,19.9
12,1050010,GM9001 ,2011JJ00,5800.0,1.7,29.4,22.4,19.0,15.2
13,1050010,GM9001 ,2012JJ00,6150.0,1.7,30.1,22.6,19.6,15.6
14,1050010,GM9001 ,2013JJ00,6550.0,1.7,30.4,23.1,19.8,16.1
15,1050010,GM9001 ,2014JJ00,6850.0,1.7,31.4,23.7,20.6,16.4
16,1050010,GM9001 ,2015JJ00,7000.0,1.7,32.2,24.3,21.0,16.8
17,1050010,GM9001 ,2016JJ00,7350.0,1.7,33.1,25.3,21.8,17.6
18,1050010,GM9001 ,2017JJ00,7750.0,1.7,33.5,25.2,22.3,17.8
19,1050010,GM9001 ,2018JJ00,8100.0,1.7,33.6,25.5,22.4,17.9
20,1050010,GM9001 ,2019JJ00,8500.0,1.7,34.8,26.4,23.3,18.4
21,1050010,GM9001 ,2020JJ00,8900.0,1.7,34.8,26.3,23.5,18.7
22,1050010,GM9001 ,2021JJ00,9200.0,1.7,35.5,27.0,23.9,19.0
23,1050010,GM9001 ,2022JJ00,9800.0,1.6,36.2,27.2,24.5,19.5
24,1050010,GM9002 ,2011JJ00,950.0,1.6,32.1,24.5,20.5,15.7
