ID,EnergySourcesTechniques,EnergyApplication,Periods,AvoidedEnergy_1,AvoidedEnergyRelative_2,AvoidedEmission_3,AvoidedEmissionRelative_4
0,T001028 ,E007022 ,1990JJ00,16708.0,0.59,1051.0,0.64
1,T001028 ,E007022 ,1991JJ00,18291.0,0.62,1142.0,0.67
2,T001028 ,E007022 ,1992JJ00,19060.0,0.65,1181.0,0.69
3,T001028 ,E007022 ,1993JJ00,20182.0,0.67,1255.0,0.73
4,T001028 ,E007022 ,1994JJ00,20875.0,0.7,1322.0,0.75
5,T001028 ,E007022 ,1995JJ00,22579.0,0.73,1452.0,0.84
6,T001028 ,E007022 ,1996JJ00,26629.0,0.82,1721.0,0.94
7,T001028 ,E007022 ,1997JJ00,29603.0,0.94,1932.0,1.1
8,T001028 ,E007022 ,1998JJ00,31685.0,1.01,2071.0,1.17
9,T001028 ,E007022 ,1999JJ00,34480.0,1.11,2243.0,1.31
10,T001028 ,E007022 ,2000JJ00,37811.0,1.21,2521.0,1.46
11,T001028 ,E007022 ,2001JJ00,42342.0,1.32,2920.0,1.65
12,T001028 ,E007022 ,2002JJ00,49790.0,1.54,3508.0,1.99
13,T001028 ,E007022 ,2003JJ00,51012.0,1.53,,
14,T001028 ,E007022 ,2004JJ00,62982.0,1.86,,
15,T001028 ,E007022 ,2005JJ00,83761.0,2.5,,
16,T001028 ,E007022 ,2006JJ00,91560.0,2.78,,
17,T001028 ,E007022 ,2007JJ00,97307.0,2.95,,
18,T001028 ,E007022 ,2008JJ00,114329.0,3.5,,
19,T001028 ,E007022 ,2009JJ00,131753.0,4.07,8930.0,5.24
20,T001028 ,E007022 ,2010JJ00,133191.0,3.84,9310.0,5.1
21,T001028 ,E007022 ,2011JJ00,140106.0,4.33,9733.0,5.75
22,T001028 ,E007022 ,2012JJ00,148316.0,4.57,10543.0,6.35
23,T001028 ,E007022 ,2013JJ00,144697.0,4.55,10207.0,6.15
24,T001028 ,E007022 ,2014JJ00,150280.0,4.94,10357.0,6.52
25,T001028 ,E007022 ,2015JJ00,166920.0,5.36,11802.0,7.07
26,T001028 ,E007022 ,2016JJ00,180367.0,5.72,12513.0,7.49
27,T001028 ,E007022 ,2017JJ00,197281.0,6.22,13534.0,8.21
28,T001028 ,E007022 ,2018JJ00,218590.0,7.01,14743.0,9.18
29,T001028 ,E007022 ,2019JJ00,255419.0,8.32,16581.0,10.8
30,T001028 ,E007022 ,2020JJ00,331791.0,11.16,20713.0,15.0
31,T001028 ,E007022 ,2021JJ00,415276.0,13.0,27938.0,18.58
32,T001028 ,E007022 ,2022JJ00,465263.0,16.05,30763.0,22.14
33,T001028 ,E007022 ,2023JJ00,525521.0,18.47,32145.0,24.99
34,T001028 ,E007022 ,2024JJ00,591177.0,20.44,35944.0,28.2
35,T001028 ,E006607 ,1990JJ00,6946.0,0.24,497.0,0.3
36,T001028 ,E006607 ,1991JJ00,8075.0,0.27,562.0,0.33
37,T001028 ,E006607 ,1992JJ00,8441.0,0.29,577.0,0.34
38,T001028 ,E006607 ,1993JJ00,9414.0,0.31,643.0,0.37
39,T001028 ,E006607 ,1994JJ00,10450.0,0.35,730.0,0.42
40,T001028 ,E006607 ,1995JJ00,11808.0,0.38,840.0,0.48
41,T001028 ,E006607 ,1996JJ00,14988.0,0.46,1060.0,0.58
42,T001028 ,E006607 ,1997JJ00,15750.0,0.5,1145.0,0.65
43,T001028 ,E006607 ,1998JJ00,17441.0,0.55,1261.0,0.71
44,T001028 ,E006607 ,1999JJ00,19784.0,0.64,1408.0,0.82
45,T001028 ,E006607 ,2000JJ00,22919.0,0.73,1675.0,0.97
46,T001028 ,E006607 ,2001JJ00,27489.0,0.86,2074.0,1.17
47,T001028 ,E006607 ,2002JJ00,33741.0,1.05,2588.0,1.47
48,T001028 ,E006607 ,2003JJ00,34135.0,1.02,2571.0,1.43
49,T001028 ,E006607 ,2004JJ00,43743.0,1.29,3258.0,1.79
50,T001028 ,E006607 ,2005JJ00,62926.0,1.88,4620.0,2.6
51,T001028 ,E006607 ,2006JJ00,66523.0,2.02,4816.0,2.78
52,T001028 ,E006607 ,2007JJ00,59825.0,1.81,4485.0,2.59
53,T001028 ,E006607 ,2008JJ00,76498.0,2.34,5639.0,3.21
54,T001028 ,E006607 ,2009JJ00,87862.0,2.72,6575.0,3.86
55,T001028 ,E006607 ,2010JJ00,94376.0,2.72,7100.0,3.89
56,T001028 ,E006607 ,2011JJ00,95063.0,2.94,7137.0,4.21
57,T001028 ,E006607 ,2012JJ00,101516.0,3.13,7820.0,4.71
58,T001028 ,E006607 ,2013JJ00,94988.0,2.99,7312.0,4.4
59,T001028 ,E006607 ,2014JJ00,95167.0,3.13,7163.0,4.51
60,T001028 ,E006607 ,2015JJ00,108126.0,3.47,8501.0,5.09
61,T001028 ,E006607 ,2016JJ00,123788.0,3.92,9315.0,5.58
62,T001028 ,E006607 ,2017JJ00,133164.0,4.2,9829.0,5.96
63,T001028 ,E006607 ,2018JJ00,144227.0,4.63,10318.0,6.42
64,T001028 ,E006607 ,2019JJ00,166362.0,5.42,11080.0,7.21
65,T001028 ,E006607 ,2020JJ00,239373.0,8.05,14985.0,10.85
66,T001028 ,E006607 ,2021JJ00,318041.0,9.95,21756.0,14.47
67,T001028 ,E006607 ,2022JJ00,373546.0,12.88,25025.0,18.01
68,T001028 ,E006607 ,2023JJ00,430780.0,15.14,26126.0,20.31
69,T001028 ,E006607 ,2024JJ00,474427.0,16.41,28237.0,22.15
70,T001028 ,E006608 ,1990JJ00,9762.0,0.34,555.0,0.34
71,T001028 ,E006608 ,1991JJ00,10216.0,0.35,580.0,0.34
72,T001028 ,E006608 ,1992JJ00,10619.0,0.36,603.0,0.35
73,T001028 ,E006608 ,1993JJ00,10768.0,0.36,612.0,0.36
74,T001028 ,E006608 ,1994JJ00,10425.0,0.35,592.0,0.34
75,T001028 ,E006608 ,1995JJ00,10771.0,0.35,612.0,0.35
76,T001028 ,E006608 ,1996JJ00,11641.0,0.36,662.0,0.36
77,T001028 ,E006608 ,1997JJ00,13854.0,0.44,787.0,0.45
78,T001028 ,E006608 ,1998JJ00,14244.0,0.45,810.0,0.46
79,T001028 ,E006608 ,1999JJ00,14696.0,0.47,835.0,0.49
80,T001028 ,E006608 ,2000JJ00,14892.0,0.48,846.0,0.49
81,T001028 ,E006608 ,2001JJ00,14853.0,0.46,846.0,0.48
82,T001028 ,E006608 ,2002JJ00,16049.0,0.5,920.0,0.52
83,T001028 ,E006608 ,2003JJ00,16742.0,0.5,,
84,T001028 ,E006608 ,2004JJ00,19105.0,0.56,,
85,T001028 ,E006608 ,2005JJ00,20734.0,0.62,,
