ID,RegioS,PersonenMetMigraine_1,PersonenMetAstmaCARA_2,PersonenMetRugaandoening_3,PersonenMetGewrichtsslijtage_4,PersonenMetSuikerziekteTotaal_5,PersonenMetSuikerziekteType1_6,PersonenMetSuikerziekteType2_7,PersonenDieOoitBeroerteHebbenGehad_8,PersDieOoitHartinfarctHebbenGehad_9,PsychischeGezondheidMHI5_10,PersonenMetMoeheidsklachten_11,PersonenMetSlapeloosheid_12,PersonenMetMinstensEenMalaiseklacht_13,PersonenMetMinstensEenOESOKlacht_14,PersonenMetBeweegklachten_15,Rokers_16,ZwareRokers_17,Geheelonthouders_18,Alcoholgebruik_19,VoldoetAanNormGezondBewegen_20,VrouwenMetGebruikAnticonceptiepil_21,CervixUitstrijkjes_22,Mammografieen_23,PersonenMetMigraine_24,PersonenMetAstmaCARA_25,PersonenMetRugaandoening_26,PersonenMetGewrichtsslijtage_27,PersonenMetSuikerziekteTotaal_28,PersonenMetSuikerziekteType1_29,PersonenMetSuikerziekteType2_30,PersonenDieOoitBeroerteHebbenGehad_31,PersDieOoitHartinfarctHebbenGehad_32,PsychischeGezondheidMHI5_33,PersonenMetMoeheidsklachten_34,PersonenMetSlapeloosheid_35,PersonenMetMinstensEensMalaiseklacht_36,PersonenMetMinstensEenOESOKlacht_37,PersonenMetBeweegklachten_38,Rokers_39,ZwareRokers_40,Geheelonthouders_41,Alcoholgebruik_42,VoldoetAanNormGezondBewegen_43,VrouwenMetGebruikAnticonceptiepil_44,CervixUitstrijkjes_45,Mammografieen_46
0,NL00,13,7,8,9,3,1,2,2,2,10,43,21,71,12,8,32,8,18,19,52,41,68,76,13,7,8,9,3,1,2,2,2,10,43,21,71,12,8,32,8,18,19,52,41,68,76
1,LD01,14,8,9,8,3,1,2,1,2,9,41,20,70,12,7,33,8,19,20,56,40,65,77,13,8,8,8,3,1,2,1,2,9,41,20,69,12,7,34,8,19,19,55,40,65,77
2,LD02,12,7,8,9,2,1,2,1,2,9,42,20,70,11,7,31,8,18,18,54,42,69,78,12,7,8,9,3,1,2,1,2,9,42,21,70,12,8,31,8,19,18,54,42,68,77
3,LD03,13,7,8,9,3,1,2,2,2,11,45,22,72,12,8,31,8,19,19,51,40,66,73,13,7,8,9,3,1,2,1,2,11,46,22,72,11,7,31,8,19,19,51,40,67,74
4,LD04,14,7,9,9,3,1,2,2,2,11,40,22,70,13,8,31,9,18,21,52,44,70,79,14,8,9,9,3,1,2,2,2,11,40,21,70,13,8,31,9,18,20,52,44,69,79
5,PV20,14,8,9,8,4,1,3,2,3,11,41,19,68,12,8,36,9,20,20,56,43,66,76,13,8,8,8,4,1,3,2,2,11,40,19,67,12,8,36,9,20,20,55,42,66,76
6,PV21,13,7,9,10,3,1,2,1,2,8,42,21,71,12,8,33,7,18,20,56,39,62,76,13,7,9,9,3,1,2,1,2,8,42,21,70,12,8,33,7,18,19,56,38,63,76
7,PV22,14,10,7,7,2,0,2,2,2,8,40,20,70,12,7,31,8,19,19,55,37,66,80,14,10,7,7,2,0,2,1,2,8,41,19,70,11,7,31,8,19,19,53,41,65,78
8,PV23,12,7,9,8,2,1,2,1,2,9,42,20,71,11,7,32,8,19,20,56,41,69,79,12,7,9,9,3,1,2,1,2,9,42,20,71,11,7,32,7,19,20,56,40,68,79
9,PV24,13,7,7,8,1,0,1,1,1,9,44,19,70,12,8,29,9,20,14,48,36,64,77,12,7,9,10,2,0,1,1,1,9,44,20,71,13,9,29,10,20,15,50,36,61,76
10,PV25,13,8,7,9,3,1,2,1,2,9,41,21,69,12,8,31,8,18,18,54,44,70,78,13,7,7,9,3,1,2,1,2,9,42,21,69,12,8,31,8,18,18,54,44,69,76
11,PV26,13,7,8,8,2,0,2,1,2,10,48,21,74,10,6,31,7,18,18,53,45,67,74,13,7,8,9,2,0,2,1,2,10,48,21,73,11,7,30,7,18,18,54,44,66,75
12,PV27,12,7,9,9,3,1,2,2,2,12,47,22,73,13,9,32,9,17,21,53,41,68,74,13,7,9,8,3,1,2,1,2,12,47,22,73,13,8,32,9,17,21,53,42,70,74
13,PV28,14,7,8,10,3,1,2,2,2,11,45,22,72,11,8,31,9,20,18,49,39,64,71,14,7,8,9,3,1,2,1,2,11,45,22,72,11,7,31,9,20,18,49,39,65,73
