ID,Client,BuildingPhases,Periods,TotalBuildingCosts_1,BuildingCostsAlteration_2,BuildingCostsNewBuildings_3,Dwelling_4,AAgricultureForestryAndFishing_5,BFManufacturingAndEnergy_6,GITradeHotelsRestaurantsBars_7,HJTransportICT_8,KNFinancialAndBusinessServices_9,OPublicAdministrationAndServices_10,PEducation_11,QHealthAndSocialWorkActivities_12,RUCultureRecreationOtherServices_13
43,T001209,A041321,2017MM08,1162,238,924,739.0,26.0,33.0,25.0,13.0,50.0,1.0,4.0,16.0,16.0
44,T001209,A041321,2017MM09,1438,267,1171,882.0,40.0,90.0,40.0,35.0,19.0,3.0,5.0,30.0,28.0
45,T001209,A041321,2017KW03,4426,893,3533,2659.0,102.0,193.0,216.0,101.0,88.0,4.0,38.0,71.0,61.0
46,T001209,A041321,2017MM10,1703,426,1277,917.0,,,,,,,,,
47,T001209,A041321,2017MM11,1619,357,1262,802.0,,,,,,,,,
48,T001209,A041321,2017MM12,1353,333,1020,727.0,,,,,,,,,
49,T001209,A041321,2017KW04,4675,1115,3560,2446.0,,,,,,,,,
50,T001209,A041321,2017JJ00,17016,3633,13384,9473.0,,,,,,,,,
51,T001209,A041321,2018MM01,1160,267,893,642.0,,,,,,,,,
52,T001209,A041321,2018MM02,1459,283,1177,855.0,,,,,,,,,
53,T001209,A041321,2018MM03,1509,299,1210,890.0,,,,,,,,,
54,T001209,A041321,2018KW01,4128,849,3279,2387.0,,,,,,,,,
55,T001209,A041321,2018MM04,1483,325,1158,697.0,,,,,,,,,
56,T001209,A041321,2018MM05,1382,247,1135,695.0,,,,,,,,,
57,T001209,A041321,2018MM06,1589,337,1253,884.0,,,,,,,,,
58,T001209,A041321,2018KW02,4454,908,3545,2276.0,,,,,,,,,
59,T001209,A041321,2018MM07,1723,355,1368,941.0,,,,,,,,,
60,T001209,A041321,2018MM08,1416,274,1142,729.0,,,,,,,,,
61,T001209,A041321,2018MM09,1540,305,1234,947.0,,,,,,,,,
62,T001209,A041321,2018KW03,4678,933,3745,2617.0,,,,,,,,,
63,T001209,A041321,2018MM10,2159,354,1805,1394.0,,,,,,,,,
64,T001209,A041321,2018MM11,1448,275,1173,800.0,,,,,,,,,
65,T001209,A041321,2018MM12,1432,302,1130,841.0,,,,,,,,,
66,T001209,A041321,2018KW04,5039,932,4108,3035.0,,,,,,,,,
67,T001209,A041321,2018JJ00,18299,3622,14677,10316.0,,,,,,,,,
68,T001209,A041321,2019MM01,1238,330,907,603.0,,,,,,,,,
69,T001209,A041321,2019MM02,1278,287,990,618.0,,,,,,,,,
70,T001209,A041321,2019MM03,1420,305,1116,759.0,,,,,,,,,
71,T001209,A041321,2019KW01,3936,922,3013,1980.0,,,,,,,,,
72,T001209,A041321,2019MM04,1482,267,1216,790.0,,,,,,,,,
73,T001209,A041321,2019MM05,1218,313,904,594.0,,,,,,,,,
74,T001209,A041321,2019MM06,1290,251,1038,687.0,,,,,,,,,
75,T001209,A041321,2019KW02,3989,831,3158,2071.0,,,,,,,,,
76,T001209,A041321,2019MM07,1885,518,1367,907.0,,,,,,,,,
77,T001209,A041321,2019MM08,963,228,734,527.0,,,,,,,,,
78,T001209,A041321,2019MM09,1286,249,1037,767.0,,,,,,,,,
79,T001209,A041321,2019KW03,4133,994,3139,2201.0,,,,,,,,,
80,T001209,A041321,2019MM10,1815,368,1446,1085.0,,,,,,,,,
81,T001209,A041321,2019MM11,1690,344,1346,837.0,,,,,,,,,
82,T001209,A041321,2019MM12,1740,443,1296,917.0,,,,,,,,,
83,T001209,A041321,2019KW04,5244,1155,4089,2839.0,,,,,,,,,
84,T001209,A041321,2019JJ00,17303,3903,13399,9091.0,,,,,,,,,
85,T001209,A041321,2020MM01,1228,323,905,673.0,,,,,,,,,
86,T001209,A041321,2020MM02,1472,345,1127,783.0,,,,,,,,,
