ID,Perioden,TotaleBestedingenPerHuishouden_1,TotaleBestedingenAanEnergie_2,Aardgas_3,Elektriciteit_4,CollectieveVerwarming_5,OverigeHuisbrandstoffen_6,Motorbrandstoffen_7,TotaalBestedingsaandeelEnergie_8,Aardgas_9,Elektriciteit_10,CollectieveVerwarming_11,OverigeHuisbrandstoffen_12,Motorbrandstoffen_13,HoeveelheidAardgasPerHuishoudenM3_14,VastrechtAardgasEuro_15,AantalGraaddagenInDagen_16,Spouwmuurisolatie_17,Glasisolatie_18,Dakisolatie_19,Vloerisolatie_20,CentraleGasverwarming_21,LokaleGasverwarming_22,GeenGasverwarming_23,WarmWaterOpAardgas_24,KokenOpAardgas_25,TotaalPerAfnemer_26,MetCVOpGas_27,LokaleGasverwarming_28,GeenVerwarming_29,TotaalPerHuishouden_30,EnkeleMeter_31,DubbeleMeter_32,TotaalElektriciteit_33,EnkeleMeter_34,DubbeleMeter_35,EnkeleMeter_36,DubbeleMeter_37,WarmWaterOpElektriciteit_38,KokenOpElektriciteit_39,ElektrischeApparatenAantal_40,CollectieveVerwarming_41,WijkOfStadsverwarming_42,Blokverwarming_43,BestedingenPerAfnemer_44,Autobezit_45,Benzine_46,LPGEnDieselolie_47,TijdensVakantie_48,TotaalMotorbrandstoffen_49,Benzine_50,LPGEnDieselolie_51,TijdensVakantie_52
0,1980JJ00,14640,1145,400,270,40,25,410,78,27,18,3,2,28,2460,26,3290,,,,,49,34,18,,,2720,3580,2190,210,2880,2500,3890,270,250,335,32,43,,,2.3,12,1,11,490,71,54,6,38,635,615,495,125
1,1981JJ00,14705,1330,515,295,65,25,435,90,35,20,4,2,30,2390,26,3190,20.0,31.0,20.0,7.0,50,32,18,73.0,87.0,2640,3410,2250,220,2870,2460,3970,295,270,385,33,44,17.0,11.0,2.3,13,1,12,595,70,51,6,36,685,660,655,150
2,1982JJ00,15475,1420,515,320,100,25,455,92,33,21,6,2,29,2050,25,2990,24.0,36.0,21.0,6.0,53,29,18,73.0,87.0,2430,2870,1960,220,2800,2380,3640,320,280,400,33,47,17.0,11.0,2.4,14,1,13,710,71,55,8,39,690,635,675,125
3,1983JJ00,15815,1445,515,300,100,25,500,91,33,19,6,2,32,1940,31,2990,29.0,44.0,26.0,7.0,55,27,19,71.0,87.0,2120,2620,1900,210,2640,2200,3640,300,260,390,34,49,16.0,12.0,2.4,15,2,13,650,68,55,8,37,745,710,635,125
4,1984JJ00,16215,1470,565,320,95,18,465,91,35,20,6,1,29,1990,30,3200,33.0,50.0,28.0,8.0,55,26,19,70.0,86.0,2190,2650,1940,240,2720,2360,3630,320,285,410,35,49,16.0,13.0,2.4,15,2,13,680,64,54,8,35,710,700,565,120
5,1985JJ00,16550,1555,640,305,85,30,495,94,39,18,5,2,30,2150,31,3510,38.0,58.0,32.0,11.0,57,26,17,70.0,86.0,2300,2840,1980,240,2600,2250,3360,305,270,370,35,50,16.0,13.0,2.4,13,3,10,680,65,58,10,38,695,670,600,125
6,1986JJ00,16725,1350,615,235,80,20,395,81,37,14,5,1,24,2080,31,3380,41.0,62.0,33.0,13.0,59,25,16,69.0,87.0,2170,2680,1890,270,2520,2190,3410,235,220,290,36,51,14.0,12.0,2.4,13,2,11,660,64,55,8,26,605,595,395,125
7,1987JJ00,16785,1135,420,225,75,15,395,68,25,14,5,1,24,2020,31,3410,43.0,65.0,35.0,15.0,59,25,16,68.0,86.0,2120,2590,1880,240,2610,2290,3480,225,215,275,36,54,14.0,13.0,2.4,14,3,11,635,63,53,9,33,605,615,395,105
8,1988JJ00,16720,1055,355,220,50,10,425,63,21,13,3,1,26,1780,34,2840,46.0,67.0,41.0,19.0,64,22,13,66.0,88.0,1870,2160,1530,260,2620,2270,3440,220,200,260,36,57,13.0,12.0,2.4,11,2,9,500,63,56,10,36,620,615,355,120
9,1989JJ00,17275,1100,325,225,60,15,470,64,19,13,3,1,27,1700,36,2740,45.0,68.0,41.0,19.0,66,20,14,62.0,86.0,1820,2090,1510,170,2650,2260,3630,225,210,270,36,60,12.0,13.0,2.5,12,2,10,470,65,58,12,36,685,645,460,125
10,1990JJ00,17550,1125,360,220,55,10,485,64,20,12,3,1,28,1610,39,2700,48.0,73.0,45.0,22.0,67,20,14,62.0,86.0,1720,1970,1430,160,2710,2290,3650,220,200,265,36,61,12.0,14.0,2.5,12,3,9,440,64,61,12,39,680,615,525,120
11,1991JJ00,18435,1230,455,230,55,15,475,67,25,13,3,1,26,1830,43,3160,47.0,73.0,45.0,22.0,68,19,13,61.0,84.0,1950,2240,1550,150,2745,2360,3730,230,215,280,34,60,12.0,15.0,2.6,12,2,10,440,66,61,11,34,670,630,465,115
12,1992JJ00,18610,1230,435,230,55,10,505,66,23,12,3,0,27,1800,44,2860,49.0,75.0,46.0,23.0,67,19,14,85.0,85.0,1910,2200,1530,150,2805,2430,3720,230,220,270,31,54,12.0,15.0,3.2,12,3,9,465,67,63,11,33,695,645,535,115
13,1993JJ00,19395,1245,415,240,45,10,535,64,21,12,2,1,28,1890,45,3130,50.0,78.0,47.0,24.0,70,17,13,86.0,84.0,2020,2240,1670,260,2835,2490,3510,240,225,270,32,53,11.0,16.0,3.3,12,3,9,465,66,64,11,37,710,670,560,115
14,1994JJ00,19630,1255,395,245,55,10,555,64,20,12,3,0,28,1750,46,2850,50.0,77.0,47.0,25.0,71,16,13,86.0,85.0,1860,2070,1630,140,2830,2440,3580,245,225,275,32,54,12.0,15.0,3.4,12,3,9,485,66,62,11,33,785,705,630,125
15,1995JJ00,19990,1255,395,255,50,5,550,63,20,13,2,0,28,1790,47,2960,51.0,79.0,47.0,28.0,73,15,12,87.0,84.0,1890,2090,1530,350,2870,2460,3410,255,235,270,31,54,11.0,16.0,3.6,10,2,8,515,68,65,11,33,750,695,550,125
16,1996JJ00,20570,1410,470,290,45,5,600,69,23,14,2,0,29,2050,47,3570,53.0,81.0,51.0,30.0,74,15,11,87.0,84.0,2160,2390,1790,260,2940,2440,3650,290,260,330,29,54,11.0,16.0,3.7,11,2,8,440,68,66,11,32,815,750,605,135
17,1997JJ00,21285,1535,450,290,55,5,740,72,21,14,2,0,35,1715,50,2990,54.0,84.0,51.0,31.0,74,13,12,87.0,83.0,1830,2000,1510,270,2925,2450,3540,290,265,330,30,56,11.0,17.0,3.8,11,3,9,480,69,68,12,33,985,900,665,145
18,1998JJ00,22205,1500,435,290,50,5,720,68,20,13,2,0,32,1650,50,2880,56.0,85.0,51.0,31.0,75,12,12,87.0,83.0,1750,1910,1450,340,2975,2420,3570,290,260,320,30,55,10.0,17.0,3.9,12,4,8,510,70,67,11,32,965,885,740,145
19,1999JJ00,23175,1515,410,315,45,5,740,65,18,14,2,0,32,1620,52,2710,58.0,85.0,55.0,34.0,77,11,12,87.0,81.0,1730,1860,1430,430,2970,2390,3480,315,275,350,31,57,10.0,19.0,4.0,12,5,7,480,71,68,12,32,990,880,765,155
20,2000JJ00,24745,1795,440,370,50,5,925,73,18,15,2,0,37,1595,55,2690,58.0,90.0,54.0,35.0,77,11,11,89.0,80.0,1680,1800,1510,360,3085,2530,3590,370,320,415,49,64,9.0,20.0,4.2,12,4,7,525,72,70,15,35,1185,1055,875,170
