ID,Geslacht,Bedrijfstak,Perioden,MensenMetOuderschapsverlof_1,DuurOuderschapsverlof_2,TotaalOuderschapsverlofGebruikers_3,RechthebbendenOuderschapsverlof20Uur_4,RechthebbendenOuderschapsverlof12Uur_5,GebruikOuderschapsverlof20Uur_6,GebruikOuderschapsverlof12Uur_7,UrenOuderschapsverlofPerWeek_8,ArbeidsduurPerWeek_9
0,3,12,1992SJ00,17,23,39,227,,17,,13,34
1,3,12,1993SJ00,19,26,39,228,,17,,12,34
2,3,12,1994SJ00,21,26,44,231,,19,,12,33
3,3,12,1995SJ00,22,25,47,233,,20,,11,33
4,3,12,1996SJ00,25,25,54,245,269.0,22,20.0,11,33
5,3,12,1997SJ00,27,27,58,251,276.0,23,21.0,11,33
6,3,10,1992SJ00,12,23,28,64,,44,,12,32
7,3,10,1993SJ00,14,27,28,65,,44,,12,32
8,3,10,1994SJ00,15,27,30,65,,47,,11,32
9,3,10,1995SJ00,16,28,30,63,,47,,11,31
10,3,10,1996SJ00,16,28,32,65,76.0,49,42.0,10,31
11,3,10,1997SJ00,17,29,34,64,77.0,53,45.0,10,31
12,3,11,1992SJ00,5,24,11,164,,6,,14,34
13,3,11,1993SJ00,5,25,11,163,,7,,13,34
14,3,11,1994SJ00,6,23,14,166,,8,,12,34
15,3,11,1995SJ00,7,21,18,170,,10,,12,34
16,3,11,1996SJ00,8,21,22,181,193.0,12,12.0,12,34
17,3,11,1997SJ00,10,24,24,187,199.0,13,12.0,11,34
18,1,12,1992SJ00,7,27,14,170,,8,,11,39
19,1,12,1993SJ00,8,31,14,166,,9,,10,39
20,1,12,1994SJ00,9,28,17,165,,10,,9,39
21,1,12,1995SJ00,9,22,21,164,,13,,9,39
22,1,12,1996SJ00,9,22,22,169,170.0,13,13.0,9,38
23,1,12,1997SJ00,9,25,20,171,172.0,12,12.0,8,38
24,1,10,1992SJ00,5,28,10,34,,30,,10,39
25,1,10,1993SJ00,6,33,10,33,,31,,10,39
26,1,10,1994SJ00,6,32,11,31,,35,,9,38
27,1,10,1995SJ00,6,26,13,29,,45,,9,38
28,1,10,1996SJ00,6,26,12,28,28.0,43,43.0,8,38
29,1,10,1997SJ00,5,28,11,28,28.0,38,38.0,8,37
30,1,11,1992SJ00,2,23,4,135,,3,,12,39
31,1,11,1993SJ00,2,26,4,133,,3,,10,39
32,1,11,1994SJ00,2,21,6,134,,5,,9,39
33,1,11,1995SJ00,2,15,9,135,,6,,9,39
34,1,11,1996SJ00,3,18,10,141,142.0,7,7.0,10,39
35,1,11,1997SJ00,3,22,10,143,144.0,7,7.0,9,38
36,2,12,1992SJ00,10,21,24,57,,43,,14,26
37,2,12,1993SJ00,11,24,25,62,,40,,13,26
38,2,12,1994SJ00,12,24,27,66,,41,,13,26
39,2,12,1995SJ00,14,28,26,70,,37,,13,26
40,2,12,1996SJ00,16,27,32,76,98.0,42,33.0,12,26
41,2,12,1997SJ00,18,27,37,80,104.0,47,36.0,12,26
42,2,10,1992SJ00,7,20,18,29,,62,,14,27
43,2,10,1993SJ00,8,24,18,32,,58,,13,27
44,2,10,1994SJ00,9,24,20,34,,58,,13,27
45,2,10,1995SJ00,9,30,17,35,,49,,12,27
46,2,10,1996SJ00,11,29,20,37,48.0,54,41.0,11,26
47,2,10,1997SJ00,12,29,23,36,48.0,65,48.0,11,26
48,2,11,1992SJ00,3,25,6,28,,23,,16,25
49,2,11,1993SJ00,3,25,7,30,,22,,14,25
50,2,11,1994SJ00,3,25,8,32,,24,,14,25
51,2,11,1995SJ00,4,26,9,35,,25,,14,25
52,2,11,1996SJ00,5,24,12,40,50.0,31,24.0,13,25
53,2,11,1997SJ00,6,25,14,44,55.0,32,25.0,13,25
