ID,ProductgroepenEnOverigePosten,Perioden,TotaalAanbodBasisprijzen_1,AanbodUitBinnenlandseProductie_2,Totaal_3,InvoerVanGoederen_4,InvoerVanDiensten_5,TotaalGebruikAankoopprijzen_6,IntermediairVerbruik_7,Totaal_8,Huishoudens_9,Overheid_10,BrutoInvesteringenInVasteActiva_11,VeranderingInVoorraden_12,Totaal_13,Goederen_14,Diensten_15,TotaalAanbodBasisprijzen_16,AanbodUitBinnenlandseProductie_17,Totaal_18,InvoerVanGoederen_19,InvoerVanDiensten_20,TotaalGebruikAankoopprijzen_21,IntermediairVerbruik_22,Totaal_23,Huishoudens_24,Overheid_25,BrutoInvesteringenInVasteActiva_26,VeranderingInVoorraden_27,Totaal_28,Goederen_29,Diensten_30,TotaalAanbodBasisprijzen_31,AanbodUitBinnenlandseProductie_32,Totaal_33,InvoerVanGoederen_34,InvoerVanDiensten_35,TotaalGebruikAankoopprijzen_36,IntermediairVerbruik_37,Totaal_38,Huishoudens_39,Overheid_40,BrutoInvesteringenInVasteActiva_41,VeranderingInVoorraden_42,Totaal_43,Goederen_44,Diensten_45,TotaalAanbodBasisprijzen_46,AanbodUitBinnenlandseProductie_47,Totaal_48,InvoerVanGoederen_49,InvoerVanDiensten_50,TotaalGebruikAankoopprijzen_51,IntermediairVerbruik_52,Totaal_53,Huishoudens_54,Overheid_55,BrutoInvesteringenInVasteActiva_56,VeranderingInVoorraden_57,Totaal_58,Goederen_59,Diensten_60
0,T001026,2015JJ00,1697767,1195165,502602,358829,143773,1895496,713820,481343,308989,172354,152533,2546,545254,403037,142217,1697767.0,1195165.0,502602.0,358829.0,143773.0,1895496.0,713820.0,481343.0,308989.0,172354.0,152533.0,,545254.0,403037.0,142217.0,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0
1,T001026,2016JJ00,1686575,1211526,475049,360987,114062,1893211,721128,490174,315332,174842,141675,3446,536788,405116,131672,1717038.0,1224864.0,492174.0,377759.0,114415.0,1921915.0,735785.0,487923.0,313243.0,174680.0,141422.0,,553580.0,421009.0,132571.0,1.1,2.5,-2.1,5.3,-20.4,1.4,3.1,1.4,1.4,1.3,-7.3,,1.5,4.5,-6.8,98.2,98.9,96.5,95.6,99.7,98.5,98.0,100.5,100.7,100.1,100.2,,97.0,96.2,99.3
2,T001026,2017JJ00,1791864,1273223,518641,394689,123952,2008751,764895,506097,326606,179491,148670,3334,585755,442981,142774,1785787.0,1263470.0,522575.0,398960.0,123526.0,1998052.0,762180.0,496528.0,320222.0,176297.0,147368.0,,589101.0,446105.0,142936.0,4.0,3.2,6.2,5.6,8.0,4.0,3.6,1.8,2.2,0.9,4.2,,6.4,6.0,7.8,100.3,100.8,99.2,98.9,100.3,100.5,100.4,101.9,102.0,101.8,100.9,,99.4,99.3,99.9
3,T001026,2018JJ00,1905380,1349145,556235,419514,136721,2135272,817082,530365,341754,188611,158093,4116,625616,467797,157819,1857138.0,1309048.0,548434.0,414757.0,133529.0,2076285.0,797152.0,507390.0,328045.0,179335.0,152653.0,,615818.0,460880.0,154844.0,4.0,3.6,4.9,4.0,8.1,3.9,4.6,2.2,2.4,1.7,3.6,,4.5,3.3,8.3,102.6,103.1,101.4,101.1,102.4,102.8,102.5,104.5,104.2,105.2,103.6,,101.6,101.5,101.9
4,T001026,2019JJ00,1970354,1397460,572894,436059,136835,2214828,839832,554921,354787,200134,172808,6848,640419,473955,166464,1895405.0,1329594.0,566266.0,435505.0,130695.0,2119497.0,806645.0,516168.0,331802.0,184338.0,162070.0,,628708.0,468412.0,160191.0,2.1,1.6,3.3,5.0,-2.1,2.1,1.2,1.7,1.1,2.8,6.2,,2.1,1.6,3.5,104.0,105.1,101.2,100.1,104.7,104.5,104.1,107.5,106.9,108.6,106.6,,101.9,101.2,103.9
5,T001026,2020JJ00,1885972,1349794,536178,402667,133511,2133222,807729,546082,338543,207539,172937,360,606114,448309,157805,1828543.0,1279364.0,549747.0,423981.0,125754.0,2050797.0,781767.0,499652.0,312246.0,187243.0,157828.0,,612196.0,462226.0,150028.0,-3.5,-3.8,-2.9,-2.6,-3.8,-3.2,-3.1,-3.2,-5.9,1.6,-2.6,,-2.6,-1.3,-6.3,103.1,105.5,97.5,95.0,106.2,104.0,103.3,109.3,108.4,110.8,109.6,,99.0,97.0,105.2
6,T001026,2021JJ00,2109963,1484993,624970,494997,129973,2382307,895837,585602,361363,224239,184405,3055,713408,548084,165324,1918921.0,1337572.0,582357.0,464959.0,119055.0,2153163.0,807824.0,520507.0,323605.0,196697.0,162422.0,,661353.0,509402.0,152797.0,4.9,4.5,5.9,9.7,-5.3,5.0,3.3,4.2,3.6,5.0,2.9,,8.0,10.2,1.8,110.0,111.0,107.3,106.5,109.2,110.6,110.9,112.5,111.7,114.0,113.5,,107.9,107.6,108.2
7,T001026,2022JJ00,2498092,1718331,779761,635467,144294,2785581,1056081,651581,411081,240500,199868,3655,874396,680255,194141,1996292.0,1398369.0,598735.0,473627.0,126701.0,2234722.0,839018.0,544904.0,345051.0,199765.0,165332.0,,685748.0,520455.0,166128.0,4.0,4.5,2.8,1.9,6.4,3.8,3.9,4.7,6.6,1.6,1.8,,3.7,2.2,8.7,125.1,122.9,130.2,134.2,113.9,124.7,125.9,119.6,119.1,120.4,120.9,,127.5,130.7,116.9
8,A001026,2015JJ00,47330,27454,19876,19876,0,57740,26039,6580,6580,0,365,-17,24773,24761,12,47330.0,27454.0,19876.0,19876.0,0.0,57740.0,26039.0,6580.0,6580.0,0.0,365.0,,24773.0,24761.0,12.0,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,,100.0,,100.0,100.0,100.0
9,A001026,2016JJ00,49407,27950,21457,21457,0,60198,27139,6838,6838,0,353,-152,26020,26008,12,49784.0,28038.0,21746.0,21746.0,,60487.0,27476.0,6579.0,6579.0,,375.0,,26186.0,26174.0,12.0,5.2,2.1,9.4,9.4,,4.8,5.5,0.0,0.0,,2.7,,5.7,5.7,0.0,99.2,99.7,98.7,98.7,,99.5,98.8,103.9,103.9,,94.1,,99.4,99.4,100.0
