ID,Perioden,OutputBasisprijzen_1,Totaal_2,Totaal_3,ZaaiEnPantgoedGeleverdDoorAnder_4,ZaaiEnPlantgoedGekochtBuitenDe_5,Totaal_6,Elektriciteit_7,Gas_8,AndereBrandstoffen_9,Andere_10,Totaal_11,MeststoffenGeleverdDoorAndereLand_12,MeststoffenGekochtBuitenDeBedrijf_13,FytosanitaireProductenEnPesticiden_14,UitgavenVoorVeeartsen_15,Totaal_16,VeevoederGeleverdDoorAndereLandbo_17,VeevoederGekochtBuitenDeBedrijfst_18,VeevoederGeproduceerdEnVerbruiktO_19,OnderhoudVanMateriaal_20,OnderhoudVanGebouwen_21,Landbouwdiensten_22,IndirectGemetenDienstenVanFinanci_23,AndereGoederenEnDiensten_24,BrutoToegevoegdeWaardeBasisprijzen_25,Totaal_26,Werktuigen_27,Bouwwerken_28,Aanplantingen_29,Andere_30,NettoToegevoegdeWaardeBasisprijzen_31,OutputBasisprijzen_32,Totaal_33,Totaal_34,ZaaiEnPantgoedGeleverdDoorAnder_35,ZaaiEnPlantgoedGekochtBuitenDe_36,Totaal_37,Elektriciteit_38,Gas_39,AndereBrandstoffen_40,Andere_41,Totaal_42,MeststoffenGeleverdDoorAndereLand_43,MeststoffenGekochtBuitenDeBedrijf_44,FytosanitaireProductenEnPesticiden_45,UitgavenVoorVeeartsen_46,Totaal_47,VeevoederGeleverdDoorAndereLandbo_48,VeevoederGekochtBuitenDeBedrijfst_49,VeevoederGeproduceerdEnVerbruiktO_50,OnderhoudVanMateriaal_51,OnderhoudVanGebouwen_52,Landbouwdiensten_53,IndirectGemetenDienstenVanFinanci_54,AndereGoederenEnDiensten_55,BrutoToegevoegdeWaardeBasisprijzen_56,Totaal_57,Werktuigen_58,Bouwwerken_59,Aanplantingen_60,Andere_61,NettoToegevoegdeWaardeBasisprijzen_62,OutputBasisprijzen_63,Totaal_64,Totaal_65,ZaaiEnPantgoedGeleverdDoorAnder_66,ZaaiEnPlantgoedGekochtBuitenDe_67,Totaal_68,Elektriciteit_69,Gas_70,AndereBrandstoffen_71,Andere_72,Totaal_73,MeststoffenGeleverdDoorAndereLand_74,MeststoffenGekochtBuitenDeBedrijf_75,FytosanitaireProductenEnPesticiden_76,UitgavenVoorVeeartsen_77,Totaal_78,VeevoederGeleverdDoorAndereLandbo_79,VeevoederGekochtBuitenDeBedrijfst_80,VeevoederGeproduceerdEnVerbruiktO_81,OnderhoudVanMateriaal_82,OnderhoudVanGebouwen_83,Landbouwdiensten_84,IndirectGemetenDienstenVanFinanci_85,AndereGoederenEnDiensten_86,BrutoToegevoegdeWaardeBasisprijzen_87,Totaal_88,Werktuigen_89,Bouwwerken_90,Aanplantingen_91,Andere_92,NettoToegevoegdeWaardeBasisprijzen_93,OutputBasisprijzen_94,Totaal_95,Totaal_96,ZaaiEnPantgoedGeleverdDoorAnder_97,ZaaiEnPlantgoedGekochtBuitenDe_98,Totaal_99,Elektriciteit_100,Gas_101,AndereBrandstoffen_102,Andere_103,Totaal_104,MeststoffenGeleverdDoorAndereLand_105,MeststoffenGekochtBuitenDeBedrijf_106,FytosanitaireProductenEnPesticiden_107,UitgavenVoorVeeartsen_108,Totaal_109,VeevoederGeleverdDoorAndereLandbo_110,VeevoederGekochtBuitenDeBedrijfst_111,VeevoederGeproduceerdEnVerbruiktO_112,OnderhoudVanMateriaal_113,OnderhoudVanGebouwen_114,Landbouwdiensten_115,IndirectGemetenDienstenVanFinanci_116,AndereGoederenEnDiensten_117,BrutoToegevoegdeWaardeBasisprijzen_118,Totaal_119,Werktuigen_120,Bouwwerken_121,Aanplantingen_122,Andere_123,NettoToegevoegdeWaardeBasisprijzen_124,NettoToegevoegdeWaardeBasisprijzen_125,NietProductgebondenBelastingen_126,NietProductgebondenSubsidies_127,Landbouwinkomen_128,BeloningVanWerknemers_129,ExploitatieoverschotGemengdInkomen_130,NettoToegevoegdeWaardeBasisprijzen_131,NietProductgebondenBelastingen_132,NietProductgebondenSubsidies_133,Landbouwinkomen_134,BeloningVanWerknemers_135,ExploitatieoverschotGemengdInkomen_136,NettoToegevoegdeWaardeBasisprijzen_137,NietProductgebondenBelastingen_138,NietProductgebondenSubsidies_139,Landbouwinkomen_140,BeloningVanWerknemers_141,ExploitatieoverschotGemengdInkomen_142,NettoToegevoegdeWaardeBasisprijzen_143,NietProductgebondenBelastingen_144,NietProductgebondenSubsidies_145,Landbouwinkomen_146,BeloningVanWerknemers_147,ExploitatieoverschotGemengdInkomen_148,ExploitatieoverschotGemengdInkomen_149,BetaaldePachtED_150,BetaaldeRente_151,OntvangenRente_152,InkomenUitBedrijfsuitoefening_153,Totaal_154,Werknemers_155,Zelfstandigen_156,Inkomensindex2021100_157,MutatieTOVVoorafgaandJaar_158
0,1995JJ00,19845.0,10821.0,894.0,556.0,338.0,872.0,195.0,462.0,195.0,20.0,304.0,,304.0,260.0,201.0,4850.0,1002.0,3463.0,385.0,483.0,164.0,1081.0,56.0,1656.0,9025.0,2093,984.0,817.0,63.0,229.0,6931.0,25158.0,16722.0,1315.0,1118.0,368.0,1894.0,335.0,983.0,597.0,45.0,635.0,,635.0,329.0,332.0,7761.0,1435.0,5748.0,601.0,808.0,221.0,1739.0,51.0,2226.0,8098.0,3295.0,1302.0,1522.0,85.0,398.0,4863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.9,64.7,68.0,49.7,91.7,46.0,58.3,47.1,32.6,44.1,47.9,,47.9,79.2,60.4,62.5,69.8,60.2,64.1,59.8,74.4,62.2,109.4,74.4,111.4,63.5,75.6,53.7,74.5,57.7,142.5,6931.0,283.0,385.0,7033.0,1398.0,5635.0,4863.0,383.0,997.0,5565.0,,,,,,,,,142.5,73.8,38.6,126.4,,,5635.0,326.0,1100.0,41.0,4250.0,189.0,61.0,128.0,114.3,
1,1996JJ00,20326.0,11631.0,943.0,559.0,384.0,1061.0,259.0,558.0,218.0,26.0,299.0,,299.0,272.0,210.0,5273.0,1115.0,3763.0,395.0,483.0,172.0,1087.0,55.0,1776.0,8695.0,2117,967.0,842.0,67.0,240.0,6579.0,25136.0,17386.0,1344.0,1072.0,415.0,2202.0,429.0,1120.0,644.0,60.0,604.0,,604.0,343.0,339.0,8024.0,1442.0,6052.0,563.0,800.0,230.0,1724.0,53.0,2371.0,7696.0,3281.0,1292.0,1513.0,87.0,401.0,4556.0,-0.1,4.0,2.2,-4.1,12.7,16.2,28.1,13.9,7.9,35.3,-4.9,,-4.9,4.5,2.0,3.4,0.5,5.3,-6.2,-0.9,4.0,-0.8,4.4,6.5,-5.0,-0.4,-0.8,-0.6,2.9,0.8,-6.3,80.9,66.9,70.2,52.2,92.4,48.2,60.4,49.8,33.8,43.0,49.5,,49.5,79.2,62.1,65.7,77.3,62.2,70.2,60.3,74.9,63.0,103.5,74.9,113.0,64.5,74.9,55.6,77.1,60.0,144.4,6579.0,259.0,528.0,6847.0,1463.0,5384.0,4556.0,359.0,1364.0,5344.0,,,-6.3,-6.3,36.8,-4.0,,,144.4,72.3,38.7,128.1,,,5384.0,336.0,1037.0,36.0,4047.0,194.0,61.0,132.0,107.1,-6.3
2,1997JJ00,21354.0,11678.0,984.0,565.0,419.0,1083.0,289.0,552.0,214.0,28.0,294.0,,294.0,324.0,225.0,4926.0,939.0,3601.0,385.0,517.0,183.0,1177.0,52.0,1912.0,9676.0,2143,972.0,849.0,72.0,251.0,7533.0,26165.0,17582.0,1401.0,1088.0,449.0,2084.0,474.0,987.0,588.0,64.0,616.0,,616.0,399.0,350.0,7826.0,1458.0,5710.0,664.0,845.0,240.0,1854.0,54.0,2508.0,8317.0,3271.0,1292.0,1492.0,90.0,405.0,5046.0,4.1,1.1,4.2,1.5,8.2,-5.3,10.4,-11.9,-8.7,5.3,2.1,,2.1,16.2,3.3,-2.5,1.1,-5.6,17.8,5.6,4.6,7.5,2.5,5.8,8.1,-0.3,0.0,-1.4,3.8,1.2,10.8,81.6,66.4,70.3,52.0,93.3,52.0,61.0,56.0,36.4,44.0,47.8,,47.8,81.3,64.2,62.9,64.4,63.1,58.0,61.2,76.1,63.5,96.0,76.2,116.3,65.5,75.2,56.9,79.4,61.9,149.3,7533.0,266.0,419.0,7685.0,1515.0,6170.0,5046.0,359.0,1155.0,5833.0,,,10.8,0.1,-15.3,9.1,,,149.3,74.1,36.3,131.8,,,6170.0,347.0,1004.0,35.0,4855.0,194.0,63.0,131.0,117.1,9.3
3,1998JJ00,20441.0,11739.0,1127.0,610.0,516.0,1104.0,325.0,569.0,182.0,28.0,280.0,,280.0,351.0,237.0,4564.0,805.0,3409.0,351.0,562.0,184.0,1194.0,53.0,2083.0,8702.0,2169,973.0,861.0,69.0,266.0,6533.0,25837.0,18044.0,1461.0,992.0,548.0,2194.0,549.0,1008.0,585.0,64.0,615.0,,615.0,412.0,361.0,7776.0,1379.0,5717.0,689.0,910.0,241.0,1863.0,63.0,2728.0,7823.0,3275.0,1299.0,1474.0,94.0,413.0,4659.0,-1.3,2.6,4.3,-8.8,22.1,5.3,15.9,2.2,-0.4,0.0,-0.2,,-0.2,3.4,3.1,-0.6,-5.4,0.1,3.8,7.7,0.2,0.5,15.0,8.8,-5.9,0.1,0.5,-1.2,4.0,1.9,-7.7,79.1,65.1,77.1,61.5,94.2,50.3,59.2,56.5,31.0,43.3,45.6,,45.6,85.1,65.8,58.7,58.3,59.6,50.9,61.8,76.5,64.1,84.7,76.4,111.2,66.2,74.9,58.4,73.6,64.3,140.2,6533.0,259.0,432.0,6706.0,1576.0,5130.0,4659.0,352.0,1161.0,5401.0,,,-7.7,-1.9,0.5,-7.4,,,140.2,73.6,37.2,124.2,,,5130.0,366.0,1007.0,33.0,3790.0,190.0,64.0,127.0,101.7,-13.1
4,1999JJ00,20270.0,11993.0,1248.0,615.0,633.0,1126.0,358.0,538.0,204.0,25.0,227.0,,227.0,380.0,240.0,4382.0,907.0,3127.0,348.0,613.0,200.0,1284.0,61.0,2232.0,8277.0,2225,981.0,879.0,75.0,290.0,6052.0,27056.0,18630.0,1647.0,992.0,700.0,2223.0,578.0,1007.0,583.0,62.0,521.0,,521.0,442.0,362.0,7636.0,1393.0,5609.0,639.0,964.0,260.0,1945.0,70.0,3010.0,8347.0,3297.0,1312.0,1460.0,98.0,429.0,5064.0,4.7,3.2,12.7,0.0,27.7,1.3,5.1,-0.1,-0.4,-2.9,-15.3,,-15.3,7.2,0.3,-1.8,1.0,-1.9,-7.2,5.9,7.8,4.4,12.2,10.3,6.7,0.7,1.0,-0.9,4.2,3.7,8.7,74.9,64.4,75.8,62.0,90.4,50.6,62.0,53.4,35.0,40.9,43.7,,43.7,86.0,66.3,57.4,65.1,55.7,54.5,63.6,76.8,66.0,87.6,74.2,99.2,67.5,74.8,60.2,76.4,67.6,119.5,6052.0,257.0,639.0,6434.0,1666.0,4768.0,5064.0,358.0,1049.0,5821.0,,,8.7,1.7,-9.7,7.8,,,119.5,71.8,60.9,110.5,,,4768.0,370.0,997.0,39.0,3441.0,193.0,66.0,127.0,95.0,-6.6
5,2000JJ00,21572.0,12722.0,1326.0,608.0,718.0,1287.0,364.0,621.0,272.0,30.0,260.0,,260.0,395.0,240.0,4392.0,917.0,3127.0,349.0,650.0,208.0,1371.0,71.0,2521.0,8851.0,2348,1014.0,927.0,83.0,324.0,6502.0,27502.0,18962.0,1972.0,1039.0,941.0,2217.0,572.0,1024.0,555.0,66.0,520.0,,520.0,458.0,355.0,7369.0,1388.0,5354.0,625.0,1006.0,262.0,2002.0,73.0,3072.0,8468.0,3355.0,1339.0,1462.0,102.0,450.0,5132.0,1.6,1.8,19.7,4.7,34.4,-0.3,-1.0,1.7,-4.8,6.8,-0.1,,-0.1,3.8,-1.9,-3.5,-0.3,-4.5,-2.2,4.3,0.8,2.9,4.1,2.1,1.5,1.8,2.1,0.1,4.3,5.0,1.3,78.4,67.1,67.2,58.5,76.3,58.0,63.7,60.6,49.0,46.2,50.0,,50.0,86.1,67.5,59.6,66.0,58.4,55.9,64.7,79.4,68.5,97.6,82.1,104.5,70.0,75.7,63.4,81.0,72.1,126.7,6502.0,272.0,452.0,6682.0,1759.0,4923.0,5132.0,365.0,1126.0,5932.0,,,1.3,2.0,7.4,1.9,,,126.7,74.6,40.2,112.6,,,4923.0,401.0,1019.0,58.0,3560.0,187.0,67.0,119.0,98.9,4.1
6,2001JJ00,22653.0,13607.0,1331.0,654.0,677.0,1372.0,374.0,711.0,252.0,35.0,274.0,,274.0,374.0,260.0,4615.0,1038.0,3181.0,396.0,687.0,214.0,1527.0,58.0,2895.0,9046.0,2474,1050.0,980.0,89.0,355.0,6572.0,27027.0,19308.0,1833.0,1021.0,831.0,2241.0,579.0,1053.0,536.0,68.0,475.0,,475.0,420.0,371.0,7118.0,1373.0,5122.0,617.0,1043.0,266.0,2152.0,78.0,3524.0,7890.0,3415.0,1382.0,1458.0,105.0,464.0,4622.0,-1.7,1.8,-7.1,-1.7,-11.7,1.1,1.3,2.8,-3.5,3.5,-8.6,,-8.6,-8.4,4.6,-3.4,-1.1,-4.3,-1.3,3.7,1.6,7.5,7.5,14.7,-6.8,1.8,3.2,-0.3,2.6,3.2,-9.9,83.8,70.5,72.6,64.1,81.4,61.2,64.6,67.5,47.1,50.8,57.6,,57.6,89.0,70.2,64.8,75.6,62.1,64.2,65.9,80.5,71.0,74.1,82.1,114.7,72.4,76.0,67.2,85.6,76.3,142.2,6572.0,321.0,541.0,6791.0,1840.0,4951.0,4622.0,407.0,1273.0,5383.0,,,-9.9,11.4,13.0,-9.3,,,142.2,79.0,42.5,126.2,,,4951.0,433.0,1068.0,75.0,3525.0,180.0,68.0,111.0,100.0,1.1
7,2002JJ00,22557.0,13950.0,1404.0,688.0,717.0,1312.0,400.0,646.0,231.0,35.0,254.0,,254.0,417.0,252.0,4538.0,1126.0,2981.0,431.0,671.0,220.0,1757.0,70.0,3056.0,8607.0,2575,1096.0,1014.0,94.0,372.0,6032.0,27216.0,19520.0,1899.0,992.0,913.0,2204.0,610.0,1011.0,506.0,67.0,464.0,,464.0,460.0,348.0,6901.0,1434.0,4827.0,611.0,1004.0,269.0,2372.0,79.0,3670.0,7898.0,3432.0,1411.0,1438.0,105.0,468.0,4620.0,0.7,1.1,3.6,-2.9,9.8,-1.6,5.3,-3.9,-5.4,-1.4,-2.4,,-2.4,9.4,-6.3,-3.0,4.5,-5.8,-0.9,-3.7,0.9,10.2,0.2,4.1,0.1,0.5,2.1,-1.4,0.5,0.8,0.0,82.9,71.5,74.0,69.3,78.5,59.5,65.6,63.9,45.6,52.1,54.7,,54.7,90.6,72.3,65.7,78.5,61.8,70.5,66.8,81.9,74.1,89.5,83.3,109.0,75.0,77.7,70.5,89.1,79.5,130.6,6032.0,322.0,374.0,6084.0,1980.0,4105.0,4620.0,406.0,969.0,5279.0,,,0.0,-0.3,-23.9,-1.9,,,130.6,79.4,38.6,115.3,,,4105.0,465.0,1089.0,93.0,2644.0,178.0,69.0,109.0,87.0,-13.0
8,2003JJ00,22508.0,13748.0,1366.0,653.0,713.0,1405.0,427.0,716.0,226.0,36.0,271.0,,271.0,427.0,257.0,4263.0,1056.0,2835.0,372.0,664.0,223.0,1719.0,82.0,3070.0,8760.0,2612,1091.0,1044.0,98.0,379.0,6148.0,27204.0,19113.0,1822.0,959.0,870.0,2240.0,624.0,1036.0,496.0,69.0,484.0,,484.0,469.0,349.0,6688.0,1416.0,4685.0,557.0,980.0,272.0,2261.0,75.0,3625.0,8155.0,3440.0,1415.0,1448.0,105.0,463.0,4830.0,0.0,-2.1,-4.0,-3.4,-4.7,1.6,2.3,2.4,-2.0,2.8,4.5,,4.5,2.1,0.4,-3.1,-1.3,-3.0,-8.8,-2.4,1.1,-4.7,-4.1,-1.2,3.3,0.2,0.3,0.7,-0.1,-1.1,4.5,82.7,71.9,75.0,68.1,81.9,62.7,68.5,69.1,45.6,52.1,56.0,,56.0,91.1,73.5,63.7,74.6,60.5,66.7,67.7,82.1,76.1,109.0,84.7,107.4,75.9,77.1,72.1,93.1,81.8,127.3,6148.0,292.0,538.0,6394.0,2017.0,4377.0,4830.0,362.0,1368.0,5680.0,,,4.5,-10.7,41.1,7.6,,,127.3,80.5,39.3,112.6,,,4377.0,497.0,1110.0,112.0,2882.0,173.0,67.0,106.0,92.3,6.0
9,2004JJ00,22575.0,14437.0,1331.0,580.0,751.0,1434.0,439.0,694.0,267.0,35.0,281.0,,281.0,473.0,275.0,4715.0,1172.0,3060.0,483.0,702.0,235.0,1759.0,81.0,3152.0,8138.0,2666,1107.0,1091.0,93.0,375.0,5472.0,28706.0,19978.0,1817.0,915.0,901.0,2320.0,647.0,1069.0,521.0,70.0,487.0,,487.0,500.0,368.0,6985.0,1459.0,4827.0,663.0,1012.0,282.0,2234.0,77.0,4017.0,8733.0,3464.0,1418.0,1486.0,105.0,450.0,5303.0,5.5,4.5,-0.3,-4.5,3.6,3.6,3.7,3.2,5.0,1.8,0.6,,0.6,6.6,5.2,4.4,3.1,3.0,19.0,3.2,3.9,-1.2,2.7,10.8,7.1,0.7,0.2,2.6,-0.3,-2.8,9.8,78.6,72.3,73.3,63.3,83.4,61.8,67.9,65.0,51.2,49.6,57.7,,57.7,94.6,74.7,67.5,80.3,63.4,72.8,69.3,83.2,78.7,104.2,78.5,93.2,77.0,78.1,73.4,88.4,83.4,103.2,5472.0,292.0,530.0,5709.0,2003.0,3707.0,5303.0,357.0,1577.0,6293.0,,,9.8,-1.5,15.3,10.8,,,103.2,81.9,33.6,90.7,,,3707.0,517.0,1045.0,102.0,2247.0,168.0,66.0,102.0,83.8,-9.1
