ID,OriginDestination,Periods,CO2_1,N2O_2,CH4_3,GreenhouseGasEquivalent_4,NOx_5,SO2_6,NH3_7,AcidificationEquivalent_8,CFK12Equivalent_9,CO_10,NMVOC_11,PM10_12,FineDustEquivalent_13
0,999991,1990JJ00,36741.0,0.4,28.1,37466.0,173.9,5.9,17.4,5.0,678.7,758.4,207.8,15.4,15.4
1,999991,1991JJ00,39464.0,0.5,28.3,40223.0,168.1,5.8,17.8,4.9,571.8,687.4,184.7,14.7,14.7
2,999991,1992JJ00,37921.0,0.6,26.7,38680.0,157.6,5.7,18.3,4.7,464.9,672.7,175.4,14.4,14.4
3,999991,1993JJ00,39301.0,0.7,27.0,40099.0,148.0,5.6,18.5,4.5,358.0,646.2,166.5,14.2,14.2
4,999991,1994JJ00,38769.0,0.8,26.2,39579.0,138.0,5.2,18.5,4.3,251.2,630.1,158.9,13.6,13.6
5,999991,1995JJ00,40068.0,0.9,26.7,40977.0,130.5,4.8,15.6,3.9,144.3,634.0,152.5,14.0,14.0
6,999991,1996JJ00,43542.0,1.0,28.9,44524.0,124.8,3.6,15.7,3.7,58.5,613.6,144.3,13.5,13.5
7,999991,1997JJ00,40068.0,1.0,25.7,40986.0,113.4,2.2,16.0,3.5,48.8,603.7,135.6,13.2,13.2
8,999991,1998JJ00,39075.0,1.0,24.6,39975.0,103.2,2.2,16.2,3.3,42.1,579.2,122.6,12.9,12.9
9,999991,1999JJ00,39525.0,1.0,24.0,40379.0,97.8,2.3,16.4,3.2,45.1,565.2,114.8,12.7,12.7
10,999991,2000JJ00,39520.0,1.0,23.5,40565.0,88.5,1.8,14.9,2.9,39.1,544.0,103.6,12.3,12.3
11,999991,2001JJ00,40834.0,0.9,23.4,41824.0,83.9,1.1,16.6,2.8,34.7,522.2,94.9,12.6,12.6
12,999991,2002JJ00,39796.0,0.9,22.2,40738.0,76.4,1.1,16.4,2.7,30.9,500.3,87.0,12.4,12.4
13,999991,2003JJ00,40469.0,0.9,22.3,41436.0,71.1,0.9,16.2,2.5,27.6,482.5,80.2,12.2,12.2
14,999991,2004JJ00,40539.0,0.9,21.9,41550.0,65.5,0.9,16.0,2.4,24.2,470.7,73.8,11.9,11.9
15,999991,2005JJ00,39630.0,0.9,21.3,40628.0,59.5,0.8,16.5,2.3,21.3,455.7,70.6,11.5,11.5
16,999991,2006JJ00,38964.0,0.9,20.5,39969.0,54.3,0.8,16.3,2.2,18.3,442.3,68.2,11.4,11.4
17,999991,2007JJ00,37932.0,0.8,19.4,38927.0,49.5,0.8,16.0,2.0,15.3,435.2,67.5,10.6,10.6
18,999991,2008JJ00,39940.0,0.8,20.8,40984.0,48.1,0.8,15.4,2.0,12.3,430.1,66.2,10.1,10.1
19,999991,2009JJ00,39911.0,0.9,20.9,40987.0,46.3,0.8,15.3,1.9,9.4,415.9,63.5,9.9,9.9
20,999991,2010JJ00,42691.0,0.8,22.9,43791.0,45.1,0.9,14.9,1.9,6.4,401.9,61.4,9.5,9.5
21,999991,2011JJ00,38928.0,0.8,20.2,39995.0,41.9,0.8,16.0,1.9,3.4,391.5,58.5,8.9,8.9
22,999991,2012JJ00,39687.0,0.8,21.0,40749.0,40.0,0.8,16.4,1.9,0.4,376.4,58.4,8.5,8.5
23,999991,2013JJ00,40895.0,0.8,22.1,41988.0,39.3,0.8,16.4,1.8,0.0,402.0,62.2,8.4,8.4
24,xxxxev,1990JJ00,15673.0,0.2,7.0,15896.0,153.6,4.8,0.8,3.5,0.0,684.7,168.7,11.1,11.1
25,xxxxev,1991JJ00,15921.0,0.3,6.1,16150.0,145.7,4.8,1.1,3.4,0.0,615.5,145.7,10.5,10.5
26,xxxxev,1992JJ00,16588.0,0.4,5.9,16846.0,137.4,4.8,1.3,3.2,0.0,602.7,136.4,10.3,10.3
27,xxxxev,1993JJ00,16757.0,0.5,5.6,17034.0,126.9,4.7,1.5,3.0,0.0,578.0,127.6,10.1,10.1
28,xxxxev,1994JJ00,17295.0,0.6,5.4,17597.0,118.1,4.4,1.7,2.8,0.0,563.7,120.0,9.7,9.7
29,xxxxev,1995JJ00,17494.0,0.7,5.3,17816.0,109.5,4.0,1.8,2.6,0.0,556.9,112.1,9.7,9.7
30,xxxxev,1996JJ00,17498.0,0.7,5.0,17818.0,100.9,3.0,1.9,2.4,0.0,535.6,102.4,9.4,9.4
31,xxxxev,1997JJ00,17984.0,0.7,4.8,18305.0,93.3,1.6,2.1,2.2,0.0,526.7,95.4,9.0,9.0
32,xxxxev,1998JJ00,17975.0,0.7,4.5,18284.0,84.3,1.7,2.2,2.0,0.0,503.7,86.1,8.7,8.7
33,xxxxev,1999JJ00,18612.0,0.7,4.3,18918.0,79.3,1.8,2.3,1.9,0.0,497.7,79.8,8.7,8.7
34,xxxxev,2000JJ00,18591.0,0.7,3.8,18896.0,70.0,1.3,2.5,1.7,0.0,469.7,67.1,8.2,8.2
35,xxxxev,2001JJ00,19165.0,0.7,3.5,19462.0,64.8,0.5,2.5,1.6,0.0,449.3,59.2,8.7,8.7
36,xxxxev,2002JJ00,19229.0,0.7,3.3,19515.0,58.2,0.6,2.5,1.4,0.0,430.6,51.6,8.4,8.4
37,xxxxev,2003JJ00,19405.0,0.7,3.1,19679.0,53.0,0.3,2.5,1.3,0.0,412.0,45.3,8.2,8.2
38,xxxxev,2004JJ00,19672.0,0.7,2.8,19938.0,49.4,0.3,2.5,1.2,0.0,398.2,39.7,8.0,8.0
39,xxxxev,2005JJ00,19589.0,0.6,2.7,19839.0,44.9,0.2,2.5,1.1,0.0,381.1,35.9,7.7,7.7
40,xxxxev,2006JJ00,19618.0,0.6,2.5,19855.0,41.8,0.2,2.5,1.1,0.0,366.0,33.3,7.5,7.5
41,xxxxev,2007JJ00,19879.0,0.6,2.5,20102.0,38.2,0.2,2.6,1.0,0.0,356.8,32.1,6.7,6.7
42,xxxxev,2008JJ00,19964.0,0.5,2.5,20181.0,36.0,0.2,2.5,0.9,0.0,351.2,30.7,6.2,6.2
43,xxxxev,2009JJ00,19838.0,0.5,2.3,20043.0,34.4,0.2,2.5,0.9,0.0,336.8,28.4,6.1,6.1
44,xxxxev,2010JJ00,19717.0,0.5,2.2,19910.0,32.3,0.2,2.5,0.9,0.0,321.6,26.7,5.8,5.8
45,xxxxev,2011JJ00,19853.0,0.4,2.2,20035.0,31.6,0.2,2.5,0.8,0.0,311.9,25.8,5.3,5.3
46,xxxxev,2012JJ00,19484.0,0.4,2.0,19653.0,29.7,0.2,2.5,0.8,0.0,295.6,24.4,4.9,4.9
47,xxxxev,2013JJ00,19462.0,0.4,2.2,19636.0,29.0,0.2,2.5,0.8,0.0,319.9,27.2,4.8,4.8
48,xxxxop,1990JJ00,21067.0,0.2,21.1,21570.0,20.4,1.1,16.6,1.5,678.7,73.7,39.1,4.3,4.3
49,xxxxop,1991JJ00,23543.0,0.2,22.2,24073.0,22.5,1.0,16.7,1.5,571.8,71.9,39.0,4.2,4.2
50,xxxxop,1992JJ00,21333.0,0.2,20.8,21834.0,20.2,0.9,17.0,1.5,464.9,70.1,39.0,4.1,4.1
51,xxxxop,1993JJ00,22544.0,0.2,21.4,23065.0,21.1,0.9,17.0,1.5,358.0,68.2,38.9,4.1,4.1
52,xxxxop,1994JJ00,21473.0,0.2,20.8,21982.0,19.9,0.8,16.8,1.4,251.2,66.4,38.9,4.0,4.0
53,xxxxop,1995JJ00,22574.0,0.3,21.4,23161.0,21.0,0.7,13.8,1.3,144.3,77.1,40.3,4.3,4.3
54,xxxxop,1996JJ00,26044.0,0.3,23.9,26706.0,23.9,0.6,13.8,1.4,58.5,78.0,41.9,4.2,4.2
55,xxxxop,1997JJ00,22084.0,0.3,20.9,22681.0,20.1,0.6,13.9,1.3,48.8,77.0,40.2,4.2,4.2
56,xxxxop,1998JJ00,21100.0,0.3,20.2,21691.0,18.9,0.5,14.0,1.2,42.1,75.5,36.5,4.2,4.2
57,xxxxop,1999JJ00,20913.0,0.3,19.7,21461.0,18.5,0.5,14.0,1.2,45.1,67.6,35.0,4.0,4.0
58,xxxxop,2000JJ00,20929.0,0.3,19.6,21669.0,18.5,0.5,12.4,1.1,39.1,74.3,36.6,4.1,4.1
59,xxxxop,2001JJ00,21669.0,0.2,19.8,22362.0,19.1,0.6,14.1,1.3,34.7,72.9,35.7,3.9,3.9
60,xxxxop,2002JJ00,20567.0,0.2,18.9,21223.0,18.1,0.5,13.9,1.2,30.9,69.7,35.4,4.0,4.0
61,xxxxop,2003JJ00,21064.0,0.2,19.3,21757.0,18.1,0.6,13.7,1.2,27.6,70.5,35.0,4.0,4.0
62,xxxxop,2004JJ00,20867.0,0.3,19.1,21612.0,16.1,0.6,13.5,1.2,24.2,72.5,34.0,3.9,3.9
63,xxxxop,2005JJ00,20041.0,0.3,18.6,20788.0,14.6,0.6,13.9,1.2,21.3,74.5,34.7,3.8,3.8
64,xxxxop,2006JJ00,19347.0,0.3,18.0,20114.0,12.5,0.6,13.8,1.1,18.3,76.3,35.0,3.9,3.9
65,xxxxop,2007JJ00,18054.0,0.3,16.9,18826.0,11.3,0.6,13.5,1.1,15.3,78.4,35.4,3.9,3.9
66,xxxxop,2008JJ00,19976.0,0.3,18.4,20803.0,12.1,0.6,12.9,1.0,12.3,78.9,35.5,3.9,3.9
