ID,TypeAccommodatie,BelangrijksteActiviteit,Perioden,Gasten_1
0,3,5,2005SJ00 ,100
1,3,1,2005SJ00 ,30
2,3,2,2005SJ00 ,24
3,3,3,2005SJ00 ,20
4,3,4,2005SJ00 ,26
5,1,5,2005SJ00 ,100
6,1,1,2005SJ00 ,37
7,1,2,2005SJ00 ,25
8,1,3,2005SJ00 ,12
9,1,4,2005SJ00 ,26
10,2,5,2005SJ00 ,100
11,2,1,2005SJ00 ,3
12,2,2,2005SJ00 ,16
13,2,3,2005SJ00 ,54
14,2,4,2005SJ00 ,28
