ID,RegioS,Perioden,TotaalMetWoningen_1,ZonderVerzorging_2,MetVerzorging_3,ZowelMetAlsZonderVerzorging_4,TotaalWoningenVoorOuderen_5,TotaalZonderVerzorgingVerzorgingshuis_6,Eenkamerwoningen_7,Tweekamerwoningen_8,Driekamerwoningen_9,TotaalMetVerzorgingVerzorgingshuis_10,Eenkamerwoningen_11,Tweekamerwoningen_12,Driekamerwoningen_13,TotaalAantalVerzorgingshuizen_14,KortdurendeOpnamen_15,DagverzorgingOpvang_16,NachtverzorgingOpvang_17,Maaltijdverstrekking_18,AansluitingOpAlarmsysteem_19,TotaalAantalBewoners_20,JongerDan65Jaar_21,k_6569Jaar_22,k_7074Jaar_23,k_7579Jaar_24,k_8084Jaar_25,k_8589Jaar_26,k_9094Jaar_27,k_95JaarEnOuder_28,TotaalBijgekomenBewoners_29,Mannen_30,Vrouwen_31,TotaalVertrokkenBewoners_32,Mannen_33,Vrouwen_34,TotaalOverledenBewoners_35,Mannen_36,Vrouwen_37,TotaalBijgekomen_38,EigenOmgeving_39,WoningBehorendBijVerzorgingshuis_40,ZiekenhuisOfPsychiatrischZiekenhuis_41,AnderVerzorgingshuis_42,Verpleeghuis_43,TotaalVertrokken_44,EigenWoning_45,PsychiatrischZiekenhuis_46,AnderVerzorgingshuis_47,Verpleeghuis_48,AantalPersonen_49,AantalVerzorgingsdagen_50,AantalPersonen_51,UitAanleunwoningen_52,AantalPersonen_53,UitAanleunwoningen_54,GemiddeldPerDag_55,VoorBewonersUitAanleunwoningen_56,AantalAangeslotenWoningen_57,Aanleunwoningen_58,TotaalFteS_59,AlgemeenBeheer_60,Huishouding_61,GeestelijkeEnCultureleZorg_62,TuinTechniekOnderhoud_63,TotaalVerzorging_64,Verpleegkundigen_65,Ziekenverzorgenden_66,Bejaardenverzorgenden_67,BejaardenhelpendenI_68,BejaardenhelpendenII_69,Verzorgingshulpen_70,PersoneelInOpleiding_71,OverigVerzorgendPersoneel_72,Maaltijdverstrekking_73,OverigWerksoorten_74,TotaalMetVolledigeWeektaak_75,AlgemeenBeheer_76,Huishouding_77,GeestelijkeEnCultureleZorg_78,TuinTechniekOnderhoud_79,TotaalVerzorging_80,Verpleegkundigen_81,Ziekenverzorgenden_82,Bejaardenverzorgenden_83,BejaardenhelpendenI_84,BejaardenhelpendenII_85,Verzorgingshulpen_86,PersoneelInOpleiding_87,OverigVerzorgendPersoneel_88,Maaltijdverstrekking_89,OverigeWerksoorten_90,TotaalMetGedeeltelijkeWeektaak_91,AlgemeenBeheer_92,Huishouding_93,GeestelijkeEnCultureleZorg_94,TuinTechniekOnderhoud_95,TotaalVerzorging_96,Verpleegkundigen_97,Ziekenverzorgenden_98,Bejaardenverzorgenden_99,BejaardenhelpendenI_100,BejaardenhelpendenII_101,Verzorgingshulpen_102,PersoneelInOpleiding_103,OverigVerzorgendPersoneel_104,Maaltijdverstrekking_105,OverigeWerksoorten_106,AantalOproepkrachten_107,UitbetaaldeUren_108,AantalPersonenNietInLoondienst_109,UitbetaaldeUren_110,AantalUitzendkrachten_111,UitbetaaldeUren_112,AantalOverigeUitzendkrachten_113,UitbetaaldeUren_114,AantalBanenpoolers_115,UitbetaaldeUren_116,AantalOverigePersoneelsleden_117,UitbetaaldeUren_118,VerzorgingshuizenMetVrijwilligers_119,AantalVrijwilligers_120,AantalGewerkteUren_121,AantalStagiaires_122,AantalGewerkteUren_123,TotaalKosten_124,SalarissenEnVergoedingen_125,SocialeLastenAnderePersoneelskosten_126,Voeding_127,HotelmatigeKosten_128,AlgemeneKosten_129,BewonergebondenKosten_130,Energie_131,OverigeTerreinEnGebouwgebKosten_132,AfschrijvingenHuurLeasing_133,Overboekingsrekening_134,DiverseLasten_135,KostenPerBewonersplaats_136,TotaalOpbrengsten_137,DienstenAanDerden_138,EigenBijdragen_139,Subsidies_140,BijzondereVergoedingen_141,OverigeOpbrengsten_142,Exploitatiesaldo_143
0,NL    ,1995JJ00,823.0,648.0,107.0,68.0,48194.0,39423.0,3007.0,27351.0,9065.0,8771.0,502.0,5946.0,2323.0,1425,87.0,53.0,18.0,75.0,66.0,117491,0,1,5,13,27,31,18,5,25082.0,6592,18490,0.0,0,0,0.0,0,0,25082,83,7,3,4,3,6556,7,4,15,74,20869.0,729360.0,15930.0,2975.0,553.0,0.0,48432.0,9612.0,59389.0,43660.0,50201,3996,6991,1309,1534,28541,2634,5637,12962,2422,764,1514,527,2081,6607,1223,16989,1814,1598,219,1084,8526,,,,,,,,,3462,287,66719,5108,11357,2216,919,37662,0,0,0,0,0,0,0,0,7318,2139,17712.0,5932467.0,8603.0,2757272.0,3864.0,666420.0,873.0,163988.0,1721.0,1450281.0,616.0,272828.0,1261.0,50253.0,4981313.0,12521.0,4697104.0,2415.4,1090.8,309.9,169.0,59.7,116.1,11.6,86.2,83.0,490.3,-12.7,11.5,18.9,2432.6,53.8,925.0,1355.0,53.9,44.8,17.6
1,NL    ,1996JJ00,863.0,594.0,120.0,149.0,50902.0,40401.0,2511.0,27666.0,10225.0,10501.0,828.0,6413.0,3259.0,1404,83.0,50.0,18.0,70.0,64.0,113033,0,1,5,13,26,31,18,5,25074.0,6613,18461,6382.0,1292,5090,21201.0,6059,15142,25075,83,7,3,4,3,6382,7,3,15,75,24098.0,574642.0,16474.0,2206.0,296.0,0.0,51652.0,11698.0,62504.0,43490.0,49666,3999,6834,1354,1496,28352,2530,5716,13152,2126,866,1427,466,2070,6439,1191,15704,1759,1446,230,1040,7735,,,,,,,,,3256,239,67725,5174,11368,2305,919,38416,0,0,0,0,0,0,0,0,7374,2170,18473.0,5875757.0,9063.0,2919356.0,4181.0,483312.0,965.0,177426.0,1868.0,1751169.0,538.0,305372.0,1201.0,53040.0,5107033.0,12145.0,3745927.0,2441.8,1103.1,315.2,170.1,59.8,113.4,13.1,91.9,82.7,488.2,-5.6,10.0,19.8,2440.4,57.0,919.0,1353.3,57.2,54.0,-1.4
2,NL    ,1997JJ00,915.0,520.0,119.0,276.0,51690.0,40559.0,2492.0,27820.0,10247.0,11131.0,960.0,6818.0,3353.0,1394,86.0,45.0,11.0,72.0,68.0,111719,0,1,5,12,26,31,18,5,25735.0,6931,18804,6239.0,1227,5012,20967.0,6142,14825,25735,84,7,3,3,4,6239,7,3,12,77,24052.0,701104.0,15026.0,2518.0,562.0,112.0,50002.0,11361.0,64595.0,44107.0,51707,4139,7116,1407,1515,29619,2442,6077,13917,2101,883,1472,399,2228,6614,1296,15686,1808,1453,211,1052,7633,,,,,,,,,3255,275,70417,5344,11613,2350,915,40238,0,0,0,0,0,0,0,0,7760,2199,19052.0,5590580.0,9782.0,3180023.0,6112.0,604596.0,1001.0,223712.0,1996.0,2010561.0,673.0,341154.0,1281.0,56699.0,5513488.0,11782.0,3458650.0,2469.9,1111.0,321.0,167.3,63.7,115.6,13.0,91.3,80.6,496.6,-2.5,12.3,21.1,2487.9,56.5,12.7,2313.5,58.8,46.6,18.1
3,NL    ,1998JJ00,859.0,250.0,64.0,545.0,56637.0,46451.0,1856.0,34802.0,9793.0,10186.0,698.0,6027.0,3461.0,1380,88.0,47.0,12.0,73.0,70.0,107806,0,1,5,12,25,32,19,6,25598.0,6855,18743,6027.0,1276,4751,21551.0,6135,15416,25598,83,6,2,4,4,6026,8,2,14,77,26572.0,787380.0,17415.0,1849.0,1702.0,350.0,54621.0,14230.0,66089.0,52075.0,52462,4136,6972,1649,1511,30449,2313,6431,14579,1851,734,1659,427,2461,6460,1368,14783,1716,1364,245,1068,7170,681.0,1305.0,3519.0,321.0,129.0,306.0,65.0,846.0,2931,289,71864,5236,11559,2677,786,41390,3077,9479,18960,2726,1176,2610,519,2846,7921,2312,16689.0,5195065.0,9811.0,3540931.0,6176.0,794313.0,1113.0,155614.0,2039.0,2345125.0,481.0,245711.0,1283.0,57529.0,5943439.0,11640.0,3461805.0,2601.4,1183.3,342.3,177.7,68.1,123.8,16.2,89.8,83.4,503.2,-3.1,16.7,22.8,2611.6,65.6,8.5,2418.4,63.2,55.9,10.3
4,NL    ,1999JJ00,,,,,,,,,,,,,,1366,88.0,47.0,10.0,72.0,70.0,107065,0,1,4,12,24,32,20,6,26333.0,6879,19454,6394.0,1324,5070,21888.0,6079,15809,26333,87,6,2,2,4,6394,6,1,15,78,28102.0,755404.0,20754.0,2241.0,1568.0,544.0,57532.0,14009.0,66901.0,42930.0,53893,4231,7178,1564,1443,31392,2198,6591,14037,2291,873,1790,580,3029,6392,1694,13940,1673,1320,86,1012,6951,488.0,1311.0,3589.0,353.0,59.0,140.0,39.0,972.0,2761,137,75857,5657,11847,2605,798,43568,3067,9723,18863,3281,1347,2854,665,3768,8490,2892,11985.0,3597701.0,13404.0,3449339.0,7441.0,900314.0,2037.0,289271.0,1919.0,1912936.0,1936.0,346818.0,,,,,,2745.7,1234.6,392.6,195.5,72.8,131.3,16.1,87.6,173.2,519.0,-7.1,17.8,24.4,2754.4,72.1,11.1,2510.1,88.2,73.1,8.8
5,LD01  ,1995JJ00,127.0,96.0,21.0,8.0,7453.0,6026.0,468.0,4283.0,1276.0,1427.0,144.0,669.0,613.0,175,273.0,182.0,73.0,255.0,241.0,13225,0,3,15,36,75,92,60,17,3016.0,835,2181,0.0,0,0,0.0,0,0,3016,250,24,9,6,10,721,14,13,57,216,2166.0,64603.0,2567.0,95.0,49.0,0.0,8338.0,1809.0,8307.0,6386.0,5588,401,748,143,170,3216,319,522,1595,279,74,125,59,243,785,124,1551,213,158,19,125,636,,,,,,,,,381,16,8166,401,1224,232,90,5009,0,0,0,0,0,0,0,0,960,250,2214.0,791010.0,746.0,320318.0,159.0,27946.0,45.0,11855.0,360.0,239754.0,47.0,27505.0,153.0,6636.0,633581.0,2140.0,768626.0,288.9,123.2,34.4,21.5,6.6,14.7,1.1,10.2,9.4,65.6,-0.1,2.8,60.0,298.6,10.0,102.9,0.0,5.6,9.0,9.5
6,LD01  ,1996JJ00,127.0,92.0,22.0,13.0,7545.0,5731.0,473.0,3738.0,1521.0,1813.0,160.0,791.0,862.0,175,262.0,171.0,80.0,246.0,230.0,12857,1,3,15,37,76,91,59,17,3077.0,861,2216,0.0,0,0,0.0,0,0,3076,251,26,5,7,11,725,39,4,34,223,2161.0,55803.0,3150.0,241.0,50.0,0.0,7407.0,1730.0,8231.0,5924.0,5683,384,735,143,162,3283,317,566,1676,233,88,122,44,238,808,168,1515,200,141,21,116,632,,,,,,,,,369,33,8308,404,1241,234,99,5028,0,0,0,0,0,0,0,0,1020,282,2171.0,894304.0,910.0,484434.0,203.0,32807.0,67.0,9736.0,469.0,411625.0,50.0,19065.0,153.0,6939.0,647392.0,2209.0,611638.0,296.5,127.9,35.5,21.5,6.8,14.7,1.4,11.3,9.6,65.5,-0.3,2.6,63.5,299.4,8.9,104.1,0.0,5.9,11.1,3.0
7,LD01  ,1997JJ00,135.0,75.0,24.0,36.0,7653.0,5728.0,168.0,3920.0,1640.0,1925.0,177.0,954.0,795.0,173,264.0,138.0,33.0,238.0,232.0,12873,2,4,14,37,74,93,59,19,3277.0,940,2337,651.0,135,516,2669.0,834,1835,3277,249,24,7,9,12,652,33,6,35,227,3293.0,99094.0,2114.0,351.0,67.0,59.0,7405.0,1619.0,8404.0,5932.0,5842,406,765,155,172,3409,276,599,1801,194,114,131,37,257,789,145,1470,199,143,23,123,595,,,,,,,,,353,33,8557,462,1275,243,98,5254,0,0,0,0,0,0,0,0,1003,220,2243.0,922810.0,923.0,577599.0,320.0,49383.0,52.0,13717.0,493.0,488923.0,58.0,25577.0,163.0,7257.0,684597.0,2091.0,620818.0,290.9,128.5,36.0,20.3,6.9,13.4,1.4,11.0,9.2,63.5,-0.4,1.2,64.1,291.9,8.1,2.7,0.0,6.0,7.9,1.0
8,LD01  ,1998JJ00,128.0,31.0,14.0,83.0,8525.0,6622.0,218.0,4975.0,1429.0,1903.0,139.0,875.0,889.0,168,269.0,149.0,38.0,235.0,247.0,12296,0,3,13,36,74,95,58,18,2925.0,815,2110,638.0,136,502,2559.0,756,1803,2925,249,19,9,11,13,638,21,12,34,234,2992.0,91416.0,1980.0,253.0,307.0,41.0,7578.0,2039.0,8711.0,7377.0,6021,459,782,175,183,3517,278,706,1807,203,83,139,34,266,778,135,1504,200,135,24,129,649,80.0,118.0,309.0,25.0,9.0,20.0,3.0,84.0,339,28,8629,540,1319,284,92,5147,374,1092,2592,334,142,231,44,337,1027,221,2093.0,846140.0,1058.0,511927.0,522.0,66814.0,109.0,16535.0,383.0,402473.0,45.0,26103.0,160.0,6533.0,642212.0,1784.0,576985.0,303.2,135.0,38.3,21.4,7.4,14.1,1.7,10.9,9.4,63.9,-0.6,1.4,70.0,304.1,9.1,1.4,0.0,6.3,9.2,1.0
9,LD01  ,1999JJ00,,,,,,,,,,,,,,167,,,,,,12237,0,3,13,35,70,96,61,19,3118.0,802,2316,693.0,160,533,2660.0,779,1881,3118,260,15,4,8,12,693,9,1,50,240,,,,,,,,,,,6197,452,841,155,162,3691,261,703,1787,318,85,160,48,327,722,175,1456,182,152,3,108,686,52.0,127.0,362.0,45.0,1.0,4.0,2.0,93.0,309,16,8983,578,1397,272,92,5365,361,1071,2584,478,146,251,54,420,984,295,,,,,,,,,,,,,,,,,,319.9,140.1,44.9,23.2,7.8,15.6,1.6,10.4,20.0,66.0,-1.3,2.0,74.4,320.3,10.9,0.9,0.0,8.1,11.4,0.4
