ID,BronTechniek,Energietoepassingen,Perioden,BrutoEindverbruik_1,BrutoEindverbruikRelatief_2
36,T001028,E006607 ,1991JJ00,3349.0,0.17
37,T001028,E006607 ,1992JJ00,3534.0,0.18
38,T001028,E006607 ,1993JJ00,4061.0,0.2
39,T001028,E006607 ,1994JJ00,4508.0,0.23
40,T001028,E006607 ,1995JJ00,5123.0,0.25
41,T001028,E006607 ,1996JJ00,6628.0,0.3
42,T001028,E006607 ,1997JJ00,7362.0,0.35
43,T001028,E006607 ,1998JJ00,8131.0,0.38
44,T001028,E006607 ,1999JJ00,9108.0,0.44
45,T001028,E006607 ,2000JJ00,10334.0,0.48
46,T001028,E006607 ,2001JJ00,11907.0,0.55
47,T001028,E006607 ,2002JJ00,14623.0,0.68
48,T001028,E006607 ,2003JJ00,14573.0,0.66
49,T001028,E006607 ,2004JJ00,18822.0,0.81
50,T001028,E006607 ,2005JJ00,26814.0,1.17
51,T001028,E006607 ,2006JJ00,28325.0,1.24
52,T001028,E006607 ,2007JJ00,26359.0,1.17
53,T001028,E006607 ,2008JJ00,33170.0,1.45
54,T001028,E006607 ,2009JJ00,38719.0,1.76
55,T001028,E006607 ,2010JJ00,42185.0,1.79
56,T001028,E006607 ,2011JJ00,43147.0,1.97
57,T001028,E006607 ,2012JJ00,44841.0,2.04
58,T001028,E006607 ,2013JJ00,42771.0,1.94
59,T001028,E006607 ,2014JJ00,42197.0,2.1
60,T001028,E006607 ,2015JJ00,47347.0,2.31
61,T001028,E006607 ,2016JJ00,54263.0,2.59
62,T001028,E006607 ,2017JJ00,60011.0,2.85
63,T001028,E006607 ,2018JJ00,66720.0,3.15
64,T001028,E006607 ,2019JJ00,80197.0,3.86
65,T001028,E006607 ,2020JJ00,114926.0,5.91
66,T001028,E006607 ,2021JJ00,146543.0,7.3
67,T001028,E006607 ,2022JJ00,167451.0,9.12
68,T001028,E006607 ,2023JJ00,193816.0,10.86
69,T001028,E006607 ,2024JJ00,217669.0,12.17
70,T001028,E006608 ,1990JJ00,18858.0,1.04
71,T001028,E006608 ,1991JJ00,19179.0,0.98
72,T001028,E006608 ,1992JJ00,19654.0,1.02
73,T001028,E006608 ,1993JJ00,19868.0,1.0
74,T001028,E006608 ,1994JJ00,19795.0,1.01
75,T001028,E006608 ,1995JJ00,20335.0,1.0
76,T001028,E006608 ,1996JJ00,21365.0,0.97
77,T001028,E006608 ,1997JJ00,23508.0,1.11
78,T001028,E006608 ,1998JJ00,23801.0,1.12
79,T001028,E006608 ,1999JJ00,24193.0,1.16
80,T001028,E006608 ,2000JJ00,24355.0,1.14
81,T001028,E006608 ,2001JJ00,24655.0,1.13
82,T001028,E006608 ,2002JJ00,25453.0,1.18
83,T001028,E006608 ,2003JJ00,25893.0,1.17
84,T001028,E006608 ,2004JJ00,28466.0,1.22
85,T001028,E006608 ,2005JJ00,30228.0,1.31
86,T001028,E006608 ,2006JJ00,33387.0,1.46
87,T001028,E006608 ,2007JJ00,34734.0,1.55
88,T001028,E006608 ,2008JJ00,36863.0,1.62
89,T001028,E006608 ,2009JJ00,39335.0,1.79
90,T001028,E006608 ,2010JJ00,40649.0,1.72
91,T001028,E006608 ,2011JJ00,42324.0,1.93
92,T001028,E006608 ,2012JJ00,44961.0,2.04
93,T001028,E006608 ,2013JJ00,48264.0,2.19
94,T001028,E006608 ,2014JJ00,52266.0,2.6
95,T001028,E006608 ,2015JJ00,57274.0,2.8
96,T001028,E006608 ,2016JJ00,58012.0,2.77
97,T001028,E006608 ,2017JJ00,64113.0,3.05
98,T001028,E006608 ,2018JJ00,68341.0,3.23
99,T001028,E006608 ,2019JJ00,77825.0,3.75
100,T001028,E006608 ,2020JJ00,84522.0,4.35
101,T001028,E006608 ,2021JJ00,90562.0,4.51
102,T001028,E006608 ,2022JJ00,87908.0,4.79
103,T001028,E006608 ,2023JJ00,92931.0,5.21
104,T001028,E006608 ,2024JJ00,101219.0,5.66
105,T001028,E007028 ,1990JJ00,0.0,0.0
106,T001028,E007028 ,1991JJ00,0.0,0.0
107,T001028,E007028 ,1992JJ00,0.0,0.0
108,T001028,E007028 ,1993JJ00,0.0,0.0
109,T001028,E007028 ,1994JJ00,0.0,0.0
110,T001028,E007028 ,1995JJ00,0.0,0.0
111,T001028,E007028 ,1996JJ00,0.0,0.0
112,T001028,E007028 ,1997JJ00,0.0,0.0
113,T001028,E007028 ,1998JJ00,0.0,0.0
114,T001028,E007028 ,1999JJ00,0.0,0.0
115,T001028,E007028 ,2000JJ00,0.0,0.0
116,T001028,E007028 ,2001JJ00,0.0,0.0
117,T001028,E007028 ,2002JJ00,0.0,0.0
118,T001028,E007028 ,2003JJ00,134.0,0.01
119,T001028,E007028 ,2004JJ00,134.0,0.01
120,T001028,E007028 ,2005JJ00,101.0,0.0
121,T001028,E007028 ,2006JJ00,1766.0,0.08
122,T001028,E007028 ,2007JJ00,13031.0,0.58
123,T001028,E007028 ,2008JJ00,12048.0,0.53
124,T001028,E007028 ,2009JJ00,15606.0,0.71
125,T001028,E007028 ,2010JJ00,9577.0,0.41
126,T001028,E007028 ,2011JJ00,13785.0,0.63
127,T001028,E007028 ,2012JJ00,12873.0,0.58
128,T001028,E007028 ,2013JJ00,12428.0,0.56
129,T001028,E007028 ,2014JJ00,14373.0,0.72
130,T001028,E007028 ,2015JJ00,12571.0,0.61
131,T001028,E007028 ,2016JJ00,9902.0,0.47
132,T001028,E007028 ,2017JJ00,12691.0,0.6
133,T001028,E007028 ,2018JJ00,21242.0,1.0
134,T001028,E007028 ,2019JJ00,26609.0,1.28
135,T001028,E007028 ,2020JJ00,23566.0,1.21
136,T001028,E007028 ,2021JJ00,26323.0,1.31
137,T001028,E007028 ,2022JJ00,25430.0,1.38
138,T001028,E007028 ,2023JJ00,27054.0,1.52
139,T001028,E007028 ,2024JJ00,42178.0,2.36
140,E007210,E007022 ,1990JJ00,21772.0,1.2
141,E007210,E007022 ,1991JJ00,22528.0,1.16
142,E007210,E007022 ,1992JJ00,23188.0,1.21
143,E007210,E007022 ,1993JJ00,23930.0,1.2
144,E007210,E007022 ,1994JJ00,24303.0,1.24
145,E007210,E007022 ,1995JJ00,25459.0,1.25
146,E007210,E007022 ,1996JJ00,27993.0,1.27
147,E007210,E007022 ,1997JJ00,30871.0,1.46
148,E007210,E007022 ,1998JJ00,31932.0,1.51
149,E007210,E007022 ,1999JJ00,33301.0,1.6
150,E007210,E007022 ,2000JJ00,34689.0,1.62
151,E007210,E007022 ,2001JJ00,36562.0,1.68
152,E007210,E007022 ,2002JJ00,40076.0,1.85
153,E007210,E007022 ,2003JJ00,40600.0,1.84
154,E007210,E007022 ,2004JJ00,47422.0,2.04
155,E007210,E007022 ,2005JJ00,57143.0,2.48
156,E007210,E007022 ,2006JJ00,63478.0,2.78
157,E007210,E007022 ,2007JJ00,74123.0,3.3
158,E007210,E007022 ,2008JJ00,82081.0,3.6
159,E007210,E007022 ,2009JJ00,93660.0,4.27
160,E007210,E007022 ,2010JJ00,92411.0,3.92
161,E007210,E007022 ,2011JJ00,99256.0,4.53
162,E007210,E007022 ,2012JJ00,102676.0,4.66
163,E007210,E007022 ,2013JJ00,103463.0,4.69
164,E007210,E007022 ,2014JJ00,108835.0,5.42
165,E007210,E007022 ,2015JJ00,117192.0,5.73
166,E007210,E007022 ,2016JJ00,122177.0,5.84
167,E007210,E007022 ,2017JJ00,136815.0,6.5
168,E007210,E007022 ,2018JJ00,156304.0,7.39
169,E007210,E007022 ,2019JJ00,184632.0,8.89
170,E007210,E007022 ,2020JJ00,272155.0,14.0
171,E007210,E007022 ,2021JJ00,263428.0,13.12
172,E007210,E007022 ,2022JJ00,280790.0,15.29
173,E007210,E007022 ,2023JJ00,313801.0,17.59
174,E007210,E007022 ,2024JJ00,361066.0,20.18
175,E007210,E006607 ,1990JJ00,,
176,E007210,E006607 ,1991JJ00,,
177,E007210,E006607 ,1992JJ00,,
178,E007210,E006607 ,1993JJ00,,
179,E007210,E006607 ,1994JJ00,,
180,E007210,E006607 ,1995JJ00,,
181,E007210,E006607 ,1996JJ00,,
182,E007210,E006607 ,1997JJ00,,
183,E007210,E006607 ,1998JJ00,,
184,E007210,E006607 ,1999JJ00,,
185,E007210,E006607 ,2000JJ00,,
186,E007210,E006607 ,2001JJ00,,
187,E007210,E006607 ,2002JJ00,,
188,E007210,E006607 ,2003JJ00,,
189,E007210,E006607 ,2004JJ00,,
190,E007210,E006607 ,2005JJ00,,
191,E007210,E006607 ,2006JJ00,,
192,E007210,E006607 ,2007JJ00,,
193,E007210,E006607 ,2008JJ00,,
194,E007210,E006607 ,2009JJ00,,
195,E007210,E006607 ,2010JJ00,,
196,E007210,E006607 ,2011JJ00,,
197,E007210,E006607 ,2012JJ00,,
198,E007210,E006607 ,2013JJ00,,
199,E007210,E006607 ,2014JJ00,,
200,E007210,E006607 ,2015JJ00,,
201,E007210,E006607 ,2016JJ00,,
202,E007210,E006607 ,2017JJ00,,
203,E007210,E006607 ,2018JJ00,,
204,E007210,E006607 ,2019JJ00,,
205,E007210,E006607 ,2020JJ00,,
206,E007210,E006607 ,2021JJ00,,
207,E007210,E006607 ,2022JJ00,,
208,E007210,E006607 ,2023JJ00,,
209,E007210,E006607 ,2024JJ00,,
210,E007210,E006608 ,1990JJ00,,
211,E007210,E006608 ,1991JJ00,,
212,E007210,E006608 ,1992JJ00,,
213,E007210,E006608 ,1993JJ00,,
214,E007210,E006608 ,1994JJ00,,
215,E007210,E006608 ,1995JJ00,,
216,E007210,E006608 ,1996JJ00,,
217,E007210,E006608 ,1997JJ00,,
218,E007210,E006608 ,1998JJ00,,
219,E007210,E006608 ,1999JJ00,,
220,E007210,E006608 ,2000JJ00,,
221,E007210,E006608 ,2001JJ00,,
222,E007210,E006608 ,2002JJ00,,
223,E007210,E006608 ,2003JJ00,,
224,E007210,E006608 ,2004JJ00,,
225,E007210,E006608 ,2005JJ00,,
226,E007210,E006608 ,2006JJ00,,
227,E007210,E006608 ,2007JJ00,,
228,E007210,E006608 ,2008JJ00,,
229,E007210,E006608 ,2009JJ00,,
230,E007210,E006608 ,2010JJ00,,
231,E007210,E006608 ,2011JJ00,,
232,E007210,E006608 ,2012JJ00,,
233,E007210,E006608 ,2013JJ00,,
234,E007210,E006608 ,2014JJ00,,
235,E007210,E006608 ,2015JJ00,,
236,E007210,E006608 ,2016JJ00,,
237,E007210,E006608 ,2017JJ00,,
238,E007210,E006608 ,2018JJ00,,
239,E007210,E006608 ,2019JJ00,,
240,E007210,E006608 ,2020JJ00,,
241,E007210,E006608 ,2021JJ00,,
242,E007210,E006608 ,2022JJ00,,
243,E007210,E006608 ,2023JJ00,,
244,E007210,E006608 ,2024JJ00,,
245,E007210,E007028 ,1990JJ00,,
246,E007210,E007028 ,1991JJ00,,
247,E007210,E007028 ,1992JJ00,,
248,E007210,E007028 ,1993JJ00,,
249,E007210,E007028 ,1994JJ00,,
250,E007210,E007028 ,1995JJ00,,
251,E007210,E007028 ,1996JJ00,,
252,E007210,E007028 ,1997JJ00,,
253,E007210,E007028 ,1998JJ00,,
254,E007210,E007028 ,1999JJ00,,
255,E007210,E007028 ,2000JJ00,,
256,E007210,E007028 ,2001JJ00,,
257,E007210,E007028 ,2002JJ00,,
258,E007210,E007028 ,2003JJ00,,
259,E007210,E007028 ,2004JJ00,,
260,E007210,E007028 ,2005JJ00,,
261,E007210,E007028 ,2006JJ00,,
262,E007210,E007028 ,2007JJ00,,
263,E007210,E007028 ,2008JJ00,,
264,E007210,E007028 ,2009JJ00,,
265,E007210,E007028 ,2010JJ00,,
266,E007210,E007028 ,2011JJ00,,
267,E007210,E007028 ,2012JJ00,,
268,E007210,E007028 ,2013JJ00,,
269,E007210,E007028 ,2014JJ00,,
270,E007210,E007028 ,2015JJ00,,
271,E007210,E007028 ,2016JJ00,,
272,E007210,E007028 ,2017JJ00,,
273,E007210,E007028 ,2018JJ00,,
274,E007210,E007028 ,2019JJ00,,
275,E007210,E007028 ,2020JJ00,,
276,E007210,E007028 ,2021JJ00,,
277,E007210,E007028 ,2022JJ00,,
278,E007210,E007028 ,2023JJ00,,
279,E007210,E007028 ,2024JJ00,,
280,E007209,E007022 ,1990JJ00,,
281,E007209,E007022 ,1991JJ00,,
282,E007209,E007022 ,1992JJ00,,
283,E007209,E007022 ,1993JJ00,,
284,E007209,E007022 ,1994JJ00,,
285,E007209,E007022 ,1995JJ00,,
286,E007209,E007022 ,1996JJ00,,
287,E007209,E007022 ,1997JJ00,,
288,E007209,E007022 ,1998JJ00,,
289,E007209,E007022 ,1999JJ00,,
290,E007209,E007022 ,2000JJ00,,
291,E007209,E007022 ,2001JJ00,,
292,E007209,E007022 ,2002JJ00,,
293,E007209,E007022 ,2003JJ00,,
294,E007209,E007022 ,2004JJ00,,
295,E007209,E007022 ,2005JJ00,,
296,E007209,E007022 ,2006JJ00,,
297,E007209,E007022 ,2007JJ00,,
298,E007209,E007022 ,2008JJ00,,
299,E007209,E007022 ,2009JJ00,,
300,E007209,E007022 ,2010JJ00,,
301,E007209,E007022 ,2011JJ00,,
302,E007209,E007022 ,2012JJ00,,
303,E007209,E007022 ,2013JJ00,,
304,E007209,E007022 ,2014JJ00,,
305,E007209,E007022 ,2015JJ00,,
306,E007209,E007022 ,2016JJ00,,
307,E007209,E007022 ,2017JJ00,,
308,E007209,E007022 ,2018JJ00,,
309,E007209,E007022 ,2019JJ00,,
