ID,Regiokenmerken,Gebruiksfunctie,Woningtype,Perioden,NieuwbouwTotaal_1,k_10KwantielDoorlooptijdMaanden_2,k_25KwantielDoorlooptijdMaanden_3,MediaanDoorlooptijdMaanden_4,k_75KwantielDoorlooptijdMaanden_5,k_90KwantielDoorlooptijdMaanden_6,GemiddeldeDoorlooptijdMaanden_7
0,NL01   ,T001419,T001100,2015KW01,13343.0,7.1,11.8,18.6,29.3,45.6,21.8
1,NL01   ,T001419,T001100,2015KW02,13161.0,7.9,10.1,15.1,24.3,35.9,19.0
2,NL01   ,T001419,T001100,2015KW03,12231.0,7.8,11.4,17.0,24.3,37.3,19.8
3,NL01   ,T001419,T001100,2015KW04,17166.0,8.1,10.8,14.7,22.0,37.5,18.6
4,NL01   ,T001419,T001100,2015JJ00,55901.0,7.8,11.0,15.8,24.9,38.0,19.7
5,NL01   ,T001419,T001100,2016KW01,11864.0,9.1,11.5,15.4,21.5,33.3,18.7
6,NL01   ,T001419,T001100,2016KW02,14304.0,9.2,12.8,15.7,22.4,30.5,19.4
7,NL01   ,T001419,T001100,2016KW03,15493.0,7.0,12.2,17.4,23.4,38.9,20.4
8,NL01   ,T001419,T001100,2016KW04,21716.0,9.4,13.3,18.8,24.5,41.3,22.2
9,NL01   ,T001419,T001100,2016JJ00,63377.0,8.8,12.5,17.2,23.0,38.1,20.5
10,NL01   ,T001419,T001100,2017KW01,16835.0,9.7,13.3,19.6,25.0,37.6,22.1
11,NL01   ,T001419,T001100,2017KW02,16408.0,9.0,12.3,17.8,25.8,38.3,21.3
12,NL01   ,T001419,T001100,2017KW03,16163.0,7.8,11.4,15.9,25.7,37.0,20.3
13,NL01   ,T001419,T001100,2017KW04,21829.0,9.2,12.7,17.6,24.0,34.1,20.9
14,NL01   ,T001419,T001100,2017JJ00,71235.0,8.9,12.4,17.7,25.0,37.1,21.1
15,NL01   ,T001419,T001100,2018KW01,17407.0,9.9,13.3,17.8,27.4,40.8,22.8
16,NL01   ,T001419,T001100,2018KW02,18759.0,9.4,12.8,16.7,24.6,34.9,20.6
17,NL01   ,T001419,T001100,2018KW03,16023.0,9.9,12.8,17.0,23.6,33.3,21.2
18,NL01   ,T001419,T001100,2018KW04,25199.0,9.5,13.3,17.8,24.8,34.8,21.2
19,NL01   ,T001419,T001100,2018JJ00,77388.0,9.7,13.1,17.2,25.0,35.9,21.4
20,NL01   ,T001419,T001100,2019KW01,17506.0,10.4,13.3,17.9,24.2,34.6,21.5
21,NL01   ,T001419,T001100,2019KW02,21095.0,10.6,14.2,18.8,25.3,34.6,21.8
22,NL01   ,T001419,T001100,2019KW03,19465.0,10.5,14.2,18.8,26.2,33.3,21.6
23,NL01   ,T001419,T001100,2019KW04,25392.0,10.3,14.4,19.4,26.6,31.9,22.2
24,NL01   ,T001419,T001100,2019JJ00,83458.0,10.4,14.1,18.8,25.8,33.4,21.8
25,NL01   ,T001419,T001100,2020KW01,19546.0,10.2,14.4,19.3,24.6,32.2,21.6
26,NL01   ,T001419,T001100,2020KW02,20083.0,9.7,13.6,18.9,26.5,36.6,21.0
27,NL01   ,T001419,T001100,2020KW03,18094.0,9.9,14.3,20.7,28.0,40.9,23.7
28,NL01   ,T001419,T001100,2020KW04,24305.0,10.1,14.0,20.7,28.2,36.6,23.0
29,NL01   ,T001419,T001100,2020JJ00,82028.0,10.1,14.1,19.9,26.7,36.6,22.3
30,NL01   ,T001419,T001100,2021KW01,22231.0,10.2,14.9,21.6,32.4,38.7,24.3
31,NL01   ,T001419,T001100,2021KW02,20130.0,9.6,12.9,18.1,27.4,41.3,22.2
32,NL01   ,T001419,T001100,2021KW03,18122.0,9.5,13.6,19.7,28.0,44.1,23.9
33,NL01   ,T001419,T001100,2021KW04,24538.0,10.1,14.5,19.8,28.3,39.8,22.9
34,NL01   ,T001419,T001100,2021JJ00,85021.0,9.8,14.0,19.7,29.5,39.8,23.3
35,NL01   ,T001419,T001100,2022KW01,20761.0,11.3,14.9,21.0,31.5,46.8,25.5
36,NL01   ,T001419,T001100,2022KW02,21966.0,11.0,15.0,21.4,31.7,42.4,24.6
37,NL01   ,T001419,T001100,2022KW03,20221.0,11.2,15.7,20.9,31.5,47.9,25.2
38,NL01   ,T001419,T001100,2022KW04,26872.0,10.8,15.0,20.2,27.1,38.9,22.7
39,NL01   ,T001419,T001100,2022JJ00,89820.0,11.0,15.1,20.8,30.2,42.3,24.4
40,NL01   ,T001419,T001100,2023KW01,21918.0,11.0,16.5,22.8,31.5,46.2,26.3
41,NL01   ,T001419,T001100,2023KW02,20017.0,11.2,15.9,20.8,28.4,38.0,23.4
42,NL01   ,T001419,T001100,2023KW03,23301.0,11.9,16.9,23.4,32.3,37.0,25.4
43,NL01   ,T001419,T001100,2023KW04,25545.0,11.7,16.5,23.3,30.3,37.5,24.5
44,NL01   ,T001419,T001100,2023JJ00,90781.0,11.4,16.5,22.8,30.3,39.0,24.9
45,NL01   ,T001419,T001100,2024KW01,19197.0,12.2,17.1,23.1,32.8,41.1,26.1
46,NL01   ,T001419,T001100,2024KW02,21594.0,11.0,16.2,23.7,33.1,39.8,25.4
47,NL01   ,T001419,T001100,2024KW03,20382.0,11.7,17.7,24.5,32.2,41.1,26.4
48,NL01   ,T001419,T001100,2024KW04,23985.0,11.9,16.3,23.9,32.6,41.3,25.8
