ID,SectorBranchesSIC2008,Periods,OutputBasicPrices_1,IntermediateConsumption_2,GrossValueAddedBasicPrices_3,OutputBasicPrices_4,IntermediateConsumption_5,GrossValueAddedBasicPrices_6,OutputBasicPrices_7,IntermediateConsumption_8,GrossValueAddedBasicPrices_9,OutputBasicPrices_10,IntermediateConsumption_11,GrossValueAddedBasicPrices_12,Total_13,WagesAndSalaries_14,EmployersSocialContributions_15,Gross_16,ConsumptionOfFixedCapital_17,Net_18,TaxesLessSubsidies_19,OtherTaxesOnProduction_20,OtherSubsidiesOnProduction_21,GrossValueAddedBasicPrices_22
2680,371600,2009JJ00,35160.0,13313.0,21847.0,34609.0,13357.0,21253.0,-3.3,-2.8,-3.7,101.6,99.7,102.8,12555.0,10256.0,2299.0,9402.0,2624.0,6778.0,-110.0,165.0,275.0,21847.0
2681,371600,2010JJ00,34773.0,13372.0,21401.0,34773.0,13372.0,21401.0,0.5,0.1,0.7,100.0,100.0,100.0,12632.0,10385.0,2247.0,8877.0,2605.0,6272.0,-108.0,167.0,275.0,21401.0
2682,371600,2011JJ00,35689.0,13790.0,21899.0,35416.0,13686.0,21730.0,1.8,2.3,1.5,100.8,100.8,100.8,12908.0,10591.0,2317.0,9041.0,2560.0,6481.0,-50.0,173.0,223.0,21899.0
2683,371600,2012JJ00,35685.0,13631.0,22054.0,35018.0,13491.0,21527.0,-1.1,-1.4,-0.9,101.9,101.0,102.5,13090.0,10597.0,2493.0,8954.0,2521.0,6433.0,10.0,178.0,168.0,22054.0
2684,371600,2013JJ00,35738.0,13552.0,22186.0,34291.0,13451.0,20843.0,-2.1,-0.3,-3.2,104.2,100.8,106.4,13064.0,10511.0,2553.0,9066.0,2469.0,6597.0,56.0,189.0,133.0,22186.0
2685,371600,2014JJ00,35827.0,13481.0,22346.0,34906.0,13489.0,21410.0,1.8,0.3,2.7,102.6,99.9,104.4,13274.0,10610.0,2664.0,8975.0,2416.0,6559.0,97.0,180.0,83.0,22346.0
2686,371600,2015JJ00,37120.0,13772.0,23348.0,36251.0,13819.0,22417.0,3.9,2.4,4.7,102.4,99.7,104.2,13416.0,10781.0,2635.0,9826.0,2382.0,7444.0,106.0,178.0,72.0,23348.0
2687,371600,2016JJ00,38310.0,13880.0,24430.0,36933.0,14020.0,22894.0,1.9,1.5,2.1,103.7,99.0,106.7,13690.0,10967.0,2723.0,10638.0,,,102.0,180.0,78.0,24430.0
2688,383100,1969JJ00,,,,,,,,,,,,,,,,,,,,,,
2689,383100,1970JJ00,,,,,,,,,,,,,,,,,,,,,,
2690,383100,1971JJ00,,,,,,,,,,,,,,,,,,,,,,
2691,383100,1972JJ00,,,,,,,,,,,,,,,,,,,,,,
2692,383100,1973JJ00,,,,,,,,,,,,,,,,,,,,,,
2693,383100,1974JJ00,,,,,,,,,,,,,,,,,,,,,,
2694,383100,1975JJ00,,,,,,,,,,,,,,,,,,,,,,
2695,383100,1976JJ00,,,,,,,,,,,,,,,,,,,,,,
2696,383100,1977JJ00,,,,,,,,,,,,,,,,,,,,,,
2697,383100,1978JJ00,,,,,,,,,,,,,,,,,,,,,,
2698,383100,1979JJ00,,,,,,,,,,,,,,,,,,,,,,
2699,383100,1980JJ00,,,,,,,,,,,,,,,,,,,,,,
2700,383100,1981JJ00,,,,,,,,,,,,,,,,,,,,,,
2701,383100,1982JJ00,,,,,,,,,,,,,,,,,,,,,,
2702,383100,1983JJ00,,,,,,,,,,,,,,,,,,,,,,
2703,383100,1984JJ00,,,,,,,,,,,,,,,,,,,,,,
2704,383100,1985JJ00,,,,,,,,,,,,,,,,,,,,,,
2705,383100,1986JJ00,,,,,,,,,,,,,,,,,,,,,,
2706,383100,1987JJ00,,,,,,,,,,,,,,,,,,,,,,
2707,383100,1988JJ00,,,,,,,,,,,,,,,,,,,,,,
2708,383100,1989JJ00,,,,,,,,,,,,,,,,,,,,,,
2709,383100,1990JJ00,,,,,,,,,,,,,,,,,,,,,,
2710,383100,1991JJ00,,,,,,,,,,,,,,,,,,,,,,
2711,383100,1992JJ00,,,,,,,,,,,,,,,,,,,,,,
2712,383100,1993JJ00,,,,,,,,,,,,,,,,,,,,,,
2713,383100,1994JJ00,,,,,,,,,,,,,,,,,,,,,,
2714,383100,1995JJ00,32935.0,17114.0,15821.0,43108.0,25039.0,18038.0,,,,76.4,68.3,87.7,9960.0,8144.0,1816.0,5772.0,3152.0,2620.0,89.0,147.0,58.0,15821.0
2715,383100,1996JJ00,34602.0,18610.0,15992.0,44973.0,26548.0,18487.0,4.3,6.0,2.5,76.9,70.1,86.5,10321.0,8441.0,1880.0,5610.0,3314.0,2296.0,61.0,153.0,92.0,15992.0
2716,383100,1997JJ00,37864.0,20192.0,17672.0,47595.0,28352.0,19356.0,5.8,6.8,4.7,79.6,71.2,91.3,10751.0,8870.0,1881.0,6910.0,3416.0,3494.0,11.0,129.0,118.0,17672.0
2717,383100,1998JJ00,40693.0,21357.0,19336.0,50434.0,29890.0,20631.0,6.0,5.4,6.6,80.7,71.5,93.7,11548.0,8816.0,2732.0,7806.0,3591.0,4215.0,-18.0,128.0,146.0,19336.0
2718,383100,1999JJ00,42417.0,22645.0,19772.0,52069.0,30891.0,21276.0,3.2,3.3,3.1,81.5,73.3,92.9,12339.0,9452.0,2887.0,7429.0,3820.0,3609.0,4.0,168.0,164.0,19772.0
2719,383100,2000JJ00,45785.0,25096.0,20689.0,54366.0,32167.0,22282.0,4.4,4.1,4.7,84.2,78.0,92.9,13088.0,9992.0,3096.0,7572.0,4115.0,3457.0,29.0,197.0,168.0,20689.0
2720,383100,2001JJ00,47420.0,25781.0,21639.0,55003.0,32648.0,22456.0,1.2,1.5,0.8,86.2,79.0,96.4,13654.0,10568.0,3086.0,8005.0,4361.0,3644.0,-20.0,202.0,222.0,21639.0
2721,383100,2002JJ00,48469.0,26420.0,22049.0,54761.0,32847.0,22077.0,-0.4,0.6,-1.7,88.5,80.4,99.9,14155.0,10991.0,3164.0,7924.0,4519.0,3405.0,-30.0,196.0,226.0,22049.0
2722,383100,2003JJ00,49366.0,26703.0,22663.0,55258.0,32414.0,22866.0,0.9,-1.3,3.6,89.3,82.4,99.1,14541.0,11203.0,3338.0,8143.0,4649.0,3494.0,-21.0,180.0,201.0,22663.0
2723,383100,2004JJ00,53065.0,29269.0,23796.0,58456.0,34366.0,24126.0,5.8,6.0,5.5,90.8,85.2,98.6,14722.0,11337.0,3385.0,9079.0,4752.0,4327.0,-5.0,202.0,207.0,23796.0
2724,383100,2005JJ00,56572.0,31626.0,24946.0,60344.0,35402.0,24969.0,3.2,3.0,3.5,93.7,89.3,99.9,14629.0,11406.0,3223.0,10276.0,4842.0,5434.0,41.0,230.0,189.0,24946.0
2725,383100,2006JJ00,59601.0,33254.0,26347.0,62294.0,36239.0,26050.0,3.2,2.4,4.3,95.7,91.8,101.1,14751.0,11613.0,3138.0,11514.0,4933.0,6581.0,82.0,254.0,172.0,26347.0
2726,383100,2007JJ00,63645.0,35744.0,27901.0,65882.0,38411.0,27474.0,5.8,6.0,5.5,96.6,93.1,101.6,15649.0,12298.0,3351.0,12170.0,5076.0,7094.0,82.0,251.0,169.0,27901.0
2727,383100,2008JJ00,67578.0,39100.0,28478.0,67300.0,39467.0,27855.0,2.2,2.8,1.4,100.4,99.1,102.2,16291.0,12672.0,3619.0,12095.0,5231.0,6864.0,92.0,267.0,175.0,28478.0
2728,383100,2009JJ00,62248.0,36134.0,26114.0,63473.0,37753.0,25757.0,-5.7,-4.3,-7.5,98.1,95.7,101.4,16282.0,12669.0,3613.0,9747.0,5358.0,4389.0,85.0,283.0,198.0,26114.0
2729,383100,2010JJ00,64921.0,37930.0,26991.0,64921.0,37930.0,26991.0,2.3,0.5,4.8,100.0,100.0,100.0,16148.0,12577.0,3571.0,10761.0,5657.0,5104.0,82.0,292.0,210.0,26991.0
2730,383100,2011JJ00,68285.0,41104.0,27181.0,66970.0,39034.0,27936.0,3.2,2.9,3.5,102.0,105.3,97.3,16670.0,12928.0,3742.0,10411.0,5813.0,4598.0,100.0,289.0,189.0,27181.0
2731,383100,2012JJ00,69836.0,42052.0,27784.0,67009.0,38829.0,28199.0,0.1,-0.5,0.9,104.2,108.3,98.5,16792.0,12911.0,3881.0,10882.0,6061.0,4821.0,110.0,289.0,179.0,27784.0
2732,383100,2013JJ00,70566.0,42158.0,28408.0,66905.0,38927.0,27981.0,-0.2,0.3,-0.8,105.5,108.3,101.5,16974.0,12989.0,3985.0,11283.0,6195.0,5088.0,151.0,294.0,143.0,28408.0
2733,383100,2014JJ00,72873.0,42987.0,29886.0,68651.0,39966.0,28687.0,2.6,2.7,2.5,106.1,107.6,104.2,16787.0,12881.0,3906.0,12925.0,6291.0,6634.0,174.0,306.0,132.0,29886.0
2734,383100,2015JJ00,75428.0,43746.0,31682.0,70413.0,41871.0,28515.0,2.6,4.8,-0.6,107.1,104.5,111.1,17074.0,13240.0,3834.0,14448.0,6575.0,7873.0,160.0,274.0,114.0,31682.0
2735,383100,2016JJ00,75629.0,43871.0,31758.0,71495.0,42717.0,28763.0,1.5,2.0,0.9,105.8,102.7,110.4,17592.0,13645.0,3947.0,14003.0,,,163.0,284.0,121.0,31758.0
2736,383200,1969JJ00,,,,,,,,,,,,,,,,,,,,,,
2737,383200,1970JJ00,,,,,,,,,,,,,,,,,,,,,,
2738,383200,1971JJ00,,,,,,,,,,,,,,,,,,,,,,
2739,383200,1972JJ00,,,,,,,,,,,,,,,,,,,,,,
2740,383200,1973JJ00,,,,,,,,,,,,,,,,,,,,,,
2741,383200,1974JJ00,,,,,,,,,,,,,,,,,,,,,,
2742,383200,1975JJ00,,,,,,,,,,,,,,,,,,,,,,
2743,383200,1976JJ00,,,,,,,,,,,,,,,,,,,,,,
2744,383200,1977JJ00,,,,,,,,,,,,,,,,,,,,,,
2745,383200,1978JJ00,,,,,,,,,,,,,,,,,,,,,,
2746,383200,1979JJ00,,,,,,,,,,,,,,,,,,,,,,
2747,383200,1980JJ00,,,,,,,,,,,,,,,,,,,,,,
2748,383200,1981JJ00,,,,,,,,,,,,,,,,,,,,,,
2749,383200,1982JJ00,,,,,,,,,,,,,,,,,,,,,,
2750,383200,1983JJ00,,,,,,,,,,,,,,,,,,,,,,
2751,383200,1984JJ00,,,,,,,,,,,,,,,,,,,,,,
2752,383200,1985JJ00,,,,,,,,,,,,,,,,,,,,,,
2753,383200,1986JJ00,,,,,,,,,,,,,,,,,,,,,,
2754,383200,1987JJ00,,,,,,,,,,,,,,,,,,,,,,
2755,383200,1988JJ00,,,,,,,,,,,,,,,,,,,,,,
2756,383200,1989JJ00,,,,,,,,,,,,,,,,,,,,,,
2757,383200,1990JJ00,,,,,,,,,,,,,,,,,,,,,,
2758,383200,1991JJ00,,,,,,,,,,,,,,,,,,,,,,
2759,383200,1992JJ00,,,,,,,,,,,,,,,,,,,,,,
2760,383200,1993JJ00,,,,,,,,,,,,,,,,,,,,,,
2761,383200,1994JJ00,,,,,,,,,,,,,,,,,,,,,,
2762,383200,1995JJ00,13452.0,6391.0,7061.0,18582.0,9346.0,9134.0,,,,72.4,68.4,77.3,4735.0,3975.0,760.0,2235.0,1345.0,890.0,91.0,98.0,7.0,7061.0
2763,383200,1996JJ00,14130.0,7022.0,7108.0,19179.0,9939.0,9168.0,3.2,6.4,0.4,73.7,70.6,77.5,4894.0,4125.0,769.0,2144.0,1404.0,740.0,70.0,105.0,35.0,7108.0
2764,383200,1997JJ00,15103.0,7571.0,7532.0,20007.0,10535.0,9411.0,4.3,6.0,2.7,75.5,71.9,80.0,4998.0,4284.0,714.0,2508.0,1420.0,1088.0,26.0,80.0,54.0,7532.0
2765,383200,1998JJ00,16459.0,8008.0,8451.0,21475.0,11131.0,10261.0,7.3,5.7,9.0,76.6,71.9,82.4,5517.0,4299.0,1218.0,2930.0,1439.0,1491.0,4.0,82.0,78.0,8451.0
2766,383200,1999JJ00,17520.0,8506.0,9014.0,22268.0,11509.0,10669.0,3.7,3.4,4.0,78.7,73.9,84.5,5895.0,4592.0,1303.0,3103.0,1487.0,1616.0,16.0,105.0,89.0,9014.0
2767,383200,2000JJ00,18551.0,9364.0,9187.0,23087.0,11970.0,11028.0,3.7,4.0,3.4,80.4,78.2,83.3,6360.0,4889.0,1471.0,2813.0,1580.0,1233.0,14.0,106.0,92.0,9187.0
2768,383200,2001JJ00,19372.0,9647.0,9725.0,23200.0,12156.0,10963.0,0.5,1.5,-0.6,83.5,79.4,88.7,6562.0,5149.0,1413.0,3163.0,1645.0,1518.0,0.0,107.0,107.0,9725.0
2769,383200,2002JJ00,19686.0,9854.0,9832.0,23030.0,12142.0,10815.0,-0.7,-0.1,-1.3,85.5,81.2,90.9,6692.0,5287.0,1405.0,3140.0,1641.0,1499.0,0.0,101.0,101.0,9832.0
2770,383200,2003JJ00,20122.0,10295.0,9827.0,22968.0,12396.0,10530.0,-0.3,2.1,-2.6,87.6,83.1,93.3,6876.0,5389.0,1487.0,2952.0,1617.0,1335.0,-1.0,94.0,95.0,9827.0
2771,383200,2004JJ00,21454.0,11496.0,9958.0,24059.0,13338.0,10716.0,4.8,7.6,1.8,89.2,86.2,92.9,6870.0,5368.0,1502.0,3089.0,1598.0,1491.0,-1.0,106.0,107.0,9958.0
2772,383200,2005JJ00,22159.0,12041.0,10118.0,24141.0,13335.0,10797.0,0.3,0.0,0.8,91.8,90.3,93.7,6781.0,5340.0,1441.0,3317.0,1585.0,1732.0,20.0,112.0,92.0,10118.0
2773,383200,2006JJ00,23814.0,13130.0,10684.0,25451.0,14240.0,11208.0,5.4,6.8,3.8,93.6,92.2,95.3,6849.0,5438.0,1411.0,3796.0,1557.0,2239.0,39.0,121.0,82.0,10684.0
2774,383200,2007JJ00,25541.0,14277.0,11264.0,26785.0,15283.0,11509.0,5.2,7.3,2.7,95.4,93.4,97.9,7334.0,5808.0,1526.0,3895.0,1544.0,2351.0,35.0,116.0,81.0,11264.0
2775,383200,2008JJ00,26782.0,15651.0,11131.0,26993.0,15697.0,11316.0,0.8,2.7,-1.7,99.2,99.7,98.4,7656.0,5995.0,1661.0,3436.0,1542.0,1894.0,39.0,123.0,84.0,11131.0
2776,383200,2009JJ00,25403.0,14475.0,10928.0,25693.0,15075.0,10636.0,-4.8,-4.0,-6.0,98.9,96.0,102.7,7468.0,5890.0,1578.0,3421.0,1554.0,1867.0,39.0,137.0,98.0,10928.0
