ID,Zorgfinanciering,Financieringsbronnen,Perioden,UitgavenZorg_1
130,A019156,A049088,2022JJ00,18304.0
131,A019156,A049088,2023JJ00,19872.0
132,A019156,A049089,2021JJ00,28902.0
133,A019156,A049089,2022JJ00,29672.0
134,A019156,A049089,2023JJ00,32373.0
135,A019156,A049090,2021JJ00,-137.0
136,A019156,A049090,2022JJ00,-168.0
137,A019156,A049090,2023JJ00,-190.0
138,A019156,A049091,2021JJ00,-361.0
139,A019156,A049091,2022JJ00,-428.0
140,A019156,A049091,2023JJ00,-1977.0
141,A019156,A049092,2021JJ00,-917.0
142,A019156,A049092,2022JJ00,-616.0
143,A019156,A049092,2023JJ00,-146.0
144,A041720,T001579,2021JJ00,19727.0
145,A041720,T001579,2022JJ00,21409.0
146,A041720,T001579,2023JJ00,23418.0
147,A041720,A049086,2021JJ00,0.0
148,A041720,A049086,2022JJ00,0.0
149,A041720,A049086,2023JJ00,0.0
150,A041720,A049087,2021JJ00,19859.0
151,A041720,A049087,2022JJ00,21645.0
152,A041720,A049087,2023JJ00,23562.0
153,A041720,A049088,2021JJ00,2045.0
154,A041720,A049088,2022JJ00,2045.0
155,A041720,A049088,2023JJ00,2297.0
156,A041720,A049089,2021JJ00,17814.0
157,A041720,A049089,2022JJ00,19600.0
158,A041720,A049089,2023JJ00,21265.0
159,A041720,A049090,2021JJ00,0.0
160,A041720,A049090,2022JJ00,0.0
161,A041720,A049090,2023JJ00,0.0
162,A041720,A049091,2021JJ00,0.0
163,A041720,A049091,2022JJ00,0.0
164,A041720,A049091,2023JJ00,0.0
165,A041720,A049092,2021JJ00,-132.0
166,A041720,A049092,2022JJ00,-236.0
167,A041720,A049092,2023JJ00,-145.0
168,A019159,T001579,2021JJ00,
169,A019159,T001579,2022JJ00,
170,A019159,T001579,2023JJ00,
171,A019159,A049086,2021JJ00,
172,A019159,A049086,2022JJ00,
173,A019159,A049086,2023JJ00,
174,A019159,A049087,2021JJ00,
175,A019159,A049087,2022JJ00,
176,A019159,A049087,2023JJ00,
177,A019159,A049088,2021JJ00,
178,A019159,A049088,2022JJ00,
179,A019159,A049088,2023JJ00,
180,A019159,A049089,2021JJ00,
181,A019159,A049089,2022JJ00,
182,A019159,A049089,2023JJ00,
183,A019159,A049090,2021JJ00,
184,A019159,A049090,2022JJ00,
185,A019159,A049090,2023JJ00,
186,A019159,A049091,2021JJ00,
187,A019159,A049091,2022JJ00,
188,A019159,A049091,2023JJ00,
189,A019159,A049092,2021JJ00,
190,A019159,A049092,2022JJ00,
191,A019159,A049092,2023JJ00,
192,A019160,T001579,2021JJ00,4127.0
193,A019160,T001579,2022JJ00,4136.0
194,A019160,T001579,2023JJ00,4303.0
195,A019160,A049086,2021JJ00,0.0
196,A019160,A049086,2022JJ00,0.0
197,A019160,A049086,2023JJ00,0.0
198,A019160,A049087,2021JJ00,4259.0
199,A019160,A049087,2022JJ00,4372.0
200,A019160,A049087,2023JJ00,4448.0
201,A019160,A049088,2021JJ00,0.0
202,A019160,A049088,2022JJ00,0.0
203,A019160,A049088,2023JJ00,0.0
204,A019160,A049089,2021JJ00,4259.0
205,A019160,A049089,2022JJ00,4372.0
206,A019160,A049089,2023JJ00,4448.0
207,A019160,A049090,2021JJ00,0.0
208,A019160,A049090,2022JJ00,0.0
209,A019160,A049090,2023JJ00,0.0
210,A019160,A049091,2021JJ00,0.0
211,A019160,A049091,2022JJ00,0.0
212,A019160,A049091,2023JJ00,0.0
213,A019160,A049092,2021JJ00,-132.0
214,A019160,A049092,2022JJ00,-236.0
215,A019160,A049092,2023JJ00,-145.0
216,A019161,T001579,2021JJ00,385.0
217,A019161,T001579,2022JJ00,382.0
218,A019161,T001579,2023JJ00,449.0
219,A019161,A049086,2021JJ00,0.0
220,A019161,A049086,2022JJ00,0.0
221,A019161,A049086,2023JJ00,0.0
222,A019161,A049087,2021JJ00,385.0
223,A019161,A049087,2022JJ00,382.0
224,A019161,A049087,2023JJ00,449.0
225,A019161,A049088,2021JJ00,385.0
226,A019161,A049088,2022JJ00,382.0
227,A019161,A049088,2023JJ00,449.0
228,A019161,A049089,2021JJ00,0.0
229,A019161,A049089,2022JJ00,0.0
230,A019161,A049089,2023JJ00,0.0
231,A019161,A049090,2021JJ00,0.0
232,A019161,A049090,2022JJ00,0.0
233,A019161,A049090,2023JJ00,0.0
234,A019161,A049091,2021JJ00,0.0
235,A019161,A049091,2022JJ00,0.0
236,A019161,A049091,2023JJ00,0.0
237,A019161,A049092,2021JJ00,0.0
238,A019161,A049092,2022JJ00,0.0
239,A019161,A049092,2023JJ00,0.0
240,A019162,T001579,2021JJ00,1660.0
241,A019162,T001579,2022JJ00,1663.0
242,A019162,T001579,2023JJ00,1848.0
243,A019162,A049086,2021JJ00,0.0
244,A019162,A049086,2022JJ00,0.0
245,A019162,A049086,2023JJ00,0.0
246,A019162,A049087,2021JJ00,1660.0
247,A019162,A049087,2022JJ00,1663.0
248,A019162,A049087,2023JJ00,1848.0
249,A019162,A049088,2021JJ00,1660.0
250,A019162,A049088,2022JJ00,1663.0
251,A019162,A049088,2023JJ00,1848.0
252,A019162,A049089,2021JJ00,0.0
253,A019162,A049089,2022JJ00,0.0
254,A019162,A049089,2023JJ00,0.0
255,A019162,A049090,2021JJ00,0.0
256,A019162,A049090,2022JJ00,0.0
257,A019162,A049090,2023JJ00,0.0
258,A019162,A049091,2021JJ00,0.0
259,A019162,A049091,2022JJ00,0.0
260,A019162,A049091,2023JJ00,0.0
261,A019162,A049092,2021JJ00,0.0
262,A019162,A049092,2022JJ00,0.0
263,A019162,A049092,2023JJ00,0.0
264,A019163,T001579,2021JJ00,13555.0
265,A019163,T001579,2022JJ00,15229.0
266,A019163,T001579,2023JJ00,16817.0
267,A019163,A049086,2021JJ00,0.0
268,A019163,A049086,2022JJ00,0.0
269,A019163,A049086,2023JJ00,0.0
270,A019163,A049087,2021JJ00,13555.0
271,A019163,A049087,2022JJ00,15229.0
272,A019163,A049087,2023JJ00,16817.0
273,A019163,A049088,2021JJ00,0.0
274,A019163,A049088,2022JJ00,0.0
275,A019163,A049088,2023JJ00,0.0
276,A019163,A049089,2021JJ00,13555.0
277,A019163,A049089,2022JJ00,15229.0
278,A019163,A049089,2023JJ00,16817.0
279,A019163,A049090,2021JJ00,0.0
280,A019163,A049090,2022JJ00,0.0
281,A019163,A049090,2023JJ00,0.0
282,A019163,A049091,2021JJ00,0.0
283,A019163,A049091,2022JJ00,0.0
284,A019163,A049091,2023JJ00,0.0
285,A019163,A049092,2021JJ00,0.0
286,A019163,A049092,2022JJ00,0.0
287,A019163,A049092,2023JJ00,0.0
288,A019164,T001579,2021JJ00,8095.0
289,A019164,T001579,2022JJ00,9542.0
290,A019164,T001579,2023JJ00,10942.0
291,A019164,A049086,2021JJ00,0.0
292,A019164,A049086,2022JJ00,0.0
293,A019164,A049086,2023JJ00,0.0
294,A019164,A049087,2021JJ00,8095.0
295,A019164,A049087,2022JJ00,9542.0
296,A019164,A049087,2023JJ00,10942.0
297,A019164,A049088,2021JJ00,0.0
298,A019164,A049088,2022JJ00,0.0
299,A019164,A049088,2023JJ00,0.0
300,A019164,A049089,2021JJ00,8095.0
301,A019164,A049089,2022JJ00,9542.0
302,A019164,A049089,2023JJ00,10942.0
303,A019164,A049090,2021JJ00,0.0
304,A019164,A049090,2022JJ00,0.0
305,A019164,A049090,2023JJ00,0.0
306,A019164,A049091,2021JJ00,0.0
307,A019164,A049091,2022JJ00,0.0
308,A019164,A049091,2023JJ00,0.0
309,A019164,A049092,2021JJ00,0.0
310,A019164,A049092,2022JJ00,0.0
311,A019164,A049092,2023JJ00,0.0
312,A019165,T001579,2021JJ00,5460.0
313,A019165,T001579,2022JJ00,5687.0
314,A019165,T001579,2023JJ00,5875.0
315,A019165,A049086,2021JJ00,0.0
316,A019165,A049086,2022JJ00,0.0
317,A019165,A049086,2023JJ00,0.0
318,A019165,A049087,2021JJ00,5460.0
319,A019165,A049087,2022JJ00,5687.0
320,A019165,A049087,2023JJ00,5875.0
321,A019165,A049088,2021JJ00,0.0
322,A019165,A049088,2022JJ00,0.0
323,A019165,A049088,2023JJ00,0.0
324,A019165,A049089,2021JJ00,5460.0
325,A019165,A049089,2022JJ00,5687.0
326,A019165,A049089,2023JJ00,5875.0
327,A019165,A049090,2021JJ00,0.0
328,A019165,A049090,2022JJ00,0.0
329,A019165,A049090,2023JJ00,0.0
330,A019165,A049091,2021JJ00,0.0
331,A019165,A049091,2022JJ00,0.0
332,A019165,A049091,2023JJ00,0.0
333,A019165,A049092,2021JJ00,0.0
334,A019165,A049092,2022JJ00,0.0
335,A019165,A049092,2023JJ00,0.0
336,A019166,T001579,2021JJ00,222.0
337,A019166,T001579,2022JJ00,252.0
338,A019166,T001579,2023JJ00,256.0
339,A019166,A049086,2021JJ00,0.0
340,A019166,A049086,2022JJ00,0.0
341,A019166,A049086,2023JJ00,0.0
342,A019166,A049087,2021JJ00,0.0
343,A019166,A049087,2022JJ00,0.0
344,A019166,A049087,2023JJ00,0.0
345,A019166,A049088,2021JJ00,0.0
346,A019166,A049088,2022JJ00,0.0
347,A019166,A049088,2023JJ00,0.0
348,A019166,A049089,2021JJ00,0.0
349,A019166,A049089,2022JJ00,0.0
350,A019166,A049089,2023JJ00,0.0
351,A019166,A049090,2021JJ00,222.0
352,A019166,A049090,2022JJ00,252.0
353,A019166,A049090,2023JJ00,256.0
354,A019166,A049091,2021JJ00,0.0
355,A019166,A049091,2022JJ00,0.0
356,A019166,A049091,2023JJ00,0.0
357,A019166,A049092,2021JJ00,0.0
358,A019166,A049092,2022JJ00,0.0
359,A019166,A049092,2023JJ00,0.0
