ID,EnergySourcesTechniques,EnergyApplication,Periods,FinalConsumptionInTerajoule_1,InTotalEnergeticFinalConsumption_2,AvoidedPrimaryEnergyInTJ_3,AvoidedPrimaryEnergyInTotalUse_4,AvoidedCarbonDioxideEmissionInKton_5,AvoidedCO2EmissionInOfTotEmiss_6
0,10000,totaal,1990JJ00,20887.0,1.15,15861.0,0.59,998.0,0.63
1,10000,totaal,1991JJ00,21845.0,1.12,17493.0,0.62,1092.0,0.66
2,10000,totaal,1992JJ00,22592.0,1.18,18389.0,0.66,1137.0,0.7
3,10000,totaal,1993JJ00,22534.0,1.13,19122.0,0.67,1188.0,0.71
4,10000,totaal,1994JJ00,22933.0,1.17,19977.0,0.7,1262.0,0.76
5,10000,totaal,1995JJ00,24065.0,1.18,21639.0,0.73,1387.0,0.81
6,10000,totaal,1996JJ00,24280.0,1.1,24502.0,0.79,1588.0,0.89
7,10000,totaal,1997JJ00,27028.0,1.28,27540.0,0.92,1799.0,1.05
8,10000,totaal,1998JJ00,28043.0,1.32,29653.0,0.99,1940.0,1.12
9,10000,totaal,1999JJ00,27951.0,1.34,31653.0,1.06,2067.0,1.23
10,10000,totaal,2000JJ00,29376.0,1.37,35030.0,1.15,2343.0,1.38
11,10000,totaal,2001JJ00,31062.0,1.43,39640.0,1.26,2747.0,1.57
12,10000,totaal,2002JJ00,34871.0,1.61,47102.0,1.5,3336.0,1.9
13,10000,totaal,2003JJ00,35423.0,1.61,48027.0,1.49,,
14,10000,totaal,2004JJ00,42021.0,1.86,59769.0,1.81,,
15,10000,totaal,2005JJ00,51604.0,2.31,80097.0,2.43,,
16,10000,totaal,2006JJ00,57261.0,2.65,87265.0,2.71,,
17,10000,totaal,2007JJ00,68499.0,3.08,92762.0,2.78,,
18,10000,totaal,2008JJ00,76387.0,3.35,109227.0,3.29,,
19,10000,totaal,2009JJ00,88066.0,4.1,126053.0,3.89,,
20,10000,totaal,2010JJ00,86399.0,3.75,127265.0,3.66,,
21,10000,totaal,2011JJ00,93350.0,4.33,134607.0,4.16,,
22,10000,totaal,2012JJ00,97800.0,4.48,143622.0,4.41,,
23,10000,totaal,2013JJ00,98792.0,4.52,140549.0,4.33,,
24,10000,elek  ,1990JJ00,2920.0,0.16,6646.0,0.25,474.0,0.3
25,10000,elek  ,1991JJ00,3360.0,0.17,7747.0,0.27,538.0,0.33
26,10000,elek  ,1992JJ00,3570.0,0.19,8192.0,0.29,557.0,0.34
27,10000,elek  ,1993JJ00,4095.0,0.21,9106.0,0.32,619.0,0.37
28,10000,elek  ,1994JJ00,4537.0,0.23,10072.0,0.35,701.0,0.42
29,10000,elek  ,1995JJ00,5150.0,0.25,11375.0,0.39,807.0,0.47
30,10000,elek  ,1996JJ00,6655.0,0.3,14416.0,0.47,1017.0,0.57
31,10000,elek  ,1997JJ00,7377.0,0.35,15050.0,0.5,1092.0,0.64
32,10000,elek  ,1998JJ00,8149.0,0.38,16684.0,0.56,1204.0,0.7
33,10000,elek  ,1999JJ00,9124.0,0.44,18939.0,0.64,1347.0,0.8
34,10000,elek  ,2000JJ00,10344.0,0.48,22004.0,0.72,1607.0,0.95
35,10000,elek  ,2001JJ00,11919.0,0.55,26515.0,0.84,2003.0,1.14
36,10000,elek  ,2002JJ00,14629.0,0.68,32629.0,1.04,2510.0,1.43
37,10000,elek  ,2003JJ00,14594.0,0.66,32858.0,1.02,2482.0,1.38
38,10000,elek  ,2004JJ00,18819.0,0.83,42343.0,1.28,3159.0,1.75
39,10000,elek  ,2005JJ00,26810.0,1.2,61267.0,1.86,4503.0,2.56
40,10000,elek  ,2006JJ00,28318.0,1.31,64674.0,2.01,4684.0,2.72
41,10000,elek  ,2007JJ00,26351.0,1.18,57504.0,1.72,4317.0,2.51
42,10000,elek  ,2008JJ00,33165.0,1.46,73736.0,2.22,5447.0,3.1
43,10000,elek  ,2009JJ00,38721.0,1.8,84753.0,2.62,6359.0,3.75
44,10000,elek  ,2010JJ00,42197.0,1.83,91294.0,2.62,6883.0,3.79
45,10000,elek  ,2011JJ00,43228.0,2.01,92337.0,2.86,6957.0,4.15
46,10000,elek  ,2012JJ00,45114.0,2.06,99062.0,3.04,7648.0,4.62
47,10000,elek  ,2013JJ00,43191.0,1.98,92904.0,2.86,7158.0,4.3
48,10000,warm  ,1990JJ00,17967.0,0.99,9215.0,0.34,523.0,0.33
49,10000,warm  ,1991JJ00,18485.0,0.95,9746.0,0.34,554.0,0.34
50,10000,warm  ,1992JJ00,19021.0,0.99,10197.0,0.36,579.0,0.36
51,10000,warm  ,1993JJ00,18439.0,0.93,10017.0,0.35,569.0,0.34
52,10000,warm  ,1994JJ00,18395.0,0.94,9905.0,0.35,560.0,0.34
53,10000,warm  ,1995JJ00,18914.0,0.93,10264.0,0.35,581.0,0.34
54,10000,warm  ,1996JJ00,17625.0,0.8,10086.0,0.33,571.0,0.32
55,10000,warm  ,1997JJ00,19652.0,0.93,12490.0,0.42,707.0,0.41
56,10000,warm  ,1998JJ00,19894.0,0.94,12969.0,0.43,735.0,0.42
57,10000,warm  ,1999JJ00,18827.0,0.91,12714.0,0.43,720.0,0.43
58,10000,warm  ,2000JJ00,19032.0,0.89,13026.0,0.43,737.0,0.43
59,10000,warm  ,2001JJ00,19143.0,0.88,13125.0,0.42,744.0,0.42
60,10000,warm  ,2002JJ00,20242.0,0.94,14472.0,0.46,826.0,0.47
61,10000,warm  ,2003JJ00,20694.0,0.94,15034.0,0.46,851.0,0.47
62,10000,warm  ,2004JJ00,23068.0,1.02,17292.0,0.52,984.0,0.54
63,10000,warm  ,2005JJ00,24692.0,1.11,18729.0,0.57,1070.0,0.61
64,10000,warm  ,2006JJ00,27176.0,1.26,20825.0,0.65,1179.0,0.68
65,10000,warm  ,2007JJ00,29117.0,1.31,22228.0,0.67,1272.0,0.74
66,10000,warm  ,2008JJ00,31174.0,1.37,23442.0,0.71,1326.0,0.75
67,10000,warm  ,2009JJ00,33740.0,1.57,25695.0,0.79,1458.0,0.86
68,10000,warm  ,2010JJ00,34624.0,1.5,26394.0,0.76,1511.0,0.83
69,10000,warm  ,2011JJ00,36684.0,1.7,28833.0,0.89,1624.0,0.97
70,10000,warm  ,2012JJ00,39332.0,1.8,31207.0,0.96,1717.0,1.04
71,10000,warm  ,2013JJ00,42677.0,1.95,34720.0,1.07,1878.0,1.13
72,10000,trans ,1990JJ00,0.0,0.0,0.0,0.0,0.0,0.0
73,10000,trans ,1991JJ00,0.0,0.0,0.0,0.0,0.0,0.0
74,10000,trans ,1992JJ00,0.0,0.0,0.0,0.0,0.0,0.0
75,10000,trans ,1993JJ00,0.0,0.0,0.0,0.0,0.0,0.0
76,10000,trans ,1994JJ00,0.0,0.0,0.0,0.0,0.0,0.0
77,10000,trans ,1995JJ00,0.0,0.0,0.0,0.0,0.0,0.0
78,10000,trans ,1996JJ00,0.0,0.0,0.0,0.0,0.0,0.0
79,10000,trans ,1997JJ00,0.0,0.0,0.0,0.0,0.0,0.0
80,10000,trans ,1998JJ00,0.0,0.0,0.0,0.0,0.0,0.0
81,10000,trans ,1999JJ00,0.0,0.0,0.0,0.0,0.0,0.0
82,10000,trans ,2000JJ00,0.0,0.0,0.0,0.0,0.0,0.0
83,10000,trans ,2001JJ00,0.0,0.0,0.0,0.0,0.0,0.0
84,10000,trans ,2002JJ00,0.0,0.0,0.0,0.0,0.0,0.0
85,10000,trans ,2003JJ00,134.0,0.01,134.0,0.0,,
86,10000,trans ,2004JJ00,134.0,0.01,134.0,0.0,,
87,10000,trans ,2005JJ00,101.0,0.0,101.0,0.0,,
88,10000,trans ,2006JJ00,1766.0,0.08,1766.0,0.05,,
89,10000,trans ,2007JJ00,13031.0,0.58,13031.0,0.39,,
90,10000,trans ,2008JJ00,12048.0,0.53,12048.0,0.36,,
91,10000,trans ,2009JJ00,15606.0,0.73,15606.0,0.48,,
92,10000,trans ,2010JJ00,9577.0,0.42,9577.0,0.28,,
93,10000,trans ,2011JJ00,13438.0,0.62,13438.0,0.42,,
94,10000,trans ,2012JJ00,13353.0,0.61,13353.0,0.41,,
95,10000,trans ,2013JJ00,12924.0,0.59,12924.0,0.4,,
96,11000,totaal,1990JJ00,306.0,0.02,775.0,0.03,55.0,0.03
97,11000,totaal,1991JJ00,340.0,0.02,861.0,0.03,60.0,0.04
98,11000,totaal,1992JJ00,371.0,0.02,941.0,0.03,64.0,0.04
99,11000,totaal,1993JJ00,361.0,0.02,923.0,0.03,63.0,0.04
100,11000,totaal,1994JJ00,361.0,0.02,920.0,0.03,64.0,0.04
101,11000,totaal,1995JJ00,353.0,0.02,895.0,0.03,64.0,0.04
