ID,InstitutioneleSectoren,TransactiesEnSaldi,Perioden,OverheidsproductieEnConsumptie_1
0,A044938,A048151,1995JJ00,64961.0
1,A044938,A048151,1996JJ00,66299.0
2,A044938,A048151,1997JJ00,68893.0
3,A044938,A048151,1998JJ00,71970.0
4,A044938,A048151,1999JJ00,75165.0
5,A044938,A048151,2000JJ00,81092.0
6,A044938,A048151,2001JJ00,88141.0
7,A044938,A048151,2002JJ00,93859.0
8,A044938,A048151,2003JJ00,99621.0
9,A044938,A048151,2004JJ00,101771.0
10,A044938,A048151,2005JJ00,105176.0
11,A044938,A048151,2006JJ00,109699.0
12,A044938,A048151,2007JJ00,115534.0
13,A044938,A048151,2008JJ00,122917.0
14,A044938,A048151,2009JJ00,126703.0
15,A044938,A048151,2010JJ00,130280.0
16,A044938,A048151,2011JJ00,130399.0
17,A044938,A048151,2012JJ00,131940.0
18,A044938,A048151,2013JJ00,132542.0
19,A044938,A048151,2014JJ00,132749.0
20,A044938,A048151,2015JJ00,130847.0
21,A044938,A048151,2016JJ00,130293.0
22,A044938,A048151,2017JJ00,133124.0
23,A044938,A048151,2018JJ00,138548.0
24,A044938,A048151,2019JJ00,144561.0
25,A044938,A048151,2020JJ00,150107.0
26,A044938,A048151,2021JJ00,161662.0
27,A044938,A048151,2022JJ00,179345.0
28,A044938,A048151,2023JJ00,188024.0
29,A044938,A048151,2024JJ00,207906.0
30,A044938,A044434,1995JJ00,6594.0
31,A044938,A044434,1996JJ00,7059.0
32,A044938,A044434,1997JJ00,7512.0
33,A044938,A044434,1998JJ00,7349.0
34,A044938,A044434,1999JJ00,7265.0
35,A044938,A044434,2000JJ00,8455.0
36,A044938,A044434,2001JJ00,9436.0
37,A044938,A044434,2002JJ00,9099.0
38,A044938,A044434,2003JJ00,9656.0
39,A044938,A044434,2004JJ00,10337.0
40,A044938,A044434,2005JJ00,11098.0
41,A044938,A044434,2006JJ00,12627.0
42,A044938,A044434,2007JJ00,12676.0
43,A044938,A044434,2008JJ00,15566.0
44,A044938,A044434,2009JJ00,13261.0
45,A044938,A044434,2010JJ00,13687.0
46,A044938,A044434,2011JJ00,14250.0
47,A044938,A044434,2012JJ00,15686.0
48,A044938,A044434,2013JJ00,15906.0
49,A044938,A044434,2014JJ00,13911.0
50,A044938,A044434,2015JJ00,11563.0
51,A044938,A044434,2016JJ00,10123.0
52,A044938,A044434,2017JJ00,10013.0
53,A044938,A044434,2018JJ00,9790.0
54,A044938,A044434,2019JJ00,9278.0
55,A044938,A044434,2020JJ00,7652.0
56,A044938,A044434,2021JJ00,9769.0
57,A044938,A044434,2022JJ00,15416.0
58,A044938,A044434,2023JJ00,8597.0
59,A044938,A044434,2024JJ00,10871.0
60,A044938,A044435,1995JJ00,2356.0
61,A044938,A044435,1996JJ00,2348.0
62,A044938,A044435,1997JJ00,2419.0
63,A044938,A044435,1998JJ00,2698.0
64,A044938,A044435,1999JJ00,2945.0
65,A044938,A044435,2000JJ00,3170.0
66,A044938,A044435,2001JJ00,3577.0
67,A044938,A044435,2002JJ00,3887.0
68,A044938,A044435,2003JJ00,4153.0
69,A044938,A044435,2004JJ00,4308.0
70,A044938,A044435,2005JJ00,4424.0
