ID,Geslacht,Persoonskenmerken,Perioden,Verkeersdeelname_1,GebruikVanHetOpenbaarVervoer_2
58,T001038,1020700,2012JJ00,79.2,14.5
59,T001038,1020700,2013JJ00,79.9,16.3
60,T001038,1020700,2014JJ00,79.9,13.7
61,T001038,1020700,2015JJ00,80.5,15.4
62,T001038,1020700,2016JJ00,79.7,15.1
63,T001038,1020700,2017JJ00,82.7,19.8
64,T001038,1020710,2010JJ00,76.0,6.7
65,T001038,1020710,2011JJ00,76.5,6.8
66,T001038,1020710,2012JJ00,76.2,6.7
67,T001038,1020710,2013JJ00,76.8,6.8
68,T001038,1020710,2014JJ00,76.2,6.3
69,T001038,1020710,2015JJ00,74.7,7.0
70,T001038,1020710,2016JJ00,73.7,7.4
71,T001038,1020710,2017JJ00,71.8,7.4
72,T001038,1020720,2010JJ00,82.1,6.2
73,T001038,1020720,2011JJ00,81.6,6.4
74,T001038,1020720,2012JJ00,81.2,6.1
75,T001038,1020720,2013JJ00,81.0,6.1
76,T001038,1020720,2014JJ00,82.1,6.1
77,T001038,1020720,2015JJ00,81.1,5.9
78,T001038,1020720,2016JJ00,79.9,5.7
79,T001038,1020720,2017JJ00,79.3,6.0
80,T001038,1020730,2010JJ00,82.7,6.6
81,T001038,1020730,2011JJ00,82.7,7.4
82,T001038,1020730,2012JJ00,83.1,6.1
83,T001038,1020730,2013JJ00,82.8,7.1
84,T001038,1020730,2014JJ00,84.0,6.6
85,T001038,1020730,2015JJ00,82.8,6.8
86,T001038,1020730,2016JJ00,82.5,6.1
87,T001038,1020730,2017JJ00,81.3,6.2
88,T001038,1020740,2010JJ00,81.0,6.0
89,T001038,1020740,2011JJ00,83.8,7.0
90,T001038,1020740,2012JJ00,81.9,6.5
91,T001038,1020740,2013JJ00,82.1,7.7
92,T001038,1020740,2014JJ00,82.7,6.3
93,T001038,1020740,2015JJ00,80.8,6.5
94,T001038,1020740,2016JJ00,83.0,7.6
95,T001038,1020740,2017JJ00,82.4,7.2
96,T001038,1020750,2010JJ00,81.6,5.1
97,T001038,1020750,2011JJ00,81.2,5.2
98,T001038,1020750,2012JJ00,79.8,4.8
99,T001038,1020750,2013JJ00,81.5,4.9
100,T001038,1020750,2014JJ00,82.3,5.6
101,T001038,1020750,2015JJ00,82.1,5.7
102,T001038,1020750,2016JJ00,80.8,6.6
103,T001038,1020750,2017JJ00,81.0,7.3
104,T001038,20100  ,2010JJ00,79.2,7.5
105,T001038,20100  ,2011JJ00,79.1,8.0
106,T001038,20100  ,2012JJ00,78.8,7.5
107,T001038,20100  ,2013JJ00,79.0,7.8
108,T001038,20100  ,2014JJ00,79.4,7.4
109,T001038,20100  ,2015JJ00,78.5,7.7
110,T001038,20100  ,2016JJ00,78.1,7.5
111,T001038,20100  ,2017JJ00,77.7,7.7
112,T001038,80001  ,2010JJ00,83.7,2.2
