ID,Landen,BedrijfstakkenBranchesSBI2008,Perioden,BuitenlandseDochterondernemingen_1,WerkzamePersonenFTE_2,Omzet_3,Personeelskosten_4,Investeringen_5
46,T001047,315800 ,2022JJ00,51.0,4.0,723.0,81.0,25.0
47,T001047,315800 ,2023JJ00,77.0,4.0,521.0,77.0,28.0
48,T001047,317100 ,2021JJ00,40.0,5.0,915.0,198.0,33.0
49,T001047,317100 ,2022JJ00,38.0,6.0,1210.0,182.0,116.0
50,T001047,317100 ,2023JJ00,44.0,10.0,1432.0,295.0,84.0
51,T001047,318600 ,2021JJ00,33.0,2.0,323.0,79.0,19.0
52,T001047,318600 ,2022JJ00,51.0,2.0,399.0,105.0,37.0
53,T001047,318600 ,2023JJ00,58.0,2.0,388.0,90.0,40.0
54,T001047,320000 ,2021JJ00,199.0,73.0,185336.0,4967.0,3812.0
55,T001047,320000 ,2022JJ00,11.0,17.0,6481.0,188.0,1004.0
56,T001047,320000 ,2023JJ00,1.0,,169.0,43.0,21.0
57,T001047,320700 ,2021JJ00,321.0,46.0,40371.0,3014.0,3320.0
58,T001047,320700 ,2022JJ00,249.0,34.0,15479.0,1869.0,430.0
59,T001047,320700 ,2023JJ00,220.0,34.0,14445.0,1809.0,893.0
60,T001047,323200 ,2021JJ00,47.0,4.0,762.0,155.0,465.0
61,T001047,323200 ,2022JJ00,73.0,7.0,3063.0,358.0,489.0
62,T001047,323200 ,2023JJ00,87.0,5.0,932.0,272.0,309.0
63,T001047,323705 ,2021JJ00,231.0,13.0,2642.0,352.0,588.0
64,T001047,323705 ,2022JJ00,165.0,10.0,2814.0,358.0,431.0
65,T001047,323705 ,2023JJ00,128.0,6.0,1454.0,224.0,404.0
66,T001047,323700 ,2021JJ00,207.0,10.0,2134.0,276.0,98.0
67,T001047,323700 ,2022JJ00,142.0,8.0,2141.0,291.0,
68,T001047,323700 ,2023JJ00,99.0,5.0,942.0,174.0,
69,T001047,324600 ,2021JJ00,24.0,3.0,508.0,76.0,491.0
70,T001047,324600 ,2022JJ00,23.0,3.0,673.0,67.0,
71,T001047,324600 ,2023JJ00,29.0,1.0,512.0,50.0,
72,T001047,328100 ,2021JJ00,52.0,18.0,4287.0,347.0,163.0
73,T001047,328100 ,2022JJ00,118.0,18.0,4021.0,366.0,211.0
74,T001047,328100 ,2023JJ00,27.0,2.0,1509.0,137.0,105.0
75,T001047,328105 ,2021JJ00,463.0,45.0,9811.0,1393.0,979.0
76,T001047,328105 ,2022JJ00,605.0,47.0,10268.0,1552.0,504.0
77,T001047,328105 ,2023JJ00,458.0,28.0,7364.0,1269.0,409.0
78,T001047,330300 ,2021JJ00,411.0,26.0,5523.0,1046.0,816.0
79,T001047,330300 ,2022JJ00,487.0,28.0,6247.0,1186.0,293.0
80,T001047,330300 ,2023JJ00,432.0,26.0,5855.0,1131.0,304.0
81,T001047,332900 ,2021JJ00,94.0,28.0,14409.0,1812.0,855.0
82,T001047,332900 ,2022JJ00,123.0,32.0,18142.0,2165.0,711.0
83,T001047,332900 ,2023JJ00,149.0,32.0,18279.0,2178.0,466.0
84,T001047,334800 ,2021JJ00,212.0,39.0,6978.0,1564.0,155.0
85,T001047,334800 ,2022JJ00,185.0,38.0,7547.0,1736.0,149.0
86,T001047,334800 ,2023JJ00,180.0,36.0,6966.0,1713.0,131.0
87,T001047,336500 ,2021JJ00,391.0,37.0,13045.0,2561.0,435.0
88,T001047,336500 ,2022JJ00,428.0,43.0,14451.0,3003.0,576.0
89,T001047,336500 ,2023JJ00,360.0,36.0,13172.0,3039.0,677.0
90,T001047,339200 ,2021JJ00,38.0,5.0,724.0,141.0,26.0
91,T001047,339200 ,2022JJ00,457.0,249.0,232120.0,13727.0,4949.0
92,T001047,339200 ,2023JJ00,146.0,243.0,281649.0,16781.0,5454.0
93,T001047,339205 ,2021JJ00,97.0,13.0,2469.0,364.0,42.0
94,T001047,339205 ,2022JJ00,553.0,258.0,234553.0,13989.0,4962.0
95,T001047,339205 ,2023JJ00,224.0,250.0,283610.0,16982.0,5476.0
96,T001047,340200 ,2021JJ00,59.0,8.0,1745.0,223.0,16.0
97,T001047,340200 ,2022JJ00,96.0,8.0,2434.0,262.0,13.0
98,T001047,340200 ,2023JJ00,78.0,7.0,1962.0,201.0,22.0
99,T001047,341600 ,2021JJ00,70.0,22.0,449.0,516.0,165.0
100,T001047,341600 ,2022JJ00,52.0,21.0,1093.0,484.0,165.0
101,T001047,341600 ,2023JJ00,39.0,2.0,325.0,77.0,13.0
102,T001047,342400 ,2021JJ00,258.0,53.0,12229.0,2457.0,753.0
103,T001047,342400 ,2022JJ00,221.0,29.0,7818.0,1543.0,424.0
104,T001047,342400 ,2023JJ00,169.0,14.0,2757.0,558.0,140.0
105,T001047,344400 ,2021JJ00,350.0,32.0,10419.0,992.0,219.0
106,T001047,344400 ,2022JJ00,336.0,26.0,10237.0,749.0,69.0
107,T001047,344400 ,2023JJ00,326.0,11.0,10169.0,767.0,126.0
108,T001047,346600 ,2021JJ00,240.0,4.0,7651.0,240.0,3065.0
109,T001047,346600 ,2022JJ00,365.0,6.0,12613.0,298.0,
110,T001047,346600 ,2023JJ00,445.0,4.0,6357.0,175.0,615.0
111,T001047,346700 ,2021JJ00,240.0,4.0,7651.0,240.0,3065.0
112,T001047,346700 ,2022JJ00,365.0,6.0,12613.0,298.0,
113,T001047,346700 ,2023JJ00,445.0,4.0,6357.0,175.0,615.0
114,T001047,348000 ,2021JJ00,123.0,2.0,1273.0,107.0,110.0
115,T001047,348000 ,2022JJ00,119.0,4.0,2374.0,309.0,112.0
116,T001047,348000 ,2023JJ00,105.0,12.0,1995.0,544.0,1488.0
117,T001047,348100 ,2021JJ00,18.0,,,,
118,T001047,348100 ,2022JJ00,15.0,,45.0,5.0,
119,T001047,348100 ,2023JJ00,32.0,1.0,30.0,72.0,
120,T001047,348400 ,2021JJ00,,,,,
121,T001047,348400 ,2022JJ00,,,,,
122,T001047,348400 ,2023JJ00,,,,,
123,T001047,348700 ,2021JJ00,89.0,2.0,1226.0,95.0,51.0
124,T001047,348700 ,2022JJ00,91.0,3.0,2308.0,294.0,34.0
125,T001047,348700 ,2023JJ00,69.0,11.0,1950.0,465.0,937.0
126,T001047,349700 ,2021JJ00,,,,7.0,
127,T001047,349700 ,2022JJ00,13.0,,22.0,10.0,
128,T001047,349700 ,2023JJ00,4.0,,14.0,7.0,
129,T001047,350000 ,2021JJ00,674.0,37.0,14432.0,2293.0,1039.0
130,T001047,350000 ,2022JJ00,735.0,28.0,14677.0,2080.0,771.0
131,T001047,350000 ,2023JJ00,810.0,27.0,23026.0,1962.0,2983.0
132,T001047,350100 ,2021JJ00,242.0,17.0,7844.0,1068.0,626.0
133,T001047,350100 ,2022JJ00,318.0,11.0,8621.0,888.0,361.0
134,T001047,350100 ,2023JJ00,386.0,11.0,15234.0,907.0,2695.0
135,T001047,350600 ,2021JJ00,222.0,16.0,5677.0,1039.0,326.0
136,T001047,350600 ,2022JJ00,179.0,11.0,4394.0,773.0,272.0
137,T001047,350600 ,2023JJ00,216.0,11.0,6005.0,721.0,254.0
138,T001047,351900 ,2021JJ00,210.0,3.0,912.0,186.0,87.0
139,T001047,351900 ,2022JJ00,238.0,6.0,1662.0,420.0,138.0
140,T001047,351900 ,2023JJ00,208.0,5.0,1787.0,334.0,34.0
141,T001047,354200 ,2021JJ00,5385.0,678.0,418398.0,26663.0,11179.0
142,T001047,354200 ,2022JJ00,6022.0,732.0,596486.0,31491.0,10434.0
143,T001047,354200 ,2023JJ00,5572.0,664.0,760452.0,30889.0,8052.0
144,T001047,354300 ,2021JJ00,211.0,5.0,4506.0,199.0,309.0
145,T001047,354300 ,2022JJ00,272.0,16.0,30295.0,839.0,430.0
146,T001047,354300 ,2023JJ00,378.0,29.0,85785.0,1766.0,167.0
147,T001047,356900 ,2021JJ00,4266.0,186.0,301082.0,12433.0,5194.0
148,T001047,356900 ,2022JJ00,4766.0,201.0,434844.0,13788.0,4629.0
149,T001047,356900 ,2023JJ00,4324.0,158.0,549067.0,13096.0,3739.0
150,T001047,371600 ,2021JJ00,908.0,488.0,112811.0,14031.0,5677.0
151,T001047,371600 ,2022JJ00,985.0,515.0,131347.0,16864.0,5374.0
152,T001047,371600 ,2023JJ00,870.0,477.0,125600.0,16027.0,4147.0
153,T001047,383100 ,2021JJ00,1482.0,111.0,22110.0,5032.0,1517.0
154,T001047,383100 ,2022JJ00,1651.0,106.0,22378.0,5248.0,1910.0
