ID,BouwactiviteitenSBI93,Grootteklasse,Perioden,TotaalMateriaalverbruik_1,TBVBouwEnBouwinstallatieAct_2,TBVHandelsactiviteiten_3,TBVOverigeActiviteiten_4,MateriaalverbruikNietTeSpecificeren_5,TotaalBetalingen_6,Constructiewerkplaatsen_7,Loodgietersbedrijven_8,ElectrotechnischeInstallBedrijven_9,CentraleVerwarmingsbedrijven_10,TimmerSchilderGlaszettersBehangbedr_11,SteengaasMuurbewerkingsbedrijven_12,AndereOnderaannemers_13,OnderaannemersNietTeSpecificeren_14
150,4534,H,1998JJ00,1207.0,,,,31.0,122.0,,,,,,,,1.0
151,4534,H,1999JJ00,1659.0,,,,47.0,149.0,,,,,,,,3.0
152,4534,D,1996JJ00,42.0,13.0,0.0,0.0,29.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
153,4534,D,1997JJ00,56.0,17.0,0.0,0.0,39.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0
154,4534,D,1998JJ00,64.0,32.0,1.0,0.0,32.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,1.0
155,4534,D,1999JJ00,90.0,43.0,0.0,0.0,48.0,25.0,0.0,0.0,9.0,0.0,0.0,0.0,12.0,3.0
156,4534,E,1996JJ00,940.0,701.0,239.0,0.0,0.0,93.0,1.0,3.0,54.0,4.0,1.0,1.0,28.0,0.0
157,4534,E,1997JJ00,872.0,594.0,278.0,0.0,0.0,68.0,1.0,1.0,58.0,4.0,0.0,0.0,3.0,0.0
158,4534,E,1998JJ00,1144.0,776.0,367.0,0.0,0.0,111.0,1.0,2.0,59.0,9.0,0.0,0.0,39.0,0.0
159,4534,E,1999JJ00,1570.0,752.0,817.0,0.0,0.0,124.0,1.0,1.0,61.0,1.0,0.0,0.0,58.0,0.0
160,4540,A,1996JJ00,1010.0,520.0,14.0,6.0,470.0,383.0,2.0,0.0,0.0,1.0,106.0,21.0,148.0,105.0
161,4540,A,1997JJ00,1035.0,537.0,17.0,1.0,480.0,391.0,4.0,1.0,0.0,2.0,114.0,20.0,142.0,108.0
162,4540,A,1998JJ00,1145.0,604.0,17.0,2.0,523.0,462.0,0.0,1.0,1.0,2.0,133.0,33.0,170.0,121.0
163,4540,A,1999JJ00,1165.0,604.0,26.0,1.0,534.0,481.0,0.0,1.0,2.0,0.0,138.0,31.0,191.0,118.0
164,4540,B,1996JJ00,470.0,,,,470.0,105.0,,,,,,,,105.0
165,4540,B,1997JJ00,480.0,,,,480.0,108.0,,,,,,,,108.0
166,4540,B,1998JJ00,523.0,,,,523.0,121.0,,,,,,,,121.0
167,4540,B,1999JJ00,534.0,,,,534.0,118.0,,,,,,,,118.0
168,4540,H,1996JJ00,540.0,,,,0.0,278.0,,,,,,,,0.0
169,4540,H,1997JJ00,555.0,,,,0.0,283.0,,,,,,,,0.0
170,4540,H,1998JJ00,622.0,,,,0.0,341.0,,,,,,,,0.0
171,4540,H,1999JJ00,631.0,,,,0.0,363.0,,,,,,,,0.0
172,4540,D,1996JJ00,483.0,463.0,14.0,6.0,0.0,246.0,0.0,0.0,0.0,1.0,95.0,19.0,131.0,0.0
173,4540,D,1997JJ00,508.0,491.0,16.0,1.0,0.0,257.0,4.0,1.0,0.0,2.0,107.0,16.0,127.0,0.0
174,4540,D,1998JJ00,565.0,546.0,17.0,2.0,0.0,301.0,0.0,1.0,1.0,2.0,120.0,27.0,148.0,0.0
