ID,Marges,Kenmerken,MateVanEenzaamheid,Perioden,Eenzaamheid_1,SocialeEenzaamheid_2,EmotioneleEenzaamheid_3
401,MW00000,1015110,A052503,2021JJ00,19.2,24.3,16.6
402,MW00000,1015110,A052503,2022JJ00,20.2,24.1,17.7
403,MW00000,1015110,A052503,2023JJ00,20.4,20.2,19.9
404,MW00000,1015110,A052503,2024JJ00,18.2,22.5,15.9
405,MW00000,1015120,A052501,2019JJ00,72.2,62.7,74.8
406,MW00000,1015120,A052501,2021JJ00,63.9,62.8,59.3
407,MW00000,1015120,A052501,2022JJ00,67.5,61.8,66.9
408,MW00000,1015120,A052501,2023JJ00,69.8,62.7,69.5
409,MW00000,1015120,A052501,2024JJ00,68.2,60.5,69.8
410,MW00000,1015120,A052502,2019JJ00,21.0,26.3,20.1
411,MW00000,1015120,A052502,2021JJ00,27.9,24.9,33.8
412,MW00000,1015120,A052502,2022JJ00,24.5,26.9,26.1
413,MW00000,1015120,A052502,2023JJ00,22.5,26.1,23.4
414,MW00000,1015120,A052502,2024JJ00,24.7,26.9,24.1
415,MW00000,1015120,A052503,2019JJ00,6.8,11.0,5.1
416,MW00000,1015120,A052503,2021JJ00,8.2,12.3,6.9
417,MW00000,1015120,A052503,2022JJ00,8.0,11.3,7.0
418,MW00000,1015120,A052503,2023JJ00,7.7,11.2,7.1
419,MW00000,1015120,A052503,2024JJ00,7.0,12.7,6.1
420,MW00000,1015130,A052501,2019JJ00,69.8,62.2,71.8
421,MW00000,1015130,A052501,2021JJ00,63.2,60.1,60.5
422,MW00000,1015130,A052501,2022JJ00,65.4,60.6,65.9
423,MW00000,1015130,A052501,2023JJ00,65.4,58.9,66.3
424,MW00000,1015130,A052501,2024JJ00,64.8,57.7,68.3
425,MW00000,1015130,A052502,2019JJ00,24.1,28.0,23.0
426,MW00000,1015130,A052502,2021JJ00,28.2,27.0,31.3
427,MW00000,1015130,A052502,2022JJ00,26.7,27.1,27.3
428,MW00000,1015130,A052502,2023JJ00,26.4,28.9,26.1
429,MW00000,1015130,A052502,2024JJ00,27.5,29.2,24.5
430,MW00000,1015130,A052503,2019JJ00,6.0,9.8,5.3
431,MW00000,1015130,A052503,2021JJ00,8.6,12.9,8.2
432,MW00000,1015130,A052503,2022JJ00,7.9,12.3,6.9
433,MW00000,1015130,A052503,2023JJ00,8.2,12.2,7.6
434,MW00000,1015130,A052503,2024JJ00,7.7,13.2,7.1
435,MW00000,1016440,A052501,2019JJ00,66.5,62.3,62.9
436,MW00000,1016440,A052501,2021JJ00,54.7,55.0,44.5
437,MW00000,1016440,A052501,2022JJ00,54.6,49.9,50.6
438,MW00000,1016440,A052501,2023JJ00,53.9,51.6,51.0
439,MW00000,1016440,A052501,2024JJ00,57.6,56.5,53.0
440,MW00000,1016440,A052502,2019JJ00,25.8,28.6,30.6
441,MW00000,1016440,A052502,2021JJ00,32.8,33.0,42.0
442,MW00000,1016440,A052502,2022JJ00,32.2,36.8,35.5
443,MW00000,1016440,A052502,2023JJ00,35.5,36.4,34.7
444,MW00000,1016440,A052502,2024JJ00,31.6,31.9,34.8
445,MW00000,1016440,A052503,2019JJ00,7.7,9.0,6.5
446,MW00000,1016440,A052503,2021JJ00,12.5,12.0,13.5
447,MW00000,1016440,A052503,2022JJ00,13.2,13.3,13.9
448,MW00000,1016440,A052503,2023JJ00,10.6,12.0,14.4
449,MW00000,1016440,A052503,2024JJ00,10.8,11.7,12.2
450,MW00000,1016510,A052501,2019JJ00,63.0,57.8,64.8
451,MW00000,1016510,A052501,2021JJ00,58.3,65.0,47.9
452,MW00000,1016510,A052501,2022JJ00,,,
453,MW00000,1016510,A052501,2023JJ00,,,
454,MW00000,1016510,A052501,2024JJ00,,,
455,MW00000,1016510,A052502,2019JJ00,24.0,27.6,23.7
456,MW00000,1016510,A052502,2021JJ00,28.9,18.5,37.5
457,MW00000,1016510,A052502,2022JJ00,,,
458,MW00000,1016510,A052502,2023JJ00,,,
459,MW00000,1016510,A052502,2024JJ00,,,
460,MW00000,1016510,A052503,2019JJ00,13.0,14.6,11.5
461,MW00000,1016510,A052503,2021JJ00,12.8,16.5,14.6
462,MW00000,1016510,A052503,2022JJ00,,,
463,MW00000,1016510,A052503,2023JJ00,,,
464,MW00000,1016510,A052503,2024JJ00,,,
465,MW00000,1018850,A052501,2019JJ00,61.7,57.2,62.1
466,MW00000,1018850,A052501,2021JJ00,52.7,56.7,47.4
467,MW00000,1018850,A052501,2022JJ00,56.8,53.7,53.8
