ID,Marges,Kenmerken,MateVanEenzaamheid,Perioden,Eenzaamheid_1,SocialeEenzaamheid_2,EmotioneleEenzaamheid_3
139,MW00000,21600  ,A052501,2024JJ00,58.9,58.9,58.0
140,MW00000,21600  ,A052502,2019JJ00,32.9,30.0,37.0
141,MW00000,21600  ,A052502,2021JJ00,37.2,30.2,42.5
142,MW00000,21600  ,A052502,2022JJ00,34.3,30.1,35.6
143,MW00000,21600  ,A052502,2023JJ00,33.8,28.8,38.4
144,MW00000,21600  ,A052502,2024JJ00,35.4,30.6,34.5
145,MW00000,21600  ,A052503,2019JJ00,8.8,9.7,10.9
146,MW00000,21600  ,A052503,2021JJ00,9.1,11.6,9.4
147,MW00000,21600  ,A052503,2022JJ00,9.4,11.3,11.1
148,MW00000,21600  ,A052503,2023JJ00,8.4,11.0,9.3
149,MW00000,21600  ,A052503,2024JJ00,5.8,10.5,7.6
150,MW00000,A051760,A052501,2019JJ00,67.8,62.4,67.9
151,MW00000,A051760,A052501,2021JJ00,60.6,61.2,55.2
152,MW00000,A051760,A052501,2022JJ00,62.6,59.5,60.6
153,MW00000,A051760,A052501,2023JJ00,63.8,59.8,63.1
154,MW00000,A051760,A052501,2024JJ00,64.1,59.8,64.6
155,MW00000,A051760,A052502,2019JJ00,24.7,27.1,24.7
156,MW00000,A051760,A052502,2021JJ00,29.9,26.3,35.5
157,MW00000,A051760,A052502,2022JJ00,27.8,28.6,29.3
158,MW00000,A051760,A052502,2023JJ00,27.1,28.7,27.2
159,MW00000,A051760,A052502,2024JJ00,27.9,28.3,27.2
160,MW00000,A051760,A052503,2019JJ00,7.5,10.4,7.4
161,MW00000,A051760,A052503,2021JJ00,9.6,12.5,9.4
162,MW00000,A051760,A052503,2022JJ00,9.7,11.9,10.1
163,MW00000,A051760,A052503,2023JJ00,9.1,11.5,9.7
164,MW00000,A051760,A052503,2024JJ00,7.9,11.9,8.2
165,MW00000,A051761,A052501,2019JJ00,63.6,55.8,64.0
166,MW00000,A051761,A052501,2021JJ00,52.3,57.7,52.4
167,MW00000,A051761,A052501,2022JJ00,61.6,56.1,58.7
168,MW00000,A051761,A052501,2023JJ00,59.4,57.1,57.8
169,MW00000,A051761,A052501,2024JJ00,61.2,58.9,58.0
170,MW00000,A051761,A052502,2019JJ00,26.8,30.1,30.1
171,MW00000,A051761,A052502,2021JJ00,38.9,29.3,42.2
172,MW00000,A051761,A052502,2022JJ00,28.6,32.9,31.6
173,MW00000,A051761,A052502,2023JJ00,30.8,29.4,33.2
174,MW00000,A051761,A052502,2024JJ00,30.3,26.1,32.3
175,MW00000,A051761,A052503,2019JJ00,9.6,14.1,5.9
176,MW00000,A051761,A052503,2021JJ00,8.8,13.0,5.4
177,MW00000,A051761,A052503,2022JJ00,9.8,11.1,9.7
178,MW00000,A051761,A052503,2023JJ00,9.8,13.5,9.0
179,MW00000,A051761,A052503,2024JJ00,8.5,15.0,9.7
180,MW00000,A051762,A052501,2019JJ00,62.8,55.5,63.4
181,MW00000,A051762,A052501,2021JJ00,54.1,55.0,51.4
182,MW00000,A051762,A052501,2022JJ00,58.3,53.2,57.4
183,MW00000,A051762,A052501,2023JJ00,58.7,52.5,56.1
184,MW00000,A051762,A052501,2024JJ00,59.9,55.5,60.5
185,MW00000,A051762,A052502,2019JJ00,28.0,31.5,29.0
186,MW00000,A051762,A052502,2021JJ00,33.8,32.2,34.8
187,MW00000,A051762,A052502,2022JJ00,29.9,31.3,32.5
188,MW00000,A051762,A052502,2023JJ00,30.4,31.1,32.4
189,MW00000,A051762,A052502,2024JJ00,29.5,30.8,27.3
190,MW00000,A051762,A052503,2019JJ00,9.2,13.0,7.6
