ID,Perioden,NederlandHICP_1,EurozoneMUICP_2,EuropeseUnieEICP_3,NederlandHICP_4,EurozoneMUICP_5,EuropeseUnieEICP_6
0,1996MM01,67.94,70.97,69.4,,,
1,1996MM02,68.29,71.29,69.7,,,
2,1996MM03,69.11,71.54,70.0,,,
3,1996MM04,69.32,71.66,70.19,,,
4,1996MM05,69.04,71.83,70.37,,,
5,1996MM06,68.7,71.84,70.39,,,
6,1996MM07,68.49,71.84,70.28,,,
7,1996MM08,68.36,71.8,70.32,,,
8,1996MM09,69.11,71.93,70.53,,,
9,1996MM10,69.32,72.0,70.58,,,
10,1996MM11,69.18,72.01,70.61,,,
11,1996MM12,69.11,72.19,70.8,,,
12,1996JJ00,68.83,71.74,70.26,,,
13,1997MM01,69.11,72.42,70.92,1.7,2.0,2.2
14,1997MM02,69.25,72.59,71.07,1.4,1.8,2.0
15,1997MM03,69.94,72.65,71.19,1.2,1.6,1.7
16,1997MM04,70.01,72.6,71.22,1.0,1.3,1.5
17,1997MM05,70.15,72.8,71.43,1.6,1.4,1.5
18,1997MM06,69.73,72.83,71.47,1.5,1.4,1.5
19,1997MM07,69.8,72.9,71.45,1.9,1.5,1.7
20,1997MM08,70.08,73.02,71.61,2.5,1.7,1.8
21,1997MM09,70.83,73.07,71.74,2.5,1.6,1.7
22,1997MM10,70.9,73.09,71.78,2.3,1.5,1.7
23,1997MM11,70.9,73.18,71.87,2.5,1.6,1.8
24,1997MM12,70.63,73.26,71.95,2.2,1.5,1.6
25,1997JJ00,70.11,72.87,71.48,1.9,1.6,1.7
26,1998MM01,70.21,73.2,71.83,1.6,1.1,1.3
27,1998MM02,70.7,73.4,72.0,2.1,1.1,1.3
28,1998MM03,71.45,73.46,72.13,2.2,1.1,1.3
29,1998MM04,71.73,73.61,72.35,2.5,1.4,1.6
30,1998MM05,71.59,73.76,72.54,2.1,1.3,1.6
31,1998MM06,71.25,73.8,72.55,2.2,1.3,1.5
32,1998MM07,71.04,73.83,72.47,1.8,1.3,1.4
33,1998MM08,71.04,73.85,72.53,1.4,1.1,1.3
34,1998MM09,71.73,73.79,72.58,1.3,1.0,1.2
35,1998MM10,71.94,73.77,72.57,1.5,0.9,1.1
36,1998MM11,71.94,73.77,72.58,1.5,0.8,1.0
37,1998MM12,71.66,73.81,72.65,1.5,0.8,1.0
38,1998JJ00,71.36,73.67,72.4,1.8,1.1,1.3
39,1999MM01,71.66,73.76,72.52,2.1,0.8,1.0
40,1999MM02,72.14,73.94,72.67,2.0,0.7,0.9
41,1999MM03,72.9,74.15,72.95,2.0,0.9,1.1
42,1999MM04,73.11,74.4,73.22,1.9,1.1,1.2
43,1999MM05,73.11,74.45,73.3,2.1,0.9,1.0
44,1999MM06,72.76,74.45,73.28,2.1,0.9,1.0
45,1999MM07,72.35,74.58,73.26,1.8,1.0,1.1
46,1999MM08,72.83,74.67,73.37,2.5,1.1,1.2
47,1999MM09,73.17,74.71,73.5,2.0,1.2,1.3
48,1999MM10,73.24,74.74,73.52,1.8,1.3,1.3
49,1999MM11,73.38,74.84,73.61,2.0,1.5,1.4
50,1999MM12,73.04,75.09,73.86,1.9,1.7,1.7
51,1999JJ00,72.81,74.48,73.26,2.0,1.1,1.2
52,2000MM01,72.83,75.13,73.75,1.6,1.9,1.7
53,2000MM02,73.24,75.37,73.98,1.5,1.9,1.8
54,2000MM03,74.07,75.6,74.24,1.6,2.0,1.8
